date,open,high,low,close,volume,trade
02/23/2021,15.0,15.0,15.0,15.0,201.0,2.0
02/24/2021,22.5,22.5,22.5,22.5,9332.0,13.0
02/25/2021,24.7,24.7,24.7,24.7,25796.0,39.0
02/28/2021,27.1,27.1,27.1,27.1,143470.0,145.0
03/01/2021,29.8,29.8,29.8,29.8,164868.0,164.0
03/02/2021,32.7,32.7,32.2,32.7,3458716.0,3224.0
03/03/2021,35.9,35.9,35.9,35.9,452386.0,495.0
03/04/2021,38.6,39.4,36.2,39.4,3732610.0,4232.0
03/07/2021,41.0,42.8,37.2,37.5,2724806.0,5045.0
03/08/2021,37.2,39.7,36.4,39.1,2422222.0,3771.0
03/09/2021,39.9,40.5,38.5,38.9,2066964.0,2653.0
03/10/2021,38.6,38.8,36.6,37.2,1734750.0,2454.0
03/11/2021,37.3,37.6,36.1,36.4,1122677.0,1739.0
03/14/2021,36.5,36.5,34.0,34.4,1043689.0,1624.0
03/15/2021,34.5,35.8,33.6,35.3,891057.0,1307.0
03/16/2021,35.9,35.9,33.7,33.9,597460.0,1016.0
03/18/2021,33.8,34.0,32.1,32.5,671163.0,1045.0
03/21/2021,32.8,32.8,30.6,30.8,665242.0,924.0
03/22/2021,31.7,31.7,29.8,30.9,695414.0,1082.0
03/23/2021,31.6,31.6,29.5,29.7,503822.0,722.0
03/24/2021,30.0,30.0,26.9,27.2,1177863.0,1328.0
03/25/2021,27.2,29.2,26.7,28.7,538118.0,870.0
03/28/2021,28.8,29.8,27.8,29.3,594522.0,932.0
03/29/2021,29.3,31.7,29.3,30.9,796233.0,1091.0
03/31/2021,30.4,30.4,28.4,28.6,640930.0,974.0
04/01/2021,28.1,29.4,27.7,28.9,326981.0,533.0
04/04/2021,26.9,28.4,26.4,26.7,535701.0,698.0
04/05/2021,26.5,28.9,26.5,28.4,218646.0,405.0
04/06/2021,28.2,31.2,28.2,30.9,806641.0,828.0
04/07/2021,30.8,32.0,30.5,31.0,503749.0,604.0
04/08/2021,30.0,30.7,29.2,30.0,472525.0,469.0
04/11/2021,29.4,29.8,28.9,29.4,211857.0,369.0
04/12/2021,29.9,30.6,29.9,30.0,345427.0,433.0
04/13/2021,30.0,31.7,29.5,31.2,475128.0,508.0
04/15/2021,31.6,33.9,31.5,33.6,785852.0,764.0
04/18/2021,33.1,35.4,33.1,34.3,893710.0,1073.0
04/19/2021,34.4,34.4,33.5,33.8,515094.0,614.0
04/20/2021,33.9,35.6,33.1,35.0,841423.0,854.0
04/21/2021,35.0,36.0,34.1,34.7,698463.0,811.0
04/22/2021,34.8,35.7,34.5,35.3,1257008.0,745.0
04/25/2021,36.0,37.8,36.0,37.6,1211535.0,1127.0
04/26/2021,37.8,38.1,36.6,36.9,787533.0,743.0
04/27/2021,36.2,36.6,35.5,36.1,826245.0,616.0
04/28/2021,36.3,38.7,36.0,38.6,1529590.0,1224.0
04/29/2021,39.8,41.1,38.9,39.8,2142883.0,1572.0
05/02/2021,39.9,42.2,39.8,40.6,1747359.0,1307.0
05/03/2021,40.6,41.2,39.2,39.6,2111474.0,1222.0
05/04/2021,39.5,40.3,38.9,39.2,945711.0,769.0
05/05/2021,39.1,41.5,39.1,41.2,1084280.0,861.0
05/06/2021,41.5,45.3,41.5,45.3,3214644.0,1278.0
05/09/2021,49.8,49.8,49.8,49.8,753371.0,232.0
05/11/2021,52.6,54.0,48.5,53.2,4560391.0,2531.0
05/12/2021,53.2,55.5,51.6,53.3,2060465.0,1318.0
05/16/2021,52.7,53.2,48.0,51.2,2420334.0,1976.0
05/17/2021,51.8,53.3,49.0,51.3,1080196.0,1094.0
05/18/2021,51.8,53.2,49.4,51.0,1538508.0,1323.0
05/19/2021,49.7,56.1,49.7,55.9,2619080.0,609.0
05/20/2021,55.9,61.3,54.5,57.7,3787850.0,2400.0
05/23/2021,58.0,62.0,56.3,59.3,2633948.0,2155.0
05/24/2021,60.0,60.8,56.4,57.9,2224871.0,1916.0
05/25/2021,58.9,59.0,56.5,57.1,1216589.0,1198.0
05/27/2021,57.0,59.7,55.5,57.6,1460264.0,1288.0
05/30/2021,58.3,61.5,57.4,58.0,2307386.0,1670.0
05/31/2021,58.2,59.3,55.4,56.0,955242.0,960.0
06/01/2021,55.2,56.3,54.6,55.0,1188511.0,1014.0
06/02/2021,55.0,55.0,51.1,52.6,1332655.0,1420.0
06/03/2021,53.9,55.5,52.5,53.6,936989.0,961.0
06/06/2021,54.0,54.7,51.0,51.4,1333679.0,1131.0
06/07/2021,51.2,53.9,50.5,51.0,878883.0,1056.0
