date,open,high,low,close,volume,trade
01/19/2021,46.5,46.5,46.5,46.5,805.0,5.0
01/20/2021,69.7,69.7,69.7,69.7,483708.0,83.0
01/21/2021,76.6,76.6,76.6,76.6,2570.0,18.0
01/24/2021,84.2,84.2,84.2,84.2,308828.0,142.0
01/25/2021,92.6,92.6,92.6,92.6,754068.0,686.0
01/26/2021,101.8,101.8,83.4,83.4,12180576.0,25525.0
01/27/2021,76.0,80.2,75.1,76.4,4704540.0,14821.0
01/28/2021,77.0,79.4,71.0,71.7,3417796.0,10054.0
01/31/2021,67.9,70.9,65.6,66.4,4656389.0,11221.0
02/01/2021,67.5,69.2,65.4,65.9,2351788.0,6292.0
02/02/2021,67.0,68.4,65.4,65.7,2716947.0,5835.0
02/03/2021,65.7,66.1,59.2,59.2,3831741.0,8442.0
02/04/2021,57.2,57.9,53.7,54.4,3736790.0,8644.0
02/07/2021,54.6,57.6,53.3,54.1,2093994.0,5275.0
02/08/2021,54.7,56.0,51.0,51.5,2739605.0,5435.0
02/09/2021,53.6,56.6,51.7,56.6,2667004.0,5093.0
02/10/2021,57.8,58.9,54.3,55.1,3572485.0,6841.0
02/11/2021,55.0,55.4,51.5,51.7,2241629.0,4974.0
02/14/2021,51.9,51.9,48.0,48.5,2221323.0,4675.0
02/15/2021,48.9,51.9,48.6,50.5,1696260.0,3818.0
02/16/2021,50.3,51.4,48.2,48.5,2063359.0,4078.0
02/17/2021,49.1,51.0,48.0,50.0,1667739.0,3374.0
02/18/2021,50.3,51.2,48.8,49.2,1332327.0,3138.0
02/22/2021,49.2,49.4,46.4,46.9,1205843.0,2638.0
02/23/2021,47.0,48.4,45.8,46.1,1175781.0,2460.0
02/24/2021,47.5,49.5,47.1,48.8,1701122.0,3060.0
02/25/2021,49.0,50.8,47.7,49.6,2048881.0,3673.0
02/28/2021,50.0,51.6,49.5,49.8,1597909.0,3097.0
03/01/2021,50.0,50.9,49.4,50.6,1562372.0,2603.0
03/02/2021,51.0,52.7,51.0,51.7,1788324.0,2989.0
03/03/2021,52.0,54.2,51.7,53.8,2963961.0,4030.0
03/04/2021,54.1,54.7,52.6,52.8,2240683.0,3209.0
03/07/2021,53.0,53.4,52.1,53.2,1888312.0,2481.0
03/08/2021,53.5,55.5,53.5,54.5,2212534.0,3336.0
03/09/2021,54.9,55.0,53.0,53.5,2693099.0,3380.0
03/10/2021,53.5,53.5,51.1,51.4,1774955.0,3184.0
03/11/2021,51.6,52.5,50.2,50.6,1274940.0,2491.0
03/14/2021,50.9,51.1,48.2,48.4,1197574.0,2429.0
03/15/2021,48.9,49.4,48.3,49.0,669094.0,1434.0
03/16/2021,49.7,50.2,48.0,48.2,995282.0,2070.0
03/18/2021,48.0,48.0,46.3,46.5,928237.0,1978.0
03/21/2021,46.7,46.7,44.5,45.0,914356.0,1913.0
03/22/2021,45.4,46.0,44.0,45.6,873918.0,1680.0
03/23/2021,45.9,46.5,44.7,45.0,627246.0,1477.0
03/24/2021,44.9,44.9,42.9,43.0,805188.0,2177.0
03/25/2021,43.2,44.5,42.7,43.3,534083.0,1149.0
03/28/2021,43.6,43.7,42.9,43.2,422972.0,973.0
03/29/2021,43.3,44.7,43.2,44.3,734663.0,1552.0
03/31/2021,44.0,44.0,42.5,42.6,752818.0,1476.0
04/01/2021,42.2,43.0,41.8,42.4,529969.0,1067.0
04/04/2021,41.9,41.9,38.2,38.2,795169.0,1419.0
04/05/2021,39.2,40.2,38.4,39.5,403755.0,735.0
04/06/2021,39.9,42.6,39.9,41.9,560293.0,993.0
04/07/2021,42.5,43.4,41.9,42.5,558378.0,1098.0
04/08/2021,40.6,41.8,40.6,41.0,315406.0,686.0
04/11/2021,39.2,40.9,38.6,38.8,463111.0,963.0
04/12/2021,39.0,40.2,38.8,39.0,512123.0,820.0
04/13/2021,36.7,40.9,36.7,40.6,453699.0,980.0
04/15/2021,40.6,42.2,40.6,42.0,497009.0,876.0
04/18/2021,42.5,42.5,41.2,42.0,537306.0,942.0
04/19/2021,42.0,42.7,41.7,42.0,592785.0,926.0
04/20/2021,41.8,42.9,41.7,42.6,670900.0,904.0
04/21/2021,43.4,44.0,42.8,43.0,471377.0,976.0
04/22/2021,43.0,43.1,42.4,42.6,466255.0,827.0
04/25/2021,42.7,44.2,42.7,43.8,883618.0,1882.0
04/26/2021,43.8,44.7,43.8,43.9,751517.0,1400.0
04/27/2021,43.7,43.7,42.4,42.6,628456.0,1035.0
04/28/2021,42.8,43.4,42.2,42.9,478237.0,770.0
04/29/2021,43.3,43.6,42.5,42.6,666942.0,956.0
05/02/2021,42.0,42.4,41.1,41.8,828089.0,1319.0
05/03/2021,41.8,42.0,40.7,40.9,761336.0,1409.0
05/04/2021,41.2,41.4,39.8,40.0,856702.0,1520.0
05/05/2021,40.6,40.6,39.8,40.3,720114.0,1032.0
05/06/2021,40.3,44.1,40.3,43.1,1952511.0,2502.0
05/09/2021,43.8,47.3,43.8,47.1,2674335.0,3434.0
05/11/2021,47.5,47.5,45.4,45.8,1390757.0,1912.0
05/12/2021,45.8,47.7,45.8,46.9,1677866.0,2077.0
05/16/2021,47.2,47.9,46.5,46.6,1393104.0,2042.0
05/17/2021,46.7,47.0,45.1,45.4,1256972.0,2006.0
05/18/2021,45.0,45.5,44.0,44.6,959447.0,1345.0
05/19/2021,44.6,46.5,44.1,44.6,1122612.0,1485.0
05/20/2021,45.1,45.2,44.2,44.4,701220.0,1319.0
05/23/2021,44.3,46.5,44.0,46.1,1305735.0,1874.0
05/24/2021,46.3,47.4,46.1,46.3,935323.0,1648.0
05/25/2021,46.5,46.9,45.4,45.5,1100785.0,1629.0
05/27/2021,46.0,46.7,44.3,44.6,1047384.0,1937.0
05/30/2021,45.0,45.9,44.3,44.6,855422.0,1256.0
05/31/2021,45.3,45.6,44.6,44.7,669704.0,1468.0
06/01/2021,44.7,45.3,44.2,44.4,559034.0,1241.0
06/02/2021,44.5,44.7,43.5,43.8,737725.0,1385.0
06/03/2021,44.4,44.8,44.0,44.4,555473.0,914.0
06/06/2021,44.0,46.4,44.0,45.6,1403345.0,1905.0
06/07/2021,45.7,48.2,45.1,47.2,2788706.0,3750.0
06/08/2021,47.5,48.2,46.0,46.5,1204690.0,1603.0
06/09/2021,46.3,49.2,46.3,48.4,2812163.0,3121.0
06/10/2021,48.8,52.0,48.8,51.0,3145711.0,3936.0
06/13/2021,51.7,52.8,50.3,51.5,3111528.0,3726.0
06/14/2021,51.8,54.6,48.9,54.0,3881850.0,4618.0
06/15/2021,54.9,59.4,53.6,59.4,5755773.0,5907.0
06/16/2021,60.1,60.1,54.0,55.6,3307614.0,4205.0
06/17/2021,56.0,57.6,52.9,53.7,2712925.0,3225.0
06/20/2021,53.3,56.0,52.4,54.9,1608706.0,2139.0
06/21/2021,55.6,56.6,53.5,53.7,1663594.0,2547.0
06/22/2021,54.1,54.1,52.0,52.8,1303862.0,1998.0
06/23/2021,52.9,53.5,50.6,50.8,1714720.0,2363.0
06/24/2021,50.6,52.2,50.0,51.6,816433.0,1343.0
06/27/2021,51.5,51.5,47.8,48.3,1031784.0,1829.0
06/28/2021,49.5,50.0,48.1,48.4,737496.0,1178.0
06/29/2021,48.6,49.3,47.6,48.1,561120.0,834.0
06/30/2021,48.7,50.5,48.4,50.2,760988.0,983.0
07/05/2021,50.5,51.8,49.6,50.1,884715.0,1131.0
07/06/2021,51.0,51.0,49.0,49.4,700500.0,1155.0
07/07/2021,50.0,50.7,49.4,50.0,509485.0,939.0
07/08/2021,50.5,51.7,50.2,50.9,991210.0,1586.0
07/12/2021,51.4,51.4,49.2,49.5,521617.0,1043.0
07/13/2021,49.5,50.1,48.3,49.0,824834.0,1040.0
07/14/2021,49.1,49.6,48.6,48.8,460127.0,836.0
07/15/2021,49.2,51.2,48.8,50.6,885534.0,1269.0
07/18/2021,51.1,52.5,50.9,51.8,1159859.0,1503.0
07/19/2021,52.0,52.0,51.0,51.2,586802.0,890.0
07/25/2021,51.2,51.4,50.5,50.7,470634.0,682.0
07/26/2021,51.0,51.0,49.6,49.8,559881.0,964.0
07/27/2021,49.6,50.4,49.0,50.0,457092.0,708.0
07/28/2021,50.0,51.6,50.0,51.3,766334.0,1043.0
07/29/2021,51.5,51.6,49.9,50.4,656548.0,958.0
08/02/2021,50.9,52.4,50.7,52.1,1169410.0,1427.0
08/03/2021,52.5,52.7,51.5,51.7,1033981.0,1380.0
08/05/2021,52.0,52.9,51.3,52.2,1112947.0,1262.0
08/09/2021,52.5,54.3,51.7,53.7,1626274.0,1828.0
08/10/2021,54.1,54.5,52.6,52.8,1184886.0,1345.0
08/11/2021,52.5,53.2,51.8,52.2,910280.0,1033.0
08/12/2021,52.2,53.4,52.2,52.7,1062968.0,1049.0
08/16/2021,53.0,54.5,52.7,53.5,1555753.0,1743.0
08/17/2021,54.0,54.4,53.1,54.0,1278364.0,1342.0
08/18/2021,54.3,56.8,53.7,55.6,3886248.0,3447.0
08/19/2021,55.8,55.9,53.9,54.7,1323784.0,1493.0
08/22/2021,55.0,55.9,54.7,55.1,1574596.0,1863.0
08/23/2021,55.5,57.0,55.4,56.6,2366251.0,2227.0
08/24/2021,56.8,57.2,55.5,55.8,1674731.0,1856.0
08/25/2021,56.0,56.1,54.2,54.5,1235398.0,1543.0
08/26/2021,54.8,54.8,53.5,53.7,1066116.0,1380.0
08/29/2021,53.7,54.1,53.1,53.6,657204.0,869.0
08/31/2021,53.6,54.1,53.0,53.1,1004512.0,1074.0
09/01/2021,53.2,53.6,52.7,52.9,831491.0,1127.0
09/02/2021,53.0,54.4,53.0,54.0,659893.0,868.0
09/05/2021,54.3,55.4,54.1,55.2,1303991.0,1490.0
09/06/2021,56.0,56.1,55.0,55.3,2042046.0,1820.0
09/07/2021,56.1,56.8,55.6,55.7,1652503.0,1657.0
09/08/2021,55.8,56.4,54.4,54.8,1424550.0,1300.0
09/09/2021,55.1,55.1,54.4,54.5,1030647.0,967.0
09/12/2021,54.5,54.9,52.3,53.1,1210557.0,1464.0
09/13/2021,53.7,53.8,52.6,53.1,553370.0,740.0
09/14/2021,53.2,53.4,52.0,52.3,577048.0,929.0
09/15/2021,52.5,52.8,51.8,52.0,603187.0,887.0
09/16/2021,52.1,53.0,52.0,52.1,311679.0,575.0
09/19/2021,52.8,52.8,51.5,51.6,379594.0,691.0
09/20/2021,51.8,52.4,51.4,51.6,374846.0,694.0
09/21/2021,51.7,52.4,51.5,51.7,480127.0,671.0
