date,open,high,low,close,volume,trade
04/09/2019,47.3,59.0,45.3,45.9,6783865.0,
04/10/2019,46.0,47.0,42.8,43.3,1415081.0,
04/11/2019,43.3,45.5,41.7,42.9,2103266.0,
04/15/2019,42.9,45.2,42.9,43.6,1519810.0,
04/16/2019,43.8,43.8,41.8,42.3,1570482.0,
04/17/2019,42.7,43.5,41.2,42.0,1232198.0,2859.0
04/18/2019,42.0,42.5,41.0,41.4,1424899.0,3206.0
04/21/2019,42.0,43.8,42.0,43.3,1351580.0,2912.0
04/23/2019,43.5,43.5,41.8,42.1,1210031.0,2056.0
04/24/2019,42.1,42.3,40.6,41.0,1133312.0,2134.0
04/25/2019,41.0,42.3,40.2,41.5,1185003.0,2307.0
04/28/2019,41.5,45.5,41.2,44.2,2052767.0,3860.0
04/29/2019,43.5,44.0,42.7,42.9,1222446.0,2300.0
04/30/2019,43.2,45.0,42.9,43.2,1964855.0,2829.0
05/02/2019,43.5,46.2,43.2,45.8,1572733.0,2956.0
05/05/2019,46.6,46.8,45.0,45.2,2164940.0,3105.0
05/06/2019,45.2,49.6,44.6,49.0,3667347.0,4998.0
05/07/2019,49.4,50.6,47.4,48.0,2485518.0,3951.0
05/08/2019,47.8,50.0,46.9,49.4,2854897.0,3835.0
05/09/2019,50.4,52.4,49.9,51.1,2654782.0,4836.0
05/12/2019,51.4,51.4,48.9,49.2,2050782.0,2935.0
05/13/2019,49.3,49.9,46.8,47.0,1635161.0,2603.0
05/14/2019,47.5,48.5,46.5,47.5,976422.0,1916.0
05/15/2019,48.2,48.3,46.3,46.6,726444.0,1211.0
05/16/2019,47.6,47.6,46.0,46.4,782356.0,1335.0
05/19/2019,47.0,47.3,46.2,46.4,942066.0,1515.0
05/20/2019,46.8,48.1,46.8,47.2,1001953.0,2057.0
05/21/2019,47.2,47.5,45.5,45.8,1327043.0,1811.0
05/22/2019,45.9,46.2,45.1,45.2,872343.0,1633.0
05/23/2019,45.3,45.8,45.2,45.5,500184.0,992.0
05/26/2019,45.6,45.6,43.7,44.0,1027055.0,1557.0
05/27/2019,43.9,44.7,43.3,43.6,721756.0,1177.0
05/28/2019,43.9,45.2,43.9,44.5,529009.0,1189.0
05/29/2019,44.8,46.2,44.8,45.4,807580.0,1340.0
05/30/2019,45.6,46.1,44.8,45.0,674032.0,963.0
06/09/2019,45.6,45.6,44.1,44.3,578748.0,911.0
06/10/2019,44.4,45.6,44.4,45.0,650930.0,924.0
06/11/2019,45.2,46.9,45.1,46.3,1246992.0,1716.0
06/12/2019,46.4,46.4,45.0,45.2,881233.0,1160.0
06/13/2019,45.3,46.6,44.9,45.7,1133188.0,1690.0
06/16/2019,46.4,47.0,45.1,45.3,1233509.0,1579.0
06/17/2019,45.6,45.6,44.1,44.5,686170.0,1179.0
06/18/2019,44.7,45.6,44.6,44.9,800592.0,1122.0
06/19/2019,45.0,45.2,44.2,44.4,439511.0,703.0
06/20/2019,44.4,44.8,43.6,43.7,673868.0,1028.0
06/23/2019,43.8,44.0,42.3,42.6,483903.0,1194.0
06/24/2019,42.6,43.2,42.4,42.8,527791.0,1137.0
06/25/2019,43.5,44.6,43.3,43.8,926956.0,1359.0
06/26/2019,44.2,44.6,43.8,44.2,819202.0,1182.0
06/27/2019,44.3,44.7,43.7,44.2,622643.0,1055.0
06/30/2019,44.5,45.3,44.3,44.7,621251.0,1071.0
07/02/2019,44.9,47.4,44.5,46.9,2229485.0,2462.0
07/03/2019,47.3,47.8,45.6,46.0,1614944.0,2094.0
07/04/2019,46.1,46.3,45.4,45.6,1332901.0,1334.0
07/07/2019,45.4,45.7,44.7,44.9,651693.0,758.0
07/08/2019,44.9,45.2,44.6,44.8,570196.0,653.0
07/09/2019,44.8,44.8,43.0,43.2,620757.0,870.0
07/10/2019,43.2,43.6,42.6,42.8,407623.0,736.0
07/11/2019,42.9,43.7,42.6,42.8,276610.0,450.0
07/14/2019,42.9,43.0,41.5,41.7,259765.0,504.0
07/15/2019,42.0,42.0,40.7,40.8,287068.0,586.0
07/16/2019,41.2,42.0,40.5,41.5,340104.0,433.0
07/17/2019,41.7,42.7,41.4,42.3,218045.0,532.0
07/18/2019,42.4,42.9,41.8,42.2,460779.0,550.0
07/21/2019,41.6,42.1,40.4,40.6,420675.0,635.0
07/22/2019,40.9,41.0,39.2,40.2,568879.0,774.0
07/23/2019,40.4,41.8,40.4,41.3,178199.0,412.0
07/24/2019,41.2,41.9,40.6,41.5,453342.0,505.0
07/25/2019,41.5,42.0,41.5,41.7,231661.0,329.0
07/28/2019,41.8,42.2,40.5,40.7,348539.0,665.0
07/29/2019,41.0,42.3,40.4,42.0,532122.0,695.0
07/30/2019,42.0,42.7,41.2,41.3,313160.0,490.0
07/31/2019,41.6,41.6,40.5,40.8,425951.0,504.0
08/01/2019,41.1,41.9,40.8,41.7,296444.0,504.0
08/04/2019,41.6,42.4,41.6,42.0,364271.0,675.0
08/05/2019,41.7,42.0,41.3,41.4,453356.0,719.0
08/06/2019,41.5,42.5,41.5,41.8,395727.0,554.0
08/07/2019,41.7,41.9,41.2,41.3,395490.0,518.0
08/08/2019,41.2,41.7,41.1,41.3,181962.0,298.0
