date,open,high,low,close,volume,trade
01/01/2018,14.2,14.7,14.2,14.6,604030.0,282.0
01/02/2018,14.4,14.9,14.4,14.9,766797.0,1260.0
01/03/2018,15.5,15.8,15.2,15.3,1563948.0,685.0
01/04/2018,15.2,15.7,15.1,15.4,2239826.0,739.0
01/07/2018,15.2,15.6,15.2,15.2,887369.0,349.0
01/08/2018,15.2,15.5,15.2,15.4,1299244.0,421.0
01/09/2018,15.6,15.9,15.4,15.6,3228903.0,1126.0
01/10/2018,15.4,15.6,15.2,15.2,794149.0,340.0
01/11/2018,15.2,15.5,15.2,15.2,977102.0,350.0
01/14/2018,15.1,15.4,14.7,14.8,884198.0,454.0
01/15/2018,14.8,15.2,14.5,14.6,706339.0,357.0
01/16/2018,14.9,15.2,14.6,15.2,1082587.0,472.0
01/17/2018,15.2,15.3,14.9,15.0,1216489.0,411.0
01/18/2018,14.9,15.2,14.8,14.8,567749.0,246.0
01/21/2018,14.9,15.0,14.8,14.9,384462.0,172.0
01/22/2018,15.0,15.2,14.8,14.9,773189.0,275.0
01/23/2018,14.9,15.1,14.6,14.7,587639.0,289.0
01/24/2018,14.6,14.8,14.5,14.5,641563.0,312.0
01/25/2018,14.5,14.7,14.5,14.5,569810.0,235.0
01/28/2018,14.7,14.8,14.5,14.5,697904.0,282.0
01/29/2018,14.5,14.7,14.5,14.5,570989.0,220.0
01/30/2018,14.7,14.9,14.5,14.5,657483.0,261.0
01/31/2018,14.5,14.6,14.2,14.3,828230.0,322.0
02/01/2018,14.5,14.5,14.2,14.2,362335.0,160.0
02/04/2018,14.2,14.2,13.5,13.6,587588.0,305.0
02/05/2018,13.7,13.7,13.1,13.4,574522.0,318.0
02/06/2018,13.7,13.8,13.5,13.7,360107.0,175.0
02/07/2018,13.6,13.8,13.4,13.7,358798.0,153.0
02/08/2018,13.6,13.8,13.4,13.7,222198.0,124.0
02/11/2018,13.8,14.2,13.8,14.1,451890.0,273.0
02/12/2018,14.3,14.4,13.9,13.9,563794.0,276.0
02/13/2018,13.9,14.5,13.9,14.3,746089.0,376.0
02/14/2018,14.5,14.7,14.4,14.5,815471.0,351.0
02/15/2018,14.5,14.9,14.5,14.5,917445.0,466.0
02/18/2018,14.5,14.5,14.2,14.3,505764.0,245.0
02/19/2018,14.4,14.5,13.9,13.9,665288.0,325.0
02/20/2018,14.3,14.3,13.9,13.9,279978.0,154.0
02/22/2018,14.1,14.2,13.8,13.8,267596.0,168.0
02/25/2018,13.8,13.9,13.5,13.6,306497.0,162.0
02/26/2018,13.5,13.7,13.2,13.3,584731.0,242.0
02/27/2018,13.5,13.7,13.2,13.3,413924.0,225.0
02/28/2018,13.4,13.4,13.2,13.2,468573.0,228.0
03/01/2018,13.3,13.4,13.2,13.3,437636.0,195.0
