date,open,high,low,close,volume,trade
01/01/2018,72.9,73.0,71.3,72.1,15984.0,38.0
01/02/2018,72.4,72.6,71.7,71.7,12207.0,97.0
01/03/2018,72.3,74.0,71.4,71.8,109670.0,105.0
01/04/2018,72.0,72.0,71.4,71.5,65055.0,94.0
01/07/2018,71.0,71.5,69.8,70.0,114852.0,210.0
01/08/2018,70.0,70.5,69.5,69.8,105376.0,157.0
01/09/2018,70.0,70.0,67.9,68.8,63100.0,90.0
01/10/2018,70.2,70.7,68.3,68.7,46688.0,87.0
01/11/2018,68.0,69.0,67.1,67.6,149399.0,239.0
01/14/2018,68.0,68.5,67.4,67.6,117945.0,162.0
01/15/2018,68.6,68.6,67.4,67.9,101343.0,86.0
01/16/2018,69.2,69.8,68.0,69.5,16832.0,52.0
01/17/2018,68.5,70.0,68.1,69.3,30917.0,109.0
01/18/2018,70.4,70.9,69.3,69.5,36412.0,60.0
01/21/2018,68.9,69.2,68.9,69.1,12773.0,32.0
01/22/2018,69.2,70.0,68.9,69.8,119819.0,91.0
01/23/2018,69.4,70.0,69.2,69.2,37107.0,63.0
01/24/2018,69.1,69.1,68.5,68.6,19258.0,58.0
01/25/2018,68.6,71.0,68.6,70.6,84127.0,164.0
01/28/2018,71.0,71.0,69.2,69.5,14972.0,43.0
01/29/2018,69.0,69.5,68.5,68.7,26738.0,52.0
01/30/2018,68.6,70.0,68.2,69.5,26681.0,54.0
01/31/2018,69.0,69.2,68.4,68.6,7790.0,39.0
02/01/2018,69.9,70.0,68.2,68.6,27136.0,55.0
02/04/2018,69.3,69.5,67.8,69.0,30839.0,54.0
02/05/2018,69.0,69.0,67.5,67.9,4972.0,28.0
02/06/2018,68.0,71.0,68.0,69.5,22251.0,63.0
02/07/2018,69.9,70.4,68.7,69.9,3276.0,22.0
02/08/2018,70.0,70.3,69.0,70.2,29205.0,72.0
02/11/2018,69.3,71.0,69.2,70.0,10102.0,40.0
02/12/2018,69.7,70.0,69.1,69.2,30128.0,49.0
02/13/2018,69.3,71.3,69.2,69.8,73150.0,98.0
02/14/2018,71.0,71.0,69.5,70.7,10021.0,14.0
02/15/2018,69.8,70.8,68.8,69.6,39544.0,71.0
02/18/2018,69.6,69.6,68.2,68.8,14343.0,107.0
02/19/2018,70.0,70.0,68.8,69.9,17314.0,37.0
02/20/2018,69.0,69.0,68.5,68.8,11075.0,48.0
02/22/2018,68.8,68.8,68.2,68.3,8525.0,53.0
