date,open,high,low,close,volume,trade
01/01/2018,11.4,11.7,11.3,11.6,268757.0,127.0
01/02/2018,11.7,11.7,11.6,11.6,7717.0,80.0
01/03/2018,11.7,11.8,11.4,11.7,317098.0,237.0
01/04/2018,11.8,11.8,11.4,11.5,90782.0,61.0
01/07/2018,11.5,11.5,11.4,11.5,119503.0,59.0
01/08/2018,11.4,11.5,11.3,11.4,80582.0,56.0
01/09/2018,11.4,11.4,11.3,11.4,102235.0,49.0
01/10/2018,11.5,11.5,11.3,11.4,134721.0,78.0
01/11/2018,11.3,11.4,11.3,11.3,36771.0,33.0
01/14/2018,11.2,11.4,11.2,11.3,61977.0,59.0
01/15/2018,11.2,11.3,11.1,11.2,146257.0,73.0
01/16/2018,11.2,11.3,11.0,11.2,152393.0,78.0
01/17/2018,11.2,11.2,11.0,11.1,163221.0,88.0
01/18/2018,11.1,11.2,11.1,11.2,33473.0,30.0
01/21/2018,11.2,11.2,11.1,11.2,58656.0,62.0
01/22/2018,11.2,11.2,11.0,11.1,126244.0,68.0
01/23/2018,11.0,11.1,11.0,11.0,101522.0,75.0
01/24/2018,11.0,11.2,10.8,10.9,243265.0,94.0
01/25/2018,11.0,11.0,10.8,10.9,59094.0,48.0
01/28/2018,10.8,10.9,10.7,10.8,96282.0,65.0
01/29/2018,10.8,11.0,10.6,10.9,51679.0,44.0
01/30/2018,10.9,10.9,10.7,10.8,52187.0,56.0
01/31/2018,10.7,10.8,10.5,10.6,67307.0,49.0
02/01/2018,10.4,10.6,10.4,10.5,79865.0,47.0
02/04/2018,10.4,10.4,10.0,10.1,74357.0,61.0
02/05/2018,10.0,10.2,9.7,9.9,94315.0,57.0
02/06/2018,10.1,10.3,10.0,10.3,87828.0,57.0
02/07/2018,10.2,10.2,10.1,10.2,64154.0,43.0
02/08/2018,10.1,10.3,10.1,10.3,100694.0,62.0
02/11/2018,10.4,10.7,10.2,10.5,125051.0,76.0
02/12/2018,10.7,10.7,10.4,10.5,78607.0,46.0
02/13/2018,10.5,10.6,10.4,10.5,76943.0,45.0
02/14/2018,10.5,10.7,10.4,10.5,149402.0,108.0
02/15/2018,10.6,10.6,10.4,10.4,81447.0,51.0
02/18/2018,10.4,10.4,10.2,10.2,137251.0,79.0
02/19/2018,10.2,10.3,10.1,10.2,62507.0,79.0
02/20/2018,10.2,10.3,10.2,10.2,41310.0,41.0
02/22/2018,10.2,10.2,10.1,10.1,53044.0,41.0
02/25/2018,10.1,10.1,9.7,9.8,172443.0,101.0
02/26/2018,9.9,9.9,9.8,9.8,29963.0,33.0
02/27/2018,10.0,10.0,9.9,10.0,36207.0,38.0
02/28/2018,9.9,10.0,9.8,10.0,53497.0,45.0
03/01/2018,9.9,10.2,9.9,10.2,47210.0,43.0
03/04/2018,10.2,10.5,10.2,10.2,102938.0,79.0
03/05/2018,10.2,10.2,10.0,10.0,93981.0,75.0
03/06/2018,10.0,10.2,9.9,10.0,112048.0,51.0
03/07/2018,10.1,10.1,9.8,9.9,90166.0,68.0
03/08/2018,9.9,10.0,9.8,9.9,63089.0,38.0
03/11/2018,9.9,10.0,9.8,9.9,96640.0,61.0
03/12/2018,9.8,9.8,9.6,9.7,100167.0,53.0
03/13/2018,9.6,9.6,9.4,9.5,22215.0,17.0
03/14/2018,9.7,9.7,9.3,9.5,69078.0,57.0
03/15/2018,9.5,9.7,9.4,9.6,92234.0,65.0
03/18/2018,9.7,9.7,9.4,9.6,111759.0,64.0
03/19/2018,9.5,9.6,9.3,9.4,59209.0,54.0
03/20/2018,9.3,9.5,9.3,9.4,58912.0,40.0
03/21/2018,9.3,9.3,9.1,9.2,89480.0,53.0
03/22/2018,9.2,9.3,9.0,9.1,269860.0,106.0
03/25/2018,9.3,9.3,9.1,9.3,169685.0,65.0
03/27/2018,9.3,9.4,9.1,9.2,163999.0,54.0
03/28/2018,9.3,9.3,9.1,9.2,97075.0,44.0
03/29/2018,9.1,9.2,9.0,9.1,267582.0,116.0
04/01/2018,9.3,9.4,9.1,9.3,231450.0,119.0
04/02/2018,9.4,9.7,9.3,9.6,230495.0,103.0
04/03/2018,9.5,9.6,9.3,9.4,182245.0,106.0
04/04/2018,9.4,9.8,9.4,9.7,309148.0,102.0
04/05/2018,9.7,9.9,9.5,9.6,321075.0,167.0
04/08/2018,9.8,9.9,9.5,9.7,244652.0,115.0
04/09/2018,9.8,9.9,9.7,9.8,89478.0,78.0
04/10/2018,9.9,10.4,9.8,10.2,625210.0,283.0
04/11/2018,10.2,10.3,10.1,10.1,173367.0,134.0
04/12/2018,9.9,10.1,9.9,10.0,111272.0,80.0
04/15/2018,10.0,10.1,9.7,9.8,166981.0,83.0
04/16/2018,9.7,9.9,9.6,9.7,31949.0,27.0
04/17/2018,9.9,9.9,9.7,9.7,39734.0,35.0
04/18/2018,9.7,9.9,9.6,9.7,55001.0,45.0
04/19/2018,9.6,9.8,9.1,9.3,237607.0,154.0
04/22/2018,9.3,9.4,9.3,9.3,103069.0,80.0
04/23/2018,9.3,9.3,9.2,9.2,161999.0,71.0
04/24/2018,9.2,9.3,9.2,9.2,134911.0,69.0
04/25/2018,9.2,9.3,9.1,9.1,91728.0,60.0
