date,open,high,low,close,volume,trade
01/01/2018,34.6,35.7,34.2,34.7,350836.0,623.0
01/02/2018,34.5,35.3,34.5,34.9,88288.0,641.0
01/03/2018,34.9,35.6,34.8,35.0,419575.0,657.0
01/04/2018,35.0,37.5,35.0,36.7,803428.0,1067.0
01/07/2018,36.9,37.6,35.5,35.9,679496.0,894.0
01/08/2018,36.6,36.6,35.0,35.2,402723.0,588.0
01/09/2018,35.3,35.9,34.8,35.3,444051.0,585.0
01/10/2018,35.0,35.9,34.5,34.8,390656.0,610.0
01/11/2018,35.1,35.4,34.4,34.8,337253.0,599.0
01/14/2018,34.8,35.1,34.0,34.1,386889.0,628.0
01/15/2018,34.6,34.7,33.9,34.2,192250.0,525.0
01/16/2018,34.0,34.9,33.9,34.6,218417.0,624.0
01/17/2018,34.4,34.9,33.0,33.9,255550.0,508.0
01/18/2018,33.9,34.5,33.1,33.4,217887.0,505.0
01/21/2018,33.5,33.9,33.3,33.5,157461.0,371.0
01/22/2018,33.5,34.7,33.5,33.8,336901.0,670.0
01/23/2018,34.0,34.4,33.5,33.6,295780.0,439.0
01/24/2018,34.2,34.4,33.2,33.3,229281.0,448.0
01/25/2018,33.4,33.6,32.3,32.5,254869.0,534.0
01/28/2018,32.2,32.2,30.7,30.9,264152.0,552.0
01/29/2018,31.3,31.7,30.6,31.0,237329.0,385.0
01/30/2018,31.4,31.7,30.8,30.9,129306.0,293.0
01/31/2018,30.9,30.9,29.5,29.8,496150.0,691.0
02/01/2018,29.8,30.7,29.7,30.4,209200.0,380.0
02/04/2018,30.6,30.6,28.0,28.5,387865.0,561.0
02/05/2018,28.6,28.8,27.3,28.0,261363.0,501.0
02/06/2018,28.4,30.1,28.3,29.4,448755.0,682.0
02/07/2018,29.1,30.2,28.6,29.7,306538.0,577.0
02/08/2018,29.6,30.4,29.2,29.7,268149.0,506.0
02/11/2018,29.7,32.6,29.7,32.6,700103.0,1048.0
02/12/2018,32.7,33.1,31.6,31.7,515803.0,697.0
02/13/2018,31.7,33.4,31.7,32.8,658185.0,996.0
02/14/2018,33.9,36.0,33.3,36.0,1716573.0,1310.0
02/15/2018,36.9,38.0,36.0,37.4,1615426.0,2244.0
02/18/2018,37.9,41.1,37.9,41.1,1865085.0,2139.0
02/19/2018,41.3,42.6,40.5,41.5,1768270.0,2453.0
02/20/2018,41.7,42.5,38.6,39.0,1561174.0,2291.0
02/22/2018,39.6,41.3,39.4,40.2,1067427.0,1646.0
02/25/2018,40.4,41.2,38.1,38.3,1224618.0,1863.0
02/26/2018,38.3,40.7,38.3,39.7,1228581.0,1854.0
02/27/2018,40.0,41.0,38.6,39.2,847302.0,1317.0
02/28/2018,39.8,39.9,37.1,37.6,909212.0,1501.0
03/01/2018,37.9,38.8,37.2,38.3,666210.0,1174.0
03/04/2018,38.7,39.5,38.3,38.7,740592.0,1160.0
03/05/2018,38.9,40.8,38.5,40.3,1128634.0,1637.0
03/06/2018,40.8,40.8,39.0,39.1,692116.0,1145.0
03/07/2018,39.7,39.7,38.4,38.6,800277.0,1176.0
03/08/2018,38.8,39.3,38.3,38.9,333927.0,648.0
03/11/2018,39.4,39.4,38.0,38.1,362052.0,600.0
03/12/2018,38.3,38.3,36.2,36.7,658859.0,1147.0
03/13/2018,36.8,37.3,34.6,35.0,633936.0,859.0
03/14/2018,35.2,36.3,35.0,35.7,433238.0,820.0
03/15/2018,36.2,37.8,35.6,37.5,868793.0,1197.0
03/18/2018,38.3,40.7,38.3,39.9,1748126.0,2152.0
03/19/2018,40.2,41.4,39.3,39.7,1429772.0,1794.0
03/20/2018,39.0,40.3,38.7,39.0,865467.0,1205.0
03/21/2018,39.2,40.0,38.5,38.7,749603.0,1031.0
03/22/2018,39.2,40.3,38.5,39.7,823190.0,1146.0
03/25/2018,39.8,40.9,38.9,39.2,896174.0,1187.0
03/27/2018,39.2,39.3,36.8,37.0,908377.0,1494.0
03/28/2018,37.5,38.0,36.6,37.2,561550.0,902.0
03/29/2018,37.3,37.6,36.0,36.2,765954.0,1227.0
04/01/2018,36.4,37.5,36.4,37.1,488819.0,896.0
04/02/2018,37.6,38.3,37.1,37.4,863606.0,1199.0
04/03/2018,37.8,39.5,37.5,38.0,1033622.0,1523.0
04/04/2018,38.2,38.6,37.4,37.5,598788.0,907.0
04/05/2018,37.6,38.3,37.2,37.5,756339.0,1024.0
04/08/2018,37.7,37.9,37.2,37.5,798317.0,1035.0
04/09/2018,37.9,38.6,37.6,38.3,921155.0,1209.0
04/10/2018,38.4,38.5,36.9,37.0,1037555.0,1386.0
04/11/2018,37.3,37.5,36.0,36.1,807973.0,1129.0
04/12/2018,36.4,36.6,35.2,35.4,529270.0,955.0
04/15/2018,35.4,35.6,34.2,34.3,616869.0,936.0
04/16/2018,34.5,34.9,33.0,34.3,522533.0,884.0
04/17/2018,34.9,35.3,33.8,34.0,469202.0,693.0
04/18/2018,34.4,34.4,33.0,33.2,413255.0,686.0
04/19/2018,33.0,33.6,32.4,32.7,431476.0,751.0
04/22/2018,32.5,33.8,31.2,33.3,632385.0,1125.0
04/23/2018,33.9,34.8,33.4,34.0,559362.0,1025.0
04/24/2018,34.3,34.3,32.4,32.8,391616.0,741.0
04/25/2018,32.9,33.6,32.5,32.7,352602.0,737.0
04/26/2018,33.1,33.1,32.4,32.8,274267.0,448.0
04/30/2018,32.8,33.0,31.5,31.7,303553.0,530.0
05/03/2018,32.2,32.7,31.2,32.1,310650.0,537.0
05/06/2018,32.6,34.8,32.6,34.1,811631.0,1256.0
05/07/2018,34.1,34.1,33.1,33.2,316889.0,548.0
05/08/2018,33.2,33.5,32.0,32.2,343372.0,611.0
05/09/2018,32.7,33.5,32.7,32.9,325318.0,578.0
05/10/2018,33.2,33.3,32.4,32.7,216094.0,342.0
05/13/2018,33.1,33.3,32.2,32.3,222745.0,371.0
05/14/2018,32.5,33.0,32.3,32.5,289921.0,424.0
05/15/2018,32.7,33.4,32.3,33.0,507087.0,716.0
05/16/2018,33.0,34.8,33.0,33.5,995503.0,1538.0
05/17/2018,33.4,33.7,32.2,32.4,392568.0,615.0
05/20/2018,32.6,33.0,31.9,32.3,416174.0,610.0
05/21/2018,32.6,32.8,31.9,32.1,289203.0,436.0
05/22/2018,32.5,33.6,32.2,33.3,565359.0,958.0
05/23/2018,33.5,36.2,33.5,35.7,1837335.0,2412.0
05/24/2018,36.3,36.9,35.2,35.5,1255029.0,1515.0
05/27/2018,35.6,35.7,34.0,34.2,874063.0,1223.0
05/28/2018,34.4,35.8,34.1,35.4,679219.0,967.0
05/29/2018,35.9,36.6,34.7,34.9,1007139.0,1333.0
05/30/2018,34.8,35.5,34.1,34.4,425515.0,679.0
05/31/2018,34.4,34.9,33.9,34.0,352372.0,571.0
06/03/2018,34.2,34.4,32.7,33.0,486843.0,779.0
06/04/2018,33.2,34.2,33.1,33.3,365722.0,560.0
06/05/2018,33.4,33.9,33.3,33.5,259162.0,437.0
06/06/2018,33.5,33.9,32.7,32.9,391664.0,537.0
06/07/2018,33.0,35.9,32.5,33.8,755889.0,1194.0
06/10/2018,34.3,35.4,34.2,35.0,760939.0,1040.0
06/11/2018,35.2,35.9,33.9,34.1,490490.0,734.0
06/12/2018,34.8,34.8,33.4,33.6,389167.0,599.0
06/18/2018,33.8,34.2,33.1,33.4,311977.0,497.0
06/19/2018,33.5,34.5,33.4,33.5,379034.0,575.0
06/20/2018,33.7,34.6,33.5,33.7,515209.0,631.0
06/21/2018,34.3,35.8,34.3,34.6,1468615.0,1550.0
06/24/2018,34.9,36.8,34.9,35.9,1515834.0,1745.0
06/25/2018,36.3,37.8,36.3,36.5,1605427.0,1993.0
06/26/2018,37.1,37.1,35.2,35.4,905985.0,1024.0
06/27/2018,35.8,36.3,34.6,34.9,1019321.0,1174.0
06/28/2018,35.0,35.1,33.5,33.8,898179.0,1207.0
07/02/2018,34.0,35.3,33.6,33.7,759268.0,933.0
07/03/2018,34.2,35.0,33.2,33.5,454285.0,630.0
07/04/2018,34.2,35.4,33.8,35.2,958239.0,1190.0
07/05/2018,36.3,36.9,35.1,35.3,1261776.0,1417.0
07/08/2018,35.5,35.8,34.1,34.3,823932.0,1133.0
07/09/2018,34.5,35.2,34.1,34.5,469747.0,710.0
07/10/2018,35.0,36.2,34.9,35.5,869075.0,960.0
07/11/2018,35.6,39.0,35.6,38.8,1796256.0,1578.0
07/12/2018,39.8,40.8,36.7,37.4,1230271.0,1586.0
07/15/2018,38.4,38.6,36.0,36.2,1061124.0,1330.0
07/16/2018,36.6,37.4,35.2,35.5,726494.0,842.0
07/17/2018,36.0,36.2,35.0,35.2,431871.0,633.0
07/18/2018,36.9,37.3,35.4,36.7,850779.0,1019.0
07/19/2018,36.1,36.7,35.0,35.5,730379.0,828.0
07/22/2018,35.7,36.0,34.6,34.8,510410.0,727.0
07/23/2018,34.8,35.4,34.2,34.3,403603.0,567.0
07/24/2018,34.4,35.3,34.2,34.6,285129.0,548.0
07/25/2018,34.4,35.2,33.9,34.0,446409.0,659.0
07/26/2018,34.5,34.6,33.5,33.7,408972.0,599.0
07/29/2018,33.9,34.2,33.0,33.1,373892.0,450.0
07/30/2018,33.5,33.5,32.1,32.1,402750.0,
07/31/2018,32.2,33.6,32.2,32.8,397170.0,580.0
08/01/2018,33.3,33.7,32.3,32.5,336755.0,482.0
08/02/2018,32.8,33.0,32.0,32.2,463066.0,682.0
08/05/2018,32.3,32.4,31.6,31.7,358158.0,467.0
08/06/2018,31.7,31.7,30.1,30.3,433448.0,760.0
08/07/2018,30.5,31.1,28.7,28.8,542324.0,943.0
08/08/2018,28.8,29.3,27.7,27.9,584156.0,949.0
08/09/2018,28.0,28.2,26.6,26.9,416826.0,635.0
08/12/2018,26.9,29.5,26.8,29.5,540253.0,787.0
08/13/2018,30.0,30.9,27.2,28.1,760958.0,1100.0
08/14/2018,27.8,28.1,26.9,27.1,352796.0,587.0
08/16/2018,27.2,27.7,26.4,26.8,274655.0,439.0
08/19/2018,26.9,26.9,25.5,25.7,300833.0,435.0
08/20/2018,25.7,26.6,25.7,26.4,140274.0,275.0
08/26/2018,26.7,27.0,26.1,26.5,95183.0,202.0
08/27/2018,26.7,28.1,26.6,27.8,243004.0,567.0
08/28/2018,27.8,28.7,27.2,28.3,330800.0,528.0
08/29/2018,28.1,28.2,27.1,27.3,247429.0,380.0
08/30/2018,27.7,27.7,26.7,26.9,232967.0,387.0
09/03/2018,27.0,27.1,25.2,25.5,543989.0,806.0
09/04/2018,25.7,26.2,25.2,25.5,217967.0,355.0
09/05/2018,25.7,25.9,25.5,25.6,176864.0,245.0
09/06/2018,25.7,26.1,25.4,25.4,129789.0,280.0
09/09/2018,25.7,25.7,25.3,25.4,244444.0,263.0
09/10/2018,25.5,25.7,25.3,25.4,271907.0,268.0
09/11/2018,25.4,25.9,25.3,25.6,209483.0,269.0
09/12/2018,25.6,25.8,25.4,25.6,273731.0,318.0
09/13/2018,25.7,28.2,25.7,28.2,721086.0,811.0
09/16/2018,29.4,31.0,28.8,31.0,1528728.0,1322.0
09/17/2018,31.8,34.0,31.8,34.0,2364622.0,1411.0
09/18/2018,34.6,37.4,33.9,37.4,2388620.0,2282.0
09/19/2018,37.9,38.5,35.3,36.9,1323009.0,1715.0
09/20/2018,37.1,37.2,34.2,34.5,1102829.0,1152.0
09/23/2018,35.0,37.9,33.8,37.3,2405335.0,2022.0
09/24/2018,37.7,38.0,33.6,33.6,1037574.0,1365.0
09/25/2018,34.2,35.1,31.1,34.5,1138379.0,1177.0
09/26/2018,34.7,36.7,33.6,33.9,569336.0,959.0
09/27/2018,34.0,37.2,33.4,36.4,1417822.0,1527.0
09/30/2018,36.8,37.3,32.9,33.6,772054.0,1139.0
10/01/2018,33.1,34.0,32.1,32.6,728790.0,1139.0
10/02/2018,33.0,35.8,33.0,35.8,461824.0,613.0
10/03/2018,37.4,37.9,33.8,34.5,888973.0,1094.0
10/04/2018,34.0,36.0,34.0,35.1,547095.0,770.0
10/07/2018,35.8,36.7,35.1,35.5,1090268.0,0.0
10/08/2018,36.1,37.2,35.5,35.6,944075.0,
10/09/2018,35.9,36.4,34.4,34.8,848557.0,
10/10/2018,34.5,37.8,34.5,36.8,1197548.0,22.0
10/11/2018,36.9,40.4,36.5,39.5,1859835.0,2071.0
10/14/2018,39.8,42.7,37.4,41.4,1397429.0,1617.0
10/15/2018,41.6,43.0,39.8,40.8,1277279.0,1903.0
10/16/2018,40.8,42.1,40.8,41.7,739092.0,975.0
10/17/2018,41.7,42.4,37.6,37.6,1964761.0,2231.0
10/18/2018,37.1,37.1,35.0,36.0,806809.0,917.0
10/21/2018,36.0,36.8,33.0,35.2,1185586.0,1526.0
10/22/2018,35.0,35.7,33.3,33.6,447313.0,721.0
10/23/2018,34.4,35.2,31.4,34.7,653318.0,1093.0
10/24/2018,35.8,36.6,34.5,35.5,550389.0,857.0
10/25/2018,35.7,35.7,32.7,33.0,424447.0,
10/28/2018,30.1,33.1,30.1,31.8,239922.0,
10/29/2018,32.0,38.1,32.0,37.3,999604.0,
10/30/2018,37.9,38.4,36.2,36.6,612395.0,
10/31/2018,36.6,39.7,35.9,38.3,1084013.0,
11/01/2018,38.7,40.7,38.1,38.3,1217394.0,
11/04/2018,38.6,40.3,38.0,39.0,867770.0,
11/05/2018,39.8,41.6,38.9,41.0,870453.0,
11/06/2018,41.3,42.5,40.1,41.1,1561297.0,
11/07/2018,41.8,41.9,40.2,40.5,1143970.0,
11/08/2018,40.5,41.4,39.9,40.4,1188106.0,1759.0
11/11/2018,41.0,44.4,40.5,44.4,1934804.0,2217.0
11/12/2018,45.1,45.8,41.7,41.9,1214521.0,1799.0
11/13/2018,42.1,42.6,40.0,40.6,1348505.0,1900.0
11/14/2018,40.8,43.1,40.7,42.7,567815.0,978.0
11/15/2018,41.3,41.7,38.7,39.1,1185096.0,1885.0
11/18/2018,41.3,41.7,38.7,39.1,1185096.0,0.0
11/19/2018,40.7,43.0,40.7,42.0,1474141.0,1641.0
11/20/2018,42.4,42.8,38.9,39.2,917474.0,1317.0
11/22/2018,38.0,39.4,36.1,38.4,731736.0,1093.0
11/25/2018,38.3,39.8,37.8,38.8,434071.0,790.0
11/26/2018,39.0,39.0,36.8,37.1,932532.0,1159.0
11/27/2018,37.4,38.0,36.8,37.0,365982.0,639.0
11/28/2018,37.6,38.8,37.1,37.4,402940.0,718.0
11/29/2018,37.6,38.4,36.8,37.0,430068.0,715.0
12/02/2018,37.6,40.7,37.5,40.2,1052396.0,1423.0
12/03/2018,40.3,41.4,39.2,39.4,675846.0,1004.0
12/04/2018,39.8,40.9,39.0,39.2,577151.0,965.0
12/05/2018,39.5,39.9,37.9,38.3,360483.0,722.0
12/06/2018,38.2,38.9,37.3,37.6,346122.0,589.0
12/09/2018,38.2,38.7,37.6,37.9,220041.0,397.0
12/10/2018,38.5,39.7,38.2,39.4,681515.0,1044.0
12/11/2018,39.5,40.1,38.4,39.0,502804.0,790.0
12/12/2018,39.4,40.5,38.5,39.1,510234.0,782.0
12/13/2018,39.4,39.9,37.7,38.1,293745.0,461.0
12/17/2018,38.3,38.3,36.6,36.8,275301.0,437.0
12/18/2018,37.9,37.9,36.2,37.8,401616.0,582.0
12/19/2018,38.1,38.8,37.7,38.4,446528.0,606.0
12/20/2018,38.7,38.7,37.7,37.9,180589.0,349.0
12/23/2018,38.1,41.2,38.1,39.9,675716.0,1003.0
12/24/2018,40.3,41.3,40.1,40.8,895226.0,1535.0
12/26/2018,40.9,43.0,40.9,42.1,1304901.0,1861.0
12/27/2018,42.5,42.6,40.3,41.4,740779.0,1061.0
01/01/2019,42.1,42.4,40.8,41.5,590495.0,905.0
01/02/2019,42.2,42.7,41.4,41.9,955730.0,1265.0
01/03/2019,42.5,44.4,41.5,44.0,1302921.0,1899.0
01/06/2019,44.5,44.9,42.7,43.0,1173893.0,1614.0
01/07/2019,43.0,43.5,41.6,41.8,736651.0,1180.0
01/08/2019,42.2,42.4,40.5,40.9,869986.0,1347.0
01/09/2019,41.0,42.2,40.5,40.7,485761.0,862.0
01/10/2019,41.2,41.7,40.5,40.7,490918.0,847.0
01/13/2019,41.2,41.5,40.3,40.4,728949.0,1157.0
01/14/2019,40.5,41.1,39.1,39.4,838470.0,1333.0
01/15/2019,39.8,41.6,39.7,41.1,672347.0,1180.0
01/16/2019,41.2,41.3,39.3,39.6,579217.0,1168.0
01/17/2019,39.6,39.7,38.9,39.1,430476.0,881.0
01/20/2019,39.2,40.0,38.9,39.3,445114.0,718.0
01/21/2019,39.4,39.8,38.2,38.5,395026.0,655.0
01/22/2019,38.5,39.6,38.2,38.4,214098.0,450.0
01/23/2019,38.6,38.8,37.9,38.1,426379.0,661.0
01/24/2019,38.3,38.3,37.4,37.5,455900.0,716.0
01/27/2019,37.6,38.0,36.3,36.6,349073.0,606.0
01/28/2019,37.2,37.7,36.7,37.2,304118.0,582.0
01/29/2019,37.1,37.7,36.4,36.6,325323.0,496.0
01/30/2019,36.7,40.0,36.5,39.7,682380.0,1285.0
01/31/2019,39.7,41.0,37.7,38.2,555902.0,1007.0
02/03/2019,38.6,39.5,37.5,38.8,293020.0,607.0
02/04/2019,39.2,39.9,38.8,39.0,466619.0,759.0
02/05/2019,39.0,39.3,38.2,38.4,166711.0,453.0
02/06/2019,39.0,39.0,38.0,38.3,212876.0,397.0
02/07/2019,38.5,39.0,38.4,38.8,138772.0,309.0
02/10/2019,39.0,40.4,38.6,40.2,642244.0,1008.0
02/11/2019,40.4,40.9,38.9,39.2,469608.0,
02/12/2019,39.2,39.4,38.2,38.4,378625.0,628.0
02/13/2019,38.4,39.4,38.3,38.7,186213.0,234.0
02/14/2019,39.0,39.0,38.3,38.6,227114.0,274.0
02/17/2019,38.8,39.2,37.5,37.6,334591.0,469.0
02/18/2019,37.6,39.3,37.6,38.2,348504.0,661.0
02/19/2019,38.7,39.0,37.6,38.7,239775.0,396.0
02/20/2019,39.2,39.2,38.1,38.3,190898.0,238.0
02/24/2019,38.6,38.6,37.5,37.6,183985.0,269.0
02/25/2019,37.3,38.1,37.3,37.8,100659.0,229.0
02/26/2019,37.7,38.0,37.6,37.7,138173.0,216.0
02/27/2019,37.7,37.9,37.4,37.6,132096.0,254.0
03/03/2019,37.5,38.2,37.5,37.8,164177.0,359.0
03/04/2019,37.7,38.6,37.7,38.4,225187.0,468.0
03/05/2019,38.4,39.1,37.8,38.0,257366.0,448.0
03/06/2019,38.2,38.2,37.6,37.8,121093.0,
03/07/2019,38.1,38.1,37.4,37.6,76468.0,
03/10/2019,38.0,38.2,37.6,37.8,123079.0,
03/11/2019,37.8,38.6,37.8,37.8,128172.0,
03/12/2019,37.9,38.0,37.3,37.4,112286.0,
03/13/2019,37.8,37.8,35.4,36.2,290688.0,
03/14/2019,36.0,36.9,34.8,35.5,94170.0,
03/18/2019,36.3,36.3,34.5,35.7,86601.0,
03/19/2019,36.3,37.3,35.8,37.1,96520.0,
03/20/2019,37.1,37.6,36.5,37.0,134477.0,
03/21/2019,37.5,39.7,37.1,39.4,602526.0,
03/24/2019,39.4,39.9,38.6,38.9,254184.0,
03/25/2019,38.1,39.4,38.0,38.7,135974.0,
03/27/2019,38.5,39.1,38.4,38.9,108997.0,
03/28/2019,39.0,40.2,39.0,39.5,348228.0,
03/31/2019,39.5,39.8,38.5,38.9,144578.0,
04/01/2019,38.3,39.5,38.3,38.8,103502.0,
04/02/2019,38.6,39.3,38.6,38.8,57672.0,
04/03/2019,39.3,39.3,38.2,38.5,95936.0,
04/04/2019,38.8,39.3,38.1,38.3,66379.0,
04/07/2019,38.0,38.5,37.0,37.4,81016.0,
04/08/2019,37.0,38.8,36.8,37.0,96199.0,
04/09/2019,37.1,37.4,36.2,37.1,58151.0,
04/10/2019,37.1,39.4,37.0,38.8,209462.0,
04/11/2019,38.5,39.5,38.5,39.0,161170.0,
04/15/2019,38.4,39.6,38.4,39.2,128780.0,
04/16/2019,39.0,40.3,39.0,39.9,673821.0,
04/17/2019,39.9,43.2,39.9,42.7,860476.0,1316.0
04/18/2019,43.2,43.2,41.7,42.8,699619.0,1129.0
04/21/2019,43.5,44.3,42.1,43.4,772482.0,1205.0
04/23/2019,42.5,43.6,40.9,41.4,483888.0,799.0
04/24/2019,41.6,45.5,41.1,45.5,1283370.0,1293.0
04/25/2019,47.2,48.0,44.2,45.6,1784003.0,2163.0
04/28/2019,45.6,47.9,43.7,46.3,1398148.0,2005.0
04/29/2019,46.5,46.9,44.9,45.6,730031.0,1133.0
04/30/2019,46.0,46.8,44.1,44.7,1042133.0,1659.0
05/02/2019,44.7,45.9,44.2,45.0,947137.0,1328.0
05/05/2019,45.6,47.3,45.5,45.9,918358.0,1634.0
05/06/2019,46.1,47.7,45.6,47.0,1369705.0,2061.0
05/07/2019,47.5,48.8,44.4,45.3,1858305.0,2606.0
05/08/2019,45.5,45.8,44.1,44.9,828551.0,1321.0
05/09/2019,45.5,46.7,43.5,43.9,2094260.0,2734.0
05/12/2019,44.4,44.7,42.0,42.2,1163961.0,1711.0
05/13/2019,43.5,44.2,42.0,42.5,627088.0,936.0
05/14/2019,42.5,43.4,42.2,42.8,444121.0,861.0
05/15/2019,42.9,43.4,41.9,42.2,517075.0,800.0
05/16/2019,42.5,42.7,41.4,41.7,411324.0,756.0
05/19/2019,42.2,43.4,41.8,42.6,620000.0,1051.0
05/20/2019,43.2,43.2,41.1,41.4,470720.0,916.0
05/21/2019,41.5,41.6,40.4,40.6,521014.0,1116.0
05/22/2019,41.5,42.7,41.5,42.1,855102.0,1104.0
05/23/2019,42.5,42.6,41.4,41.6,458050.0,782.0
05/26/2019,41.6,41.6,40.3,40.6,593217.0,975.0
05/27/2019,41.0,41.0,39.7,40.0,388577.0,678.0
05/28/2019,40.0,41.2,40.0,40.7,280694.0,596.0
05/29/2019,41.3,41.5,40.3,40.7,399257.0,610.0
05/30/2019,40.7,41.0,39.8,40.1,599406.0,874.0
06/09/2019,40.1,40.8,39.6,39.8,271533.0,526.0
06/10/2019,39.9,40.8,39.9,40.0,269331.0,609.0
06/11/2019,40.3,41.7,40.3,41.5,624868.0,934.0
06/12/2019,41.7,41.7,40.6,40.8,380145.0,672.0
06/13/2019,40.8,41.0,39.8,40.1,470646.0,803.0
06/16/2019,40.5,40.7,39.2,40.0,452427.0,637.0
06/17/2019,39.9,40.5,38.5,38.8,649880.0,925.0
06/18/2019,38.7,39.7,38.5,38.9,294413.0,534.0
06/19/2019,39.0,39.6,38.6,38.7,259659.0,489.0
06/20/2019,38.7,39.3,38.1,38.2,225139.0,447.0
06/23/2019,38.9,39.7,38.1,39.4,287634.0,568.0
06/24/2019,39.6,40.1,39.1,39.1,228648.0,397.0
06/25/2019,39.1,41.4,39.0,40.9,733773.0,1237.0
06/26/2019,41.0,41.7,40.6,41.3,584639.0,922.0
06/27/2019,41.2,41.6,41.0,41.4,376413.0,649.0
06/30/2019,41.6,41.8,40.6,40.9,569980.0,876.0
07/02/2019,40.6,41.5,40.2,40.4,300250.0,545.0
07/03/2019,40.1,40.8,39.5,39.6,278184.0,437.0
07/04/2019,39.0,40.2,39.0,39.5,226638.0,427.0
07/07/2019,39.4,40.4,39.3,39.6,170317.0,260.0
07/08/2019,39.6,40.4,39.0,39.4,245003.0,428.0
07/09/2019,39.1,39.5,38.3,38.4,326633.0,530.0
07/10/2019,38.0,38.8,36.8,37.0,267764.0,421.0
07/11/2019,36.5,38.2,36.5,37.3,182360.0,372.0
07/14/2019,37.4,38.8,37.1,37.2,102985.0,208.0
07/15/2019,37.6,37.9,36.4,36.8,83402.0,188.0
07/16/2019,36.0,37.3,35.0,36.7,230812.0,336.0
07/17/2019,36.4,38.3,35.9,38.0,346808.0,521.0
07/18/2019,37.5,39.0,37.1,38.0,231870.0,380.0
07/21/2019,37.9,38.0,36.8,37.0,289830.0,387.0
07/22/2019,37.0,37.3,36.3,36.8,186313.0,328.0
07/23/2019,36.8,39.0,36.8,38.3,171817.0,260.0
07/24/2019,37.5,39.1,37.5,38.8,206936.0,325.0
