date,open,high,low,close,volume,trade
01/01/2018,28.8,29.4,28.8,29.2,545186.0,520.0
01/02/2018,29.5,29.5,29.2,29.3,95965.0,577.0
01/03/2018,29.5,30.0,29.4,29.7,1351904.0,1079.0
01/04/2018,29.4,30.0,29.3,29.4,816132.0,682.0
01/07/2018,29.5,29.6,29.0,29.1,732056.0,576.0
01/08/2018,29.1,29.3,28.8,28.9,584301.0,501.0
01/09/2018,29.0,29.3,28.8,28.9,654497.0,602.0
01/10/2018,29.0,29.0,28.3,28.5,956951.0,1045.0
01/11/2018,28.5,28.9,28.3,28.6,1001444.0,1323.0
01/14/2018,28.8,28.9,28.1,28.2,597667.0,763.0
01/15/2018,28.4,28.6,27.3,27.4,1056484.0,962.0
01/16/2018,27.7,27.9,27.3,27.7,789502.0,763.0
01/17/2018,27.7,27.9,27.1,27.2,851874.0,692.0
01/18/2018,27.3,27.4,26.9,27.1,768144.0,610.0
01/21/2018,27.2,27.3,26.5,26.6,629833.0,693.0
01/22/2018,26.8,26.9,26.1,26.6,1146621.0,1243.0
01/23/2018,26.9,27.2,26.6,26.6,712154.0,745.0
01/24/2018,26.9,26.9,25.9,26.1,967954.0,1065.0
01/25/2018,26.4,27.1,26.4,26.7,1426773.0,1378.0
01/28/2018,26.7,26.7,26.3,26.4,403931.0,440.0
01/29/2018,26.4,26.6,26.1,26.4,397502.0,489.0
01/30/2018,26.6,26.8,25.9,26.1,743729.0,776.0
01/31/2018,26.5,26.5,24.4,24.8,904471.0,909.0
02/01/2018,25.1,25.3,24.4,24.5,1063779.0,871.0
02/04/2018,24.6,24.7,23.1,23.2,923230.0,780.0
02/05/2018,23.4,23.7,22.7,23.2,1289260.0,932.0
02/06/2018,23.3,23.8,23.3,23.5,848629.0,719.0
02/07/2018,23.3,23.3,23.0,23.0,711406.0,650.0
02/08/2018,23.1,23.3,22.8,23.0,463728.0,398.0
02/11/2018,23.0,24.5,23.0,24.3,1799935.0,1515.0
02/12/2018,24.5,24.9,23.8,24.1,1056696.0,905.0
02/13/2018,23.9,24.7,23.7,24.6,1590851.0,1214.0
