date,open,high,low,close,volume,trade
01/01/2018,18.2,18.4,17.9,18.2,1090305.0,617.0
01/02/2018,18.3,18.5,18.3,18.5,370146.0,803.0
01/03/2018,18.9,19.0,18.5,18.5,1156921.0,549.0
01/04/2018,18.5,18.8,18.5,18.6,1639530.0,732.0
01/07/2018,18.9,19.1,18.6,18.9,1994235.0,666.0
01/08/2018,19.0,19.5,19.0,19.3,4026597.0,1684.0
01/09/2018,19.2,19.3,18.9,19.1,1886860.0,646.0
01/10/2018,19.2,19.2,18.5,18.6,1581519.0,757.0
01/11/2018,18.7,18.8,18.4,18.5,1324933.0,696.0
01/14/2018,18.5,18.6,18.0,18.1,1347891.0,597.0
01/15/2018,18.2,18.4,17.8,17.9,697807.0,511.0
01/16/2018,18.0,18.4,17.8,18.1,1054462.0,498.0
01/17/2018,18.3,18.3,17.7,17.8,948719.0,462.0
01/18/2018,18.0,18.0,17.6,17.7,732860.0,388.0
01/21/2018,17.8,17.9,17.6,17.7,745398.0,322.0
01/22/2018,17.7,17.9,17.6,17.7,675013.0,356.0
01/23/2018,17.8,17.9,17.4,17.5,1039156.0,709.0
01/24/2018,17.5,17.6,17.2,17.3,885028.0,725.0
01/25/2018,17.3,17.5,17.1,17.2,661327.0,419.0
01/28/2018,17.2,17.2,16.5,16.6,561027.0,407.0
01/29/2018,16.8,17.5,16.8,17.3,2066205.0,915.0
01/30/2018,17.5,17.6,17.0,17.1,948898.0,500.0
01/31/2018,17.0,17.0,16.5,16.5,1647977.0,742.0
02/01/2018,16.8,17.0,16.5,16.6,927108.0,509.0
02/04/2018,16.6,16.7,16.2,16.3,1336034.0,474.0
02/05/2018,16.5,16.5,15.9,16.4,1027576.0,458.0
02/06/2018,16.5,16.7,16.3,16.5,799741.0,404.0
02/07/2018,16.5,16.5,16.2,16.3,748704.0,387.0
02/08/2018,16.2,16.4,16.0,16.2,545083.0,278.0
02/11/2018,16.5,16.9,16.4,16.8,1119230.0,532.0
02/12/2018,16.9,17.0,16.5,16.5,827235.0,488.0
02/13/2018,16.6,17.4,16.5,17.2,2096198.0,1057.0
02/14/2018,17.7,18.8,17.5,18.8,8041611.0,1869.0
02/15/2018,19.1,19.4,18.6,18.8,5009186.0,1881.0
02/18/2018,18.8,19.9,18.6,19.5,8516695.0,2861.0
02/19/2018,19.7,19.9,18.9,19.1,3627481.0,1460.0
02/20/2018,19.3,19.5,18.1,18.3,5342390.0,1668.0
02/22/2018,18.5,18.8,18.2,18.3,2262054.0,905.0
02/25/2018,18.5,18.5,17.3,17.5,2926390.0,1144.0
02/26/2018,17.6,17.8,17.2,17.5,1406617.0,751.0
02/27/2018,17.6,18.0,17.5,17.6,1958565.0,729.0
02/28/2018,17.7,17.8,17.0,17.2,2398239.0,1017.0
03/01/2018,17.2,17.9,17.2,17.6,1752517.0,695.0
03/04/2018,17.8,18.4,17.8,18.0,2872111.0,1105.0
03/05/2018,18.0,18.2,17.5,17.7,1772623.0,786.0
03/06/2018,17.8,17.9,17.5,17.7,1475648.0,660.0
03/07/2018,17.7,18.5,17.7,18.3,3681681.0,1433.0
