date,open,high,low,close,volume,trade
01/01/2018,393.9,394.5,382.6,383.7,65069.0,1641.0
01/02/2018,383.4,383.4,374.1,374.8,29467.0,1935.0
01/03/2018,378.3,401.7,374.0,393.6,97694.0,2235.0
01/04/2018,394.8,400.0,386.4,388.1,56271.0,1295.0
01/07/2018,391.3,392.0,380.9,382.1,52952.0,1331.0
01/08/2018,382.9,388.4,379.1,380.5,42360.0,949.0
01/09/2018,381.7,387.0,378.3,379.3,32609.0,980.0
01/10/2018,380.9,381.4,375.0,376.9,30956.0,806.0
01/11/2018,377.6,380.7,372.9,375.0,41739.0,1094.0
01/14/2018,375.8,377.6,369.6,370.0,39079.0,1083.0
01/15/2018,370.0,373.9,364.5,365.3,26083.0,860.0
01/16/2018,366.1,369.6,362.6,367.5,35855.0,961.0
01/17/2018,369.7,372.2,367.7,367.9,26858.0,686.0
01/18/2018,368.1,379.1,367.8,374.4,48167.0,1170.0
01/21/2018,378.1,381.7,374.3,375.7,34613.0,894.0
01/22/2018,377.4,377.4,364.3,365.8,140564.0,2336.0
01/23/2018,367.4,371.8,366.9,370.1,35019.0,898.0
01/24/2018,371.3,373.7,363.0,363.7,72386.0,1868.0
01/25/2018,366.1,366.7,361.9,362.8,36606.0,1008.0
01/28/2018,363.0,364.8,354.3,355.8,40623.0,1188.0
01/29/2018,356.5,360.0,352.2,354.8,39392.0,919.0
01/30/2018,354.8,358.7,347.0,348.8,44446.0,1189.0
01/31/2018,348.8,349.6,330.4,337.7,42677.0,1138.0
02/01/2018,339.1,346.6,332.3,337.5,39468.0,802.0
02/04/2018,342.5,343.5,323.5,324.6,34195.0,803.0
02/05/2018,326.5,328.7,314.6,316.0,55244.0,1219.0
02/06/2018,319.7,323.4,315.9,320.3,31773.0,836.0
02/07/2018,320.4,337.4,316.5,334.3,66531.0,1663.0
02/08/2018,330.8,343.3,330.8,341.6,63440.0,1688.0
02/11/2018,342.2,358.2,342.2,354.3,80151.0,1584.0
02/12/2018,356.5,360.9,350.3,351.7,67513.0,1502.0
02/13/2018,354.8,354.8,345.6,347.7,60000.0,1365.0
02/14/2018,350.3,366.5,347.8,364.4,100405.0,1892.0
02/15/2018,367.0,370.4,357.4,360.3,52136.0,1026.0
