date,open,high,low,close,volume,trade
02/06/2019,40.8,53.6,40.0,51.4,8965028.0,0.0
02/07/2019,51.8,56.1,49.5,50.4,1424238.0,3676.0
02/10/2019,49.4,50.5,45.4,45.7,4004565.0,4766.0
02/11/2019,43.7,49.8,41.8,48.5,2504763.0,
02/12/2019,48.5,50.5,45.5,47.1,2715596.0,3440.0
02/13/2019,47.0,49.7,45.6,47.7,2276769.0,3310.0
02/14/2019,49.5,49.9,44.3,44.7,2459097.0,3435.0
02/17/2019,45.0,46.5,42.8,44.6,1529254.0,2098.0
02/18/2019,45.4,46.0,42.7,43.0,1180671.0,2048.0
02/19/2019,42.8,44.0,41.4,42.0,1268538.0,1951.0
02/20/2019,42.5,42.9,40.7,41.0,1205476.0,1626.0
02/24/2019,41.6,41.7,39.5,39.7,783252.0,1324.0
02/25/2019,39.7,42.6,39.7,41.5,1219467.0,1909.0
02/26/2019,44.1,44.1,39.6,40.0,885162.0,1275.0
02/27/2019,40.4,40.5,38.3,38.8,1149891.0,1539.0
03/03/2019,39.8,40.7,39.2,39.4,575009.0,1080.0
03/04/2019,40.5,42.3,39.4,41.2,1548509.0,2197.0
03/05/2019,41.5,41.5,39.3,39.5,614945.0,1013.0
03/06/2019,39.9,41.2,39.5,40.9,989113.0,
03/07/2019,41.3,43.0,40.8,41.5,1498428.0,
03/10/2019,41.8,42.5,41.2,41.5,756496.0,
03/11/2019,41.8,42.7,41.5,42.4,886314.0,
03/12/2019,42.7,44.9,42.7,43.2,1565582.0,
03/13/2019,43.9,43.9,41.4,41.5,947956.0,
03/14/2019,42.1,42.1,37.8,38.4,1919957.0,
03/18/2019,38.6,39.4,38.0,39.0,485116.0,
03/19/2019,39.1,40.3,39.1,39.6,480048.0,
03/20/2019,40.4,40.5,38.8,39.1,518743.0,
03/21/2019,38.5,39.5,38.0,38.6,445423.0,
03/24/2019,38.9,39.2,38.1,38.3,238861.0,
03/25/2019,38.5,39.5,38.5,38.7,424482.0,
03/27/2019,38.6,40.2,38.6,39.5,485096.0,
03/28/2019,39.5,40.4,38.9,39.1,348641.0,
03/31/2019,39.1,39.7,37.9,38.0,358464.0,
04/01/2019,38.2,38.5,37.6,38.0,412292.0,
04/02/2019,38.5,38.7,37.8,38.0,382795.0,
04/03/2019,38.0,38.2,36.0,36.2,811181.0,
04/04/2019,36.5,37.5,35.2,36.9,583909.0,
04/07/2019,37.1,37.1,34.4,34.8,695900.0,
04/08/2019,34.8,35.2,33.4,33.5,568436.0,
04/09/2019,33.5,34.5,32.7,33.2,280597.0,
04/10/2019,33.4,34.1,31.8,32.4,252332.0,
04/11/2019,32.8,33.2,32.1,32.5,328322.0,
04/15/2019,32.5,33.3,31.8,32.0,202438.0,
04/16/2019,32.0,32.2,30.9,31.5,253929.0,
04/17/2019,32.0,32.0,29.5,30.5,365050.0,489.0
04/18/2019,28.9,32.5,28.9,32.1,581468.0,604.0
04/21/2019,32.4,33.5,32.3,32.7,377297.0,500.0
04/23/2019,32.7,32.7,30.2,30.6,800537.0,907.0
04/24/2019,30.0,33.0,29.5,32.4,690171.0,834.0
04/25/2019,32.5,35.5,32.5,35.5,1593718.0,1368.0
04/28/2019,36.2,39.1,35.7,39.1,1780707.0,1381.0
04/29/2019,40.0,40.0,37.6,38.2,2506556.0,1384.0
04/30/2019,39.4,42.0,38.6,39.7,3354487.0,1939.0
05/02/2019,39.7,43.6,39.4,43.6,1811312.0,1473.0
05/05/2019,43.6,45.0,41.8,42.3,2376081.0,2011.0
05/06/2019,42.6,46.4,41.5,45.4,2121628.0,1809.0
05/07/2019,45.0,45.8,43.3,43.6,1165539.0,1079.0
05/08/2019,44.1,45.3,42.9,44.5,1597176.0,1257.0
05/09/2019,45.5,46.2,42.9,43.5,1981035.0,1797.0
05/12/2019,43.6,43.6,41.8,42.0,1316432.0,1331.0
05/13/2019,41.8,43.0,41.2,41.4,693675.0,802.0
05/14/2019,41.8,43.3,40.5,42.7,912903.0,1137.0
05/15/2019,42.8,43.3,41.4,41.6,551710.0,663.0
05/16/2019,41.8,43.1,41.8,42.4,348066.0,527.0
05/19/2019,42.9,43.5,41.9,42.3,556166.0,605.0
