date,open,high,low,close,volume,trade
01/01/2018,39.3,39.9,39.0,39.4,31950.0,43.0
01/02/2018,39.3,39.9,39.0,39.4,31950.0,38.0
01/03/2018,39.5,39.8,39.2,39.5,24809.0,76.0
01/04/2018,39.9,39.9,39.1,39.2,16431.0,40.0
01/07/2018,39.6,39.8,39.3,39.3,21685.0,52.0
01/08/2018,39.4,39.7,39.3,39.3,26905.0,34.0
01/09/2018,39.4,39.5,39.3,39.3,36301.0,30.0
01/10/2018,39.5,39.6,39.2,39.4,19561.0,30.0
01/11/2018,39.2,42.0,39.1,41.1,80820.0,95.0
01/14/2018,40.0,41.0,39.5,39.9,11220.0,24.0
01/15/2018,39.6,40.1,39.2,39.5,47405.0,62.0
01/16/2018,40.1,40.1,39.3,39.5,8330.0,16.0
01/17/2018,39.4,40.3,39.3,39.6,49273.0,100.0
01/18/2018,41.7,41.7,39.4,40.0,27992.0,57.0
01/21/2018,40.0,40.5,40.0,40.3,15663.0,21.0
01/22/2018,40.6,40.6,39.2,39.3,19364.0,43.0
01/23/2018,39.5,40.5,39.5,39.9,7619.0,21.0
01/24/2018,39.7,40.4,39.7,40.2,24840.0,30.0
01/25/2018,39.8,40.4,39.6,40.1,13175.0,59.0
01/28/2018,40.7,40.7,39.7,39.8,11224.0,27.0
01/29/2018,40.2,40.5,39.6,40.3,26785.0,43.0
01/30/2018,39.6,39.7,39.5,39.6,22765.0,21.0
01/31/2018,40.9,41.0,38.9,39.2,23165.0,29.0
02/01/2018,39.3,39.5,39.2,39.4,35994.0,43.0
02/04/2018,39.5,39.5,38.8,38.9,50351.0,70.0
02/05/2018,38.9,39.4,38.6,38.9,76169.0,84.0
02/06/2018,39.1,39.5,38.7,39.2,33500.0,40.0
02/07/2018,38.6,39.0,38.5,38.8,9469.0,22.0
02/08/2018,39.1,39.1,38.8,39.0,7816.0,17.0
02/11/2018,39.5,39.5,38.8,39.5,30190.0,52.0
02/12/2018,39.9,39.9,38.8,39.0,84359.0,67.0
02/13/2018,39.0,39.5,39.0,39.3,23654.0,53.0
02/14/2018,39.0,40.0,39.0,39.5,55169.0,87.0
02/15/2018,39.9,41.0,39.3,40.4,161235.0,208.0
02/18/2018,40.4,41.4,39.9,40.5,84515.0,197.0
02/19/2018,39.6,41.2,39.6,39.9,9562.0,58.0
02/20/2018,39.5,41.2,39.4,39.4,18697.0,50.0
02/22/2018,40.3,40.3,38.7,38.9,30141.0,53.0
02/25/2018,38.6,39.0,38.0,38.3,91785.0,91.0
02/26/2018,38.6,38.8,38.0,38.2,4470.0,15.0
02/27/2018,39.0,39.0,38.3,38.7,3425.0,15.0
02/28/2018,38.2,39.2,38.1,38.1,35680.0,53.0
03/01/2018,38.8,39.2,38.8,38.9,5175.0,18.0
03/04/2018,38.6,39.9,38.6,38.6,22776.0,38.0
03/05/2018,38.7,38.7,38.0,38.1,36085.0,57.0
03/06/2018,38.8,39.0,38.4,38.4,71464.0,73.0
03/07/2018,38.6,39.9,38.6,39.1,184990.0,195.0
03/08/2018,38.7,40.0,38.7,40.0,105612.0,68.0
03/11/2018,38.7,39.5,38.7,39.0,18440.0,34.0
03/12/2018,38.5,38.7,38.1,38.3,35046.0,82.0
03/13/2018,39.3,39.3,38.0,38.0,48138.0,82.0
03/14/2018,38.2,38.5,38.1,38.1,16989.0,25.0
03/15/2018,38.2,38.7,38.2,38.3,21317.0,72.0
03/18/2018,38.3,38.6,38.2,38.3,4660.0,18.0
