date,open,high,low,close,volume,trade
01/01/2018,27.3,28.1,27.3,28.0,133677.0,186.0
01/02/2018,28.0,28.0,28.0,28.0,836.0,204.0
01/03/2018,28.3,29.3,28.2,29.1,647264.0,609.0
01/04/2018,29.1,29.1,28.4,28.7,388365.0,306.0
01/07/2018,29.1,29.4,28.5,28.9,276836.0,194.0
01/08/2018,28.8,29.1,28.6,28.6,118728.0,143.0
01/09/2018,28.6,28.8,28.4,28.6,209049.0,156.0
01/10/2018,28.8,28.8,28.3,28.5,269589.0,220.0
01/11/2018,28.7,28.8,28.2,28.5,242395.0,143.0
01/14/2018,28.1,28.3,28.1,28.2,130233.0,111.0
01/15/2018,28.1,28.2,27.8,27.9,160078.0,139.0
01/16/2018,27.7,28.5,27.4,28.3,237996.0,144.0
01/17/2018,28.2,28.4,27.8,28.0,232383.0,149.0
01/18/2018,27.9,28.6,27.9,28.5,293048.0,206.0
01/21/2018,28.0,28.5,27.9,28.1,199837.0,119.0
01/22/2018,28.1,28.1,27.9,28.1,288823.0,318.0
01/23/2018,28.0,28.3,27.8,28.2,282966.0,143.0
01/24/2018,28.2,28.4,28.0,28.3,209531.0,147.0
01/25/2018,28.1,28.5,28.1,28.4,273065.0,140.0
01/28/2018,28.3,28.4,27.9,28.1,216125.0,90.0
01/29/2018,27.9,28.4,27.7,28.3,191106.0,128.0
01/30/2018,28.3,28.3,28.0,28.2,153483.0,106.0
01/31/2018,28.2,28.3,27.6,28.0,280430.0,232.0
02/01/2018,27.9,28.3,27.7,27.9,142463.0,106.0
02/04/2018,28.1,28.1,26.4,26.7,145648.0,175.0
02/05/2018,26.1,26.7,25.7,26.3,149772.0,120.0
02/06/2018,26.3,27.0,26.1,26.7,53308.0,48.0
02/07/2018,26.2,26.7,26.0,26.4,101058.0,115.0
02/08/2018,27.1,27.1,26.2,26.4,39553.0,63.0
02/11/2018,26.4,27.4,26.4,27.3,80217.0,102.0
02/12/2018,27.4,27.4,27.1,27.2,41105.0,58.0
02/13/2018,27.1,27.4,26.6,27.1,109872.0,136.0
02/14/2018,27.6,27.9,27.2,27.6,316873.0,263.0
02/15/2018,28.0,28.0,27.1,27.4,293837.0,241.0
02/18/2018,27.6,27.9,26.3,26.6,211889.0,160.0
02/19/2018,26.5,27.3,26.3,26.4,155559.0,180.0
02/20/2018,26.4,27.1,26.4,26.9,100270.0,92.0
02/22/2018,27.2,27.2,26.2,26.3,132571.0,98.0
02/25/2018,26.3,27.0,26.1,26.8,190934.0,162.0
02/26/2018,26.4,26.5,26.0,26.1,37797.0,62.0
02/27/2018,26.3,26.6,26.2,26.5,107961.0,76.0
02/28/2018,26.4,27.6,26.4,26.6,171171.0,135.0
03/01/2018,26.8,26.9,26.6,26.6,65943.0,60.0
03/04/2018,26.5,27.0,26.5,26.7,91839.0,60.0
03/05/2018,26.9,27.3,26.7,27.1,162707.0,128.0
03/06/2018,27.1,27.3,26.7,27.1,182708.0,121.0
03/07/2018,27.3,27.4,26.9,26.9,245675.0,180.0
03/08/2018,26.9,27.1,26.8,27.1,121860.0,88.0
03/11/2018,26.6,26.9,26.6,26.8,27235.0,21.0
03/12/2018,26.9,26.9,26.0,26.2,91995.0,96.0
03/13/2018,25.8,25.8,25.2,25.4,64122.0,70.0
03/14/2018,25.5,25.5,24.6,24.9,158644.0,141.0
03/15/2018,25.0,25.5,24.9,25.4,163401.0,114.0
03/18/2018,25.2,25.7,25.1,25.2,131677.0,140.0
03/19/2018,25.2,25.6,25.1,25.3,226847.0,285.0
03/20/2018,25.2,25.7,25.2,25.7,234515.0,289.0
03/21/2018,25.2,25.5,25.1,25.4,110327.0,91.0
03/22/2018,25.1,25.6,25.1,25.4,107898.0,133.0
03/25/2018,25.4,25.7,25.2,25.5,30758.0,47.0
03/27/2018,25.4,25.4,24.9,25.0,66448.0,50.0
03/28/2018,25.0,25.4,24.9,25.2,72116.0,89.0
03/29/2018,25.2,25.6,25.0,25.3,110504.0,90.0
04/01/2018,25.7,26.3,25.6,26.2,89417.0,94.0
04/02/2018,26.4,26.6,26.1,26.4,214975.0,203.0
04/03/2018,26.6,28.4,26.4,27.4,731666.0,373.0
04/04/2018,27.4,27.4,26.8,27.0,144099.0,124.0
04/05/2018,26.8,27.6,26.6,27.5,194019.0,196.0
04/08/2018,27.8,27.9,27.2,27.4,241451.0,198.0
04/09/2018,27.1,27.7,27.1,27.6,228523.0,155.0
04/10/2018,27.5,27.7,26.9,26.9,234864.0,212.0
04/11/2018,27.1,27.1,26.6,26.7,191099.0,149.0
04/12/2018,26.9,26.9,26.5,26.6,141903.0,142.0
04/15/2018,26.8,26.9,26.6,26.6,122041.0,118.0
04/16/2018,26.4,26.6,26.3,26.4,42442.0,58.0
04/17/2018,26.6,26.8,26.4,26.4,174736.0,186.0
04/18/2018,26.4,26.4,25.9,26.1,353735.0,183.0
04/19/2018,26.4,26.4,25.4,25.5,913787.0,451.0
04/22/2018,25.8,25.8,25.4,25.6,103231.0,79.0
04/23/2018,25.7,26.4,25.7,25.9,343583.0,120.0
04/24/2018,26.5,26.5,25.8,25.9,297230.0,124.0
04/25/2018,25.9,26.4,25.9,25.9,333992.0,106.0
04/26/2018,26.0,27.0,25.9,26.9,470080.0,249.0
04/30/2018,27.1,27.1,26.1,26.2,296998.0,216.0
05/03/2018,26.9,26.9,26.3,26.4,262109.0,192.0
05/06/2018,26.5,26.9,26.1,26.2,275455.0,314.0
05/07/2018,26.3,26.9,26.3,26.7,250668.0,235.0
05/08/2018,26.5,26.9,26.3,26.4,114650.0,137.0
05/09/2018,26.4,26.9,26.4,26.6,327062.0,242.0
05/10/2018,27.0,27.8,26.8,27.5,1417526.0,773.0
05/13/2018,27.6,28.7,27.4,27.5,748039.0,557.0
05/14/2018,27.5,27.6,26.4,26.7,301047.0,243.0
05/15/2018,27.1,27.1,26.6,26.6,199965.0,179.0
05/16/2018,26.7,27.4,26.6,26.9,690716.0,373.0
05/17/2018,27.1,28.8,27.1,27.7,1618225.0,972.0
05/20/2018,27.7,28.3,27.0,27.2,380377.0,265.0
05/21/2018,27.2,27.6,26.8,27.0,414883.0,333.0
05/22/2018,27.1,27.7,26.9,27.2,422415.0,326.0
05/23/2018,27.2,27.6,27.1,27.1,575878.0,324.0
05/24/2018,27.1,27.9,27.1,27.6,264991.0,223.0
05/27/2018,27.9,28.1,27.4,27.4,862918.0,461.0
05/28/2018,28.0,28.0,27.2,27.4,697311.0,283.0
05/29/2018,27.4,27.7,27.0,27.1,537175.0,293.0
05/30/2018,27.5,27.5,26.9,26.9,258590.0,151.0
05/31/2018,27.5,27.5,26.6,26.9,215656.0,114.0
06/03/2018,26.9,27.0,26.4,26.6,122312.0,117.0
06/04/2018,26.4,27.2,26.4,26.6,389464.0,171.0
06/05/2018,26.8,26.9,26.5,26.7,98115.0,127.0
06/06/2018,26.8,27.4,26.5,26.5,308557.0,217.0
06/07/2018,26.9,26.9,25.7,26.0,470232.0,351.0
06/10/2018,26.0,27.2,26.0,26.4,410560.0,152.0
06/11/2018,26.4,26.6,26.0,26.1,145030.0,89.0
06/12/2018,26.0,26.6,25.9,26.2,299951.0,138.0
06/18/2018,26.5,26.5,25.9,26.0,69764.0,49.0
06/19/2018,26.2,26.5,26.0,26.2,515240.0,312.0
06/20/2018,26.2,26.7,26.1,26.4,647978.0,309.0
06/21/2018,26.5,26.5,26.1,26.4,660534.0,262.0
