date,open,high,low,close,volume,trade
01/01/2018,90.2,90.5,89.6,90.0,13731.0,63.0
01/02/2018,90.6,90.6,90.6,90.6,45.0,92.0
01/03/2018,92.5,92.7,91.4,91.7,23668.0,80.0
01/04/2018,91.5,93.1,91.5,92.1,35642.0,159.0
01/07/2018,92.0,92.0,90.2,90.5,22797.0,116.0
01/08/2018,90.5,91.5,90.5,91.3,7633.0,53.0
01/09/2018,91.0,92.0,90.5,91.1,12622.0,78.0
01/10/2018,91.0,91.9,90.3,90.6,23179.0,106.0
01/11/2018,90.4,92.3,90.1,92.1,45508.0,176.0
01/14/2018,92.5,93.7,92.0,92.1,50245.0,246.0
01/15/2018,92.2,92.7,89.5,89.9,21781.0,132.0
01/16/2018,90.5,90.9,89.5,89.9,17841.0,115.0
01/17/2018,90.0,90.8,88.0,88.5,29835.0,121.0
01/18/2018,88.2,89.5,87.8,88.3,19018.0,112.0
01/21/2018,89.0,90.0,88.0,88.5,33861.0,135.0
01/22/2018,88.2,91.8,88.2,90.1,38777.0,198.0
01/23/2018,91.0,92.4,90.1,91.1,50885.0,263.0
01/24/2018,92.3,93.2,91.7,92.1,69932.0,315.0
01/25/2018,92.3,93.2,90.8,91.2,52873.0,273.0
01/28/2018,90.5,90.5,88.0,88.5,20974.0,129.0
01/29/2018,88.5,89.0,87.5,88.4,25258.0,119.0
01/30/2018,88.3,89.4,87.8,88.0,24190.0,119.0
01/31/2018,87.4,87.4,80.7,82.1,86926.0,448.0
02/01/2018,84.9,84.9,80.5,81.0,27689.0,163.0
02/04/2018,80.9,80.9,76.0,76.7,35727.0,146.0
02/05/2018,78.5,78.5,74.0,75.7,21141.0,119.0
02/06/2018,77.0,77.8,76.3,76.5,30046.0,164.0
02/07/2018,78.3,78.3,75.4,77.0,8115.0,61.0
02/08/2018,77.8,77.8,76.3,76.8,19795.0,92.0
02/11/2018,76.1,80.8,76.1,78.8,50911.0,271.0
02/12/2018,79.0,83.9,79.0,83.2,98461.0,599.0
02/13/2018,83.0,84.9,82.6,83.5,56434.0,287.0
02/14/2018,84.0,84.5,82.5,82.9,47720.0,238.0
02/15/2018,82.5,83.8,80.6,81.0,31311.0,184.0
02/18/2018,80.9,81.2,78.0,79.0,50819.0,260.0
02/19/2018,79.8,82.4,79.4,80.3,28537.0,170.0
02/20/2018,81.2,81.8,79.3,80.1,30246.0,187.0
02/22/2018,80.1,80.4,79.1,79.4,24066.0,143.0
02/25/2018,79.4,80.4,78.1,78.5,29166.0,134.0
02/26/2018,78.5,80.5,77.9,78.2,17113.0,109.0
02/27/2018,78.6,79.8,78.3,78.5,14106.0,109.0
02/28/2018,78.6,79.0,77.2,77.6,19444.0,101.0
03/01/2018,78.0,81.5,78.0,81.1,47568.0,285.0
03/04/2018,82.2,82.2,80.3,80.6,16144.0,90.0
03/05/2018,81.4,81.9,78.8,81.5,64124.0,301.0
03/06/2018,82.2,87.0,82.2,84.8,137773.0,582.0
03/07/2018,85.0,85.0,82.0,82.4,38082.0,253.0
03/08/2018,82.7,83.7,81.8,83.1,36434.0,219.0
03/11/2018,82.3,83.4,81.9,82.1,27880.0,179.0
03/12/2018,81.8,81.8,79.6,80.1,21826.0,134.0
03/13/2018,81.9,84.0,77.4,78.0,27090.0,182.0
03/14/2018,80.1,80.1,78.0,78.5,13854.0,72.0
03/15/2018,78.1,79.5,77.8,78.9,16163.0,134.0
03/18/2018,78.4,84.9,78.4,79.2,38441.0,166.0
03/19/2018,78.4,81.8,78.3,78.8,9540.0,70.0
03/20/2018,78.6,79.3,78.0,78.1,15218.0,82.0
03/21/2018,78.1,78.1,77.2,77.5,12195.0,63.0
03/22/2018,78.5,78.5,76.0,76.7,21956.0,136.0
03/25/2018,77.0,77.5,75.6,75.9,17755.0,105.0
03/27/2018,75.5,76.8,74.1,74.5,9612.0,72.0
03/28/2018,74.1,75.0,73.7,73.9,12160.0,62.0
03/29/2018,74.0,74.9,73.8,74.5,11688.0,67.0
04/01/2018,77.0,78.3,76.7,77.3,20434.0,115.0
04/02/2018,78.7,78.7,76.9,77.7,21891.0,121.0
04/03/2018,77.8,79.6,76.7,77.0,22436.0,131.0
04/04/2018,78.5,79.7,77.6,78.7,22094.0,94.0
04/05/2018,78.9,80.0,78.3,79.2,23263.0,109.0
04/08/2018,80.0,80.5,78.1,78.6,21540.0,126.0
04/09/2018,80.2,80.2,77.4,78.0,26621.0,133.0
04/10/2018,78.1,79.4,77.5,77.7,21887.0,94.0
04/11/2018,78.9,80.0,77.9,78.3,23939.0,89.0
04/12/2018,78.0,78.0,77.1,77.4,12171.0,52.0
04/15/2018,78.6,82.0,78.0,79.2,58949.0,341.0
04/16/2018,80.0,81.5,78.5,80.4,78974.0,350.0
04/17/2018,82.0,82.8,80.5,81.8,66589.0,301.0
04/18/2018,82.0,82.5,79.3,79.5,36259.0,207.0
04/19/2018,80.0,80.7,78.3,78.5,25294.0,154.0
04/22/2018,79.0,79.0,78.3,78.5,13205.0,68.0
04/23/2018,78.5,79.9,78.0,78.9,23158.0,94.0
04/24/2018,78.4,78.4,77.6,77.8,20072.0,82.0
04/25/2018,77.8,78.5,75.3,76.6,13229.0,88.0
04/26/2018,76.9,78.0,76.8,77.4,26882.0,135.0
04/30/2018,76.5,77.3,75.0,75.2,10906.0,56.0
05/03/2018,74.5,74.5,72.3,73.6,17488.0,83.0
05/06/2018,74.0,74.0,73.1,73.7,35672.0,141.0
05/07/2018,73.4,74.9,73.4,74.2,11256.0,50.0
05/08/2018,74.2,75.2,73.8,74.0,15812.0,74.0
05/09/2018,74.0,74.0,72.7,73.0,10977.0,74.0
05/10/2018,73.0,73.1,72.6,72.9,17252.0,66.0
05/13/2018,72.2,73.0,71.6,71.8,15828.0,100.0
05/14/2018,71.9,72.9,71.5,71.9,10755.0,49.0
