date,open,high,low,close,volume,trade
01/01/2018,55.0,55.0,55.0,55.0,5.0,1.0
01/02/2018,55.0,55.0,55.0,55.0,5.0,26.0
01/03/2018,54.5,54.5,54.0,54.0,42755.0,25.0
01/04/2018,54.4,54.5,54.0,54.1,15817.0,15.0
01/07/2018,53.8,55.8,53.8,54.9,8917.0,17.0
01/08/2018,54.9,54.9,53.9,54.2,3851.0,10.0
01/09/2018,54.8,54.9,53.2,54.8,680.0,5.0
01/10/2018,54.8,54.9,53.2,54.8,680.0,0.0
01/11/2018,54.7,54.7,53.6,54.1,688.0,4.0
01/14/2018,54.0,54.0,53.7,53.7,23463.0,53.0
01/15/2018,53.2,53.7,53.2,53.6,5738.0,26.0
01/16/2018,53.6,55.8,52.4,53.5,7235.0,16.0
01/17/2018,53.3,53.3,53.3,53.3,677.0,6.0
01/18/2018,52.5,56.6,52.5,56.5,81016.0,47.0
01/21/2018,52.5,56.6,52.5,56.5,81016.0,0.0
01/22/2018,53.9,53.9,53.9,53.9,3.0,1.0
01/23/2018,53.9,54.0,53.6,53.7,31242.0,15.0
01/24/2018,53.2,54.0,53.2,53.3,161702.0,44.0
01/25/2018,52.8,53.4,52.8,53.3,1023.0,4.0
01/28/2018,53.2,53.2,52.4,52.9,925.0,6.0
01/29/2018,52.4,57.3,52.3,56.2,10112.0,50.0
01/30/2018,58.3,58.3,54.0,56.5,70096.0,26.0
01/31/2018,57.5,57.5,54.0,56.3,98571.0,88.0
02/01/2018,57.1,57.1,53.7,56.4,56466.0,33.0
02/04/2018,55.8,55.8,53.2,55.1,1072.0,7.0
02/05/2018,55.3,55.3,55.1,55.1,2206.0,21.0
02/06/2018,55.6,55.6,52.4,54.1,1941.0,6.0
02/07/2018,56.6,56.6,56.6,56.6,6.0,1.0
02/08/2018,55.3,55.4,55.3,55.4,846.0,6.0
02/11/2018,55.7,60.9,55.4,59.4,22053.0,90.0
02/12/2018,53.2,54.8,53.2,54.8,31287.0,103.0
02/13/2018,53.7,54.8,53.7,54.3,3803.0,21.0
02/14/2018,54.0,55.2,53.9,54.1,7018.0,40.0
02/15/2018,53.2,53.5,52.4,52.6,10948.0,56.0
02/18/2018,52.6,52.6,51.4,51.6,4605.0,52.0
02/19/2018,51.4,52.0,51.2,51.4,7778.0,19.0
02/20/2018,52.0,53.1,51.8,51.9,41612.0,40.0
02/22/2018,52.2,52.3,52.0,52.1,3753.0,15.0
02/25/2018,53.7,54.0,52.7,53.6,3680.0,29.0
02/26/2018,53.2,53.2,51.4,51.6,10733.0,62.0
02/27/2018,51.4,54.0,51.4,53.9,49363.0,35.0
02/28/2018,52.4,52.6,52.0,52.4,2564.0,28.0
03/01/2018,51.9,52.8,51.7,51.8,8330.0,61.0
03/04/2018,52.4,53.2,51.9,52.0,126426.0,67.0
03/05/2018,52.4,53.2,51.9,52.0,126426.0,0.0
03/06/2018,49.6,52.2,49.3,51.5,3139.0,14.0
03/07/2018,50.6,52.0,50.6,51.2,513.0,6.0
03/08/2018,50.6,52.2,50.1,51.2,301.0,8.0
03/11/2018,51.2,51.2,50.1,50.3,835.0,5.0
03/12/2018,50.1,52.2,50.1,50.1,17032.0,13.0
03/13/2018,49.2,51.2,49.0,49.9,36029.0,33.0
03/14/2018,49.9,50.7,49.9,50.1,9775.0,43.0
03/15/2018,50.1,53.2,50.1,53.2,81686.0,81.0
03/18/2018,53.2,54.0,51.7,53.3,28663.0,90.0
03/19/2018,54.6,54.8,51.5,53.2,26426.0,19.0
03/20/2018,51.4,51.8,51.4,51.5,101.0,5.0
03/21/2018,50.9,50.9,50.8,50.9,165.0,3.0
03/22/2018,50.9,50.9,50.8,50.9,165.0,0.0
03/25/2018,50.9,52.9,50.4,50.6,1255.0,13.0
03/27/2018,50.7,50.8,50.7,50.7,1685.0,5.0
03/28/2018,50.9,51.4,50.0,50.3,368.0,19.0
03/29/2018,51.3,55.3,49.6,55.1,79031.0,159.0
04/01/2018,55.0,55.0,53.2,53.5,3469.0,24.0
04/02/2018,53.2,53.2,52.4,52.9,1649.0,7.0
04/03/2018,53.2,53.2,51.8,52.5,1163.0,24.0
04/04/2018,53.2,53.2,51.8,52.5,1163.0,0.0
04/05/2018,53.6,53.8,52.9,53.6,2499.0,17.0
04/08/2018,52.4,52.5,51.7,51.8,11783.0,33.0
04/09/2018,51.8,53.1,51.4,52.1,25830.0,44.0
04/10/2018,51.8,51.8,51.6,51.7,30426.0,25.0
04/11/2018,52.6,52.6,51.6,51.7,50522.0,62.0
04/12/2018,51.8,56.7,51.8,54.6,44070.0,123.0
04/15/2018,52.6,54.0,52.6,53.2,28470.0,41.0
04/16/2018,53.2,53.4,52.4,53.3,34833.0,78.0
04/17/2018,53.2,53.5,52.3,53.0,28479.0,83.0
04/18/2018,50.9,53.5,50.9,52.8,30085.0,44.0
04/19/2018,52.4,53.2,50.9,51.8,56200.0,37.0
04/22/2018,51.6,51.7,50.5,51.7,71574.0,55.0
04/23/2018,52.7,52.7,50.3,50.6,52320.0,49.0
04/24/2018,50.1,50.9,50.1,50.9,15114.0,59.0
04/25/2018,51.0,51.0,50.5,50.6,99797.0,54.0
04/26/2018,51.4,51.4,50.1,50.1,66814.0,25.0
04/30/2018,51.7,51.7,49.8,49.8,53830.0,39.0
05/03/2018,50.1,52.0,50.1,50.9,58077.0,81.0
05/06/2018,51.8,53.1,51.1,52.3,102806.0,98.0
05/07/2018,52.1,52.2,52.0,52.2,6230.0,8.0
05/08/2018,52.4,52.4,50.7,51.9,35239.0,63.0
05/09/2018,50.8,52.4,50.8,50.9,99470.0,74.0
05/10/2018,50.9,52.2,50.9,51.7,28309.0,38.0
05/13/2018,51.2,51.4,51.1,51.2,9086.0,34.0
05/14/2018,50.7,52.3,50.7,51.6,39043.0,76.0
05/15/2018,50.9,55.8,50.9,51.8,51297.0,67.0
05/16/2018,51.4,53.2,51.4,52.1,64580.0,93.0
05/17/2018,51.6,52.3,51.6,51.8,33101.0,45.0
05/20/2018,50.5,52.5,50.5,52.3,38176.0,68.0
05/21/2018,50.8,54.9,50.8,53.7,37309.0,90.0
05/22/2018,51.5,54.8,51.5,53.7,171811.0,288.0
05/23/2018,52.1,53.5,52.1,52.5,36797.0,56.0
05/24/2018,51.6,54.9,51.6,53.6,170126.0,153.0
05/27/2018,52.0,54.8,52.0,53.8,190087.0,224.0
05/28/2018,54.0,54.7,52.5,54.1,176258.0,169.0
05/29/2018,53.1,54.8,51.8,54.2,179971.0,135.0
05/30/2018,52.4,54.6,52.4,52.7,15418.0,39.0
05/31/2018,51.7,54.7,51.7,54.6,178116.0,137.0
06/03/2018,51.9,53.8,51.9,52.5,10175.0,36.0
06/04/2018,54.3,54.3,51.9,52.0,122045.0,73.0
06/05/2018,52.0,52.0,51.9,52.0,677.0,7.0
06/06/2018,51.2,51.7,51.2,51.5,10548.0,39.0
06/07/2018,50.5,53.2,50.5,50.7,14655.0,50.0
06/10/2018,50.7,50.7,50.5,50.5,6095.0,11.0
06/11/2018,50.1,52.7,49.9,51.7,82244.0,78.0
06/12/2018,52.6,52.7,50.1,50.9,17608.0,39.0
06/18/2018,50.7,51.8,50.7,51.0,6043.0,19.0
06/19/2018,49.8,52.3,49.8,51.7,107502.0,50.0
06/20/2018,50.5,52.3,50.4,50.7,104612.0,135.0
06/21/2018,50.9,51.7,50.1,50.3,50134.0,86.0
06/24/2018,50.6,50.6,49.9,50.1,3957.0,21.0
06/25/2018,50.1,50.1,48.9,49.3,11614.0,42.0
06/26/2018,50.9,50.9,49.3,49.3,31040.0,32.0
06/27/2018,49.6,50.8,49.6,49.9,26858.0,54.0
06/28/2018,49.5,49.7,49.4,49.6,6768.0,23.0
07/02/2018,49.3,50.2,49.3,50.1,3352.0,12.0
07/03/2018,49.2,49.9,48.1,48.7,39502.0,119.0
07/04/2018,47.9,50.0,47.9,49.6,11495.0,43.0
07/05/2018,50.2,50.2,49.1,49.9,57453.0,106.0
07/08/2018,50.1,50.4,49.0,49.8,1899.0,13.0
07/09/2018,50.1,51.8,49.4,51.8,56224.0,62.0
07/10/2018,51.4,52.6,49.6,52.5,82392.0,122.0
07/11/2018,49.7,52.3,49.7,52.2,26550.0,39.0
07/12/2018,49.8,52.2,49.8,52.0,8961.0,16.0
07/15/2018,49.6,49.6,49.6,49.6,1975.0,10.0
07/16/2018,49.7,49.7,49.4,49.6,2017.0,7.0
07/17/2018,49.6,49.6,49.3,49.4,4839.0,11.0
07/18/2018,48.9,51.2,48.9,50.3,1915.0,9.0
07/19/2018,48.7,51.2,48.7,51.0,7455.0,31.0
07/22/2018,51.1,53.1,49.4,51.9,18324.0,52.0
07/23/2018,50.6,50.7,49.9,50.2,7449.0,24.0
07/24/2018,50.1,50.1,49.9,50.0,1524.0,11.0
07/25/2018,50.1,50.1,50.1,50.1,433.0,1.0
07/26/2018,49.8,51.0,49.8,50.4,2122.0,5.0
07/29/2018,50.4,50.8,48.7,49.9,3228.0,18.0
07/30/2018,49.7,49.9,49.7,49.8,2189.0,
07/31/2018,49.3,49.4,49.3,49.4,6065.0,7.0
08/01/2018,50.8,51.2,50.7,50.9,2144.0,16.0
08/02/2018,49.8,52.7,49.8,51.9,7401.0,31.0
08/05/2018,52.0,52.3,49.9,50.5,3444.0,12.0
08/06/2018,50.5,50.5,50.5,50.5,372.0,1.0
08/07/2018,49.9,49.9,49.8,49.8,1580.0,10.0
08/08/2018,49.9,50.1,49.9,50.0,801.0,3.0
08/09/2018,49.6,50.0,49.6,50.0,8283.0,14.0
08/12/2018,50.9,50.9,49.0,49.4,7746.0,20.0
08/13/2018,49.4,49.4,48.0,48.1,22575.0,52.0
08/14/2018,48.3,48.7,48.3,48.6,6200.0,10.0
08/16/2018,48.5,50.7,48.5,50.3,46116.0,27.0
08/19/2018,49.7,49.7,49.5,49.6,191.0,3.0
08/20/2018,50.0,51.2,50.0,50.3,12136.0,31.0
08/26/2018,50.1,53.1,48.9,53.0,69475.0,69.0
08/27/2018,49.8,51.2,49.7,50.5,861.0,5.0
08/28/2018,50.1,50.5,50.1,50.2,2747.0,12.0
08/29/2018,48.8,51.3,48.8,51.0,7317.0,14.0
08/30/2018,51.0,52.6,50.3,51.9,15856.0,68.0
09/03/2018,51.7,51.7,49.7,50.2,14349.0,44.0
09/04/2018,50.5,50.5,48.9,49.4,2500.0,12.0
09/05/2018,49.5,49.5,48.8,49.0,4288.0,23.0
09/06/2018,49.2,49.6,49.2,49.4,7878.0,20.0
09/09/2018,48.8,49.3,48.8,49.2,39641.0,41.0
09/10/2018,48.8,50.8,48.7,49.3,30860.0,30.0
09/11/2018,49.2,50.1,49.2,49.6,3160.0,4.0
09/12/2018,49.2,51.4,49.2,50.1,24439.0,34.0
09/13/2018,50.4,51.4,50.4,51.3,11109.0,20.0
09/16/2018,49.8,49.8,49.7,49.8,3389.0,17.0
09/17/2018,49.1,49.1,49.1,49.1,124.0,1.0
09/18/2018,49.3,49.3,49.3,49.3,39.0,1.0
09/19/2018,51.1,52.3,50.9,52.3,8127.0,31.0
09/20/2018,50.0,52.3,50.0,51.5,11175.0,40.0
09/23/2018,50.0,52.3,50.0,51.5,11175.0,0.0
09/24/2018,51.5,51.5,50.5,50.5,451.0,4.0
09/25/2018,52.2,53.2,50.9,52.6,15076.0,48.0
09/26/2018,53.0,53.1,50.9,52.8,29396.0,77.0
09/27/2018,49.9,53.2,49.9,52.5,7380.0,31.0
09/30/2018,50.7,53.1,50.7,53.0,39587.0,52.0
10/01/2018,53.3,53.7,51.7,53.2,1467.0,52.0
10/02/2018,51.7,52.3,50.4,50.6,18460.0,68.0
10/03/2018,53.0,53.0,51.3,51.3,567.0,3.0
10/04/2018,50.7,50.9,50.2,50.5,6838.0,23.0
10/07/2018,49.8,49.8,48.7,49.0,26273.0,0.0
10/08/2018,48.9,49.6,48.3,48.6,49688.0,
10/09/2018,48.8,48.8,48.7,48.7,13198.0,
10/10/2018,48.7,48.7,47.8,47.8,37979.0,0.0
10/11/2018,47.8,48.7,47.8,48.4,3759.0,19.0
10/14/2018,48.1,48.3,48.1,48.3,1818.0,3.0
10/15/2018,48.2,48.2,48.0,48.1,4715.0,11.0
10/16/2018,48.1,48.1,48.1,48.1,49.0,1.0
10/17/2018,48.2,48.2,47.8,48.0,2821.0,18.0
10/18/2018,48.2,48.2,47.8,48.0,2821.0,0.0
10/21/2018,47.7,47.7,47.7,47.7,890.0,3.0
10/22/2018,47.7,47.7,47.7,47.7,890.0,0.0
10/23/2018,47.8,49.1,47.8,47.8,1862.0,6.0
10/24/2018,47.8,47.8,45.2,46.1,33280.0,58.0
10/25/2018,46.2,47.4,46.2,46.8,1424.0,
10/28/2018,46.4,46.4,45.4,46.0,1605.0,
10/29/2018,45.4,45.5,45.4,45.4,389.0,
10/30/2018,45.6,45.6,45.2,45.5,2748.0,
10/31/2018,46.7,46.7,45.5,45.6,1087.0,
11/01/2018,45.7,45.7,45.2,45.3,3783.0,
11/04/2018,46.9,47.8,46.0,47.0,26281.0,
11/05/2018,46.2,46.2,46.1,46.1,1241.0,
11/06/2018,46.9,47.0,46.8,46.9,1467.0,
11/07/2018,46.7,46.8,46.5,46.6,800.0,
11/08/2018,47.4,49.6,46.7,49.3,44438.0,45.0
11/11/2018,48.0,48.0,46.7,47.0,247.0,4.0
11/12/2018,46.6,46.6,46.6,46.6,101.0,1.0
11/13/2018,46.6,46.6,46.6,46.6,88.0,2.0
11/14/2018,46.7,46.7,46.6,46.6,305.0,3.0
11/15/2018,45.8,46.3,45.8,46.2,4573.0,10.0
