date,open,high,low,close,volume,trade
01/01/2018,58.6,59.6,58.6,58.8,1663.0,16.0
01/02/2018,60.4,60.4,60.4,60.4,1.0,47.0
01/03/2018,58.0,58.2,57.2,57.7,7320.0,41.0
01/04/2018,57.6,57.9,56.5,57.4,13483.0,81.0
01/07/2018,57.1,57.7,56.8,57.0,20877.0,71.0
01/08/2018,56.2,57.7,56.2,56.9,1600.0,16.0
01/09/2018,56.9,58.8,56.9,58.4,4986.0,46.0
01/10/2018,58.5,59.3,56.0,57.5,16280.0,71.0
01/11/2018,57.5,57.5,56.8,56.9,8436.0,30.0
01/14/2018,57.9,57.9,56.2,56.3,11540.0,57.0
01/15/2018,57.6,57.6,55.0,55.3,6242.0,35.0
01/16/2018,55.4,56.5,55.4,56.4,6793.0,25.0
01/17/2018,57.0,58.1,56.2,57.5,20799.0,63.0
01/18/2018,57.5,58.0,56.0,56.5,17951.0,59.0
01/21/2018,56.5,57.9,56.5,57.6,4855.0,22.0
01/22/2018,57.9,58.0,56.5,56.8,27544.0,69.0
01/23/2018,57.3,57.4,55.0,55.6,36590.0,86.0
01/24/2018,55.9,56.4,54.3,54.9,13065.0,91.0
01/25/2018,55.0,55.6,53.7,54.4,20406.0,93.0
01/28/2018,54.0,57.0,52.2,53.2,29280.0,131.0
01/29/2018,53.2,55.3,53.1,53.9,6960.0,29.0
01/30/2018,54.2,55.5,54.0,54.4,12594.0,50.0
01/31/2018,54.1,54.5,53.2,53.4,15338.0,58.0
02/01/2018,53.2,54.8,53.2,54.4,8056.0,40.0
02/04/2018,54.0,54.2,52.5,53.0,15470.0,49.0
02/05/2018,52.5,55.1,51.1,53.1,9910.0,63.0
02/06/2018,54.7,54.7,53.5,54.0,5766.0,23.0
02/07/2018,54.4,54.4,53.5,54.0,4570.0,19.0
02/08/2018,54.9,57.0,54.0,56.3,49346.0,181.0
02/11/2018,57.6,58.6,56.3,58.1,35695.0,183.0
02/12/2018,58.8,62.4,58.8,60.5,100675.0,397.0
02/13/2018,61.0,62.3,60.8,61.7,77149.0,225.0
02/14/2018,61.7,63.3,61.6,62.3,53230.0,218.0
02/15/2018,62.9,63.0,60.7,61.3,46625.0,148.0
02/18/2018,59.6,61.7,57.1,57.7,30380.0,98.0
02/19/2018,63.2,63.2,58.5,58.7,11239.0,46.0
02/20/2018,60.5,60.5,58.0,58.3,9920.0,54.0
02/22/2018,60.0,60.0,55.7,58.6,6030.0,40.0
02/25/2018,58.6,58.7,56.8,57.0,14295.0,31.0
02/26/2018,58.9,58.9,56.2,56.2,10961.0,67.0
02/27/2018,58.9,58.9,55.6,57.0,3445.0,32.0
02/28/2018,57.8,58.1,57.5,58.1,11016.0,104.0
03/01/2018,58.2,59.3,57.0,57.6,13141.0,78.0
03/04/2018,58.2,58.5,55.3,56.0,23474.0,109.0
03/05/2018,57.7,58.6,56.4,56.7,10770.0,70.0
03/06/2018,56.8,56.8,56.0,56.3,10546.0,60.0
03/07/2018,58.1,58.1,56.5,56.8,2585.0,12.0
03/08/2018,56.1,57.8,56.0,57.6,7503.0,42.0
03/11/2018,56.3,57.6,55.3,56.0,18592.0,68.0
03/12/2018,55.5,57.1,55.1,55.5,9265.0,50.0
03/13/2018,56.1,56.1,53.0,53.6,6338.0,30.0
03/14/2018,53.7,55.1,53.7,54.6,18734.0,71.0
03/15/2018,55.1,55.5,53.6,54.2,18940.0,41.0
03/18/2018,57.2,57.2,54.2,56.0,16198.0,48.0
03/19/2018,58.6,58.6,56.0,56.6,9592.0,45.0
03/20/2018,55.7,56.4,55.6,55.9,5405.0,12.0
03/21/2018,56.6,57.9,55.6,55.8,15795.0,84.0
03/22/2018,57.6,57.6,55.2,55.4,12804.0,54.0
03/25/2018,55.6,57.0,55.6,56.8,11258.0,36.0
03/27/2018,54.1,56.3,53.4,53.7,9091.0,60.0
03/28/2018,54.1,55.8,53.6,53.9,4446.0,44.0
03/29/2018,55.8,55.8,53.9,53.9,4246.0,33.0
04/01/2018,57.8,57.8,54.1,54.8,5659.0,29.0
04/02/2018,55.0,57.5,54.5,54.8,9093.0,25.0
04/03/2018,56.3,56.3,54.8,55.0,4055.0,30.0
04/04/2018,55.9,55.9,53.1,53.4,25956.0,128.0
04/05/2018,54.2,57.0,54.2,56.3,33175.0,74.0
04/08/2018,57.7,59.3,57.0,58.7,81520.0,267.0
04/09/2018,60.0,60.8,58.5,59.9,134182.0,368.0
04/10/2018,60.5,61.0,59.3,59.7,41394.0,192.0
04/11/2018,59.8,61.6,59.7,60.5,74521.0,293.0
04/12/2018,61.0,61.6,59.0,60.5,34849.0,181.0
04/15/2018,61.6,63.3,61.2,62.7,58926.0,261.0
04/16/2018,63.5,64.8,58.7,60.6,36543.0,231.0
04/17/2018,61.0,63.0,60.4,61.8,36927.0,173.0
04/18/2018,62.8,66.3,62.8,64.4,85608.0,344.0
04/19/2018,65.9,65.9,63.7,63.9,52943.0,229.0
04/22/2018,69.3,69.3,62.2,65.0,291707.0,696.0
04/23/2018,65.0,66.0,62.5,63.1,39939.0,171.0
04/24/2018,62.0,63.1,62.0,62.7,20908.0,125.0
04/25/2018,61.8,62.3,61.0,61.2,11706.0,48.0
04/26/2018,61.9,62.6,61.1,61.6,10624.0,89.0
04/30/2018,61.0,61.9,59.0,60.7,11739.0,66.0
05/03/2018,54.8,62.3,54.7,59.1,11680.0,71.0
05/06/2018,57.0,60.5,54.9,57.9,19515.0,94.0
05/07/2018,59.9,60.3,57.7,58.7,24809.0,118.0
05/08/2018,60.0,60.0,57.0,58.1,19981.0,114.0
05/09/2018,58.0,58.5,57.1,57.8,18320.0,59.0
05/10/2018,57.5,58.0,55.4,56.8,14940.0,56.0
05/13/2018,55.3,59.0,55.3,56.9,4635.0,21.0
05/14/2018,57.9,57.9,57.1,57.3,2618.0,20.0
05/15/2018,58.7,58.7,57.3,57.6,10433.0,65.0
05/16/2018,57.5,57.7,57.0,57.0,11412.0,92.0
05/17/2018,59.0,59.0,56.0,56.2,10912.0,56.0
05/20/2018,56.8,56.8,53.3,53.9,5773.0,31.0
05/21/2018,56.0,56.0,53.6,53.8,7265.0,45.0
05/22/2018,59.0,59.0,53.0,53.7,29040.0,126.0
05/23/2018,54.2,54.2,53.7,53.8,6825.0,38.0
05/24/2018,56.7,56.7,54.4,56.1,21845.0,68.0
05/27/2018,51.0,57.0,51.0,55.2,10783.0,61.0
05/28/2018,55.1,56.1,53.8,54.0,10340.0,110.0
05/29/2018,54.3,55.5,54.3,54.7,8602.0,28.0
05/30/2018,55.3,55.3,54.0,54.5,7496.0,57.0
05/31/2018,54.5,54.5,53.6,54.0,6180.0,55.0
06/03/2018,54.1,56.0,53.2,53.6,9860.0,72.0
06/04/2018,54.2,54.2,53.6,53.7,23827.0,153.0
06/05/2018,53.2,56.9,53.1,55.8,11928.0,85.0
06/06/2018,55.2,56.0,55.2,55.7,5767.0,43.0
06/07/2018,54.6,56.0,54.5,54.6,10605.0,63.0
06/10/2018,55.4,55.5,54.6,54.9,7255.0,31.0
06/11/2018,55.8,56.0,54.6,55.3,9622.0,67.0
06/12/2018,56.5,60.8,55.8,59.6,56137.0,303.0
06/18/2018,60.0,60.9,59.1,60.0,31358.0,149.0
06/19/2018,60.2,65.5,60.2,61.4,51944.0,228.0
06/20/2018,61.6,61.6,59.3,60.2,15923.0,107.0
06/21/2018,60.5,62.8,60.5,61.9,25910.0,172.0
06/24/2018,60.1,62.0,59.0,59.7,16987.0,68.0
06/25/2018,60.0,62.4,60.0,62.0,32903.0,167.0
06/26/2018,62.7,65.0,62.0,63.8,44447.0,245.0
06/27/2018,63.6,66.2,63.6,65.1,51957.0,245.0
06/28/2018,65.5,67.8,65.0,67.0,64739.0,334.0
07/02/2018,68.4,68.4,63.0,63.3,56650.0,216.0
07/03/2018,65.0,65.0,57.0,59.2,26206.0,171.0
07/04/2018,59.2,62.2,59.0,61.5,18092.0,105.0
07/05/2018,62.0,62.0,58.3,59.0,24449.0,96.0
07/08/2018,58.3,60.2,58.3,59.8,29026.0,142.0
07/09/2018,59.3,59.3,57.7,57.8,11267.0,70.0
07/10/2018,55.5,59.9,55.5,57.4,26242.0,117.0
07/11/2018,57.5,60.0,57.0,57.7,19616.0,111.0
07/12/2018,57.4,58.5,56.2,57.6,7129.0,30.0
07/15/2018,59.9,59.9,56.0,56.5,24148.0,69.0
07/16/2018,58.2,59.7,56.6,57.1,19826.0,97.0
07/17/2018,60.0,62.8,58.0,58.8,54733.0,231.0
07/18/2018,59.7,61.8,59.0,60.0,30006.0,90.0
07/19/2018,58.5,58.5,54.0,57.8,26070.0,62.0
07/22/2018,56.3,58.9,55.8,56.1,12200.0,67.0
07/23/2018,57.1,57.1,56.0,56.5,18635.0,78.0
07/24/2018,54.6,57.5,54.6,55.1,18251.0,80.0
07/25/2018,57.9,59.4,56.2,58.5,4817.0,20.0
07/26/2018,57.7,59.0,56.3,56.4,16276.0,85.0
07/29/2018,58.0,59.0,57.4,57.8,11505.0,65.0
07/30/2018,58.4,58.4,56.1,56.5,6551.0,
07/31/2018,56.5,57.8,56.0,57.2,7978.0,19.0
08/01/2018,56.6,58.7,54.0,54.4,18880.0,84.0
