date,open,high,low,close,volume,trade
01/01/2018,424.9,431.9,419.0,429.8,21938.0,424.0
01/02/2018,422.0,432.0,422.0,428.0,5823.0,274.0
01/03/2018,422.7,429.0,420.2,420.9,8538.0,179.0
01/04/2018,418.0,427.0,416.0,416.8,10598.0,299.0
01/07/2018,411.0,417.6,411.0,415.7,9012.0,168.0
01/08/2018,415.5,416.0,412.0,412.5,6950.0,152.0
01/09/2018,414.1,415.0,412.2,414.2,2946.0,86.0
01/10/2018,412.5,418.0,412.5,415.9,6232.0,112.0
01/11/2018,413.1,417.5,413.1,414.6,5392.0,388.0
01/14/2018,410.6,418.1,410.6,414.4,8165.0,146.0
01/15/2018,411.0,417.0,409.3,411.0,11235.0,201.0
01/16/2018,414.8,414.9,409.5,410.6,6944.0,184.0
01/17/2018,413.3,413.3,407.2,407.9,35996.0,433.0
01/18/2018,408.6,410.9,407.7,408.0,34251.0,352.0
01/21/2018,408.6,409.0,407.9,408.2,8880.0,110.0
01/22/2018,410.0,410.0,405.8,408.0,41748.0,286.0
01/23/2018,410.0,411.4,408.0,410.0,6512.0,96.0
01/24/2018,412.0,412.2,410.0,412.0,5677.0,156.0
01/25/2018,410.2,417.0,410.2,416.3,11992.0,322.0
01/28/2018,423.2,424.2,410.0,410.8,4697.0,91.0
01/29/2018,411.0,413.7,410.2,410.8,6573.0,119.0
01/30/2018,411.3,412.0,410.3,411.5,3120.0,56.0
01/31/2018,410.5,411.1,404.9,408.7,20490.0,196.0
02/01/2018,408.7,409.0,404.0,406.4,6018.0,141.0
02/04/2018,404.5,404.5,398.0,400.1,11220.0,211.0
02/05/2018,400.1,404.0,391.5,400.1,20152.0,222.0
02/06/2018,400.1,408.0,397.1,405.5,6624.0,161.0
02/07/2018,404.0,404.9,399.0,402.0,14663.0,163.0
02/08/2018,402.0,404.4,401.3,402.0,1940.0,47.0
02/11/2018,404.8,408.5,404.7,405.2,6122.0,115.0
02/12/2018,405.3,409.0,404.0,404.0,12846.0,142.0
02/13/2018,404.6,410.0,403.5,406.9,11084.0,124.0
02/14/2018,407.0,407.0,401.1,403.5,9949.0,169.0
02/15/2018,404.0,404.0,400.0,401.4,6472.0,146.0
02/18/2018,401.0,401.0,397.6,400.8,9642.0,131.0
02/19/2018,400.0,400.0,398.0,398.7,18812.0,188.0
02/20/2018,399.0,399.8,396.0,397.0,11948.0,204.0
02/22/2018,399.0,400.0,396.0,396.7,3311.0,72.0
02/25/2018,399.9,404.0,397.0,398.0,6678.0,82.0
02/26/2018,390.1,399.8,385.0,386.7,16805.0,255.0
02/27/2018,390.9,392.7,387.1,389.5,10515.0,108.0
02/28/2018,391.0,392.0,389.5,390.5,8168.0,84.0
03/01/2018,391.2,394.0,388.4,389.8,24402.0,216.0
03/04/2018,394.0,395.0,389.2,390.6,5614.0,104.0
03/05/2018,393.9,394.0,387.0,388.5,10064.0,125.0
03/06/2018,388.5,390.6,388.5,390.5,5712.0,114.0
03/07/2018,388.5,392.0,387.5,390.6,6556.0,105.0
03/08/2018,393.6,393.6,388.3,389.8,13107.0,158.0
03/11/2018,389.7,391.0,389.0,390.0,7811.0,98.0
03/12/2018,389.0,389.0,382.1,382.7,7985.0,155.0
03/13/2018,382.8,383.2,377.2,377.8,11722.0,217.0
03/14/2018,375.2,380.1,375.2,378.9,7976.0,123.0
03/15/2018,380.0,384.4,376.6,378.6,16617.0,123.0
03/18/2018,378.7,382.6,378.6,379.0,5758.0,98.0
03/19/2018,379.6,379.6,376.8,378.5,18230.0,170.0
03/20/2018,382.0,382.0,376.0,376.5,3489.0,78.0
03/21/2018,376.6,377.0,370.1,373.4,4965.0,126.0
03/22/2018,373.5,373.8,368.3,369.7,11489.0,210.0
03/25/2018,372.0,377.0,370.0,372.8,3013.0,71.0
03/27/2018,372.8,376.9,369.9,371.7,6368.0,122.0
03/28/2018,370.4,373.5,370.4,371.3,3758.0,96.0
03/29/2018,373.4,380.0,372.8,376.4,7836.0,96.0
04/01/2018,380.0,397.0,380.0,390.0,4712.0,156.0
04/02/2018,390.2,391.0,385.4,386.5,6061.0,167.0
04/03/2018,385.0,407.7,383.0,397.6,22523.0,565.0
04/04/2018,397.6,408.0,397.1,399.8,6956.0,209.0
04/05/2018,395.0,404.9,395.0,396.9,8231.0,239.0
04/08/2018,395.1,397.2,395.1,395.9,13680.0,164.0
04/09/2018,396.0,400.0,392.0,394.1,12131.0,221.0
04/10/2018,400.0,400.0,390.0,390.9,8863.0,152.0
04/11/2018,396.9,396.9,388.1,389.3,3876.0,177.0
04/12/2018,390.0,394.0,386.0,389.0,3598.0,80.0
04/15/2018,389.6,397.0,389.5,391.7,12388.0,319.0
04/16/2018,396.6,396.6,391.4,393.2,12962.0,161.0
04/17/2018,394.0,397.6,390.0,391.2,8913.0,264.0
04/18/2018,391.2,394.5,391.2,391.9,11652.0,191.0
04/19/2018,392.8,398.9,391.9,397.3,17411.0,384.0
04/22/2018,397.6,400.0,396.2,398.2,4804.0,149.0
04/23/2018,392.5,398.2,391.0,393.1,7872.0,202.0
04/24/2018,392.6,395.5,389.1,390.9,6442.0,170.0
04/25/2018,389.3,389.7,377.0,387.9,27504.0,519.0
04/26/2018,389.6,390.0,382.0,383.8,8450.0,150.0
04/30/2018,379.1,384.7,372.0,375.9,5695.0,133.0
05/03/2018,376.0,378.0,375.0,375.7,7932.0,113.0
05/06/2018,385.0,388.4,376.4,378.5,6506.0,84.0
05/07/2018,382.5,383.0,376.6,378.9,7882.0,114.0
05/08/2018,379.0,380.5,377.8,379.7,6813.0,116.0
05/09/2018,379.7,381.0,377.3,378.0,3305.0,65.0
05/10/2018,381.6,381.6,375.2,376.7,7273.0,143.0
05/13/2018,379.9,380.2,375.4,377.2,7540.0,121.0
05/14/2018,377.0,377.0,376.1,376.4,2585.0,71.0
05/15/2018,376.6,380.4,376.5,380.1,16152.0,316.0
05/16/2018,374.0,379.8,374.0,376.8,1837.0,48.0
05/17/2018,376.8,379.1,374.7,375.7,10245.0,190.0
05/20/2018,376.8,379.1,374.7,375.7,10245.0,0.0
05/21/2018,362.1,362.1,355.8,356.4,8938.0,307.0
05/22/2018,356.5,357.0,341.5,350.1,10767.0,179.0
05/23/2018,350.0,350.0,341.0,342.6,16504.0,207.0
05/24/2018,341.1,358.0,341.1,348.8,3178.0,78.0
05/27/2018,348.8,354.6,342.0,343.6,7591.0,195.0
05/28/2018,342.8,355.8,342.8,345.2,7400.0,138.0
05/29/2018,353.0,353.0,333.1,346.7,2143.0,53.0
05/30/2018,349.9,349.9,345.2,345.8,6821.0,98.0
05/31/2018,349.0,349.0,341.8,343.0,6611.0,122.0
06/03/2018,348.0,351.0,338.0,339.8,7418.0,115.0
06/04/2018,335.0,349.4,335.0,338.1,7879.0,122.0
06/05/2018,343.0,343.9,339.0,340.3,1768.0,53.0
06/06/2018,342.0,342.0,340.0,341.9,2568.0,66.0
06/07/2018,340.1,342.0,339.7,339.8,5196.0,98.0
06/10/2018,342.0,342.1,338.1,341.0,7735.0,89.0
06/11/2018,342.4,343.0,340.0,340.4,1508.0,53.0
06/12/2018,342.5,342.5,339.0,339.7,10245.0,167.0
06/18/2018,340.0,340.0,337.3,337.9,3859.0,96.0
06/19/2018,338.0,341.9,337.5,340.2,15854.0,98.0
06/20/2018,340.9,341.8,340.3,340.8,4801.0,77.0
06/21/2018,342.9,350.0,338.0,342.5,8831.0,179.0
06/24/2018,345.0,346.9,344.0,345.1,9397.0,141.0
06/25/2018,344.2,355.1,344.2,351.3,20782.0,365.0
06/26/2018,354.4,354.8,348.6,350.2,9185.0,144.0
06/27/2018,353.9,363.0,353.9,357.7,18910.0,264.0
06/28/2018,359.9,367.7,355.3,360.6,20303.0,305.0
07/02/2018,366.8,367.0,355.5,362.5,13168.0,206.0
07/03/2018,360.0,365.6,351.3,353.5,13924.0,247.0
07/04/2018,356.8,356.8,351.1,354.9,3470.0,66.0
07/05/2018,355.0,363.0,353.0,357.2,15366.0,197.0
07/08/2018,351.3,360.0,351.3,358.4,11354.0,91.0
07/09/2018,358.0,362.9,351.0,358.5,18034.0,180.0
07/10/2018,352.0,389.8,352.0,377.7,26286.0,393.0
07/11/2018,376.2,389.9,365.0,368.4,10602.0,291.0
07/12/2018,361.5,387.9,361.5,380.3,10631.0,207.0
07/15/2018,379.9,386.0,370.1,381.6,8930.0,240.0
07/16/2018,370.6,385.9,370.6,381.4,6945.0,167.0
07/17/2018,382.0,382.0,372.8,377.0,1486.0,51.0
07/18/2018,372.5,373.2,355.5,358.8,19247.0,350.0
07/19/2018,355.1,364.9,351.4,352.6,12414.0,205.0
07/22/2018,353.0,360.0,353.0,356.0,12533.0,142.0
07/23/2018,356.1,359.0,351.1,352.8,3532.0,106.0
07/24/2018,349.9,354.0,350.1,350.9,5416.0,124.0
07/25/2018,349.9,352.3,342.3,345.4,32239.0,198.0
07/26/2018,351.0,375.6,345.0,358.5,16806.0,223.0
07/29/2018,354.7,365.8,350.0,356.6,3642.0,98.0
07/30/2018,359.9,359.9,348.0,352.6,10255.0,
07/31/2018,345.1,357.8,345.1,351.4,13790.0,213.0
08/01/2018,355.9,356.0,348.5,349.1,7163.0,219.0
08/02/2018,353.7,353.7,346.1,347.0,5669.0,111.0
08/05/2018,347.1,347.5,342.0,345.0,2934.0,74.0
08/06/2018,349.4,349.5,343.4,343.7,2437.0,71.0
08/07/2018,351.0,356.0,344.9,350.3,2962.0,115.0
