date,open,high,low,close,volume,trade
01/01/2018,25.5,26.3,25.5,26.0,224175.0,150.0
01/02/2018,25.7,26.2,25.7,26.2,34736.0,255.0
01/03/2018,26.2,26.9,26.2,26.7,782746.0,395.0
01/04/2018,26.7,27.0,26.2,26.3,553309.0,337.0
01/07/2018,26.3,26.5,26.2,26.4,191876.0,187.0
01/08/2018,26.3,26.7,26.3,26.6,372633.0,260.0
01/09/2018,26.6,26.8,26.3,26.7,555507.0,296.0
01/10/2018,26.7,27.9,26.6,27.6,1838861.0,935.0
01/11/2018,27.6,27.9,27.1,27.7,822596.0,463.0
01/14/2018,27.9,28.2,27.4,28.0,1065838.0,655.0
01/15/2018,27.7,28.3,27.4,27.4,509894.0,279.0
01/16/2018,27.4,27.7,27.2,27.5,424763.0,340.0
01/17/2018,27.5,27.7,26.9,27.0,745788.0,431.0
01/18/2018,26.8,27.2,26.7,26.9,537867.0,207.0
01/21/2018,26.8,27.8,26.8,27.7,374265.0,303.0
01/22/2018,27.9,28.3,27.6,27.9,1185444.0,599.0
01/23/2018,27.8,28.2,27.8,28.1,492460.0,409.0
01/24/2018,28.3,28.5,28.0,28.0,380832.0,263.0
01/25/2018,28.3,28.5,27.3,27.5,505722.0,412.0
01/28/2018,27.2,27.5,27.0,27.2,328530.0,233.0
01/29/2018,27.2,27.9,27.0,27.3,570224.0,269.0
01/30/2018,27.3,27.8,26.9,27.1,351234.0,266.0
01/31/2018,27.1,27.5,26.7,26.8,300022.0,238.0
02/01/2018,26.8,27.3,26.3,26.5,456756.0,249.0
02/04/2018,26.5,26.5,25.4,25.7,255930.0,167.0
02/05/2018,25.7,26.0,25.2,25.8,134318.0,115.0
02/06/2018,25.6,26.3,25.6,26.1,340519.0,194.0
02/07/2018,25.8,26.6,25.5,25.9,41006.0,69.0
02/08/2018,26.2,26.2,25.5,25.8,152039.0,149.0
02/11/2018,25.5,26.8,25.5,26.4,139018.0,116.0
02/12/2018,26.4,26.6,25.5,26.0,490163.0,357.0
02/13/2018,26.2,27.1,26.0,26.3,223490.0,208.0
02/14/2018,26.5,27.0,26.2,26.5,290738.0,189.0
02/15/2018,26.2,27.2,26.2,27.0,271843.0,204.0
02/18/2018,27.2,27.4,26.6,26.7,221737.0,184.0
02/19/2018,26.7,27.1,26.3,26.4,113610.0,170.0
02/20/2018,26.4,27.4,26.4,26.5,483326.0,260.0
02/22/2018,26.7,27.1,26.1,26.2,471357.0,295.0
02/25/2018,26.2,26.5,25.7,25.8,119896.0,150.0
02/26/2018,25.7,26.3,25.7,25.7,260995.0,116.0
02/27/2018,25.8,26.5,25.8,26.1,234848.0,138.0
02/28/2018,26.1,26.5,26.0,26.2,117050.0,88.0
03/01/2018,26.2,26.6,26.1,26.5,124456.0,110.0
03/04/2018,26.1,26.9,26.1,26.6,187357.0,177.0
03/05/2018,26.6,26.8,26.1,26.3,70753.0,104.0
03/06/2018,26.2,26.5,25.9,26.0,219448.0,180.0
03/07/2018,25.8,26.6,25.8,26.3,83198.0,95.0
03/08/2018,26.2,26.5,26.0,26.4,98548.0,91.0
03/11/2018,26.5,26.5,25.6,25.7,224598.0,274.0
03/12/2018,25.6,26.0,25.3,25.4,86396.0,139.0
03/13/2018,25.3,25.3,24.5,24.6,87588.0,140.0
03/14/2018,25.0,25.2,24.5,24.8,49011.0,69.0
03/15/2018,24.8,25.9,24.5,25.4,207243.0,157.0
03/18/2018,25.2,25.9,24.9,25.0,66302.0,70.0
03/19/2018,24.6,25.2,24.3,24.5,126130.0,122.0
03/20/2018,25.0,25.0,24.3,24.5,39956.0,86.0
03/21/2018,24.3,25.0,23.6,23.9,111417.0,113.0
03/22/2018,23.5,25.6,23.5,24.1,17533.0,59.0
03/25/2018,23.9,24.7,23.9,24.1,34087.0,86.0
03/27/2018,23.9,24.4,23.5,23.6,44743.0,56.0
03/28/2018,23.4,24.4,23.4,23.7,37472.0,47.0
03/29/2018,23.7,24.6,23.7,24.4,92307.0,162.0
04/01/2018,24.9,25.2,24.4,25.0,201247.0,196.0
04/02/2018,24.9,25.6,24.4,25.4,112541.0,118.0
04/03/2018,25.2,25.8,24.5,25.0,201661.0,239.0
04/04/2018,24.8,26.4,24.6,24.8,178845.0,179.0
04/05/2018,24.6,25.1,24.5,24.8,53365.0,122.0
04/08/2018,25.4,25.5,24.7,24.9,146053.0,134.0
04/09/2018,24.9,25.7,24.9,25.2,296280.0,278.0
04/10/2018,25.0,25.6,24.8,25.0,293866.0,191.0
04/11/2018,25.0,25.1,24.6,24.7,57517.0,72.0
04/12/2018,24.8,25.0,24.6,24.7,51545.0,65.0
04/15/2018,24.7,25.0,24.5,24.6,44653.0,86.0
04/16/2018,24.4,25.2,24.2,24.9,452732.0,305.0
04/17/2018,24.9,25.4,24.7,25.0,229862.0,152.0
04/18/2018,24.9,25.7,24.8,24.9,560022.0,414.0
04/19/2018,24.8,25.2,24.8,25.0,273384.0,152.0
04/22/2018,25.2,25.5,25.0,25.0,170961.0,128.0
04/23/2018,25.4,25.5,25.0,25.2,193552.0,164.0
04/24/2018,25.0,25.6,24.9,25.2,227280.0,110.0
04/25/2018,25.3,25.3,24.9,25.0,119035.0,95.0
04/26/2018,25.1,25.6,24.7,24.8,422223.0,285.0
04/30/2018,25.6,26.6,25.5,26.0,340754.0,274.0
05/03/2018,26.2,27.3,26.0,26.9,851247.0,682.0
05/06/2018,27.2,27.3,26.6,27.1,864080.0,691.0
05/07/2018,27.1,27.1,26.1,26.3,399075.0,363.0
05/08/2018,26.0,26.4,25.5,25.5,137768.0,287.0
05/09/2018,25.5,26.2,25.5,26.0,265117.0,285.0
05/10/2018,26.0,26.3,25.7,25.8,162250.0,183.0
05/13/2018,25.7,26.3,25.0,25.2,223395.0,271.0
05/14/2018,25.6,25.6,25.0,25.2,262364.0,211.0
05/15/2018,25.6,25.6,24.9,25.0,277270.0,232.0
05/16/2018,25.0,25.3,24.8,24.9,371992.0,209.0
05/17/2018,25.1,25.4,24.9,25.0,86673.0,155.0
05/20/2018,24.7,25.0,24.3,24.4,72089.0,162.0
05/21/2018,24.4,25.4,24.4,25.2,608638.0,389.0
05/22/2018,25.4,27.2,25.4,26.6,2055603.0,1236.0
05/23/2018,26.8,27.5,26.5,26.9,1619423.0,911.0
05/24/2018,27.0,27.0,26.2,26.5,1228921.0,748.0
05/27/2018,26.9,27.9,26.6,26.9,1725952.0,789.0
05/28/2018,27.0,27.3,26.2,26.3,519831.0,383.0
05/29/2018,26.0,26.6,26.0,26.2,1024953.0,511.0
05/30/2018,26.2,26.8,26.1,26.2,496296.0,381.0
05/31/2018,26.1,26.5,25.6,25.7,290098.0,250.0
06/03/2018,25.7,26.1,25.4,25.5,219592.0,194.0
06/04/2018,25.9,26.0,25.2,25.3,477357.0,269.0
06/05/2018,25.5,26.2,25.2,25.9,299447.0,225.0
06/06/2018,25.8,26.5,25.7,26.1,563068.0,331.0
06/07/2018,26.3,27.1,26.3,26.7,708995.0,570.0
06/10/2018,26.1,26.9,26.0,26.2,296842.0,268.0
