date,open,high,low,close,volume,trade
01/01/2018,222.5,228.1,222.3,226.9,134902.0,890.0
01/02/2018,227.3,229.1,223.7,229.1,56466.0,1313.0
01/03/2018,230.9,232.5,228.2,230.1,61132.0,417.0
01/04/2018,230.7,230.8,225.9,226.6,62062.0,363.0
01/07/2018,225.6,227.1,224.3,225.1,107905.0,396.0
01/08/2018,227.3,227.3,223.9,225.3,57762.0,211.0
01/09/2018,225.0,225.5,223.3,224.2,51946.0,144.0
01/10/2018,224.3,225.1,222.9,223.7,33975.0,161.0
01/11/2018,226.9,226.9,221.0,221.6,53743.0,354.0
01/14/2018,223.5,223.5,220.1,220.6,26155.0,256.0
01/15/2018,220.5,221.0,217.3,218.5,83756.0,364.0
01/16/2018,217.9,223.5,217.8,222.0,50062.0,275.0
01/17/2018,224.3,224.3,221.6,221.8,45150.0,184.0
01/18/2018,222.7,225.4,221.5,224.6,64210.0,227.0
01/21/2018,222.3,228.1,222.3,227.0,45670.0,299.0
01/22/2018,227.3,228.5,222.7,226.1,86452.0,506.0
01/23/2018,226.4,227.6,225.8,226.1,48702.0,822.0
01/24/2018,226.5,229.1,223.8,224.2,66537.0,473.0
01/25/2018,224.4,226.8,222.8,225.6,31731.0,240.0
01/28/2018,226.8,231.8,226.1,227.4,214247.0,758.0
01/29/2018,229.5,229.5,224.8,225.5,133780.0,408.0
01/30/2018,228.0,228.0,224.0,224.3,29742.0,154.0
01/31/2018,227.1,227.2,220.5,221.1,53180.0,270.0
02/01/2018,219.5,222.7,219.5,220.8,31720.0,140.0
02/04/2018,219.8,219.8,217.4,218.4,38310.0,216.0
02/05/2018,220.9,224.1,216.8,219.0,56078.0,247.0
02/06/2018,222.7,222.7,220.1,220.4,23780.0,115.0
02/07/2018,222.0,222.0,219.4,219.6,17283.0,131.0
02/08/2018,221.7,221.7,218.9,219.7,21837.0,153.0
02/11/2018,220.5,226.4,220.0,225.0,53735.0,280.0
02/12/2018,224.7,224.7,220.9,222.5,34590.0,195.0
02/13/2018,224.1,224.2,221.0,221.2,20462.0,158.0
02/14/2018,222.5,223.6,221.0,221.5,39006.0,264.0
02/15/2018,221.6,222.7,220.7,220.8,35896.0,166.0
