date,open,high,low,close,volume,trade
01/01/2018,138.0,140.3,137.4,138.9,49537.0,270.0
01/02/2018,145.7,145.7,140.7,141.5,14492.0,342.0
01/03/2018,141.7,144.3,141.2,143.6,139741.0,567.0
01/04/2018,144.4,144.4,142.7,143.7,86517.0,426.0
01/07/2018,143.3,143.6,141.8,142.6,102153.0,414.0
01/08/2018,143.3,143.3,140.9,141.2,63699.0,262.0
01/09/2018,141.0,141.6,139.0,139.2,106948.0,464.0
01/10/2018,139.3,140.8,138.8,138.9,42811.0,254.0
01/11/2018,138.7,140.2,137.1,137.6,116336.0,531.0
01/14/2018,137.5,138.2,136.7,137.1,33233.0,223.0
01/15/2018,137.0,138.0,133.2,133.9,68266.0,405.0
01/16/2018,134.1,138.2,134.1,137.2,143821.0,674.0
01/17/2018,137.9,138.8,134.2,134.7,114654.0,821.0
01/18/2018,134.4,135.6,133.8,134.2,89403.0,535.0
01/21/2018,135.6,135.6,132.9,133.1,99553.0,784.0
01/22/2018,135.4,135.4,133.5,134.1,130856.0,678.0
01/23/2018,133.9,137.4,133.9,136.7,147451.0,697.0
01/24/2018,136.3,141.5,136.1,141.0,284043.0,1516.0
01/25/2018,142.4,142.5,136.9,138.1,205880.0,972.0
01/28/2018,138.2,138.2,134.5,134.9,79887.0,509.0
01/29/2018,135.2,136.5,134.8,135.0,44618.0,296.0
01/30/2018,136.5,136.5,133.5,133.9,60643.0,371.0
01/31/2018,133.9,134.7,130.4,131.0,136010.0,665.0
02/01/2018,131.0,132.9,130.8,131.6,47658.0,266.0
02/04/2018,131.8,131.8,124.6,125.0,98354.0,529.0
02/05/2018,126.8,128.0,122.6,125.9,85890.0,417.0
02/06/2018,125.3,128.1,125.3,126.0,55836.0,345.0
02/07/2018,125.3,127.0,124.4,125.3,44547.0,279.0
02/08/2018,125.3,126.9,124.6,126.0,30535.0,195.0
02/11/2018,126.6,129.3,126.6,128.4,86092.0,543.0
02/12/2018,128.6,129.4,127.4,127.7,65108.0,453.0
02/13/2018,127.5,128.5,127.4,127.7,58599.0,343.0
02/14/2018,127.1,130.0,127.0,128.7,59287.0,348.0
