date,open,high,low,close,volume,trade
01/01/2018,7.9,7.9,7.9,7.9,31500.0,14.0
01/02/2018,7.9,7.9,7.9,7.9,31500.0,8.0
01/03/2018,7.9,7.9,7.9,7.9,95350.0,31.0
01/04/2018,7.9,8.0,7.8,7.9,8315.0,7.0
01/07/2018,7.9,8.0,7.9,7.9,30330.0,31.0
01/08/2018,7.9,7.9,7.9,7.9,140451.0,38.0
01/09/2018,7.9,7.9,7.8,7.8,84800.0,24.0
01/10/2018,7.8,7.9,7.7,7.7,95801.0,36.0
01/11/2018,7.8,7.8,7.8,7.8,38194.0,24.0
01/14/2018,7.8,7.8,7.7,7.7,126100.0,74.0
01/15/2018,7.7,7.8,7.7,7.7,20641.0,33.0
01/16/2018,7.7,7.8,7.6,7.7,118016.0,25.0
01/17/2018,7.7,7.8,7.6,7.7,118016.0,0.0
01/18/2018,7.8,7.9,7.7,7.8,14370.0,9.0
01/21/2018,7.8,7.8,7.7,7.8,45060.0,14.0
01/22/2018,7.8,7.8,7.7,7.7,111800.0,35.0
01/23/2018,7.7,7.8,7.7,7.8,9500.0,5.0
01/24/2018,7.8,7.8,7.8,7.8,27750.0,33.0
01/25/2018,7.8,7.8,7.7,7.8,5550.0,7.0
01/28/2018,7.7,7.8,7.7,7.8,8090.0,4.0
01/29/2018,7.9,7.9,7.8,7.9,17000.0,7.0
01/30/2018,7.9,8.0,7.8,7.9,20011.0,15.0
01/31/2018,7.8,7.8,7.8,7.8,16731.0,8.0
02/01/2018,7.7,7.8,7.7,7.7,7800.0,15.0
02/04/2018,7.7,7.7,7.6,7.7,15819.0,12.0
02/05/2018,7.7,7.7,7.5,7.6,27265.0,36.0
02/06/2018,7.7,7.7,7.7,7.7,45000.0,26.0
02/07/2018,7.7,7.7,7.7,7.7,32800.0,67.0
02/08/2018,7.7,7.7,7.6,7.6,54700.0,66.0
02/11/2018,7.7,7.7,7.7,7.7,45989.0,34.0
02/12/2018,7.9,7.9,7.7,7.8,14790.0,21.0
02/13/2018,7.7,7.8,7.7,7.7,16116.0,15.0
02/14/2018,7.7,7.8,7.7,7.7,21887.0,23.0
02/15/2018,7.7,7.7,7.6,7.7,12250.0,9.0
02/18/2018,7.7,7.8,7.6,7.6,40160.0,33.0
02/19/2018,7.7,7.7,7.7,7.7,7000.0,7.0
02/20/2018,7.7,7.7,7.6,7.7,10000.0,9.0
02/22/2018,7.7,7.7,7.6,7.6,3000.0,4.0
02/25/2018,7.7,7.7,7.6,7.6,24501.0,16.0
02/26/2018,7.6,7.6,7.6,7.6,18490.0,14.0
02/27/2018,7.6,7.6,7.6,7.6,2000.0,4.0
02/28/2018,7.6,7.7,7.5,7.5,24010.0,17.0
03/01/2018,7.6,7.6,7.5,7.6,4035.0,7.0
03/04/2018,7.6,7.6,7.6,7.6,2150.0,4.0
03/05/2018,7.6,7.6,7.6,7.6,5050.0,7.0
03/06/2018,7.6,7.6,7.6,7.6,5050.0,0.0
03/07/2018,7.6,7.6,7.5,7.6,9050.0,11.0
03/08/2018,7.6,7.6,7.5,7.6,2600.0,7.0
03/11/2018,7.6,7.6,7.6,7.6,2900.0,5.0
03/12/2018,7.6,7.6,7.6,7.6,1000.0,2.0
03/13/2018,7.6,7.6,7.6,7.6,1500.0,4.0
03/14/2018,7.6,7.7,7.6,7.6,5100.0,9.0
03/15/2018,7.6,7.8,7.6,7.8,11925.0,17.0
03/18/2018,7.9,7.9,7.8,7.9,40300.0,23.0
03/19/2018,7.9,8.1,7.9,8.0,144161.0,72.0
03/20/2018,8.1,8.8,8.1,8.8,2895071.0,521.0
03/21/2018,9.0,9.0,8.2,8.2,135650.0,104.0
03/22/2018,8.1,8.2,7.7,7.9,514749.0,192.0
