date,open,high,low,close,volume,trade
01/01/2018,8.2,8.5,8.2,8.5,138776.0,26.0
01/02/2018,8.4,8.4,8.4,8.4,11900.0,26.0
01/03/2018,8.2,8.4,8.2,8.3,37269.0,16.0
01/04/2018,8.3,8.4,8.3,8.4,13785.0,7.0
01/07/2018,8.3,8.6,8.3,8.4,29000.0,12.0
01/08/2018,8.6,8.6,8.5,8.6,6605.0,10.0
01/09/2018,8.4,8.6,8.4,8.6,83950.0,48.0
01/10/2018,8.5,8.5,8.5,8.5,9961.0,9.0
01/11/2018,8.5,8.5,8.4,8.5,5050.0,9.0
01/14/2018,8.4,8.5,8.4,8.5,24455.0,14.0
01/15/2018,8.5,8.5,8.4,8.4,19931.0,12.0
01/16/2018,8.4,8.4,8.4,8.4,1565.0,3.0
01/17/2018,8.3,8.4,8.3,8.3,22200.0,11.0
01/18/2018,8.2,8.5,8.2,8.3,18500.0,5.0
01/21/2018,8.3,8.4,8.3,8.3,200081.0,19.0
01/22/2018,8.4,8.4,8.3,8.4,115100.0,25.0
01/23/2018,8.3,8.5,8.3,8.5,141270.0,42.0
01/24/2018,8.3,8.4,8.2,8.3,18424.0,9.0
01/25/2018,8.3,8.3,8.2,8.3,69250.0,36.0
01/28/2018,8.2,8.3,8.2,8.3,5000.0,5.0
01/29/2018,8.1,8.2,8.0,8.1,137653.0,32.0
01/30/2018,8.2,8.3,8.2,8.3,7245.0,8.0
01/31/2018,8.1,8.4,8.1,8.4,94955.0,18.0
02/01/2018,8.2,8.2,8.1,8.1,10000.0,4.0
02/04/2018,8.1,8.1,7.9,7.9,37200.0,12.0
02/05/2018,7.9,7.9,7.8,7.9,39480.0,13.0
02/06/2018,7.9,8.3,7.9,8.3,36500.0,14.0
02/07/2018,8.2,8.2,8.0,8.2,39735.0,26.0
02/08/2018,8.3,8.3,8.1,8.3,16763.0,8.0
02/11/2018,8.3,8.3,8.1,8.3,16763.0,0.0
02/12/2018,8.3,8.3,8.0,8.0,151000.0,41.0
02/13/2018,8.1,8.2,8.1,8.1,3117.0,6.0
02/14/2018,8.2,8.5,8.1,8.4,156695.0,43.0
02/15/2018,8.2,8.2,8.2,8.2,4000.0,3.0
02/18/2018,8.1,8.1,8.0,8.0,143074.0,24.0
02/19/2018,8.1,8.1,8.1,8.1,64235.0,11.0
02/20/2018,8.0,8.4,8.0,8.3,75800.0,14.0
02/22/2018,8.1,8.4,8.1,8.4,89495.0,18.0
02/25/2018,8.1,8.1,8.0,8.0,18480.0,19.0
02/26/2018,7.9,7.9,7.8,7.8,88530.0,25.0
02/27/2018,7.8,8.0,7.8,7.9,101064.0,12.0
02/28/2018,8.0,8.2,8.0,8.1,73930.0,14.0
03/01/2018,8.0,8.2,8.0,8.2,139264.0,21.0
03/04/2018,8.0,8.2,7.9,8.0,87069.0,24.0
03/05/2018,8.0,8.0,7.9,7.9,8900.0,13.0
03/06/2018,8.0,8.2,8.0,8.1,41122.0,11.0
03/07/2018,8.0,8.0,7.9,7.9,112430.0,15.0
03/08/2018,7.9,7.9,7.8,7.8,20500.0,10.0
03/11/2018,7.8,7.8,7.8,7.8,1000.0,2.0
03/12/2018,7.8,8.1,7.8,8.1,44300.0,12.0
03/13/2018,7.8,7.9,7.8,7.9,4400.0,4.0
03/14/2018,7.8,8.2,7.8,8.1,48000.0,14.0
03/15/2018,8.1,8.2,8.0,8.2,25680.0,8.0
03/18/2018,8.0,8.0,8.0,8.0,9500.0,5.0
03/19/2018,8.0,8.1,8.0,8.1,30632.0,18.0
03/20/2018,8.1,8.9,8.1,8.2,381886.0,128.0
03/21/2018,8.5,8.5,8.3,8.5,54000.0,33.0
03/22/2018,8.3,8.3,8.0,8.0,53230.0,15.0
03/25/2018,8.1,8.1,8.0,8.1,17180.0,13.0
03/27/2018,7.9,7.9,7.8,7.9,63900.0,21.0
03/28/2018,7.9,8.0,7.9,8.0,5350.0,4.0
03/29/2018,7.8,8.1,7.8,8.0,46500.0,9.0
04/01/2018,8.0,8.2,7.8,8.1,105555.0,30.0
04/02/2018,8.1,8.2,8.0,8.1,65800.0,34.0
04/03/2018,8.1,8.1,8.0,8.0,35715.0,32.0
04/04/2018,8.0,8.2,8.0,8.1,35238.0,16.0
04/05/2018,8.2,8.2,8.1,8.2,80620.0,17.0
04/08/2018,8.0,8.0,8.0,8.0,23591.0,9.0
04/09/2018,8.0,8.2,7.8,8.0,108473.0,31.0
04/10/2018,8.0,8.1,7.9,8.0,25800.0,11.0
04/11/2018,8.1,8.6,8.1,8.4,131020.0,20.0
04/12/2018,8.1,8.2,7.9,8.0,53345.0,16.0
04/15/2018,8.0,8.6,8.0,8.2,73990.0,22.0
