date,open,high,low,close,volume,trade
01/01/2018,7.0,7.0,6.8,6.9,218169.0,77.0
01/02/2018,7.1,7.1,6.9,7.0,81660.0,118.0
01/03/2018,6.7,7.0,6.7,6.9,288774.0,130.0
01/04/2018,7.0,7.0,6.8,6.9,485935.0,112.0
01/07/2018,6.9,7.0,6.8,6.9,399488.0,82.0
01/08/2018,7.0,7.0,6.7,6.8,177500.0,79.0
01/09/2018,6.8,6.9,6.7,6.8,158741.0,77.0
01/10/2018,6.8,6.8,6.6,6.7,301040.0,96.0
01/11/2018,6.6,6.8,6.6,6.7,139073.0,65.0
01/14/2018,6.7,6.8,6.4,6.5,187037.0,110.0
01/15/2018,6.5,6.5,6.1,6.2,353652.0,158.0
01/16/2018,6.2,6.4,6.2,6.4,160143.0,73.0
01/17/2018,6.7,6.7,6.4,6.4,243670.0,93.0
01/18/2018,6.5,6.6,6.4,6.5,144206.0,54.0
01/21/2018,6.5,6.5,6.4,6.5,182631.0,43.0
01/22/2018,6.5,6.6,6.5,6.5,182707.0,57.0
01/23/2018,6.5,6.6,6.4,6.4,106137.0,49.0
01/24/2018,6.4,6.5,6.4,6.4,131740.0,63.0
01/25/2018,6.3,6.5,6.3,6.4,29680.0,30.0
01/28/2018,6.4,6.4,6.2,6.3,187270.0,74.0
01/29/2018,6.3,6.4,6.3,6.3,167647.0,53.0
01/30/2018,6.4,6.5,6.3,6.4,82944.0,48.0
01/31/2018,6.3,6.4,6.2,6.3,3379979.0,82.0
02/01/2018,6.3,6.4,6.2,6.3,134647.0,43.0
02/04/2018,6.3,6.3,6.0,6.0,259601.0,80.0
02/05/2018,6.2,6.2,5.9,6.1,120947.0,77.0
02/06/2018,6.1,6.2,5.9,6.0,186824.0,78.0
02/07/2018,6.0,6.1,5.9,6.0,368310.0,86.0
02/08/2018,6.0,6.1,6.0,6.0,81425.0,30.0
02/11/2018,6.1,6.4,6.1,6.3,255301.0,87.0
02/12/2018,6.5,6.5,6.2,6.3,288877.0,106.0
02/13/2018,6.3,6.4,6.2,6.3,172465.0,85.0
02/14/2018,6.3,6.6,6.2,6.2,382240.0,119.0
02/15/2018,6.4,6.4,5.9,6.1,593609.0,128.0
02/18/2018,6.2,6.3,6.0,6.0,279520.0,76.0
02/19/2018,6.1,6.2,6.0,6.1,66878.0,57.0
02/20/2018,6.1,6.2,6.0,6.0,196890.0,80.0
02/22/2018,6.1,6.2,6.0,6.0,111571.0,57.0
02/25/2018,6.0,6.0,5.8,5.9,540376.0,95.0
02/26/2018,5.8,6.0,5.8,5.8,344996.0,80.0
02/27/2018,5.9,6.0,5.6,5.8,311143.0,106.0
02/28/2018,5.8,5.9,5.7,5.7,137655.0,63.0
03/01/2018,5.7,5.9,5.7,5.8,50498.0,27.0
03/04/2018,5.9,5.9,5.7,5.7,58160.0,57.0
03/05/2018,5.8,5.8,5.6,5.7,157900.0,48.0
03/06/2018,5.8,5.8,5.6,5.7,153942.0,55.0
03/07/2018,5.7,5.8,5.7,5.7,56222.0,42.0
03/08/2018,5.8,5.8,5.7,5.7,129615.0,60.0
03/11/2018,5.8,5.8,5.6,5.6,129540.0,37.0
03/12/2018,5.6,5.7,5.5,5.6,166727.0,70.0
03/13/2018,5.6,5.7,5.4,5.5,126510.0,65.0
03/14/2018,5.6,5.6,5.5,5.5,114598.0,43.0
03/15/2018,5.5,5.6,5.1,5.4,353430.0,128.0
03/18/2018,5.5,5.5,5.3,5.4,93297.0,55.0
03/19/2018,5.5,5.5,5.3,5.4,151265.0,46.0
03/20/2018,5.2,5.5,5.2,5.4,36661.0,32.0
03/21/2018,5.4,5.4,5.3,5.4,31885.0,28.0
03/22/2018,5.4,5.4,5.3,5.3,37321.0,24.0
03/25/2018,5.4,5.4,5.3,5.4,73500.0,16.0
03/27/2018,5.3,5.4,5.1,5.2,220767.0,78.0
03/28/2018,5.3,5.4,5.3,5.3,53250.0,26.0
03/29/2018,5.3,5.4,5.3,5.4,101364.0,42.0
04/01/2018,5.6,5.7,5.5,5.7,130634.0,66.0
04/02/2018,5.8,5.9,5.6,5.8,329716.0,105.0
04/03/2018,5.8,5.9,5.4,5.5,196721.0,78.0
04/04/2018,5.6,5.6,5.1,5.3,450821.0,170.0
04/05/2018,5.3,5.4,5.3,5.3,55731.0,45.0
04/08/2018,5.3,5.4,5.1,5.2,189243.0,76.0
04/09/2018,5.2,5.3,5.2,5.2,122699.0,70.0
04/10/2018,5.3,5.4,5.2,5.3,177691.0,63.0
04/11/2018,5.3,5.3,5.2,5.3,66069.0,36.0
04/12/2018,5.4,5.4,5.1,5.1,560469.0,144.0
04/15/2018,5.1,5.2,5.1,5.1,156850.0,84.0
04/16/2018,5.1,5.2,5.0,5.1,120172.0,62.0
04/17/2018,5.1,5.2,5.0,5.1,179746.0,53.0
04/18/2018,5.1,5.2,5.1,5.2,118853.0,30.0
04/19/2018,5.2,5.3,5.1,5.2,337956.0,77.0
04/22/2018,5.3,5.3,5.1,5.1,358691.0,80.0
04/23/2018,5.2,5.2,5.0,5.1,233413.0,92.0
04/24/2018,5.1,5.2,5.0,5.1,241284.0,73.0
04/25/2018,5.1,5.2,5.0,5.1,241284.0,0.0
04/26/2018,5.1,5.2,5.0,5.2,98925.0,39.0
04/30/2018,5.2,5.2,5.1,5.1,42856.0,19.0
05/03/2018,5.1,5.1,5.0,5.0,236707.0,75.0
05/06/2018,5.1,5.1,5.0,5.0,58201.0,41.0
05/07/2018,5.0,5.1,4.9,5.0,202558.0,64.0
05/08/2018,5.0,5.0,4.9,4.9,153960.0,54.0
05/09/2018,5.0,5.0,4.9,4.9,97535.0,51.0
05/10/2018,5.0,5.0,4.9,5.0,107963.0,40.0
05/13/2018,4.9,5.0,4.8,4.9,210084.0,54.0
05/14/2018,5.0,5.0,4.8,4.9,68100.0,25.0
05/15/2018,4.9,5.0,4.9,4.9,20816.0,15.0
05/16/2018,4.9,5.0,4.8,4.9,104962.0,49.0
05/17/2018,4.9,4.9,4.8,4.8,142861.0,35.0
05/20/2018,4.8,4.9,4.8,4.8,170376.0,57.0
05/21/2018,4.8,4.9,4.8,4.9,21600.0,12.0
05/22/2018,4.8,4.9,4.8,4.8,66439.0,25.0
05/23/2018,4.8,4.9,4.7,4.8,297856.0,50.0
05/24/2018,4.8,4.9,4.7,4.8,241600.0,50.0
05/27/2018,4.8,4.9,4.7,4.8,414674.0,132.0
05/28/2018,4.8,4.9,4.8,4.8,53961.0,20.0
05/29/2018,4.8,4.9,4.8,4.8,60230.0,31.0
05/30/2018,4.9,4.9,4.7,4.8,94065.0,48.0
05/31/2018,4.9,4.9,4.7,4.7,113377.0,37.0
06/03/2018,4.7,4.8,4.7,4.7,74844.0,41.0
06/04/2018,4.7,4.8,4.7,4.7,229740.0,58.0
06/05/2018,4.8,4.8,4.7,4.7,100300.0,24.0
06/06/2018,4.7,4.9,4.7,4.8,76622.0,33.0
06/07/2018,4.9,4.9,4.7,4.7,368857.0,69.0
06/10/2018,4.7,4.8,4.6,4.7,176600.0,35.0
06/11/2018,4.8,4.8,4.6,4.7,167726.0,41.0
06/12/2018,4.7,4.9,4.7,4.9,211257.0,36.0
06/18/2018,4.9,5.1,4.9,5.0,203004.0,66.0
06/19/2018,5.0,5.2,5.0,5.2,166630.0,64.0
06/20/2018,5.1,5.2,5.1,5.1,218661.0,67.0
06/21/2018,5.1,5.3,5.0,5.2,178981.0,78.0
06/24/2018,5.2,5.3,5.1,5.3,147103.0,71.0
06/25/2018,5.3,5.3,5.1,5.2,236595.0,59.0
06/26/2018,5.2,5.2,5.0,5.2,233785.0,72.0
06/27/2018,5.1,5.1,5.0,5.1,184000.0,45.0
06/28/2018,5.0,5.1,4.9,4.9,201149.0,53.0
07/02/2018,5.0,5.1,5.0,5.0,117942.0,36.0
07/03/2018,5.0,5.0,4.9,5.0,21935.0,26.0
07/04/2018,5.0,5.1,5.0,5.0,94748.0,34.0
07/05/2018,5.0,5.1,4.9,5.0,436418.0,66.0
07/08/2018,5.0,5.1,5.0,5.0,131630.0,33.0
07/09/2018,5.0,5.3,5.0,5.2,187467.0,54.0
07/10/2018,5.1,5.2,5.1,5.1,101060.0,39.0
07/11/2018,5.2,5.2,5.0,5.1,160303.0,49.0
07/12/2018,5.0,5.2,4.9,5.0,187348.0,41.0
07/15/2018,5.0,5.1,4.9,4.9,235213.0,67.0
07/16/2018,4.9,5.0,4.9,4.9,167100.0,47.0
07/17/2018,4.9,5.0,4.8,4.9,118915.0,39.0
07/18/2018,5.0,5.1,4.9,4.9,418050.0,58.0
07/19/2018,4.9,5.0,4.6,4.7,370144.0,100.0
07/22/2018,4.7,4.8,4.5,4.5,916200.0,188.0
07/23/2018,4.5,4.7,4.4,4.7,347053.0,101.0
07/24/2018,4.5,4.7,4.5,4.5,416830.0,76.0
07/25/2018,4.5,4.6,4.4,4.4,671326.0,139.0
07/26/2018,4.5,4.6,4.4,4.4,54499.0,33.0
07/29/2018,4.5,4.5,4.4,4.5,92138.0,44.0
07/30/2018,4.4,4.5,4.4,4.4,217856.0,
07/31/2018,4.5,4.8,4.4,4.8,634538.0,104.0
08/01/2018,5.2,5.2,5.2,5.2,255751.0,65.0
08/02/2018,5.6,5.6,4.9,4.9,215877.0,136.0
08/05/2018,5.0,5.1,4.8,5.0,21340.0,22.0
08/06/2018,4.9,4.9,4.8,4.9,38575.0,22.0
08/07/2018,4.9,4.9,4.5,4.5,842576.0,224.0
08/08/2018,4.4,4.5,4.1,4.4,892008.0,214.0
08/09/2018,4.3,4.4,4.0,4.2,1010621.0,228.0
08/12/2018,4.2,4.3,3.8,3.9,1975622.0,294.0
08/13/2018,3.9,4.0,3.8,3.8,1492209.0,272.0
08/14/2018,4.0,4.1,3.9,4.1,397080.0,133.0
08/16/2018,4.1,4.5,4.1,4.5,451114.0,154.0
08/19/2018,4.5,4.5,4.2,4.4,153166.0,84.0
08/20/2018,4.4,4.5,4.3,4.5,147520.0,66.0
08/26/2018,4.5,4.5,4.4,4.4,81705.0,49.0
08/27/2018,4.4,4.5,4.3,4.4,68451.0,39.0
08/28/2018,4.4,4.4,4.3,4.4,75259.0,60.0
08/29/2018,4.3,4.4,4.2,4.3,442525.0,88.0
