date,open,high,low,close,volume,trade
01/01/2018,8.2,8.4,8.2,8.2,36834.0,13.0
01/02/2018,8.2,8.4,8.2,8.2,36834.0,4.0
01/03/2018,8.5,8.6,8.4,8.6,49734.0,25.0
01/04/2018,8.6,8.6,8.5,8.5,9200.0,12.0
01/07/2018,8.5,8.5,8.3,8.5,80500.0,13.0
01/08/2018,8.5,8.5,8.4,8.4,7995.0,4.0
01/09/2018,8.3,8.3,8.2,8.2,31505.0,12.0
01/10/2018,8.4,8.5,8.4,8.5,14000.0,7.0
01/11/2018,8.3,8.3,8.3,8.3,500.0,1.0
01/14/2018,8.3,8.5,8.2,8.4,37400.0,14.0
01/15/2018,8.2,8.2,8.2,8.2,500.0,1.0
01/16/2018,8.2,8.2,8.1,8.1,47230.0,19.0
01/17/2018,8.2,8.4,8.2,8.4,22650.0,13.0
01/18/2018,8.4,8.5,8.4,8.5,100600.0,27.0
01/21/2018,8.3,8.6,8.3,8.6,41051.0,38.0
01/22/2018,8.5,8.7,8.4,8.5,48295.0,12.0
01/23/2018,8.5,8.6,8.5,8.6,26220.0,11.0
01/24/2018,8.6,8.8,8.6,8.7,55000.0,13.0
01/25/2018,8.5,8.7,8.5,8.5,37531.0,6.0
01/28/2018,8.6,8.7,8.5,8.6,43100.0,12.0
01/29/2018,8.5,8.6,8.5,8.5,61820.0,14.0
01/30/2018,8.7,8.8,8.7,8.7,19531.0,8.0
01/31/2018,8.5,8.9,8.4,8.8,100747.0,34.0
02/01/2018,8.4,8.5,8.4,8.5,11500.0,4.0
02/04/2018,8.5,8.5,8.3,8.4,69950.0,23.0
02/05/2018,8.3,8.5,8.2,8.3,102031.0,25.0
02/06/2018,8.4,8.6,8.3,8.5,21505.0,9.0
02/07/2018,8.4,8.8,8.4,8.7,122731.0,25.0
02/08/2018,8.6,8.6,8.5,8.6,16855.0,4.0
02/11/2018,8.9,8.9,8.4,8.5,8550.0,5.0
02/12/2018,8.6,8.6,8.4,8.4,116033.0,22.0
02/13/2018,8.6,8.6,8.5,8.5,900.0,2.0
02/14/2018,8.6,8.7,8.4,8.7,58500.0,14.0
02/15/2018,8.4,8.4,8.4,8.4,5000.0,3.0
02/18/2018,8.4,8.5,8.3,8.3,59000.0,14.0
02/19/2018,8.4,8.4,8.3,8.3,25300.0,10.0
02/20/2018,8.4,8.7,8.2,8.4,73390.0,33.0
02/22/2018,8.3,8.5,8.2,8.4,20300.0,10.0
02/25/2018,8.1,8.1,8.0,8.1,10000.0,6.0
02/26/2018,8.2,8.2,8.2,8.2,14000.0,4.0
02/27/2018,8.3,8.3,8.2,8.2,73190.0,16.0
02/28/2018,8.2,8.4,8.2,8.3,9350.0,12.0
