date,open,high,low,close,volume,trade
12/18/2022,13.3,13.3,13.3,13.3,5612.0,136.0
12/19/2022,14.6,14.6,14.6,14.6,291.0,7.0
12/20/2022,16.0,16.0,16.0,16.0,337.0,9.0
12/21/2022,17.6,17.6,17.6,17.6,1135.0,29.0
12/22/2022,19.3,19.3,19.3,19.3,540.0,15.0
12/26/2022,21.2,21.2,21.2,21.2,546.0,14.0
12/27/2022,23.3,23.3,23.3,23.3,891.0,25.0
12/28/2022,25.6,25.6,25.6,25.6,1389.0,36.0
12/29/2022,28.1,28.1,28.1,28.1,17122.0,31.0
01/01/2023,30.9,30.9,30.9,30.9,693.0,19.0
01/02/2023,33.9,33.9,33.9,33.9,5335.0,81.0
01/03/2023,37.2,37.2,37.2,37.2,19636.0,215.0
01/04/2023,40.9,40.9,40.9,40.9,34971.0,448.0
01/05/2023,44.9,44.9,44.9,44.9,46338.0,948.0
01/08/2023,49.3,49.3,44.5,46.2,4951404.0,67149.0
01/09/2023,46.2,46.2,45.8,45.8,34410.0,565.0
01/10/2023,45.4,45.4,45.4,45.4,8367.0,82.0
01/11/2023,45.0,45.0,45.0,45.0,10582.0,47.0
01/12/2023,44.6,44.6,44.6,44.6,4224.0,60.0
01/15/2023,44.2,45.0,44.2,44.2,2483148.0,21998.0
01/16/2023,43.8,44.8,43.8,43.8,565398.0,6873.0
01/17/2023,43.4,43.4,43.4,43.4,33313.0,235.0
01/18/2023,43.0,43.0,43.0,43.0,22492.0,177.0
01/19/2023,42.6,43.0,42.6,42.6,1089626.0,6524.0
01/22/2023,42.2,45.3,42.2,42.6,2480684.0,26047.0
01/23/2023,42.2,43.0,42.2,42.2,869387.0,5417.0
01/24/2023,41.8,42.4,41.8,41.9,1497705.0,6588.0
01/25/2023,41.6,43.0,41.5,42.0,946814.0,6124.0
01/26/2023,42.0,42.5,41.6,41.6,403027.0,1465.0
01/29/2023,41.2,42.3,41.2,41.2,52302.0,180.0
01/30/2023,40.8,40.8,40.8,40.8,7515.0,60.0
01/31/2023,40.4,40.4,40.4,40.4,6032.0,57.0
02/01/2023,40.0,40.0,40.0,40.0,27561.0,103.0
02/02/2023,39.6,40.0,39.6,39.6,495265.0,1111.0
02/05/2023,39.3,40.6,39.3,39.3,598394.0,3448.0
02/06/2023,39.0,39.2,39.0,39.0,81512.0,560.0
02/07/2023,38.7,38.7,38.7,38.7,15565.0,77.0
02/08/2023,38.4,38.4,38.4,38.4,18787.0,69.0
02/09/2023,38.1,38.1,38.1,38.1,18588.0,47.0
02/12/2023,37.8,37.8,37.8,37.8,3275.0,29.0
02/13/2023,37.5,37.5,37.5,37.5,3657.0,23.0
02/14/2023,37.2,37.2,37.2,37.2,2662.0,27.0
02/15/2023,36.9,36.9,36.9,36.9,8148.0,31.0
02/16/2023,36.6,36.6,36.6,36.6,1002.0,15.0
02/19/2023,36.3,36.3,36.3,36.3,1560.0,17.0
02/20/2023,36.0,36.0,36.0,36.0,202.0,10.0
02/22/2023,35.7,35.7,35.7,35.7,3945.0,30.0
02/23/2023,35.4,35.4,35.4,35.4,3007.0,15.0
02/26/2023,35.1,35.1,35.1,35.1,1741.0,14.0
02/27/2023,34.8,34.8,34.8,34.8,1662.0,25.0
02/28/2023,34.5,34.8,34.5,34.5,509877.0,1422.0
03/01/2023,34.2,34.5,34.2,34.2,366641.0,1540.0
03/02/2023,33.9,33.9,31.0,31.8,567329.0,2603.0
03/05/2023,31.5,33.9,31.3,33.7,492486.0,1908.0
03/06/2023,33.7,34.8,33.6,34.0,582490.0,1870.0
03/07/2023,34.0,34.2,32.7,32.9,527627.0,1775.0
03/09/2023,32.9,33.2,32.1,32.3,285210.0,1204.0
03/12/2023,32.3,32.7,30.0,30.8,374077.0,1213.0
03/13/2023,30.8,31.6,30.3,30.9,443926.0,1442.0
03/14/2023,30.9,32.6,30.9,31.8,428597.0,1750.0
03/15/2023,31.9,31.9,30.5,30.7,437145.0,1210.0
03/16/2023,30.5,30.8,29.0,29.3,691696.0,1761.0
03/19/2023,29.4,29.6,27.5,27.8,428316.0,1102.0
03/20/2023,27.7,28.5,27.6,28.1,369269.0,940.0
03/21/2023,28.0,28.7,28.0,28.6,205537.0,921.0
03/22/2023,28.6,28.7,27.4,27.5,311557.0,849.0
03/23/2023,27.6,27.8,27.2,27.6,201980.0,599.0
03/27/2023,27.5,27.7,26.1,26.3,379292.0,1389.0
03/28/2023,26.3,26.9,26.0,26.3,266378.0,1213.0
03/29/2023,26.3,27.3,26.3,27.2,321616.0,1157.0
03/30/2023,27.3,28.6,27.2,28.3,653603.0,1928.0
04/02/2023,28.4,28.6,27.9,28.2,470301.0,1400.0
04/03/2023,28.2,28.4,27.5,27.7,396886.0,1485.0
04/04/2023,27.6,27.8,26.9,27.0,397013.0,1577.0
04/05/2023,26.6,27.0,26.3,26.5,343057.0,1221.0
