date,open,high,low,close,volume,trade
01/01/2018,83.7,83.7,81.4,81.8,173349.0,218.0
01/02/2018,82.1,82.4,81.8,82.4,55639.0,503.0
01/03/2018,82.9,83.0,82.4,82.5,406893.0,348.0
01/04/2018,82.9,82.9,81.6,81.9,482332.0,474.0
01/07/2018,82.9,82.9,80.9,81.2,272857.0,426.0
01/08/2018,81.3,81.3,80.0,80.2,468394.0,534.0
01/09/2018,80.4,80.5,79.2,79.5,336804.0,497.0
01/10/2018,79.5,79.5,78.5,79.2,608044.0,614.0
01/11/2018,79.4,79.7,79.1,79.3,231032.0,286.0
01/14/2018,79.3,79.3,77.2,77.5,272462.0,363.0
01/15/2018,78.5,78.5,76.8,77.2,233046.0,347.0
01/16/2018,77.0,78.1,76.9,77.6,292537.0,400.0
01/17/2018,77.8,78.1,76.6,76.8,279973.0,305.0
01/18/2018,76.7,76.7,75.4,75.9,293670.0,438.0
01/21/2018,76.0,77.5,75.8,76.2,303696.0,467.0
01/22/2018,76.3,78.6,76.3,78.4,505819.0,583.0
01/23/2018,78.4,80.0,78.4,79.4,656414.0,571.0
01/24/2018,79.1,79.6,78.9,79.4,609577.0,535.0
01/25/2018,79.1,79.8,77.8,78.2,593333.0,598.0
01/28/2018,78.7,78.7,77.1,77.3,212597.0,264.0
01/29/2018,77.0,77.0,76.0,76.6,1016311.0,784.0
01/30/2018,76.7,77.4,74.1,75.0,569006.0,645.0
01/31/2018,74.5,74.5,71.8,72.1,1025967.0,1304.0
02/01/2018,72.2,74.0,72.2,72.7,454671.0,496.0
02/04/2018,72.5,73.3,70.0,70.7,550778.0,516.0
02/05/2018,71.4,72.7,67.6,72.1,582784.0,726.0
02/06/2018,73.1,74.1,72.2,73.5,429371.0,573.0
02/07/2018,73.6,76.4,72.6,75.3,750255.0,817.0
02/08/2018,76.0,76.0,74.5,75.2,250980.0,312.0
02/11/2018,76.1,77.1,75.7,76.9,538393.0,593.0
02/12/2018,77.6,77.6,75.2,75.5,376047.0,514.0
02/13/2018,76.0,76.2,75.2,75.7,388914.0,405.0
02/14/2018,75.8,76.1,74.3,74.7,512807.0,473.0
02/15/2018,74.9,75.1,71.8,71.9,786684.0,859.0
02/18/2018,72.4,72.4,68.1,68.5,749266.0,998.0
02/19/2018,69.3,69.9,68.7,69.1,368172.0,575.0
02/20/2018,70.0,71.8,69.7,70.4,529267.0,674.0
02/22/2018,71.2,71.8,70.0,70.4,154123.0,227.0
02/25/2018,71.0,71.0,68.2,68.7,1236033.0,573.0
02/26/2018,68.7,70.4,67.0,67.6,254830.0,445.0
02/27/2018,69.1,69.1,67.6,67.8,227433.0,507.0
02/28/2018,67.9,68.6,67.0,67.9,374825.0,421.0
03/01/2018,67.9,70.9,67.7,69.9,344582.0,406.0
03/04/2018,70.8,71.9,70.1,71.4,433716.0,548.0
03/05/2018,71.4,71.4,69.9,70.5,453460.0,548.0
03/06/2018,71.3,71.3,69.6,70.2,379088.0,375.0
03/07/2018,70.2,70.6,70.0,70.3,415412.0,442.0
03/08/2018,70.2,70.6,70.0,70.3,415412.0,0.0
03/11/2018,68.6,69.4,66.5,67.0,492913.0,589.0
03/12/2018,66.4,67.0,64.8,65.5,276845.0,338.0
03/13/2018,66.3,66.3,64.5,64.9,263508.0,322.0
03/14/2018,66.3,66.3,63.6,64.4,87862.0,202.0
03/15/2018,64.3,65.8,63.2,65.7,319484.0,273.0
03/18/2018,65.6,66.4,65.4,65.6,280302.0,228.0
03/19/2018,66.3,66.3,64.7,65.6,107500.0,175.0
03/20/2018,65.7,65.7,64.7,65.0,214818.0,271.0
03/21/2018,64.8,66.7,64.1,64.3,474422.0,363.0
03/22/2018,65.3,66.2,63.7,65.4,442034.0,302.0
03/25/2018,66.3,66.6,65.2,65.6,142098.0,100.0
03/27/2018,65.6,65.6,64.1,64.2,59637.0,117.0
03/28/2018,64.3,64.8,62.9,63.4,141324.0,230.0
03/29/2018,63.8,65.6,63.6,65.5,161111.0,273.0
04/01/2018,65.7,67.8,65.6,67.1,450632.0,442.0
04/02/2018,67.1,68.2,66.2,67.8,293096.0,385.0
04/03/2018,68.1,68.4,67.4,67.5,412870.0,443.0
04/04/2018,67.7,68.2,67.3,67.5,272870.0,279.0
04/05/2018,67.9,69.5,67.8,69.2,522290.0,456.0
04/08/2018,69.6,69.9,69.4,69.6,348119.0,315.0
04/09/2018,69.5,70.5,68.9,69.3,450367.0,397.0
04/10/2018,70.1,70.3,69.3,69.4,311020.0,271.0
04/11/2018,69.6,70.3,69.4,69.5,474994.0,327.0
04/12/2018,70.0,70.0,66.8,68.4,242760.0,222.0
04/15/2018,68.4,68.9,67.5,68.4,166688.0,183.0
04/16/2018,68.6,68.6,67.8,68.2,189182.0,270.0
04/17/2018,68.4,68.6,68.0,68.1,207497.0,236.0
04/18/2018,68.1,68.5,67.8,68.0,244978.0,210.0
04/19/2018,68.0,68.5,67.8,68.2,147348.0,196.0
04/22/2018,68.4,68.4,67.3,67.3,106305.0,159.0
04/23/2018,67.4,67.9,66.5,67.5,185994.0,317.0
04/24/2018,67.1,67.6,66.7,67.0,140588.0,180.0
04/25/2018,66.9,68.3,66.9,68.1,533886.0,316.0
04/26/2018,68.1,68.1,65.8,66.6,289831.0,326.0
04/30/2018,66.6,67.0,65.8,66.8,310487.0,185.0
05/03/2018,66.5,67.1,66.5,66.9,163203.0,159.0
05/06/2018,67.0,67.4,66.7,67.0,130662.0,161.0
05/07/2018,66.8,67.0,66.4,66.8,212832.0,179.0
05/08/2018,66.5,66.7,65.6,66.0,258658.0,188.0
05/09/2018,66.2,66.2,64.3,64.5,289105.0,282.0
05/10/2018,64.8,64.8,62.9,63.6,250098.0,316.0
05/13/2018,63.8,64.0,63.4,63.7,470648.0,269.0
05/14/2018,64.1,65.4,63.5,65.1,278532.0,163.0
05/15/2018,65.1,66.7,64.1,65.9,533448.0,312.0
05/16/2018,65.5,67.4,65.5,66.8,295955.0,337.0
05/17/2018,66.7,66.7,65.0,65.0,63469.0,111.0
05/20/2018,65.3,65.6,64.8,65.0,93350.0,109.0
05/21/2018,65.7,69.0,65.7,66.6,229730.0,172.0
05/22/2018,66.7,67.6,65.7,66.1,135724.0,177.0
05/23/2018,65.9,66.7,65.5,65.7,71820.0,92.0
05/24/2018,64.8,67.0,64.8,65.9,298259.0,204.0
05/27/2018,66.9,67.0,65.7,65.9,72578.0,111.0
05/28/2018,66.5,66.6,65.4,65.6,184069.0,160.0
05/29/2018,65.5,66.1,64.3,64.6,156877.0,183.0
05/30/2018,64.6,64.8,64.3,64.6,89371.0,156.0
05/31/2018,65.6,67.1,63.6,64.0,192842.0,192.0
06/03/2018,64.3,65.7,63.6,63.8,193677.0,278.0
06/04/2018,64.8,66.2,63.2,64.4,270305.0,213.0
06/05/2018,65.1,66.6,64.2,64.3,355380.0,284.0
06/06/2018,65.5,65.8,63.8,64.2,100636.0,139.0
06/07/2018,65.5,65.5,63.0,63.1,341743.0,288.0
06/10/2018,63.1,63.6,62.1,62.6,153272.0,201.0
06/11/2018,63.9,63.9,62.0,63.1,109800.0,125.0
06/12/2018,63.3,64.3,62.4,63.1,141040.0,219.0
06/18/2018,64.2,65.7,62.9,63.9,116765.0,164.0
06/19/2018,63.0,65.0,63.0,64.0,141896.0,177.0
06/20/2018,64.6,65.5,63.6,63.9,345536.0,325.0
06/21/2018,64.1,64.3,63.6,63.7,270381.0,352.0
06/24/2018,63.9,66.2,63.6,65.6,567587.0,543.0
06/25/2018,66.5,66.5,63.0,63.5,536913.0,479.0
06/26/2018,63.8,64.0,63.0,63.3,348841.0,333.0
06/27/2018,63.5,63.8,63.0,63.3,381571.0,426.0
06/28/2018,63.3,64.8,62.5,63.1,415438.0,456.0
07/02/2018,63.0,64.7,62.0,62.1,540846.0,314.0
07/03/2018,62.1,64.5,58.9,60.2,361548.0,491.0
07/04/2018,61.2,61.2,59.1,59.8,221544.0,278.0
07/05/2018,60.8,61.9,59.9,60.6,392938.0,391.0
07/08/2018,61.0,62.8,60.3,60.7,461251.0,445.0
07/09/2018,61.2,61.4,59.5,59.8,259536.0,324.0
07/10/2018,60.5,60.5,59.0,60.0,438096.0,492.0
07/11/2018,60.0,62.6,60.0,60.4,412515.0,450.0
07/12/2018,60.8,61.7,60.0,61.0,263036.0,361.0
07/15/2018,61.0,61.2,59.8,60.1,313439.0,442.0
07/16/2018,59.6,59.6,59.0,59.2,292473.0,379.0
07/17/2018,59.7,59.7,58.2,58.9,174059.0,257.0
07/18/2018,58.9,58.9,55.6,56.5,358371.0,700.0
07/19/2018,56.3,56.3,54.3,55.0,467157.0,573.0
07/22/2018,56.1,56.2,54.5,56.0,210810.0,284.0
07/23/2018,56.5,57.6,56.3,57.0,366577.0,459.0
07/24/2018,57.6,58.0,56.5,56.9,230984.0,317.0
07/25/2018,56.9,57.1,56.2,56.5,156448.0,211.0
07/26/2018,56.5,57.0,55.7,56.9,251114.0,210.0
07/29/2018,57.0,57.0,54.9,55.3,235064.0,363.0
07/30/2018,55.0,56.6,55.0,55.7,235017.0,
07/31/2018,55.3,56.7,55.0,55.1,343555.0,345.0
08/01/2018,55.5,57.0,55.4,56.2,307536.0,348.0
08/02/2018,56.2,58.8,56.2,57.3,387266.0,503.0
08/05/2018,57.4,58.5,56.2,58.0,253851.0,291.0
08/06/2018,57.6,57.6,56.2,57.0,180945.0,250.0
08/07/2018,56.7,57.5,55.2,56.6,79679.0,141.0
08/08/2018,58.1,59.0,56.4,57.2,191577.0,232.0
08/09/2018,56.9,58.2,56.9,57.1,201890.0,326.0
08/12/2018,57.1,57.9,56.5,57.0,252782.0,310.0
08/13/2018,57.0,59.0,57.0,57.6,263609.0,409.0
08/14/2018,57.7,58.1,56.9,57.0,191648.0,310.0
08/16/2018,57.3,60.9,57.3,60.3,902081.0,989.0
