date,open,high,low,close,volume,trade
01/01/2018,113.2,113.2,108.6,110.1,142052.0,280.0
01/02/2018,111.5,111.5,110.2,110.2,5050.0,663.0
01/03/2018,113.0,113.0,109.4,110.3,1542884.0,2018.0
01/04/2018,110.3,114.0,109.3,112.6,1182888.0,1856.0
01/07/2018,112.6,116.1,112.6,114.9,1650120.0,2414.0
01/08/2018,114.7,116.0,112.7,113.2,1433657.0,1769.0
01/09/2018,113.4,115.2,113.4,114.8,854411.0,1221.0
01/10/2018,114.8,118.2,114.8,116.6,2672998.0,2916.0
01/11/2018,117.3,117.5,115.8,116.0,1712523.0,1727.0
01/14/2018,116.0,116.6,114.4,114.7,1185600.0,1262.0
01/15/2018,115.1,115.7,112.2,113.0,1043730.0,1190.0
01/16/2018,113.4,113.8,112.0,112.9,940411.0,1164.0
01/17/2018,113.4,113.7,112.0,112.5,1123143.0,1299.0
01/18/2018,112.1,113.4,111.7,112.4,1045029.0,1504.0
01/21/2018,112.6,116.2,112.6,114.0,1322365.0,1627.0
01/22/2018,115.1,117.4,115.1,117.1,2595055.0,2832.0
01/23/2018,117.1,118.4,117.0,117.5,2634355.0,2552.0
01/24/2018,118.5,118.5,115.7,116.8,927322.0,1395.0
01/25/2018,117.1,117.1,115.7,116.0,727363.0,952.0
01/28/2018,116.8,116.9,113.2,114.2,1838919.0,1911.0
01/29/2018,114.2,115.1,113.4,114.2,784071.0,1173.0
01/30/2018,115.0,115.3,112.6,112.7,572960.0,976.0
01/31/2018,113.1,113.1,109.5,110.7,1077150.0,1341.0
02/01/2018,111.3,112.4,110.7,111.4,405387.0,710.0
02/04/2018,111.2,111.4,108.5,108.8,573745.0,749.0
02/05/2018,109.6,111.3,107.9,110.4,650636.0,1072.0
02/06/2018,110.8,111.5,110.0,110.3,539871.0,911.0
02/07/2018,110.6,110.6,108.2,108.5,676902.0,1013.0
02/08/2018,109.3,109.3,108.1,108.2,368982.0,648.0
02/11/2018,108.8,111.0,108.7,110.6,472077.0,941.0
02/12/2018,111.2,111.5,108.9,109.4,947639.0,1391.0
02/13/2018,109.5,111.3,109.2,110.2,558091.0,946.0
