date,open,high,low,close,volume,trade
01/01/2018,6.3,6.3,6.2,6.3,110791.0,19.0
01/02/2018,6.3,6.3,6.2,6.3,110791.0,10.0
01/03/2018,6.2,6.3,6.2,6.3,627749.0,65.0
01/04/2018,6.2,6.3,6.2,6.3,8715.0,17.0
01/07/2018,6.2,6.3,6.2,6.2,213089.0,28.0
01/08/2018,6.2,6.3,6.2,6.2,99704.0,18.0
01/09/2018,6.2,6.3,6.2,6.2,90002.0,38.0
01/10/2018,6.2,6.2,6.1,6.2,95675.0,15.0
01/11/2018,6.2,6.2,6.1,6.1,21461.0,14.0
01/14/2018,6.1,6.1,6.1,6.1,44409.0,25.0
01/15/2018,6.1,6.2,6.0,6.1,30190.0,25.0
01/16/2018,6.0,6.1,6.0,6.1,59266.0,13.0
01/17/2018,6.1,6.1,6.0,6.1,27373.0,8.0
01/18/2018,6.1,6.1,6.0,6.1,58991.0,16.0
01/21/2018,6.0,6.1,6.0,6.0,131904.0,23.0
01/22/2018,6.0,6.1,6.0,6.0,170936.0,22.0
01/23/2018,6.1,6.1,6.0,6.1,47392.0,6.0
01/24/2018,6.0,6.1,6.0,6.0,30516.0,10.0
01/25/2018,6.0,6.0,6.0,6.0,135883.0,28.0
01/28/2018,6.1,6.1,6.0,6.0,90721.0,20.0
01/29/2018,6.0,6.1,6.0,6.0,28813.0,7.0
01/30/2018,6.1,6.2,6.0,6.1,94406.0,28.0
01/31/2018,6.1,6.1,6.0,6.1,163826.0,24.0
02/01/2018,6.0,6.1,5.9,6.0,1255577.0,113.0
02/04/2018,6.0,6.0,5.8,5.9,202421.0,45.0
02/05/2018,5.9,5.9,5.8,5.8,150304.0,29.0
02/06/2018,5.8,6.0,5.8,5.9,31448.0,20.0
02/07/2018,5.9,6.0,5.8,5.9,38285.0,19.0
02/08/2018,5.9,6.0,5.9,6.0,1120.0,10.0
02/11/2018,6.0,6.1,5.9,6.0,957361.0,89.0
02/12/2018,6.1,6.1,5.9,6.0,199008.0,24.0
02/13/2018,6.0,6.0,5.9,5.9,54770.0,17.0
02/14/2018,6.0,6.1,5.9,6.0,93105.0,20.0
02/15/2018,6.0,6.1,6.0,6.0,158435.0,22.0
02/18/2018,6.1,6.1,5.9,5.9,56347.0,8.0
02/19/2018,5.9,5.9,5.9,5.9,348382.0,17.0
02/20/2018,5.9,6.0,5.9,5.9,141155.0,29.0
02/22/2018,5.9,5.9,5.9,5.9,56152.0,10.0
02/25/2018,5.9,5.9,5.7,5.8,185290.0,42.0
02/26/2018,5.7,5.8,5.7,5.8,159150.0,23.0
02/27/2018,5.8,5.8,5.7,5.8,75548.0,23.0
02/28/2018,5.8,5.8,5.7,5.8,45264.0,18.0
03/01/2018,5.8,6.0,5.8,5.9,181050.0,16.0
03/04/2018,6.0,6.1,5.9,6.0,285152.0,28.0
03/05/2018,6.0,6.1,5.9,6.0,641600.0,63.0
03/06/2018,6.0,6.0,5.9,6.0,489504.0,35.0
03/07/2018,6.0,6.0,5.9,6.0,1858897.0,159.0
03/08/2018,6.0,6.0,5.9,6.0,285588.0,27.0
03/11/2018,5.9,6.0,5.9,5.9,16659.0,13.0
03/12/2018,5.9,6.0,5.9,6.0,1073698.0,117.0
03/13/2018,5.9,6.0,5.8,5.9,109441.0,30.0
03/14/2018,6.0,6.0,5.8,5.8,11257.0,14.0
03/15/2018,6.0,6.1,5.8,6.0,1217858.0,73.0
03/18/2018,6.1,6.1,6.0,6.0,253984.0,25.0
03/19/2018,6.1,6.1,5.9,6.0,1584690.0,115.0
03/20/2018,6.1,6.3,5.9,6.2,2083762.0,188.0
03/21/2018,6.2,6.2,6.1,6.1,471790.0,32.0
03/22/2018,6.2,6.2,5.9,6.1,814335.0,57.0
03/25/2018,6.1,6.1,5.9,6.0,207247.0,30.0
03/27/2018,6.0,6.0,5.9,6.0,190322.0,18.0
03/28/2018,6.0,6.0,5.8,6.0,822500.0,37.0
03/29/2018,6.0,6.0,5.9,6.0,47675.0,17.0
04/01/2018,6.0,6.1,6.0,6.0,18009.0,10.0
04/02/2018,6.1,6.1,6.0,6.1,244161.0,37.0
04/03/2018,6.1,6.3,6.0,6.2,1411045.0,100.0
04/04/2018,6.1,6.3,6.1,6.2,750441.0,52.0
04/05/2018,6.1,6.2,6.1,6.2,261414.0,42.0
04/08/2018,6.3,6.3,6.2,6.2,364900.0,49.0
04/09/2018,6.3,6.3,6.2,6.2,150375.0,21.0
04/10/2018,6.3,6.3,6.2,6.2,85117.0,19.0
04/11/2018,6.3,6.3,6.2,6.3,419118.0,31.0
04/12/2018,6.2,6.3,6.2,6.2,562158.0,18.0
04/15/2018,6.1,6.2,6.0,6.0,375230.0,26.0
04/16/2018,6.1,6.1,6.0,6.0,650005.0,27.0
04/17/2018,6.0,6.2,6.0,6.2,1708650.0,71.0
