date,open,high,low,close,volume,trade
01/01/2018,7.5,7.5,7.4,7.5,35462.0,20.0
01/02/2018,7.5,7.5,7.5,7.5,6199.0,14.0
01/03/2018,7.5,7.6,7.5,7.6,137809.0,32.0
01/04/2018,7.5,7.6,7.5,7.6,11538.0,11.0
01/07/2018,7.6,7.6,7.5,7.5,73732.0,14.0
01/08/2018,7.5,7.6,7.5,7.5,85954.0,40.0
01/09/2018,7.5,7.6,7.5,7.5,68275.0,25.0
01/10/2018,7.4,7.6,7.4,7.6,11240.0,16.0
01/11/2018,7.5,7.6,7.5,7.5,18440.0,18.0
01/14/2018,7.6,7.6,7.5,7.5,125000.0,52.0
01/15/2018,7.5,7.5,7.4,7.5,90026.0,25.0
01/16/2018,7.5,7.6,7.4,7.5,71061.0,27.0
01/17/2018,7.4,7.6,7.4,7.5,38000.0,29.0
01/18/2018,7.5,7.6,7.5,7.6,55600.0,34.0
01/21/2018,7.5,7.7,7.5,7.7,75385.0,33.0
01/22/2018,7.6,7.7,7.6,7.7,85115.0,27.0
01/23/2018,7.6,7.7,7.6,7.7,95136.0,29.0
01/24/2018,7.6,7.7,7.5,7.7,38525.0,20.0
01/25/2018,7.5,7.7,7.5,7.6,8620.0,19.0
01/28/2018,7.6,7.7,7.6,7.7,88200.0,54.0
01/29/2018,7.7,7.8,7.6,7.8,130804.0,57.0
01/30/2018,7.7,7.7,7.6,7.7,36922.0,13.0
01/31/2018,7.6,7.7,7.6,7.7,74100.0,15.0
02/01/2018,7.6,7.6,7.6,7.6,56240.0,13.0
02/04/2018,7.5,7.6,7.5,7.6,40100.0,31.0
02/05/2018,7.5,7.6,7.4,7.4,140039.0,59.0
02/06/2018,7.4,7.6,7.4,7.5,78500.0,31.0
02/07/2018,7.4,7.5,7.4,7.5,33868.0,15.0
02/08/2018,7.5,7.6,7.5,7.5,21339.0,17.0
02/11/2018,7.5,7.6,7.5,7.6,18842.0,14.0
02/12/2018,7.6,7.7,7.6,7.7,43480.0,24.0
02/13/2018,7.7,7.7,7.5,7.7,17425.0,18.0
02/14/2018,7.6,7.7,7.5,7.6,63195.0,29.0
02/15/2018,7.5,7.5,7.5,7.5,3081.0,10.0
02/18/2018,7.5,7.6,7.5,7.5,21225.0,14.0
02/19/2018,7.5,7.5,7.4,7.5,109188.0,42.0
02/20/2018,7.5,7.5,7.3,7.4,164430.0,78.0
02/22/2018,7.4,7.5,7.4,7.4,19402.0,21.0
02/25/2018,7.4,7.4,7.3,7.4,23545.0,23.0
02/26/2018,7.4,7.4,7.3,7.4,32942.0,46.0
02/27/2018,7.4,7.4,7.3,7.3,34130.0,14.0
02/28/2018,7.4,7.4,7.3,7.3,148247.0,29.0
03/01/2018,7.3,7.5,7.3,7.5,7437.0,5.0
03/04/2018,7.5,7.5,7.4,7.5,23300.0,15.0
03/05/2018,7.5,7.5,7.4,7.5,33850.0,20.0
03/06/2018,7.4,7.5,7.3,7.4,106263.0,22.0
03/07/2018,7.4,7.4,7.4,7.4,73540.0,15.0
03/08/2018,7.4,7.4,7.3,7.4,106500.0,15.0
03/11/2018,7.4,7.4,7.3,7.4,42580.0,9.0
03/12/2018,7.3,7.3,7.3,7.3,9503.0,7.0
03/13/2018,7.3,7.3,7.3,7.3,389644.0,21.0
03/14/2018,7.3,7.3,7.2,7.3,67915.0,20.0
03/15/2018,7.4,7.4,7.3,7.4,111733.0,20.0
03/18/2018,7.4,7.5,7.4,7.4,47532.0,20.0
03/19/2018,7.4,7.5,7.4,7.5,198920.0,39.0
03/20/2018,7.5,7.8,7.5,7.8,565298.0,119.0
03/21/2018,7.7,7.7,7.5,7.5,128000.0,30.0
03/22/2018,7.5,7.6,7.4,7.5,66738.0,25.0
03/25/2018,7.5,7.5,7.4,7.4,90641.0,30.0
03/27/2018,7.4,7.4,7.4,7.4,62050.0,20.0
03/28/2018,7.4,7.5,7.3,7.4,29175.0,21.0
03/29/2018,7.5,7.5,7.4,7.4,106423.0,22.0
04/01/2018,7.5,7.6,7.4,7.4,123241.0,42.0
04/02/2018,7.5,7.6,7.4,7.5,69632.0,30.0
04/03/2018,7.5,7.6,7.3,7.4,169052.0,52.0
04/04/2018,7.4,7.4,7.4,7.4,61202.0,24.0
04/05/2018,7.4,7.5,7.4,7.4,20520.0,24.0
04/08/2018,7.4,7.4,7.4,7.4,173105.0,51.0
04/09/2018,7.4,7.4,7.3,7.4,95818.0,24.0
04/10/2018,7.4,7.5,7.4,7.5,107894.0,10.0
04/11/2018,7.5,7.6,7.4,7.4,85230.0,40.0
04/12/2018,7.4,7.5,7.4,7.5,24250.0,19.0
04/15/2018,7.5,7.5,7.4,7.5,40850.0,15.0
04/16/2018,7.4,7.5,7.4,7.5,48800.0,11.0
04/17/2018,7.4,7.6,7.4,7.5,25606.0,20.0
04/18/2018,7.6,7.6,7.5,7.6,11044.0,7.0
04/19/2018,7.6,7.6,7.5,7.5,3919.0,8.0
04/22/2018,7.6,7.6,7.5,7.6,56449.0,25.0
04/23/2018,7.5,7.6,7.5,7.5,12860.0,16.0
04/24/2018,7.5,7.5,7.4,7.5,23000.0,25.0
04/25/2018,7.5,7.6,7.4,7.5,57690.0,27.0
04/26/2018,7.5,7.5,7.4,7.5,65503.0,14.0
04/30/2018,7.4,7.4,7.4,7.4,40400.0,18.0
05/03/2018,7.4,7.5,7.4,7.4,28050.0,39.0
05/06/2018,7.5,7.5,7.4,7.5,13772.0,17.0
05/07/2018,7.4,7.5,7.4,7.5,9605.0,19.0
05/08/2018,7.5,7.6,7.5,7.6,41544.0,13.0
05/09/2018,7.5,7.6,7.5,7.5,11147.0,16.0
05/10/2018,7.5,7.6,7.5,7.5,16467.0,11.0
05/13/2018,7.5,7.5,7.4,7.5,10789.0,18.0
05/14/2018,7.5,7.5,7.4,7.5,64557.0,12.0
05/15/2018,7.5,7.5,7.4,7.5,41640.0,34.0
05/16/2018,7.5,7.5,7.4,7.4,3000.0,7.0
05/17/2018,7.4,7.4,7.3,7.3,118955.0,29.0
05/20/2018,7.3,7.3,7.2,7.2,116435.0,45.0
05/21/2018,7.3,7.4,7.3,7.4,13100.0,9.0
05/22/2018,7.3,7.5,7.3,7.5,55490.0,31.0
05/23/2018,7.3,7.4,7.3,7.4,7515.0,8.0
05/24/2018,7.3,7.5,7.3,7.4,19500.0,19.0
05/27/2018,7.4,7.4,7.3,7.4,9388.0,7.0
05/28/2018,7.4,7.4,7.3,7.4,18500.0,22.0
05/29/2018,7.3,7.4,7.3,7.4,3947.0,6.0
05/30/2018,7.3,7.4,7.3,7.4,27370.0,8.0
05/31/2018,7.3,7.4,7.3,7.4,7905.0,5.0
06/03/2018,7.3,7.4,7.3,7.4,12054.0,11.0
06/04/2018,7.4,7.5,7.4,7.4,36500.0,21.0
06/05/2018,7.4,7.5,7.4,7.5,21541.0,16.0
06/06/2018,7.5,7.5,7.4,7.4,12201.0,8.0
06/07/2018,7.4,7.4,7.4,7.4,14000.0,7.0
06/10/2018,7.4,7.6,7.4,7.5,21508.0,21.0
06/11/2018,7.4,7.6,7.4,7.5,20500.0,16.0
06/12/2018,7.4,7.6,7.4,7.6,73137.0,23.0
