date,open,high,low,close,volume,trade
04/07/2021,75.0,75.0,75.0,75.0,19732.0,179.0
04/08/2021,85.0,85.0,71.0,72.4,1133963.0,7133.0
04/11/2021,68.1,68.1,65.2,65.3,380300.0,3783.0
04/12/2021,61.3,65.4,58.8,58.8,477992.0,2561.0
04/13/2021,55.6,63.8,55.6,62.4,233997.0,1228.0
04/15/2021,61.4,63.0,61.0,61.7,271524.0,956.0
04/18/2021,61.1,61.9,59.5,60.3,351261.0,1208.0
04/19/2021,60.7,62.5,59.4,61.3,196520.0,947.0
04/20/2021,62.4,62.4,60.5,61.1,187928.0,991.0
04/21/2021,62.9,63.4,61.2,61.6,168754.0,719.0
04/22/2021,62.6,62.6,60.3,60.7,123383.0,562.0
04/25/2021,60.7,62.1,59.6,60.7,228401.0,940.0
04/26/2021,61.5,62.3,60.5,61.0,119610.0,792.0
04/27/2021,60.5,60.6,58.6,59.3,140883.0,812.0
04/28/2021,59.6,61.8,59.2,60.9,121048.0,561.0
04/29/2021,62.5,64.5,61.9,62.7,337379.0,1100.0
05/02/2021,62.3,63.7,62.0,62.4,136089.0,748.0
05/03/2021,62.1,63.0,60.4,60.7,219610.0,573.0
05/04/2021,60.6,61.0,60.2,60.3,104761.0,466.0
05/05/2021,61.0,62.7,60.4,62.0,137660.0,845.0
05/06/2021,62.3,66.9,61.6,64.9,368380.0,1083.0
05/09/2021,65.4,67.8,64.6,66.1,482374.0,1107.0
05/11/2021,67.1,67.8,65.1,66.6,265228.0,939.0
05/12/2021,68.2,73.2,68.2,73.2,293612.0,688.0
05/16/2021,80.5,80.5,76.0,80.5,937434.0,1026.0
05/17/2021,83.5,83.5,76.4,77.2,801362.0,2226.0
05/18/2021,76.5,84.9,76.5,84.9,546565.0,1434.0
05/19/2021,86.9,88.9,81.5,82.6,602221.0,1603.0
05/20/2021,82.9,90.8,81.1,88.2,640473.0,1911.0
05/23/2021,91.2,97.0,91.2,93.0,857638.0,1960.0
05/24/2021,93.0,99.0,93.0,94.6,480346.0,1261.0
05/25/2021,95.0,96.9,89.6,90.5,447827.0,1329.0
05/27/2021,90.6,94.5,87.2,90.5,379642.0,1177.0
05/30/2021,91.9,93.0,83.0,87.8,356760.0,1017.0
05/31/2021,88.0,88.0,82.5,83.4,372681.0,1348.0
06/01/2021,83.5,86.9,83.4,83.8,288617.0,818.0
06/02/2021,86.0,86.0,80.0,81.2,245971.0,893.0
06/03/2021,81.7,86.5,81.7,85.6,239568.0,706.0
06/06/2021,85.9,87.7,81.1,81.7,348135.0,943.0
06/07/2021,82.4,86.7,82.3,84.8,396315.0,890.0
06/08/2021,85.5,86.0,82.1,83.2,194288.0,540.0
06/09/2021,84.8,91.5,84.8,91.5,531105.0,739.0
06/10/2021,100.6,100.6,100.6,100.6,677241.0,450.0
06/13/2021,110.6,110.6,110.6,110.6,673749.0,299.0
06/14/2021,121.6,121.6,117.1,121.6,1846193.0,1470.0
06/15/2021,133.7,133.7,117.6,131.9,1785738.0,2371.0
06/16/2021,131.9,133.0,119.0,124.9,1339368.0,1633.0
06/17/2021,124.9,124.9,112.5,113.6,1334219.0,2108.0
06/20/2021,113.4,124.9,113.4,124.9,956785.0,1690.0
06/21/2021,126.9,127.7,113.0,114.6,717904.0,2126.0
06/22/2021,114.2,116.6,109.0,110.8,436121.0,1379.0
06/23/2021,114.7,116.0,106.4,107.6,373816.0,1404.0
06/24/2021,107.6,115.0,103.2,110.5,354716.0,1173.0
06/27/2021,110.3,114.9,103.4,104.2,431434.0,1288.0
06/28/2021,105.1,109.0,102.5,103.0,265654.0,855.0
06/29/2021,104.1,106.5,98.1,100.4,387448.0,1089.0
06/30/2021,103.8,109.4,102.5,108.6,378191.0,1092.0
07/05/2021,109.5,111.9,103.8,104.8,399185.0,927.0
07/06/2021,104.9,106.2,102.5,103.0,324316.0,860.0
07/07/2021,104.1,113.3,103.4,111.7,625521.0,1502.0
07/08/2021,115.0,119.3,110.5,114.2,689747.0,1604.0
07/12/2021,112.7,113.6,108.6,109.2,432415.0,1020.0
07/13/2021,109.6,112.8,107.2,110.9,276468.0,869.0
07/14/2021,111.7,113.9,108.2,108.6,350550.0,939.0
07/15/2021,108.1,111.5,108.1,109.4,354483.0,877.0
07/18/2021,109.5,120.3,109.2,120.3,1037713.0,1527.0
07/19/2021,123.5,124.4,116.5,117.7,432703.0,1220.0
07/25/2021,117.1,127.1,117.1,124.1,687773.0,1420.0
07/26/2021,125.5,126.0,113.0,118.0,541885.0,1157.0
07/27/2021,119.0,120.4,115.3,119.1,303046.0,814.0
07/28/2021,122.5,125.0,119.8,122.6,451334.0,973.0
07/29/2021,124.9,132.0,124.4,128.8,1157596.0,1911.0
08/02/2021,130.5,141.6,130.5,141.6,719276.0,1305.0
08/03/2021,144.9,148.0,134.0,136.1,806681.0,1834.0
08/05/2021,136.2,145.0,136.2,138.8,719585.0,1538.0
08/09/2021,138.9,144.7,134.8,138.9,595461.0,1268.0
08/10/2021,138.5,141.0,132.8,134.0,438860.0,996.0
08/11/2021,133.0,138.0,132.5,134.1,407710.0,892.0
08/12/2021,135.6,143.7,135.6,142.1,674753.0,1105.0
08/16/2021,142.9,147.8,140.6,142.5,654279.0,1161.0
08/17/2021,143.0,144.4,135.2,138.0,489146.0,989.0
08/18/2021,138.4,140.4,134.2,135.2,422359.0,767.0
08/19/2021,137.4,141.7,136.5,138.3,365271.0,682.0
08/22/2021,138.9,140.6,135.3,136.5,366158.0,820.0
08/23/2021,139.0,140.3,133.5,134.0,424226.0,956.0
08/24/2021,136.0,136.0,130.0,130.8,376199.0,1093.0
08/25/2021,134.4,134.4,129.1,130.1,239426.0,626.0
08/26/2021,133.0,136.4,129.5,135.2,265399.0,730.0
08/29/2021,136.1,137.9,130.6,131.3,197510.0,607.0
08/31/2021,132.1,133.7,129.0,129.7,223111.0,616.0
09/01/2021,132.0,134.0,129.8,132.9,164199.0,523.0
09/02/2021,133.5,139.9,133.5,137.8,485134.0,1163.0
09/05/2021,138.9,140.5,134.1,135.6,394288.0,936.0
09/06/2021,137.9,137.9,131.0,132.0,432679.0,1147.0
09/07/2021,133.8,135.6,130.9,131.5,356192.0,909.0
09/08/2021,134.9,135.0,131.8,132.9,253826.0,608.0
09/09/2021,134.8,135.0,131.0,131.7,219194.0,636.0
09/12/2021,134.0,134.4,130.0,131.0,270866.0,657.0
09/13/2021,132.5,133.0,127.9,128.8,276429.0,876.0
09/14/2021,131.0,131.0,123.3,124.6,263300.0,732.0
09/15/2021,126.9,130.9,124.6,128.5,245521.0,711.0
09/16/2021,128.8,133.0,128.1,130.3,380836.0,1053.0
09/19/2021,132.4,132.4,125.2,125.9,149421.0,497.0
09/20/2021,129.0,129.9,124.9,125.0,112712.0,454.0
09/21/2021,125.0,127.7,125.0,126.1,84241.0,342.0
09/22/2021,126.3,128.4,124.8,124.9,133264.0,452.0
09/23/2021,125.1,126.4,122.5,123.2,196800.0,483.0
09/26/2021,125.9,125.9,122.1,122.5,112850.0,351.0
09/27/2021,123.9,123.9,121.6,121.9,177097.0,415.0
09/28/2021,121.9,123.5,119.4,120.2,204659.0,570.0
09/29/2021,124.3,124.3,118.4,119.6,180464.0,539.0
09/30/2021,120.0,121.8,118.0,118.4,155779.0,457.0
10/03/2021,121.4,128.0,121.4,126.5,349611.0,1060.0
10/04/2021,127.9,130.4,120.2,123.4,214811.0,755.0
10/05/2021,123.5,123.5,119.0,119.6,191708.0,646.0
10/06/2021,121.5,122.5,113.3,114.6,190353.0,554.0
10/07/2021,117.5,119.5,115.0,117.5,108398.0,412.0
10/10/2021,120.0,120.0,110.6,114.5,207056.0,932.0
10/11/2021,116.9,117.0,110.5,111.4,143802.0,711.0
10/12/2021,115.2,115.2,108.2,108.7,116289.0,586.0
10/13/2021,112.5,112.5,109.0,110.9,100573.0,563.0
10/14/2021,112.5,112.5,109.5,110.7,95671.0,457.0
10/17/2021,112.0,112.0,109.3,109.9,104816.0,368.0
10/18/2021,110.1,110.1,107.8,108.1,80822.0,339.0
10/19/2021,110.0,110.8,107.7,108.9,120325.0,366.0
10/21/2021,111.8,111.8,103.8,107.1,39177.0,206.0
10/24/2021,107.5,107.9,105.2,105.8,90972.0,215.0
10/25/2021,106.0,106.0,101.0,103.7,65855.0,171.0
10/26/2021,103.8,106.4,103.7,105.2,28445.0,144.0
10/27/2021,107.5,107.7,104.5,105.6,45288.0,229.0
10/28/2021,107.4,107.4,104.2,105.3,58277.0,294.0
10/31/2021,107.4,107.4,104.2,105.3,58277.0,0.0
11/01/2021,101.3,105.0,101.0,103.1,35274.0,208.0
11/02/2021,105.3,112.0,103.0,108.2,64421.0,340.0
11/03/2021,110.0,110.0,105.5,105.9,62403.0,264.0
11/04/2021,108.0,108.0,104.0,104.8,23991.0,189.0
11/07/2021,104.5,105.5,102.4,102.7,15226.0,134.0
11/08/2021,101.3,105.0,100.0,104.1,116704.0,430.0
11/09/2021,106.5,108.2,105.0,107.4,47549.0,284.0
11/10/2021,108.8,109.9,106.3,107.9,70093.0,308.0
11/11/2021,106.4,109.8,106.4,107.1,34700.0,151.0
11/14/2021,107.9,115.0,107.5,112.5,176250.0,692.0
11/15/2021,113.4,113.8,110.7,111.2,64041.0,265.0
11/16/2021,112.6,113.0,108.2,110.2,118615.0,434.0
11/17/2021,112.2,121.2,108.7,121.0,346146.0,1031.0
11/18/2021,122.7,125.7,120.0,122.3,215661.0,859.0
11/21/2021,122.0,124.5,112.0,115.7,125724.0,424.0
11/22/2021,112.2,116.8,112.1,115.9,64127.0,294.0
11/23/2021,117.7,117.8,115.8,116.7,89881.0,275.0
11/24/2021,116.6,118.2,113.7,114.1,90821.0,271.0
11/25/2021,116.5,116.5,113.0,113.7,48073.0,161.0
11/28/2021,116.0,116.0,111.1,112.3,105098.0,134.0
11/29/2021,114.3,114.4,110.0,110.1,70026.0,199.0
11/30/2021,110.3,112.9,109.0,111.1,101865.0,255.0
12/01/2021,114.0,122.2,113.0,122.2,187282.0,598.0
12/02/2021,117.0,131.5,117.0,129.6,651334.0,1542.0
12/05/2021,129.1,135.5,126.5,134.3,450323.0,895.0
12/06/2021,134.3,136.5,130.0,134.9,343365.0,890.0
12/07/2021,135.0,135.2,130.6,131.8,347627.0,813.0
12/08/2021,131.7,133.4,125.2,128.8,339824.0,685.0
12/09/2021,130.2,131.4,125.0,127.4,148610.0,487.0
12/12/2021,128.0,129.5,125.4,127.4,157631.0,436.0
12/13/2021,127.7,127.7,123.4,124.3,100486.0,488.0
12/14/2021,126.9,128.9,123.3,127.6,196970.0,628.0
12/15/2021,130.0,130.0,126.1,128.1,213933.0,601.0
12/19/2021,128.3,128.3,125.0,126.1,123885.0,333.0
12/20/2021,126.0,126.0,123.1,124.8,119324.0,459.0
12/21/2021,126.3,126.4,120.1,121.6,146119.0,359.0
12/22/2021,122.0,123.7,120.8,121.0,32262.0,189.0
12/23/2021,121.0,121.0,116.3,118.3,173637.0,381.0
12/26/2021,118.3,122.8,115.0,120.3,86829.0,380.0
12/27/2021,118.5,121.7,117.0,119.3,214083.0,399.0
12/28/2021,121.6,127.7,119.9,124.4,286760.0,700.0
12/29/2021,127.6,128.9,124.2,125.0,232548.0,452.0
12/30/2021,125.0,126.9,121.5,122.2,210856.0,306.0
01/02/2022,121.5,124.9,121.5,122.3,159053.0,402.0
01/03/2022,123.0,124.1,119.0,119.7,197720.0,460.0
01/04/2022,119.9,122.0,119.2,119.7,69594.0,185.0
