date,open,high,low,close,volume,trade
01/01/2018,15.9,16.6,15.9,16.5,506318.0,401.0
01/02/2018,16.8,17.0,16.7,16.9,338137.0,565.0
01/03/2018,17.0,17.2,16.8,17.0,758747.0,496.0
01/04/2018,17.0,17.1,16.8,16.8,455959.0,320.0
01/07/2018,17.0,17.8,17.0,17.5,1500076.0,894.0
01/08/2018,17.5,17.8,17.3,17.5,610787.0,478.0
01/09/2018,17.6,17.7,17.4,17.5,613973.0,453.0
01/10/2018,17.7,17.7,17.4,17.5,603135.0,385.0
01/11/2018,17.5,17.6,17.2,17.3,390516.0,395.0
01/14/2018,17.2,17.4,16.6,16.7,443003.0,445.0
01/15/2018,16.7,16.9,16.2,16.3,368047.0,347.0
01/16/2018,16.6,16.8,16.4,16.8,332665.0,285.0
01/17/2018,16.9,16.9,16.4,16.6,286423.0,283.0
01/18/2018,16.6,16.7,16.3,16.3,188937.0,161.0
01/21/2018,16.3,16.7,16.3,16.6,220362.0,160.0
01/22/2018,16.7,16.7,16.3,16.4,178201.0,181.0
01/23/2018,16.4,16.7,16.3,16.6,211125.0,186.0
01/24/2018,16.7,16.7,16.3,16.4,236857.0,176.0
01/25/2018,16.6,16.7,16.3,16.4,328300.0,272.0
01/28/2018,16.3,16.6,15.8,15.9,219792.0,220.0
01/29/2018,16.0,16.2,15.9,16.0,197923.0,163.0
01/30/2018,16.1,16.4,15.9,15.9,111028.0,113.0
01/31/2018,16.3,16.7,15.9,16.1,297213.0,313.0
02/01/2018,16.2,16.2,15.9,15.9,148330.0,138.0
02/04/2018,15.9,16.0,15.2,15.3,134811.0,131.0
02/05/2018,15.6,15.6,15.0,15.0,223362.0,208.0
02/06/2018,15.0,15.5,15.0,15.1,178763.0,203.0
02/07/2018,15.0,15.1,14.9,15.0,174231.0,133.0
02/08/2018,15.0,15.2,14.8,15.0,176918.0,170.0
02/11/2018,15.2,15.9,15.1,15.8,256731.0,300.0
02/12/2018,15.9,16.3,15.7,16.1,471963.0,319.0
02/13/2018,16.2,17.1,15.9,16.9,615259.0,492.0
02/14/2018,17.4,18.6,17.1,18.6,2679547.0,1358.0
02/15/2018,18.9,18.9,18.0,18.1,1495024.0,873.0
02/18/2018,18.1,19.5,18.1,19.4,3070196.0,1508.0
02/19/2018,19.7,19.8,18.7,18.8,1186822.0,726.0
02/20/2018,19.1,19.1,17.7,17.9,1295511.0,754.0
02/22/2018,19.1,19.1,17.7,17.9,1295511.0,0.0
02/25/2018,18.2,18.6,17.8,18.1,1234226.0,669.0
02/26/2018,18.2,18.5,17.7,17.9,781980.0,484.0
02/27/2018,18.2,18.6,17.8,17.9,948651.0,511.0
02/28/2018,18.0,18.2,17.5,17.7,696027.0,420.0
03/01/2018,17.7,17.9,17.3,17.8,598203.0,349.0
03/04/2018,17.9,18.5,17.9,18.0,855059.0,443.0
03/05/2018,18.1,18.2,17.5,17.6,755609.0,475.0
03/06/2018,17.7,18.0,17.4,17.6,775039.0,402.0
03/07/2018,17.7,18.2,17.7,17.8,532144.0,305.0
03/08/2018,18.0,18.0,17.5,17.7,483464.0,306.0
03/11/2018,17.7,17.7,17.3,17.4,221974.0,220.0
03/12/2018,17.5,17.5,16.8,17.0,425700.0,315.0
03/13/2018,17.1,17.2,16.3,16.6,221260.0,177.0
03/14/2018,16.7,16.9,16.3,16.5,371919.0,266.0
03/15/2018,16.6,17.2,16.4,17.0,531595.0,355.0
03/18/2018,17.3,18.2,17.2,18.0,1548898.0,940.0
03/19/2018,18.1,18.1,17.4,17.5,695714.0,397.0
03/20/2018,17.1,17.5,16.8,16.9,652436.0,466.0
03/21/2018,16.8,17.3,16.8,16.8,392456.0,301.0
03/22/2018,17.0,17.2,16.6,16.9,549674.0,326.0
03/25/2018,17.0,17.4,16.6,16.8,412940.0,282.0
03/27/2018,16.8,16.8,16.5,16.6,338244.0,206.0
03/28/2018,16.7,16.8,16.5,16.6,341091.0,225.0
03/29/2018,16.7,16.9,16.5,16.6,417126.0,263.0
04/01/2018,16.8,17.2,16.8,17.0,664316.0,357.0
04/02/2018,17.1,18.3,17.0,17.9,1484456.0,848.0
04/03/2018,18.0,18.2,17.3,17.4,737559.0,445.0
04/04/2018,17.6,17.8,17.1,17.2,814022.0,508.0
04/05/2018,17.3,17.6,17.2,17.3,721820.0,394.0
04/08/2018,17.7,17.8,17.4,17.7,857485.0,446.0
04/09/2018,17.7,17.9,17.5,17.6,657939.0,430.0
04/10/2018,17.6,17.7,17.3,17.4,855682.0,457.0
04/11/2018,17.5,17.6,16.8,16.9,621218.0,477.0
04/12/2018,16.8,17.1,16.6,16.7,451932.0,332.0
04/15/2018,16.7,16.8,16.3,16.4,350217.0,273.0
04/16/2018,16.5,16.6,16.2,16.5,522418.0,316.0
04/17/2018,16.6,16.8,16.5,16.6,346695.0,211.0
04/18/2018,16.5,16.7,16.3,16.4,358787.0,236.0
04/19/2018,16.4,16.5,16.2,16.3,354529.0,254.0
04/22/2018,16.2,16.6,15.9,15.9,252871.0,258.0
04/23/2018,16.0,16.1,15.8,15.9,261317.0,209.0
04/24/2018,16.0,16.0,15.9,15.9,69120.0,89.0
04/25/2018,15.9,16.2,15.9,16.1,229288.0,188.0
04/26/2018,16.2,16.2,15.9,16.0,152693.0,130.0
04/30/2018,15.9,15.9,15.0,15.3,158267.0,187.0
05/03/2018,15.7,16.7,15.7,16.3,515868.0,440.0
05/06/2018,16.6,17.0,16.5,16.9,1003778.0,632.0
05/07/2018,17.0,17.7,16.8,17.0,1249833.0,823.0
05/08/2018,17.1,17.3,16.4,16.6,570945.0,439.0
05/09/2018,16.8,16.8,16.4,16.5,379480.0,310.0
05/10/2018,16.7,16.8,16.5,16.5,366791.0,290.0
05/13/2018,16.6,16.9,16.6,16.7,422722.0,316.0
05/14/2018,16.8,16.8,16.5,16.5,225946.0,226.0
05/15/2018,16.8,16.8,16.4,16.5,212432.0,189.0
05/16/2018,16.6,16.6,16.2,16.2,201903.0,201.0
05/17/2018,16.3,16.3,15.9,15.9,181103.0,183.0
05/20/2018,15.9,16.1,15.2,15.4,172688.0,185.0
05/21/2018,15.4,15.9,15.3,15.8,401524.0,262.0
05/22/2018,15.7,15.9,15.5,15.6,178343.0,202.0
05/23/2018,15.6,15.8,15.3,15.5,281685.0,208.0
05/24/2018,15.6,15.9,15.4,15.8,345010.0,317.0
05/27/2018,15.9,16.1,15.7,15.8,310903.0,230.0
05/28/2018,15.8,15.9,15.4,15.5,202198.0,173.0
05/29/2018,15.5,15.7,15.4,15.5,200857.0,146.0
05/30/2018,15.6,15.9,15.6,15.7,432927.0,231.0
05/31/2018,15.8,15.8,15.5,15.5,256979.0,127.0
06/03/2018,15.5,15.7,15.3,15.4,196746.0,159.0
06/04/2018,15.5,16.2,15.4,16.1,726165.0,476.0
06/05/2018,16.2,16.3,15.8,15.9,574847.0,282.0
06/06/2018,15.9,16.1,15.5,15.6,607992.0,323.0
06/07/2018,15.8,15.9,15.6,15.9,371955.0,271.0
06/10/2018,15.8,15.9,15.5,15.5,590213.0,281.0
06/11/2018,15.5,15.8,15.3,15.3,442936.0,268.0
