date,open,high,low,close,volume,trade
05/17/2018,52.9,52.9,34.6,35.0,12050474.0,22301.0
05/20/2018,35.0,38.9,33.0,38.2,3739304.0,7907.0
05/21/2018,38.2,40.6,36.2,36.6,7388677.0,9428.0
05/22/2018,36.4,39.8,36.2,38.4,4995013.0,6742.0
05/23/2018,38.4,42.2,38.4,42.0,6929139.0,7556.0
05/24/2018,42.5,46.0,42.2,43.5,6623233.0,7061.0
05/27/2018,43.5,45.2,42.6,43.1,6509173.0,6442.0
05/28/2018,43.3,46.3,42.9,44.7,5786699.0,6341.0
05/29/2018,45.1,47.0,43.4,43.8,6313445.0,6371.0
05/30/2018,43.9,44.8,40.6,41.5,5058263.0,5589.0
05/31/2018,41.7,43.3,41.0,41.7,3367065.0,4268.0
06/03/2018,42.3,42.6,38.7,39.2,4450480.0,5620.0
06/04/2018,39.4,39.9,37.0,37.4,3470725.0,4739.0
06/05/2018,37.7,38.9,37.4,38.0,2633507.0,3588.0
06/06/2018,38.3,38.8,35.0,35.6,3174334.0,4487.0
06/07/2018,35.7,38.1,35.1,37.0,3060217.0,4071.0
06/10/2018,37.5,38.8,36.6,38.2,2945072.0,3979.0
06/11/2018,38.2,39.2,36.8,37.4,2703561.0,3088.0
06/12/2018,37.6,37.8,36.4,36.6,1920976.0,2310.0
06/18/2018,36.7,37.0,34.6,35.1,1899926.0,2446.0
06/19/2018,35.1,37.2,35.1,36.2,1836252.0,2261.0
06/20/2018,36.6,37.2,35.4,35.6,2217812.0,2451.0
06/21/2018,35.3,37.5,35.3,36.8,2948721.0,3116.0
06/24/2018,37.0,38.3,37.0,37.4,2651983.0,2786.0
06/25/2018,37.6,39.2,37.0,38.3,4245699.0,4152.0
06/26/2018,38.6,39.8,37.4,37.7,3632672.0,3248.0
06/27/2018,37.7,38.2,36.3,36.6,2808347.0,2981.0
06/28/2018,36.7,37.4,35.2,35.4,2940978.0,3169.0
07/02/2018,35.6,36.0,33.7,34.4,2256335.0,2861.0
07/03/2018,34.5,35.5,33.8,33.9,1472443.0,1816.0
07/04/2018,34.3,35.0,34.2,34.5,1794736.0,1944.0
07/05/2018,35.7,36.5,34.6,35.2,2423690.0,2576.0
07/08/2018,35.3,36.4,35.1,35.2,2340279.0,2603.0
07/09/2018,35.3,36.4,35.3,35.5,1660618.0,1659.0
07/10/2018,36.3,37.4,35.8,36.5,2659788.0,2806.0
07/11/2018,37.1,37.6,35.1,35.4,2034827.0,2076.0
07/12/2018,35.9,36.2,34.8,35.0,1661970.0,1812.0
07/15/2018,35.3,35.4,33.9,34.1,1551102.0,1913.0
07/16/2018,34.5,34.9,33.5,33.6,1426777.0,1680.0
07/17/2018,34.1,34.1,32.5,32.9,1212460.0,1548.0
07/18/2018,33.0,33.1,31.3,31.6,1691659.0,2052.0
07/19/2018,32.2,33.0,31.7,32.4,1426625.0,1621.0
07/22/2018,33.0,33.9,32.6,33.6,1545712.0,1763.0
07/23/2018,33.8,34.2,32.3,32.5,1036409.0,1437.0
07/24/2018,32.4,32.9,31.9,32.1,829768.0,1119.0
07/25/2018,32.4,32.7,31.7,31.8,818314.0,1037.0
07/26/2018,31.9,32.5,31.4,31.7,784847.0,976.0
07/29/2018,31.6,31.7,29.0,29.2,1548463.0,1685.0
07/30/2018,29.2,29.3,27.8,28.0,1037203.0,
07/31/2018,28.1,28.6,28.0,28.1,776285.0,1026.0
08/01/2018,28.5,28.9,27.7,27.9,603858.0,800.0
08/02/2018,28.3,28.3,26.8,26.9,844553.0,1171.0
08/05/2018,26.9,27.1,25.9,26.1,558726.0,799.0
08/06/2018,26.3,28.1,25.9,27.6,974440.0,1249.0
08/07/2018,27.7,28.4,27.3,27.4,731502.0,807.0
08/08/2018,27.5,27.8,26.5,26.7,572732.0,643.0
08/09/2018,27.1,27.1,25.9,26.1,470208.0,659.0
08/12/2018,26.2,26.7,25.9,26.0,496709.0,525.0
08/13/2018,26.0,26.5,25.1,25.3,446404.0,528.0
08/14/2018,25.2,26.1,25.2,25.8,453282.0,572.0
08/16/2018,26.3,26.7,25.7,25.8,358391.0,438.0
08/19/2018,26.1,26.1,23.7,23.9,1264397.0,1232.0
08/20/2018,23.7,23.9,23.3,23.6,570619.0,709.0
08/26/2018,23.6,24.0,23.2,23.7,554340.0,669.0
08/27/2018,23.8,26.1,23.8,25.8,1793885.0,1857.0
08/28/2018,26.1,26.3,25.4,25.7,964958.0,1025.0
08/29/2018,25.7,25.7,24.7,24.8,800278.0,885.0
08/30/2018,24.7,25.3,24.5,24.8,747850.0,702.0
09/03/2018,24.9,25.3,24.5,24.6,667458.0,611.0
09/04/2018,24.7,25.0,24.5,24.6,461763.0,478.0
09/05/2018,24.9,26.8,24.9,26.6,2424857.0,2102.0
09/06/2018,26.9,27.3,25.4,25.6,1115730.0,1015.0
09/09/2018,25.7,26.1,24.9,25.1,1065719.0,899.0
09/10/2018,25.3,26.0,25.2,25.3,777062.0,696.0
09/11/2018,25.1,25.8,24.8,24.9,597562.0,615.0
09/12/2018,25.3,25.6,24.9,25.0,626904.0,615.0
09/13/2018,25.0,25.6,24.9,25.0,1033311.0,849.0
09/16/2018,25.0,25.3,24.3,24.5,651660.0,709.0
09/17/2018,24.5,24.5,23.4,23.6,552577.0,703.0
09/18/2018,23.7,24.1,23.1,23.2,578113.0,706.0
09/19/2018,23.5,23.8,23.2,23.2,398546.0,467.0
09/20/2018,23.6,24.1,23.2,23.4,566576.0,546.0
09/23/2018,23.4,23.5,22.3,22.5,505767.0,558.0
09/24/2018,22.8,22.8,21.4,21.6,489900.0,518.0
09/25/2018,21.6,22.0,20.9,21.1,376215.0,422.0
09/26/2018,21.1,22.2,21.1,21.6,661926.0,583.0
09/27/2018,22.0,22.8,21.4,22.3,865871.0,920.0
09/30/2018,22.4,24.5,22.4,24.5,2078389.0,2027.0
10/01/2018,25.0,25.5,23.4,23.8,1175750.0,2027.0
10/02/2018,23.8,24.4,23.2,23.7,1231493.0,1176.0
10/03/2018,23.9,24.4,23.5,23.6,613977.0,664.0
10/04/2018,23.6,23.9,23.2,23.3,607417.0,650.0
10/07/2018,23.5,25.1,23.1,24.5,1289569.0,0.0
10/08/2018,24.5,25.0,23.4,23.6,743440.0,
10/09/2018,23.4,23.9,23.1,23.2,811779.0,
10/10/2018,23.6,23.7,22.5,22.7,453941.0,3.0
10/11/2018,23.1,23.1,22.7,22.8,335601.0,392.0
10/14/2018,23.2,23.3,22.8,22.8,348171.0,485.0
10/15/2018,22.8,22.9,22.0,22.2,505931.0,629.0
10/16/2018,22.3,23.3,22.0,23.1,713852.0,774.0
10/17/2018,23.3,23.4,22.4,22.4,264075.0,349.0
10/18/2018,22.7,22.7,21.9,22.0,304492.0,464.0
10/21/2018,21.9,22.2,20.9,21.1,458551.0,531.0
10/22/2018,21.6,21.6,20.4,20.6,386539.0,444.0
10/23/2018,21.1,21.1,20.4,20.5,262696.0,332.0
10/24/2018,20.7,20.8,20.1,20.2,330195.0,415.0
10/25/2018,20.3,21.1,20.1,20.6,447857.0,
10/28/2018,20.7,20.7,19.2,19.5,375338.0,
10/29/2018,19.5,22.0,19.2,21.3,1038133.0,
10/30/2018,21.6,23.4,21.5,23.4,2059754.0,
10/31/2018,23.8,25.5,23.7,25.1,3580488.0,
11/01/2018,25.1,26.9,24.9,26.3,3535640.0,
11/04/2018,26.5,28.9,26.3,28.9,5117268.0,
11/05/2018,29.3,30.5,28.1,29.2,4505077.0,
11/06/2018,29.1,29.7,27.7,29.3,2711842.0,
11/07/2018,29.7,31.7,29.6,30.5,3999461.0,
11/08/2018,30.6,31.0,28.9,29.1,3166533.0,2250.0
11/11/2018,29.3,29.5,26.3,26.8,2889594.0,2515.0
11/12/2018,26.5,27.6,24.4,24.8,2742785.0,2487.0
11/13/2018,25.3,26.9,25.3,26.5,1650789.0,1448.0
11/14/2018,26.9,27.0,25.2,25.7,1405943.0,1438.0
