date,open,high,low,close,volume,trade
01/01/2018,37.1,37.5,35.6,35.8,2960364.0,1375.0
01/02/2018,35.8,36.1,35.7,35.7,530086.0,932.0
01/03/2018,36.6,37.3,36.3,36.9,4396716.0,1637.0
01/04/2018,36.9,37.1,36.1,36.3,2140249.0,967.0
01/07/2018,36.3,36.4,35.8,35.9,1837288.0,908.0
01/08/2018,36.0,36.1,35.3,35.5,1797128.0,724.0
01/09/2018,35.5,36.0,35.2,35.5,2212460.0,751.0
01/10/2018,35.7,35.8,35.1,35.4,1425045.0,521.0
01/11/2018,35.3,35.4,34.8,35.2,1927582.0,689.0
01/14/2018,35.3,35.3,34.8,35.0,1494330.0,722.0
01/15/2018,35.0,35.1,34.5,34.6,1284068.0,543.0
01/16/2018,34.8,35.1,34.3,35.0,1164231.0,557.0
01/17/2018,35.3,35.4,34.4,34.5,1006326.0,558.0
01/18/2018,34.5,34.6,34.1,34.4,827847.0,536.0
01/21/2018,34.5,34.9,34.5,34.7,522029.0,349.0
01/22/2018,34.6,34.9,34.5,34.8,1927137.0,541.0
01/23/2018,34.9,35.2,34.6,35.0,809948.0,395.0
01/24/2018,35.0,35.3,34.7,35.1,891730.0,384.0
01/25/2018,35.1,35.5,35.0,35.4,828902.0,369.0
01/28/2018,35.2,35.3,34.7,34.9,2086580.0,425.0
01/29/2018,34.8,35.4,34.8,35.1,1032683.0,424.0
01/30/2018,35.4,35.4,34.8,35.0,944898.0,312.0
01/31/2018,34.9,35.0,34.0,34.1,1431612.0,557.0
02/01/2018,34.4,34.4,33.7,33.8,586050.0,350.0
02/04/2018,33.8,33.8,32.6,32.8,1203561.0,554.0
02/05/2018,33.1,33.4,32.1,32.7,1603064.0,677.0
02/06/2018,32.8,33.2,32.7,33.0,520203.0,410.0
02/07/2018,33.0,33.1,32.6,32.8,653038.0,373.0
02/08/2018,32.8,33.1,32.7,32.9,415625.0,256.0
02/11/2018,32.9,34.3,32.9,33.9,932700.0,711.0
02/12/2018,34.2,34.4,33.6,33.7,699529.0,443.0
02/13/2018,34.0,34.0,33.3,33.4,886758.0,452.0
02/14/2018,33.5,33.7,33.2,33.3,940614.0,493.0
02/15/2018,33.4,33.4,33.0,33.2,676951.0,548.0
02/18/2018,33.2,33.2,32.6,32.8,1101591.0,469.0
02/19/2018,33.0,33.0,32.5,32.6,490935.0,278.0
