date,open,high,low,close,volume,trade
01/01/2018,26.6,27.0,26.5,27.0,240027.0,83.0
01/02/2018,26.8,26.9,26.8,26.9,960.0,95.0
01/03/2018,27.0,27.5,26.4,27.1,147340.0,142.0
01/04/2018,27.2,27.7,26.5,26.7,41054.0,99.0
01/07/2018,27.0,27.0,26.4,26.6,129109.0,78.0
01/08/2018,27.0,27.0,26.0,26.7,61559.0,65.0
01/09/2018,26.7,26.7,26.5,26.7,69788.0,32.0
01/10/2018,26.6,26.8,26.3,26.6,129561.0,70.0
01/11/2018,26.4,26.5,26.1,26.2,5821.0,53.0
01/14/2018,26.7,26.8,25.6,26.0,13886.0,58.0
01/15/2018,26.4,26.6,25.4,25.6,3638.0,23.0
01/16/2018,26.3,26.3,25.0,25.1,12178.0,58.0
01/17/2018,25.3,25.3,23.1,23.8,38914.0,70.0
01/18/2018,23.4,23.5,23.0,23.4,26322.0,62.0
01/21/2018,23.9,24.6,23.4,24.1,119737.0,185.0
01/22/2018,24.1,24.5,23.4,24.1,113142.0,85.0
01/23/2018,24.1,25.3,24.0,24.9,89379.0,167.0
01/24/2018,24.8,25.1,24.7,25.0,7853.0,89.0
01/25/2018,25.2,25.2,24.2,25.0,99383.0,70.0
01/28/2018,25.2,25.6,23.8,25.1,147535.0,205.0
01/29/2018,25.2,25.6,25.1,25.5,93862.0,106.0
01/30/2018,25.0,25.5,25.0,25.3,43183.0,39.0
01/31/2018,25.3,25.5,23.3,25.3,75442.0,105.0
02/01/2018,25.5,25.9,24.7,25.3,39293.0,34.0
02/04/2018,24.8,25.3,23.6,24.7,24436.0,118.0
02/05/2018,24.7,26.3,24.7,25.8,84286.0,84.0
02/06/2018,26.0,26.1,25.6,25.9,34694.0,72.0
02/07/2018,25.6,25.8,25.1,25.7,12036.0,30.0
02/08/2018,26.0,26.0,24.9,25.6,11727.0,38.0
02/11/2018,25.2,26.0,25.1,25.7,86175.0,43.0
02/12/2018,24.7,26.0,24.7,25.6,33850.0,47.0
02/13/2018,24.6,25.6,24.6,25.1,22984.0,27.0
02/14/2018,25.0,25.1,24.7,24.9,49999.0,37.0
02/15/2018,24.6,24.8,24.4,24.5,23328.0,44.0
02/18/2018,24.2,24.2,23.7,24.1,202756.0,46.0
02/19/2018,24.0,24.4,23.7,23.9,32581.0,42.0
02/20/2018,24.0,25.6,23.8,24.5,128351.0,135.0
02/22/2018,24.7,25.3,24.3,24.6,14435.0,54.0
02/25/2018,24.2,24.7,23.9,24.7,71878.0,85.0
02/26/2018,24.3,24.7,24.1,24.6,8865.0,29.0
02/27/2018,24.7,25.0,23.7,24.6,93500.0,186.0
02/28/2018,24.7,24.9,24.4,24.6,66039.0,50.0
03/01/2018,24.2,25.2,23.9,24.9,198518.0,261.0
03/04/2018,25.5,25.6,24.0,25.1,76974.0,64.0
03/05/2018,25.1,25.3,23.9,25.1,100808.0,168.0
03/06/2018,25.3,25.3,23.7,24.6,370346.0,148.0
03/07/2018,24.0,24.0,23.4,23.5,173841.0,199.0
03/08/2018,23.7,23.7,23.1,23.4,12456.0,53.0
03/11/2018,23.2,23.3,22.4,22.7,38345.0,59.0
03/12/2018,22.3,22.7,21.9,22.3,6020.0,7.0
03/13/2018,22.0,22.6,21.3,22.1,140858.0,106.0
03/14/2018,22.2,22.9,22.1,22.7,132963.0,173.0
03/15/2018,22.4,23.4,22.3,23.4,215703.0,223.0
03/18/2018,23.4,24.0,23.1,23.9,295189.0,205.0
03/19/2018,24.3,24.3,21.6,21.8,151049.0,123.0
03/20/2018,21.8,22.1,20.1,21.8,67493.0,124.0
03/21/2018,21.4,22.5,20.6,21.9,187111.0,210.0
03/22/2018,22.0,22.1,21.3,22.0,8477.0,47.0
03/25/2018,21.7,21.9,21.4,21.7,7907.0,24.0
03/27/2018,21.4,22.8,21.4,22.0,35200.0,67.0
03/28/2018,21.4,22.5,21.2,22.4,159416.0,166.0
03/29/2018,22.2,22.8,22.1,22.7,66726.0,89.0
04/01/2018,22.9,23.3,22.7,23.0,55176.0,69.0
04/02/2018,22.3,23.3,22.3,23.2,45240.0,97.0
04/03/2018,22.9,23.3,22.6,23.2,28436.0,19.0
04/04/2018,21.9,23.5,21.9,23.0,162073.0,147.0
04/05/2018,23.6,23.6,22.3,23.3,45979.0,88.0
04/08/2018,23.2,23.4,22.5,23.2,1616.0,19.0
04/09/2018,22.8,23.2,22.3,22.9,43495.0,55.0
04/10/2018,22.9,22.9,22.5,22.8,1722.0,10.0
04/11/2018,22.0,22.9,22.0,22.4,13698.0,35.0
04/12/2018,22.0,22.8,21.9,22.5,5452.0,24.0
04/15/2018,22.3,22.7,22.3,22.4,526.0,7.0
04/16/2018,22.3,22.6,21.9,22.4,7300.0,29.0
04/17/2018,22.0,22.6,21.9,22.1,9714.0,24.0
04/18/2018,21.9,22.4,21.4,22.3,136816.0,73.0
04/19/2018,23.1,23.1,21.4,22.3,53875.0,31.0
04/22/2018,22.7,22.7,21.9,22.6,93466.0,75.0
04/23/2018,22.7,22.8,22.5,22.7,47072.0,32.0
04/24/2018,22.7,22.8,22.1,22.3,10065.0,37.0
04/25/2018,22.0,23.7,21.9,23.2,57409.0,39.0
04/26/2018,23.7,24.2,22.6,23.9,62462.0,67.0
04/30/2018,23.9,24.2,23.7,24.1,153285.0,60.0
05/03/2018,23.9,24.2,23.9,24.2,35361.0,10.0
05/06/2018,23.9,24.3,23.7,24.1,128397.0,126.0
05/07/2018,24.2,24.2,23.1,24.2,143170.0,141.0
05/08/2018,23.5,24.7,23.5,24.6,194403.0,93.0
05/09/2018,23.6,24.2,23.5,24.2,57870.0,92.0
05/10/2018,24.7,24.7,21.9,22.4,89895.0,116.0
05/13/2018,22.8,22.8,22.8,22.8,667.0,2.0
05/14/2018,22.3,22.9,22.3,22.6,231687.0,87.0
05/15/2018,22.5,23.4,22.3,23.2,160505.0,239.0
05/16/2018,23.1,24.3,22.8,23.1,286387.0,151.0
05/17/2018,23.0,23.3,22.7,23.2,69402.0,79.0
05/20/2018,22.9,23.1,22.4,23.0,28097.0,26.0
05/21/2018,22.3,22.9,22.3,22.8,17703.0,33.0
05/22/2018,22.3,22.9,22.3,22.8,17703.0,0.0
05/23/2018,23.4,23.4,22.3,23.2,355822.0,24.0
05/24/2018,21.7,23.2,21.7,23.0,27070.0,36.0
05/27/2018,22.7,23.0,22.5,22.6,3586.0,19.0
05/28/2018,22.3,22.7,21.4,21.6,17378.0,47.0
05/29/2018,21.6,22.9,21.6,22.4,27193.0,53.0
05/30/2018,23.0,23.1,22.3,22.6,45795.0,33.0
05/31/2018,22.4,22.9,22.4,22.6,39491.0,49.0
06/03/2018,22.3,23.3,22.3,23.2,20627.0,72.0
06/04/2018,23.1,23.8,23.1,23.5,24749.0,61.0
06/05/2018,23.4,24.2,23.4,24.1,65799.0,81.0
06/06/2018,24.3,24.3,22.8,23.6,178256.0,145.0
06/07/2018,23.4,24.4,22.9,23.5,85602.0,83.0
06/10/2018,23.5,23.5,23.3,23.4,11983.0,6.0
06/11/2018,24.1,24.1,23.5,23.7,41014.0,24.0
06/12/2018,23.6,24.1,23.5,23.5,2147.0,33.0
06/18/2018,24.2,24.2,22.3,22.8,82293.0,54.0
06/19/2018,22.9,24.0,22.6,23.6,40964.0,25.0
06/20/2018,23.8,23.8,22.7,23.1,24399.0,46.0
06/21/2018,22.9,23.6,22.9,23.5,330484.0,56.0
06/24/2018,22.9,23.5,22.1,23.3,39837.0,28.0
06/25/2018,23.3,23.4,22.3,23.2,27450.0,69.0
06/26/2018,23.2,23.6,22.3,23.4,54855.0,69.0
06/27/2018,23.4,24.0,22.9,23.5,27675.0,45.0
06/28/2018,23.4,23.8,22.6,23.7,46576.0,139.0
07/02/2018,23.4,25.0,23.0,24.1,87344.0,89.0
07/03/2018,24.0,24.6,23.4,24.2,40855.0,97.0
07/04/2018,24.1,24.8,23.4,24.5,124472.0,170.0
07/05/2018,24.8,24.8,24.2,24.5,117625.0,109.0
07/08/2018,24.7,26.0,23.4,25.4,178633.0,133.0
07/09/2018,25.1,25.8,23.8,25.7,538601.0,255.0
07/10/2018,25.5,25.7,23.8,25.5,1060338.0,214.0
07/11/2018,25.1,25.1,24.2,24.5,758550.0,95.0
07/12/2018,24.4,25.7,22.6,22.9,1892334.0,285.0
07/15/2018,22.9,22.9,22.1,22.5,71059.0,77.0
07/16/2018,21.6,22.9,21.6,22.8,26524.0,43.0
07/17/2018,22.5,22.5,21.6,22.3,318426.0,61.0
07/18/2018,22.0,22.3,21.7,22.2,32059.0,79.0
07/19/2018,21.0,22.0,21.0,21.6,30993.0,62.0
07/22/2018,21.2,21.5,20.6,20.6,122625.0,147.0
07/23/2018,20.5,21.0,20.4,20.6,89040.0,71.0
07/24/2018,20.8,21.0,20.5,20.7,47470.0,75.0
07/25/2018,19.9,21.2,19.5,20.2,34452.0,101.0
07/26/2018,20.6,20.6,19.8,20.0,26962.0,69.0
07/29/2018,20.0,21.2,19.5,20.8,77920.0,122.0
07/30/2018,20.6,21.1,19.9,20.6,16863.0,
07/31/2018,20.7,22.4,20.3,21.1,41782.0,70.0
08/01/2018,20.8,21.0,20.8,20.9,10406.0,13.0
08/02/2018,20.9,20.9,20.6,20.7,10875.0,15.0
08/05/2018,21.0,21.8,21.0,21.4,133014.0,137.0
08/06/2018,20.8,20.9,20.3,20.5,59421.0,81.0
08/07/2018,20.9,21.1,20.0,20.5,10415.0,19.0
08/08/2018,20.5,20.5,19.9,20.0,35693.0,38.0
08/09/2018,20.1,20.2,19.7,19.8,29481.0,66.0
08/12/2018,20.1,20.3,19.2,19.4,82266.0,106.0
08/13/2018,19.2,20.3,18.9,19.1,42275.0,99.0
08/14/2018,19.0,19.0,18.3,18.8,62979.0,134.0
08/16/2018,19.5,20.0,19.4,19.7,48393.0,95.0
08/19/2018,20.1,21.0,19.8,20.1,321192.0,339.0
08/20/2018,20.2,20.3,19.7,20.1,94629.0,113.0
08/26/2018,20.3,20.3,19.8,19.9,38865.0,89.0
08/27/2018,19.8,19.8,19.0,19.3,95911.0,166.0
08/28/2018,19.3,19.6,19.0,19.1,89519.0,104.0
08/29/2018,19.5,19.5,18.4,18.6,193560.0,227.0
08/30/2018,18.7,18.9,18.2,18.3,181091.0,188.0
09/03/2018,18.3,18.6,17.7,18.0,165956.0,173.0
09/04/2018,18.6,18.6,17.5,17.8,68310.0,116.0
09/05/2018,17.7,18.3,17.3,17.7,107321.0,144.0
09/06/2018,17.7,18.1,17.3,17.4,191839.0,240.0
09/09/2018,17.5,17.7,17.3,17.4,96779.0,117.0
09/10/2018,17.4,17.8,17.3,17.5,183815.0,145.0
09/11/2018,17.7,17.9,17.7,17.7,81823.0,81.0
09/12/2018,17.7,17.7,17.5,17.6,71644.0,48.0
09/13/2018,17.7,17.9,17.4,17.5,78054.0,104.0
09/16/2018,18.2,18.5,17.7,18.2,97107.0,135.0
09/17/2018,17.9,18.1,17.7,17.7,30326.0,47.0
09/18/2018,17.7,18.4,17.6,18.2,88258.0,103.0
09/19/2018,18.5,18.5,18.1,18.2,94361.0,118.0
09/20/2018,17.6,18.4,17.6,18.0,28793.0,41.0
09/23/2018,17.9,18.9,17.9,18.2,1515397.0,308.0
09/24/2018,18.4,18.4,17.9,18.1,87301.0,75.0
09/25/2018,17.7,18.6,17.7,18.4,74718.0,93.0
09/26/2018,18.8,20.1,18.6,19.0,312954.0,351.0
09/27/2018,19.3,19.6,18.5,18.9,232724.0,260.0
09/30/2018,19.1,19.8,18.8,19.4,246070.0,277.0
10/01/2018,19.7,20.5,19.7,19.9,280902.0,277.0
10/02/2018,19.7,19.7,18.2,18.3,445922.0,347.0
10/03/2018,18.4,19.0,18.4,18.5,91544.0,85.0
10/04/2018,18.5,19.1,18.5,18.6,131315.0,172.0
10/07/2018,18.6,18.6,18.3,18.4,98388.0,0.0
10/08/2018,18.4,18.6,18.0,18.2,164101.0,
10/09/2018,18.2,18.6,18.2,18.3,111250.0,
10/10/2018,18.3,18.5,18.0,18.1,70277.0,0.0
10/11/2018,18.2,18.4,17.9,18.1,63720.0,75.0
10/14/2018,18.4,18.4,17.8,18.0,64408.0,100.0
