date,open,high,low,close,volume,trade
01/01/2018,22.8,22.8,21.9,22.0,28051.0,43.0
01/02/2018,22.0,22.0,21.8,22.0,9048.0,121.0
01/03/2018,22.0,22.0,21.8,22.0,9048.0,0.0
01/04/2018,21.8,22.0,21.0,21.0,99086.0,139.0
01/07/2018,21.2,22.3,21.0,21.1,116386.0,164.0
01/08/2018,21.4,21.4,20.4,20.5,145896.0,148.0
01/09/2018,21.2,21.2,20.7,20.9,44678.0,43.0
01/10/2018,21.2,22.0,20.5,20.7,101026.0,108.0
01/11/2018,21.2,22.5,20.9,22.2,36721.0,84.0
01/14/2018,21.2,23.0,21.2,22.8,72565.0,95.0
01/15/2018,23.0,23.2,22.8,23.1,43133.0,88.0
01/16/2018,23.5,23.5,22.9,23.1,19554.0,33.0
01/17/2018,23.1,23.3,22.9,23.1,38043.0,95.0
01/18/2018,23.2,23.3,22.9,23.0,34616.0,55.0
01/21/2018,22.9,23.2,22.9,23.0,34599.0,62.0
01/22/2018,22.9,23.1,22.2,22.5,26797.0,65.0
01/23/2018,22.1,22.8,22.1,22.7,9104.0,37.0
01/24/2018,22.6,22.7,22.0,22.1,28830.0,76.0
01/25/2018,22.4,22.4,21.9,22.0,22957.0,32.0
01/28/2018,22.1,22.1,21.6,21.8,15118.0,35.0
01/29/2018,22.0,22.1,21.7,21.7,25313.0,36.0
01/30/2018,21.9,21.9,21.5,21.5,36142.0,59.0
01/31/2018,22.1,22.1,21.2,21.2,39576.0,58.0
02/01/2018,22.1,22.7,21.8,22.4,40251.0,61.0
02/04/2018,23.1,23.1,21.3,21.4,20817.0,65.0
02/05/2018,22.3,22.6,20.9,21.2,35758.0,85.0
02/06/2018,22.2,22.2,21.3,21.9,34765.0,72.0
02/07/2018,21.6,23.0,21.6,22.8,91936.0,139.0
02/08/2018,22.9,24.7,22.9,23.9,419410.0,549.0
02/11/2018,24.0,25.8,24.0,24.6,299935.0,340.0
02/12/2018,25.3,25.5,24.2,25.0,138940.0,183.0
02/13/2018,25.1,27.2,25.1,27.2,310893.0,394.0
02/14/2018,27.4,28.4,26.4,26.8,187420.0,251.0
02/15/2018,26.8,26.9,25.7,25.9,36464.0,123.0
02/18/2018,25.6,26.5,25.6,26.0,99611.0,130.0
02/19/2018,26.2,26.8,26.2,26.3,61654.0,96.0
02/20/2018,28.1,28.1,26.2,26.2,78143.0,148.0
02/22/2018,26.2,26.2,24.8,25.1,81044.0,134.0
02/25/2018,25.3,26.3,25.1,25.2,44313.0,106.0
02/26/2018,25.2,25.8,24.4,24.6,59788.0,151.0
02/27/2018,25.0,25.0,23.8,23.8,76850.0,143.0
02/28/2018,23.8,24.1,23.4,23.5,35030.0,54.0
03/01/2018,25.0,25.0,23.6,24.0,85025.0,146.0
03/04/2018,24.9,24.9,23.8,23.9,56883.0,103.0
03/05/2018,24.1,24.1,23.4,23.9,30011.0,70.0
03/06/2018,24.0,24.5,23.8,24.0,37939.0,98.0
03/07/2018,24.0,24.9,23.8,23.8,38463.0,102.0
03/08/2018,24.0,24.5,23.8,24.1,40143.0,94.0
03/11/2018,24.5,24.8,23.8,24.1,60453.0,120.0
03/12/2018,24.8,24.8,22.1,22.7,35726.0,90.0
03/13/2018,22.6,23.7,22.1,22.1,23764.0,65.0
03/14/2018,23.1,23.3,22.0,23.1,17509.0,48.0
03/15/2018,23.6,23.7,23.2,23.5,27351.0,43.0
03/18/2018,23.7,23.8,22.1,22.4,10941.0,36.0
03/19/2018,22.4,23.0,22.2,22.3,12432.0,37.0
03/20/2018,21.6,23.4,21.4,23.0,20591.0,65.0
03/21/2018,23.1,23.2,21.8,21.9,36219.0,62.0
03/22/2018,22.3,22.3,21.2,21.9,47894.0,127.0
03/25/2018,24.0,24.0,21.6,22.4,10462.0,35.0
03/27/2018,22.4,23.8,21.6,21.7,36793.0,38.0
03/28/2018,21.7,22.3,21.4,21.5,17180.0,40.0
03/29/2018,22.1,22.3,21.6,21.6,20818.0,48.0
04/01/2018,22.1,23.2,21.8,21.9,27235.0,66.0
04/02/2018,23.1,23.1,21.8,22.1,26183.0,58.0
04/03/2018,22.2,23.0,22.0,22.2,25654.0,36.0
04/04/2018,23.1,23.1,22.4,22.6,20812.0,62.0
04/05/2018,23.1,23.1,21.7,22.0,36799.0,76.0
04/08/2018,22.0,22.6,21.5,21.6,60580.0,129.0
04/09/2018,22.0,22.1,21.4,21.7,39020.0,76.0
04/10/2018,21.7,21.9,21.5,21.6,79918.0,134.0
04/11/2018,21.5,22.4,21.3,21.4,65912.0,91.0
04/12/2018,21.3,21.8,21.3,21.6,15381.0,43.0
04/15/2018,22.0,22.0,21.4,21.7,22396.0,50.0
04/16/2018,21.7,22.0,21.4,21.6,71233.0,103.0
04/17/2018,21.7,22.0,21.4,21.6,71233.0,0.0
04/18/2018,21.9,21.9,21.1,21.2,25108.0,78.0
04/19/2018,21.3,21.7,21.1,21.2,57632.0,117.0
04/22/2018,21.2,22.4,21.2,22.2,56939.0,118.0
04/23/2018,22.5,22.9,21.7,22.1,42315.0,94.0
04/24/2018,22.8,22.8,21.9,22.1,63347.0,90.0
04/25/2018,22.2,22.2,21.7,21.8,20595.0,34.0
04/26/2018,22.0,22.0,21.7,21.8,3142.0,12.0
04/30/2018,21.8,21.8,20.5,20.8,28251.0,51.0
05/03/2018,21.3,21.3,20.2,20.4,28174.0,33.0
05/06/2018,20.9,20.9,20.6,20.7,12653.0,26.0
05/07/2018,21.5,21.5,20.8,21.2,10040.0,22.0
05/08/2018,21.2,21.4,21.0,21.1,12160.0,27.0
05/09/2018,21.5,21.5,21.2,21.2,25645.0,40.0
05/10/2018,21.6,21.6,20.3,20.6,27743.0,47.0
05/13/2018,21.1,21.1,20.2,20.3,13483.0,29.0
05/14/2018,20.9,20.9,20.2,20.5,6396.0,21.0
05/15/2018,20.7,20.9,20.3,20.6,3161.0,24.0
05/16/2018,20.7,20.7,20.3,20.5,5452.0,27.0
05/17/2018,20.6,20.7,20.2,20.2,14515.0,103.0
05/20/2018,20.5,20.6,19.1,19.2,11601.0,45.0
05/21/2018,19.2,19.6,18.9,19.3,6297.0,26.0
05/22/2018,19.3,20.0,18.5,19.2,9603.0,27.0
05/23/2018,19.9,20.2,19.1,19.2,14931.0,56.0
05/24/2018,19.7,19.7,18.6,18.7,18809.0,46.0
05/27/2018,18.7,19.6,18.4,18.4,7102.0,34.0
05/28/2018,18.9,18.9,18.3,18.4,6923.0,30.0
05/29/2018,18.4,18.7,17.8,18.4,14113.0,88.0
05/30/2018,19.4,19.5,18.3,18.9,29947.0,61.0
05/31/2018,19.9,20.7,19.2,19.8,26398.0,60.0
06/03/2018,19.9,21.0,19.9,20.8,18215.0,47.0
06/04/2018,20.7,21.1,20.5,21.0,16521.0,50.0
06/05/2018,21.1,21.1,19.6,20.0,34852.0,83.0
06/06/2018,20.9,21.0,20.2,20.8,9910.0,33.0
06/07/2018,21.6,21.6,20.8,21.2,25195.0,68.0
06/10/2018,21.3,21.8,21.3,21.7,17332.0,61.0
06/11/2018,21.9,22.0,21.2,21.2,11212.0,53.0
06/12/2018,21.7,21.7,21.0,21.4,21340.0,61.0
06/18/2018,21.9,22.1,21.3,22.0,31140.0,91.0
06/19/2018,22.6,22.6,22.1,22.3,46178.0,97.0
06/20/2018,22.5,22.8,21.2,21.9,32147.0,71.0
06/21/2018,21.9,22.1,20.9,21.2,53136.0,109.0
06/24/2018,21.4,22.2,21.2,22.1,30427.0,56.0
06/25/2018,22.4,22.7,21.7,21.9,42364.0,97.0
06/26/2018,21.9,22.0,21.3,21.6,14396.0,26.0
06/27/2018,21.7,22.3,21.6,21.7,13709.0,45.0
06/28/2018,21.9,22.6,21.0,21.3,14618.0,62.0
07/02/2018,21.5,22.0,21.2,21.3,38025.0,44.0
07/03/2018,22.1,22.1,21.4,21.5,55288.0,54.0
07/04/2018,21.6,22.0,21.5,21.6,19122.0,47.0
07/05/2018,22.3,22.3,21.5,21.6,17872.0,60.0
07/08/2018,22.2,22.2,21.0,21.3,14405.0,41.0
07/09/2018,21.5,21.9,21.1,21.2,15252.0,32.0
07/10/2018,21.8,22.3,21.2,21.4,18299.0,44.0
07/11/2018,21.6,21.8,21.3,21.7,9765.0,26.0
07/12/2018,22.0,22.0,21.4,21.5,12713.0,20.0
07/15/2018,21.8,21.8,20.9,21.2,43944.0,84.0
07/16/2018,20.8,22.6,20.8,21.8,17274.0,45.0
07/17/2018,22.1,23.1,22.1,23.1,96750.0,145.0
07/18/2018,23.9,24.0,23.1,23.5,57781.0,125.0
07/19/2018,23.1,23.1,21.2,22.4,34478.0,88.0
07/22/2018,22.9,22.9,21.2,21.2,26395.0,76.0
07/23/2018,21.2,22.6,21.2,21.9,10984.0,34.0
07/24/2018,22.0,22.1,21.3,21.5,25716.0,44.0
07/25/2018,22.0,23.1,22.0,22.7,54441.0,98.0
07/26/2018,21.2,24.0,21.2,23.6,54237.0,108.0
07/29/2018,23.6,24.4,23.1,23.3,32520.0,75.0
07/30/2018,23.1,23.1,22.1,22.4,26754.0,
07/31/2018,23.0,23.0,22.0,22.1,11846.0,37.0
08/01/2018,21.9,21.9,21.1,21.2,87725.0,157.0
08/02/2018,21.6,23.3,21.5,22.0,28109.0,56.0
08/05/2018,22.2,22.5,21.5,21.8,20130.0,51.0
08/06/2018,22.5,22.7,21.7,21.8,22478.0,89.0
08/07/2018,22.2,22.6,21.6,21.8,53518.0,83.0
08/08/2018,21.7,22.0,20.2,20.4,37570.0,81.0
08/09/2018,19.2,20.7,18.4,19.1,125028.0,174.0
08/12/2018,19.4,19.6,17.3,17.3,85986.0,173.0
08/13/2018,17.3,17.3,15.6,17.0,91582.0,145.0
08/14/2018,18.3,18.3,16.0,16.7,23395.0,78.0
08/16/2018,17.1,18.4,17.1,18.4,16470.0,80.0
08/19/2018,19.2,20.2,19.2,20.2,16763.0,21.0
08/20/2018,20.2,22.2,20.2,21.9,49306.0,83.0
08/26/2018,22.6,22.6,21.4,21.5,13984.0,41.0
08/27/2018,21.5,22.2,21.3,21.4,34679.0,62.0
08/28/2018,21.4,21.9,20.7,20.9,26696.0,58.0
08/29/2018,20.9,21.8,20.2,20.6,35012.0,85.0
08/30/2018,21.0,21.1,20.2,20.3,12359.0,33.0
09/03/2018,20.1,20.5,19.7,19.9,20572.0,55.0
09/04/2018,20.2,20.2,18.8,19.2,9283.0,38.0
09/05/2018,20.0,20.2,19.1,19.8,10352.0,50.0
09/06/2018,20.4,20.6,19.6,19.7,11754.0,29.0
09/09/2018,20.4,20.5,19.5,19.7,7967.0,29.0
09/10/2018,20.5,20.5,19.2,19.9,10882.0,34.0
09/11/2018,19.4,20.1,19.4,20.0,11742.0,29.0
09/12/2018,21.1,21.1,19.3,19.4,31657.0,107.0
09/13/2018,20.4,20.4,19.3,19.5,26126.0,84.0
09/16/2018,20.1,20.1,19.0,19.1,16333.0,32.0
09/17/2018,19.2,19.4,18.4,18.7,35659.0,81.0
09/18/2018,18.8,19.2,18.8,19.1,11591.0,30.0
09/19/2018,19.2,20.0,19.2,19.5,12523.0,49.0
09/20/2018,19.8,20.0,19.4,19.4,26736.0,57.0
09/23/2018,19.7,21.3,19.4,21.3,117087.0,166.0
09/24/2018,22.5,23.5,22.5,23.5,171716.0,199.0
09/25/2018,24.2,25.8,22.1,22.9,157234.0,234.0
09/26/2018,23.5,25.1,23.5,23.9,239963.0,411.0
09/27/2018,24.9,24.9,23.3,23.5,82416.0,159.0
09/30/2018,24.0,25.8,24.0,25.8,237133.0,258.0
10/01/2018,28.1,28.3,28.1,28.3,81891.0,258.0
10/02/2018,30.9,31.1,27.1,28.7,423710.0,412.0
10/03/2018,28.7,29.0,26.2,26.6,160017.0,291.0
10/04/2018,27.0,29.2,26.9,28.1,177026.0,260.0
10/07/2018,28.2,30.5,28.2,29.2,124145.0,0.0
10/08/2018,29.8,31.2,29.3,29.4,172396.0,
10/09/2018,29.0,29.6,26.5,27.6,146933.0,
10/10/2018,29.2,29.2,26.2,26.7,32248.0,1.0
10/11/2018,26.5,26.7,24.1,24.3,86238.0,228.0
10/14/2018,24.9,25.6,24.6,24.7,31999.0,74.0
10/15/2018,25.0,26.4,25.0,25.4,20314.0,91.0
10/16/2018,26.0,26.0,24.8,25.8,42459.0,87.0
10/17/2018,26.7,26.7,25.1,26.2,32002.0,126.0
10/18/2018,26.4,28.0,26.1,27.5,102424.0,197.0
10/21/2018,27.8,27.9,24.8,24.9,76254.0,131.0
10/22/2018,26.7,26.7,23.4,24.5,19596.0,76.0
10/23/2018,25.5,26.9,25.5,26.9,195592.0,223.0
10/24/2018,27.0,29.2,27.0,27.8,76544.0,153.0
10/25/2018,28.3,28.3,26.1,26.6,26640.0,
10/28/2018,27.7,27.7,24.1,25.1,32272.0,
10/29/2018,26.9,29.7,26.9,28.8,523752.0,
10/30/2018,30.6,31.7,30.6,31.7,477844.0,
10/31/2018,33.7,34.9,33.7,34.9,143601.0,
11/01/2018,38.4,38.4,35.1,36.4,412433.0,
11/04/2018,38.0,39.5,36.5,37.6,171222.0,
11/05/2018,41.3,41.3,38.7,41.3,793213.0,
11/06/2018,44.2,44.2,38.5,41.0,486249.0,
11/07/2018,42.0,42.0,39.6,40.0,323948.0,
11/08/2018,40.0,41.2,39.0,39.3,362756.0,672.0
11/11/2018,39.4,40.9,38.1,39.7,488107.0,922.0
11/12/2018,40.2,41.9,39.8,40.0,497089.0,1013.0
11/13/2018,40.3,40.9,39.6,39.9,281103.0,600.0
11/14/2018,40.4,41.2,38.3,38.5,423522.0,857.0
11/15/2018,38.8,39.6,37.0,37.3,479962.0,880.0
11/18/2018,38.8,39.6,37.0,37.3,479962.0,0.0
11/19/2018,38.8,40.9,33.6,36.6,116410.0,333.0
11/20/2018,36.0,38.0,34.0,34.7,136558.0,296.0
11/22/2018,34.7,35.5,33.3,34.2,89149.0,212.0
11/25/2018,35.1,37.6,34.5,37.6,77877.0,180.0
11/26/2018,39.8,41.2,38.5,40.0,166293.0,384.0
11/27/2018,41.0,41.0,39.1,39.2,72330.0,180.0
11/28/2018,39.2,42.1,39.2,40.5,112506.0,293.0
11/29/2018,40.8,43.0,40.8,42.0,194042.0,340.0
12/02/2018,43.0,43.7,42.1,43.3,122793.0,396.0
12/03/2018,43.4,43.6,42.3,42.5,63507.0,216.0
12/04/2018,41.5,43.6,41.5,43.1,71563.0,269.0
12/05/2018,42.6,43.2,41.5,42.6,64530.0,229.0
12/06/2018,42.5,44.0,42.0,43.4,96819.0,287.0
12/09/2018,44.0,46.3,41.6,43.0,134616.0,385.0
12/10/2018,38.7,38.7,38.7,38.7,14095.0,42.0
12/11/2018,34.9,34.9,34.9,34.9,2761.0,14.0
12/12/2018,31.5,31.5,31.5,31.5,6808.0,25.0
12/13/2018,28.4,28.4,28.4,28.4,21704.0,60.0
12/17/2018,25.6,27.8,25.6,25.7,308387.0,446.0
12/18/2018,25.7,28.2,25.7,28.2,167589.0,218.0
12/19/2018,30.0,30.2,27.0,27.2,58550.0,173.0
12/20/2018,26.0,27.9,26.0,26.3,91287.0,192.0
12/23/2018,26.3,27.0,24.6,25.1,51123.0,148.0
12/24/2018,24.1,26.4,24.1,24.8,50417.0,147.0
12/26/2018,26.0,27.0,25.9,26.4,32074.0,83.0
12/27/2018,27.2,27.2,25.0,26.7,58653.0,149.0
01/01/2019,26.4,26.7,26.1,26.2,37562.0,138.0
01/02/2019,26.7,27.6,26.3,27.3,81657.0,184.0
01/03/2019,28.2,30.0,27.8,30.0,86425.0,222.0
01/06/2019,30.6,33.0,30.6,33.0,69285.0,170.0
01/07/2019,34.6,34.6,29.9,32.2,162040.0,346.0
01/08/2019,32.7,32.7,30.0,30.6,60932.0,140.0
01/09/2019,30.1,31.2,27.7,28.5,92118.0,221.0
01/10/2019,28.7,31.3,28.2,31.3,69886.0,180.0
01/13/2019,32.4,32.5,29.8,30.4,62165.0,216.0
01/14/2019,31.0,31.2,30.1,30.3,55744.0,151.0
01/15/2019,30.4,30.4,29.2,29.4,49240.0,154.0
01/16/2019,29.7,29.7,28.2,28.3,103647.0,257.0
01/17/2019,29.7,29.7,27.7,28.2,58502.0,153.0
01/20/2019,28.7,28.7,28.0,28.5,43749.0,129.0
01/21/2019,30.2,30.2,29.1,29.4,36580.0,102.0
01/22/2019,29.4,30.0,28.2,28.3,55558.0,143.0
01/23/2019,29.3,30.2,29.2,29.9,40603.0,113.0
01/24/2019,30.7,32.9,29.8,30.7,71288.0,171.0
01/27/2019,31.9,31.9,28.9,29.1,21791.0,95.0
01/28/2019,28.8,30.6,28.2,28.7,24789.0,100.0
01/29/2019,29.7,30.6,28.9,29.2,42369.0,136.0
01/30/2019,29.6,30.4,29.5,30.1,23626.0,98.0
01/31/2019,30.9,31.7,29.2,29.8,55481.0,154.0
02/03/2019,31.6,31.6,27.8,28.3,91193.0,223.0
02/04/2019,29.9,29.9,28.7,28.8,21771.0,63.0
02/05/2019,29.1,30.4,28.8,29.5,22521.0,77.0
02/06/2019,30.4,30.4,28.5,28.8,52693.0,134.0
02/07/2019,29.7,29.7,28.7,29.1,53043.0,119.0
02/10/2019,30.8,30.8,28.3,28.5,30868.0,107.0
02/11/2019,29.2,29.2,28.2,28.7,34252.0,
02/12/2019,28.7,29.5,28.4,28.7,25735.0,102.0
02/13/2019,28.2,28.4,26.4,28.1,58719.0,200.0
02/14/2019,29.2,29.2,26.2,26.5,86273.0,208.0
02/17/2019,26.6,26.6,25.2,25.5,62956.0,177.0
02/18/2019,25.8,26.9,25.2,25.8,49334.0,120.0
02/19/2019,26.6,27.3,25.3,27.0,39585.0,118.0
02/20/2019,27.6,28.7,26.9,27.4,16432.0,55.0
02/24/2019,27.6,27.6,26.2,26.8,21188.0,51.0
02/25/2019,26.7,27.0,26.3,26.5,19050.0,45.0
02/26/2019,26.4,26.4,25.7,25.9,13985.0,59.0
02/27/2019,25.9,27.0,25.8,26.0,22172.0,37.0
03/03/2019,26.0,26.7,25.9,26.0,15972.0,59.0
03/04/2019,26.5,26.5,25.8,26.1,12852.0,71.0
03/05/2019,26.3,27.2,26.1,26.3,14887.0,69.0
03/06/2019,27.1,27.6,25.7,25.8,24453.0,
03/07/2019,25.4,26.6,25.4,25.6,15245.0,
03/10/2019,26.5,26.5,25.7,25.9,5078.0,
03/11/2019,26.2,26.2,25.7,25.8,9457.0,
03/12/2019,26.4,26.6,25.7,25.9,14374.0,
03/13/2019,26.4,26.4,25.0,25.5,12045.0,
03/14/2019,25.4,25.8,25.4,25.6,7080.0,
03/18/2019,25.5,26.1,25.3,25.4,23216.0,
03/19/2019,25.4,26.6,25.0,25.4,31761.0,
03/20/2019,25.4,25.6,25.2,25.3,4192.0,
