date,open,high,low,close,volume,trade
01/01/2018,30.1,30.3,29.8,30.2,54428.0,92.0
01/02/2018,30.2,30.5,30.2,30.2,14107.0,256.0
01/03/2018,31.3,31.5,30.8,31.4,218100.0,286.0
01/04/2018,31.7,31.7,30.4,30.6,201022.0,252.0
01/07/2018,30.7,31.2,30.7,30.8,73522.0,145.0
01/08/2018,31.3,31.3,30.8,31.0,63560.0,121.0
01/09/2018,30.8,31.0,30.6,30.7,66448.0,115.0
01/10/2018,31.0,31.0,30.2,30.3,40065.0,111.0
01/11/2018,30.4,31.0,30.2,30.2,77430.0,118.0
01/14/2018,30.2,30.3,29.9,30.0,39700.0,80.0
01/15/2018,30.0,30.0,29.5,29.5,65355.0,122.0
01/16/2018,29.6,30.0,29.5,29.7,27525.0,59.0
01/17/2018,30.3,30.3,29.5,29.7,24474.0,66.0
01/18/2018,30.0,30.0,29.5,29.6,33892.0,74.0
01/21/2018,29.7,30.1,29.7,29.7,21705.0,54.0
01/22/2018,29.7,29.7,29.3,29.3,63581.0,143.0
01/23/2018,29.6,29.7,29.4,29.7,16020.0,43.0
01/24/2018,29.7,29.9,29.3,29.4,29709.0,86.0
01/25/2018,29.6,29.7,29.2,29.3,26872.0,65.0
01/28/2018,29.1,29.6,29.1,29.2,30996.0,55.0
01/29/2018,29.6,29.6,28.8,29.0,102235.0,122.0
01/30/2018,29.7,29.7,28.6,28.7,35749.0,82.0
01/31/2018,28.8,28.8,28.0,28.0,40544.0,118.0
02/01/2018,28.1,28.5,27.9,28.0,28365.0,83.0
02/04/2018,28.0,28.0,26.8,27.1,72281.0,150.0
02/05/2018,26.8,29.7,24.6,27.5,119097.0,219.0
02/06/2018,27.9,28.5,27.4,27.8,27554.0,65.0
02/07/2018,27.8,27.8,26.4,26.8,38786.0,107.0
02/08/2018,26.6,27.2,26.4,27.0,14937.0,54.0
02/11/2018,27.2,28.2,27.2,28.0,63031.0,126.0
02/12/2018,28.0,28.8,27.1,27.4,80823.0,203.0
02/13/2018,27.2,27.5,26.8,26.9,89699.0,203.0
02/14/2018,27.6,28.6,27.6,27.8,140457.0,248.0
