date,open,high,low,close,volume,trade
01/01/2018,18.3,18.3,18.0,18.2,1046262.0,199.0
01/02/2018,18.2,18.2,18.0,18.2,72265.0,176.0
01/03/2018,18.1,18.3,18.0,18.2,582044.0,131.0
01/04/2018,18.2,18.3,17.9,18.0,916179.0,212.0
01/07/2018,18.0,18.0,17.6,17.6,915294.0,207.0
01/08/2018,17.7,17.7,17.2,17.2,887367.0,326.0
01/09/2018,17.2,17.4,16.5,16.7,1358528.0,495.0
01/10/2018,17.0,17.0,16.4,16.4,952700.0,260.0
01/11/2018,16.6,16.7,16.3,16.6,786778.0,214.0
01/14/2018,16.6,16.7,16.5,16.6,346555.0,111.0
01/15/2018,16.6,16.7,16.6,16.6,578915.0,157.0
01/16/2018,16.6,17.0,16.6,17.0,421525.0,160.0
01/17/2018,17.0,17.0,16.8,16.9,268384.0,108.0
01/18/2018,17.0,17.0,16.7,16.9,193218.0,69.0
01/21/2018,16.8,17.5,16.8,17.3,463578.0,137.0
01/22/2018,17.0,17.7,17.0,17.5,604135.0,216.0
01/23/2018,17.3,17.5,17.0,17.0,729622.0,140.0
01/24/2018,17.0,17.0,16.8,16.9,501007.0,150.0
01/25/2018,17.1,17.1,16.8,16.9,458576.0,117.0
01/28/2018,16.8,16.9,16.3,16.5,409085.0,182.0
01/29/2018,16.4,17.0,16.3,16.9,508779.0,176.0
01/30/2018,17.0,17.2,16.9,17.1,449335.0,157.0
01/31/2018,17.2,17.2,16.6,16.8,300478.0,146.0
02/01/2018,16.8,17.0,16.5,16.6,134101.0,75.0
02/04/2018,16.6,16.6,16.1,16.1,245628.0,137.0
02/05/2018,16.1,16.3,15.8,16.0,511696.0,126.0
02/06/2018,16.1,16.5,16.1,16.3,120686.0,76.0
02/07/2018,16.1,16.6,16.1,16.5,159938.0,81.0
02/08/2018,16.4,16.6,16.3,16.4,114022.0,71.0
02/11/2018,16.7,17.1,16.6,17.0,312938.0,142.0
02/12/2018,17.2,17.3,17.0,17.1,682625.0,165.0
02/13/2018,17.0,17.3,17.0,17.3,199121.0,110.0
02/14/2018,17.2,17.3,17.0,17.0,507450.0,114.0
02/15/2018,17.0,17.1,17.0,17.0,97540.0,46.0
02/18/2018,17.0,17.0,16.6,16.8,227226.0,112.0
02/19/2018,16.7,17.2,16.7,16.7,103531.0,46.0
02/20/2018,17.0,17.0,16.7,16.8,285157.0,108.0
02/22/2018,16.7,16.7,16.4,16.6,230361.0,92.0
