date,open,high,low,close,volume,trade
03/31/2022,22.0,22.0,22.0,22.0,467.0,12.0
04/03/2022,24.2,24.2,24.2,24.2,425.0,23.0
04/04/2022,26.6,26.6,26.6,26.6,884.0,24.0
04/05/2022,29.2,29.2,29.2,29.2,1046.0,26.0
04/06/2022,32.1,32.1,32.1,32.1,1022.0,26.0
04/07/2022,35.3,35.3,35.3,35.3,1380.0,35.0
04/10/2022,38.8,38.8,38.8,38.8,2571.0,60.0
04/11/2022,42.6,42.6,42.6,42.6,7221.0,157.0
04/12/2022,46.8,46.8,46.8,46.8,25603.0,517.0
04/13/2022,51.4,51.4,51.4,51.4,96571.0,1970.0
04/17/2022,56.5,56.5,56.5,56.5,339562.0,5372.0
04/18/2022,62.1,62.1,56.5,61.0,12131222.0,162719.0
04/19/2022,61.4,67.1,60.8,67.1,2832936.0,40566.0
04/20/2022,66.7,73.8,66.2,73.8,6144669.0,23291.0
04/21/2022,75.7,80.7,73.7,74.5,4977569.0,24201.0
04/24/2022,73.7,74.6,70.8,70.8,3755793.0,14660.0
04/25/2022,67.5,68.6,67.3,67.3,1099486.0,1853.0
04/26/2022,64.0,73.6,64.0,71.2,5977003.0,18282.0
04/27/2022,74.1,78.3,74.1,78.3,4824431.0,8559.0
04/28/2022,80.0,83.8,78.3,78.9,5986437.0,18592.0
05/05/2022,79.0,86.7,76.5,86.7,3243997.0,12450.0
05/08/2022,89.8,95.3,88.0,92.0,5845660.0,17174.0
05/09/2022,91.5,97.0,87.4,94.7,5322066.0,14676.0
05/10/2022,94.6,96.5,90.0,90.0,3978657.0,10126.0
05/11/2022,87.4,90.0,85.5,85.5,5351575.0,13293.0
05/12/2022,85.0,92.5,82.3,91.2,5115288.0,14901.0
05/16/2022,92.6,94.4,87.7,89.4,4721547.0,12785.0
05/17/2022,90.0,91.5,85.0,88.3,4278554.0,8753.0
05/18/2022,89.8,90.0,83.9,83.9,3281822.0,8084.0
05/19/2022,82.3,83.8,79.8,80.3,2903706.0,7332.0
05/22/2022,79.0,80.5,76.3,76.3,3025530.0,6811.0
05/23/2022,80.8,83.9,77.4,82.1,3326661.0,6703.0
05/24/2022,82.2,83.0,78.0,78.3,3233922.0,6368.0
05/25/2022,78.4,78.7,74.8,76.1,2361654.0,5455.0
05/26/2022,77.1,79.5,74.8,78.8,2133124.0,4588.0
05/29/2022,79.8,81.9,79.8,80.4,2414309.0,4697.0
05/30/2022,80.8,80.9,78.8,78.8,2063476.0,3713.0
05/31/2022,77.9,78.4,77.3,77.3,1534414.0,2989.0
06/01/2022,77.4,78.7,75.8,76.7,1976493.0,4396.0
06/02/2022,77.9,82.0,77.9,80.8,3585006.0,7416.0
06/05/2022,81.5,81.5,79.2,79.2,1833371.0,5065.0
06/06/2022,78.6,79.4,77.7,77.7,1989546.0,4260.0
06/07/2022,78.2,78.3,76.2,76.5,1356262.0,3472.0
06/08/2022,76.8,78.9,76.0,77.8,1418485.0,3393.0
06/09/2022,78.0,78.7,76.5,76.9,1173756.0,3151.0
06/12/2022,76.9,77.5,75.7,75.9,1164885.0,2775.0
06/13/2022,75.0,79.9,75.0,78.3,2463383.0,5448.0
06/14/2022,79.3,86.0,78.5,85.4,5407078.0,10526.0
