date,open,high,low,close,volume,trade
01/01/2018,134.5,134.5,132.2,132.5,25814.0,193.0
01/02/2018,133.5,133.5,132.8,133.3,1253.0,243.0
01/03/2018,135.9,136.0,134.4,134.9,28179.0,180.0
01/04/2018,134.2,135.4,133.1,133.5,46643.0,274.0
01/07/2018,134.6,134.9,133.5,134.0,23095.0,132.0
01/08/2018,134.9,134.9,133.5,133.8,44092.0,173.0
01/09/2018,133.8,133.8,133.5,133.6,22251.0,96.0
01/10/2018,134.7,134.9,133.2,133.7,39654.0,193.0
01/11/2018,133.7,134.0,131.7,132.9,27321.0,175.0
01/14/2018,132.4,134.3,131.3,131.8,17674.0,153.0
01/15/2018,133.5,133.5,129.1,130.5,27582.0,170.0
01/16/2018,132.2,132.4,130.3,131.0,13853.0,96.0
01/17/2018,130.9,132.4,130.9,131.2,14241.0,100.0
01/18/2018,132.3,132.4,130.9,131.4,14824.0,134.0
01/21/2018,132.7,132.7,130.1,131.3,17160.0,108.0
01/22/2018,132.6,134.6,131.9,133.1,35519.0,249.0
01/23/2018,134.9,135.0,132.4,133.5,21481.0,143.0
01/24/2018,134.3,134.8,131.8,132.4,32706.0,213.0
01/25/2018,132.4,134.3,131.5,131.7,24711.0,156.0
01/28/2018,132.0,132.0,127.6,129.3,17618.0,126.0
01/29/2018,128.2,130.7,128.0,129.6,14640.0,117.0
01/30/2018,129.4,131.2,127.7,128.0,24945.0,163.0
01/31/2018,127.6,128.7,125.4,125.9,44859.0,180.0
02/01/2018,128.3,128.4,126.1,127.1,15264.0,68.0
02/04/2018,127.7,127.7,124.3,124.4,18226.0,133.0
02/05/2018,123.5,126.2,122.9,124.6,31327.0,173.0
02/06/2018,125.8,127.9,125.2,126.0,21746.0,95.0
02/07/2018,126.8,127.9,125.1,127.3,18876.0,79.0
02/08/2018,127.9,127.9,125.6,126.5,16503.0,96.0
02/11/2018,127.2,129.3,127.2,128.2,30552.0,170.0
02/12/2018,128.7,129.9,127.9,128.8,17563.0,124.0
02/13/2018,129.3,134.9,129.3,132.6,77473.0,544.0
02/14/2018,135.0,135.1,131.7,132.7,41447.0,182.0
02/15/2018,134.6,135.7,131.6,132.8,91175.0,547.0
02/18/2018,132.6,132.6,128.9,129.3,41648.0,300.0
02/19/2018,130.1,137.4,129.8,135.4,163259.0,929.0
02/20/2018,136.2,136.6,134.3,135.4,78636.0,431.0
02/22/2018,135.3,135.7,132.8,133.3,55671.0,333.0
02/25/2018,133.6,139.0,133.5,138.2,197935.0,1128.0
02/26/2018,138.6,138.6,134.6,134.8,102140.0,551.0
