date,open,high,low,close,volume,trade
01/01/2018,110.0,112.9,102.5,104.3,2876.0,75.0
01/02/2018,112.0,112.0,104.3,104.3,20.0,88.0
01/03/2018,125.9,126.0,125.9,126.0,11480.0,33.0
01/04/2018,138.6,138.6,132.3,138.6,45580.0,252.0
01/07/2018,141.7,145.0,137.0,142.1,12444.0,124.0
01/08/2018,138.4,141.9,136.2,137.8,4212.0,95.0
01/09/2018,137.7,151.5,137.7,151.5,15205.0,130.0
01/10/2018,160.0,166.6,152.5,166.6,6452.0,73.0
01/11/2018,177.0,181.0,160.1,166.4,4609.0,98.0
01/14/2018,161.7,163.5,158.0,162.2,4828.0,63.0
01/15/2018,158.1,158.1,146.0,147.9,8578.0,110.0
01/16/2018,138.1,157.8,138.1,153.3,6188.0,79.0
01/17/2018,150.5,153.0,145.2,146.9,3827.0,87.0
01/18/2018,147.0,152.9,147.0,152.2,7159.0,211.0
01/21/2018,151.6,166.0,151.6,165.9,5988.0,200.0
01/22/2018,170.0,170.0,156.5,158.3,6707.0,78.0
01/23/2018,158.0,171.0,158.0,162.6,1046.0,31.0
01/24/2018,171.7,171.7,160.4,161.8,9959.0,83.0
01/25/2018,164.0,166.9,161.8,165.0,5299.0,108.0
01/28/2018,169.0,169.0,162.0,163.1,5611.0,115.0
01/29/2018,158.0,167.0,158.0,159.5,2702.0,78.0
01/30/2018,159.3,161.9,159.3,161.3,104.0,4.0
01/31/2018,160.3,161.6,155.0,158.0,3551.0,61.0
02/01/2018,156.7,163.5,156.1,157.9,3549.0,66.0
02/04/2018,164.0,164.0,158.1,159.1,4837.0,98.0
02/05/2018,151.0,155.1,151.0,154.7,2872.0,71.0
02/06/2018,154.1,165.0,153.2,163.3,6989.0,84.0
02/07/2018,159.0,172.9,159.0,171.6,13051.0,229.0
02/08/2018,173.0,177.5,172.0,173.6,5152.0,61.0
02/11/2018,173.6,184.9,173.6,184.2,7797.0,145.0
02/12/2018,184.0,185.9,180.6,181.2,948.0,26.0
02/13/2018,183.0,185.5,182.2,184.6,9778.0,105.0
02/14/2018,185.0,191.8,185.0,186.6,9407.0,113.0
02/15/2018,185.0,185.0,170.6,180.5,6444.0,87.0
02/18/2018,182.0,184.7,175.1,178.4,836.0,18.0
02/19/2018,180.0,180.0,170.0,172.9,5149.0,93.0
02/20/2018,175.0,175.0,165.4,172.3,6568.0,75.0
