date,open,high,low,close,volume,trade
01/01/2018,16.9,17.1,16.9,17.0,2713.0,5.0
01/02/2018,16.9,17.1,16.9,17.0,2713.0,15.0
01/03/2018,17.2,17.6,17.1,17.5,35933.0,44.0
01/04/2018,17.5,17.6,17.2,17.5,24296.0,31.0
01/07/2018,17.2,17.8,17.2,17.7,80276.0,43.0
01/08/2018,17.8,18.0,17.4,17.8,159522.0,51.0
01/09/2018,17.5,17.5,16.9,17.1,33607.0,44.0
01/10/2018,17.1,17.4,16.9,17.1,17311.0,15.0
01/11/2018,17.0,17.1,17.0,17.0,17167.0,17.0
01/14/2018,17.3,17.3,16.7,17.0,5726.0,10.0
01/15/2018,16.8,17.0,16.8,16.9,1199.0,5.0
01/16/2018,16.6,17.1,16.3,16.5,20611.0,33.0
01/17/2018,16.6,16.6,16.6,16.6,105.0,1.0
01/18/2018,16.4,16.9,16.4,16.9,9278.0,9.0
01/21/2018,17.0,17.0,16.4,16.7,8715.0,20.0
01/22/2018,17.1,17.1,16.4,16.6,21243.0,25.0
01/23/2018,16.4,17.0,16.4,16.6,2845.0,11.0
01/24/2018,16.6,17.0,16.0,16.3,21774.0,43.0
01/25/2018,16.0,16.5,15.8,16.0,35193.0,65.0
01/28/2018,15.8,15.9,15.8,15.8,2540.0,11.0
01/29/2018,15.8,16.1,15.8,15.9,10233.0,14.0
01/30/2018,16.0,16.2,16.0,16.1,1976.0,7.0
01/31/2018,15.8,15.9,15.2,15.2,31723.0,53.0
02/01/2018,15.3,15.7,15.2,15.2,11428.0,16.0
02/04/2018,15.3,15.4,15.0,15.2,11259.0,19.0
02/05/2018,15.0,15.0,14.6,14.7,50623.0,52.0
02/06/2018,14.8,15.3,14.8,15.3,6471.0,10.0
02/07/2018,15.0,15.3,15.0,15.0,14288.0,26.0
02/08/2018,15.0,15.5,15.0,15.3,4519.0,7.0
02/11/2018,15.3,15.8,15.3,15.5,22395.0,24.0
02/12/2018,15.3,15.7,15.3,15.5,7164.0,15.0
02/13/2018,15.3,15.5,15.2,15.5,8571.0,16.0
02/14/2018,15.4,15.8,15.4,15.8,18757.0,27.0
02/15/2018,15.7,15.8,15.6,15.7,8540.0,17.0
02/18/2018,15.3,15.3,15.3,15.3,11025.0,7.0
02/19/2018,14.8,15.4,14.8,15.3,10459.0,6.0
02/20/2018,15.4,15.7,15.4,15.7,9757.0,11.0
02/22/2018,15.4,15.4,15.4,15.4,417.0,3.0
02/25/2018,15.3,15.3,15.2,15.2,8958.0,15.0
02/26/2018,15.2,15.7,15.1,15.2,21787.0,10.0
02/27/2018,15.0,15.0,15.0,15.0,603.0,3.0
02/28/2018,15.2,15.2,15.1,15.2,3963.0,7.0
03/01/2018,15.1,15.1,15.0,15.0,3378.0,7.0
03/04/2018,15.3,15.3,15.3,15.3,1231.0,4.0
03/05/2018,15.2,15.2,15.2,15.2,4353.0,2.0
03/06/2018,15.2,15.2,15.0,15.1,2155.0,8.0
03/07/2018,15.1,15.2,15.1,15.2,3503.0,6.0
03/08/2018,15.0,15.3,15.0,15.1,11846.0,29.0
03/11/2018,15.1,15.5,15.0,15.2,2018.0,9.0
03/12/2018,15.0,15.2,15.0,15.0,6393.0,13.0
03/13/2018,15.0,15.0,14.8,15.0,4148.0,11.0
03/14/2018,14.9,15.0,14.9,14.9,1687.0,5.0
03/15/2018,14.9,15.0,14.9,15.0,4305.0,8.0
03/18/2018,15.0,15.0,15.0,15.0,2152.0,3.0
03/19/2018,14.7,14.9,14.7,14.8,4319.0,11.0
03/20/2018,15.0,15.0,14.9,14.9,277.0,2.0
03/21/2018,14.6,14.6,14.6,14.6,304.0,1.0
03/22/2018,14.6,14.8,14.6,14.8,434.0,5.0
03/25/2018,14.7,14.7,14.7,14.7,1266.0,5.0
03/27/2018,14.5,14.5,14.5,14.5,138.0,1.0
03/28/2018,14.4,14.5,14.2,14.4,4435.0,6.0
03/29/2018,14.3,14.9,14.3,14.5,786.0,5.0
04/01/2018,14.7,14.8,14.7,14.7,2552.0,5.0
04/02/2018,14.8,15.2,14.8,15.0,11919.0,14.0
04/03/2018,14.7,15.2,14.7,14.9,4801.0,9.0
04/04/2018,14.9,15.2,14.9,15.0,6239.0,18.0
04/05/2018,15.0,15.2,15.0,15.0,2587.0,9.0
04/08/2018,14.8,15.2,14.8,15.0,2465.0,8.0
04/09/2018,15.1,15.2,15.1,15.1,1470.0,4.0
04/10/2018,15.2,15.2,15.1,15.2,11859.0,18.0
04/11/2018,15.2,15.4,15.2,15.3,13545.0,25.0
04/12/2018,14.9,15.4,14.7,14.8,25336.0,33.0
04/15/2018,14.8,15.4,14.7,14.9,2126.0,7.0
04/16/2018,14.7,15.0,14.7,14.8,53729.0,25.0
04/17/2018,15.2,15.2,14.6,14.6,67673.0,43.0
04/18/2018,14.8,15.2,14.8,15.1,13499.0,27.0
04/19/2018,15.3,15.5,15.1,15.2,72420.0,60.0
04/22/2018,15.2,15.3,15.0,15.0,40751.0,38.0
04/23/2018,14.8,15.3,14.8,15.1,44021.0,36.0
04/24/2018,14.9,15.0,14.8,14.9,34881.0,28.0
04/25/2018,15.0,15.0,15.0,15.0,6300.0,6.0
04/26/2018,15.0,15.2,14.9,15.0,52787.0,29.0
04/30/2018,14.9,15.4,14.9,15.0,90178.0,69.0
05/03/2018,15.3,15.4,15.0,15.2,53140.0,96.0
05/06/2018,15.0,15.7,15.0,15.4,111166.0,59.0
05/07/2018,15.0,15.3,15.0,15.1,13256.0,11.0
05/08/2018,15.6,15.6,15.1,15.1,13030.0,9.0
05/09/2018,15.0,15.2,14.9,15.0,89380.0,57.0
05/10/2018,15.3,15.4,14.9,15.0,15915.0,22.0
05/13/2018,15.0,15.1,14.8,15.0,64250.0,59.0
05/14/2018,14.8,15.0,14.8,14.9,19131.0,21.0
05/15/2018,14.9,15.2,14.8,14.9,15921.0,28.0
05/16/2018,15.6,15.6,15.0,15.0,19120.0,29.0
05/17/2018,15.0,15.1,14.8,15.0,15381.0,30.0
05/20/2018,15.0,15.1,14.8,15.0,15381.0,0.0
05/21/2018,13.8,14.5,13.8,13.9,30033.0,68.0
05/22/2018,14.5,14.5,13.3,13.5,42633.0,102.0
05/23/2018,13.6,13.6,12.9,13.0,56182.0,71.0
05/24/2018,12.9,14.1,12.8,14.0,41538.0,42.0
05/27/2018,13.8,13.9,13.3,13.6,11952.0,47.0
05/28/2018,13.6,13.9,13.4,13.6,13538.0,23.0
05/29/2018,13.5,13.7,13.0,13.2,39423.0,26.0
