date,open,high,low,close,volume,trade
01/01/2018,130.7,142.6,130.7,141.0,21483.0,247.0
01/02/2018,145.0,147.0,144.1,146.6,11391.0,368.0
01/03/2018,148.9,148.9,138.0,138.2,13754.0,144.0
01/04/2018,136.3,139.5,133.5,135.5,17291.0,173.0
01/07/2018,138.5,138.5,135.7,137.8,17224.0,124.0
01/08/2018,138.5,138.5,136.1,137.5,14981.0,126.0
01/09/2018,138.5,141.7,137.8,138.2,15132.0,157.0
01/10/2018,144.0,145.0,139.2,141.3,31324.0,374.0
01/11/2018,143.0,145.5,140.1,143.3,22570.0,199.0
01/14/2018,144.9,148.0,143.0,143.9,28853.0,289.0
01/15/2018,146.5,146.5,138.0,139.6,21833.0,277.0
01/16/2018,140.0,142.0,139.6,140.8,13778.0,189.0
01/17/2018,140.1,142.3,138.9,139.9,16389.0,222.0
01/18/2018,141.0,143.0,137.5,139.0,25635.0,263.0
01/21/2018,140.0,144.0,139.1,142.6,24724.0,162.0
01/22/2018,143.0,144.9,140.3,140.6,31133.0,234.0
01/23/2018,142.0,143.7,137.7,138.7,31657.0,169.0
01/24/2018,140.1,141.8,138.3,138.9,7518.0,141.0
01/25/2018,140.0,140.0,138.6,139.3,8489.0,188.0
01/28/2018,140.0,140.0,135.8,136.5,9690.0,97.0
01/29/2018,140.6,140.6,137.0,139.7,10627.0,144.0
01/30/2018,142.0,145.0,135.2,136.0,23816.0,265.0
01/31/2018,133.7,140.0,133.3,134.9,21873.0,287.0
02/01/2018,134.9,143.9,134.9,140.3,16372.0,209.0
02/04/2018,141.8,142.0,137.2,137.6,20670.0,166.0
02/05/2018,138.8,139.9,137.7,138.6,21354.0,213.0
02/06/2018,140.0,140.0,134.1,136.8,13207.0,124.0
02/07/2018,141.9,141.9,135.0,135.6,18303.0,185.0
02/08/2018,139.0,139.5,136.0,138.1,4802.0,80.0
02/11/2018,140.0,142.5,140.0,142.2,17297.0,227.0
02/12/2018,141.0,143.0,140.0,142.7,20683.0,152.0
02/13/2018,143.7,143.7,142.4,143.1,17376.0,186.0
02/14/2018,144.6,144.9,142.8,143.1,26804.0,174.0
02/15/2018,144.0,144.0,137.0,142.2,20969.0,150.0
02/18/2018,143.1,144.8,142.2,142.7,32254.0,282.0
02/19/2018,149.8,149.8,143.3,145.1,23376.0,258.0
02/20/2018,145.2,148.0,145.2,147.3,26988.0,316.0
02/22/2018,148.7,154.4,148.7,152.6,34332.0,363.0
02/25/2018,159.9,167.8,155.4,167.8,68073.0,397.0
02/26/2018,171.3,173.4,160.4,165.2,29677.0,349.0
02/27/2018,166.0,168.0,162.0,162.6,8859.0,128.0
02/28/2018,164.5,164.5,158.0,160.4,13836.0,181.0
03/01/2018,160.9,164.3,160.9,164.2,11450.0,151.0
03/04/2018,165.0,179.9,165.0,167.7,32415.0,473.0
03/05/2018,173.0,173.0,168.2,169.8,14216.0,152.0
03/06/2018,170.2,174.9,168.0,169.6,15179.0,227.0
