date,open,high,low,close,volume,trade
01/01/2018,56.4,57.0,55.7,55.9,39285.0,165.0
01/02/2018,56.4,57.0,55.7,55.9,39285.0,71.0
01/03/2018,56.4,58.0,56.4,57.6,77798.0,223.0
01/04/2018,58.1,58.9,57.9,58.6,97958.0,268.0
01/07/2018,59.1,59.5,57.5,57.6,138124.0,265.0
01/08/2018,57.5,58.2,56.1,56.4,211770.0,427.0
01/09/2018,57.0,57.0,55.8,55.9,74499.0,160.0
01/10/2018,56.0,56.0,55.2,55.3,151943.0,324.0
01/11/2018,55.4,55.9,54.8,55.2,53562.0,203.0
01/14/2018,55.7,55.8,54.8,54.9,74352.0,184.0
01/15/2018,55.6,55.6,54.8,54.8,29994.0,101.0
01/16/2018,55.7,55.8,55.2,55.7,9476.0,39.0
01/17/2018,55.7,56.1,54.7,54.8,51308.0,123.0
01/18/2018,54.8,55.6,54.5,54.8,51095.0,121.0
01/21/2018,54.8,55.2,54.5,54.8,48849.0,108.0
01/22/2018,55.6,55.6,54.6,55.0,21619.0,75.0
01/23/2018,55.7,55.7,54.8,55.1,28919.0,124.0
01/24/2018,55.1,55.2,54.8,54.9,61751.0,115.0
01/25/2018,55.7,55.7,54.6,54.7,34883.0,123.0
01/28/2018,54.8,54.8,53.6,53.7,28083.0,127.0
01/29/2018,54.0,54.4,53.7,54.2,22216.0,55.0
01/30/2018,54.4,54.8,53.7,54.3,28627.0,123.0
01/31/2018,54.3,54.6,53.2,53.5,89055.0,185.0
02/01/2018,53.2,53.6,52.7,53.2,21406.0,108.0
02/04/2018,53.6,53.6,50.2,50.5,46868.0,130.0
02/05/2018,51.2,51.2,47.2,49.9,53046.0,132.0
02/06/2018,50.8,52.2,50.5,50.8,22825.0,111.0
02/07/2018,50.8,50.8,49.6,50.5,15799.0,42.0
02/08/2018,51.5,51.5,49.4,50.5,19757.0,74.0
02/11/2018,51.2,52.1,50.6,52.1,58371.0,162.0
02/12/2018,52.4,52.9,51.6,51.8,45929.0,107.0
02/13/2018,51.4,52.2,50.7,51.6,53519.0,172.0
02/14/2018,52.3,53.1,52.1,52.8,72999.0,189.0
02/15/2018,53.1,53.6,51.5,52.4,69910.0,175.0
02/18/2018,51.6,52.0,50.5,50.7,56401.0,206.0
02/19/2018,51.2,51.2,50.3,50.5,40520.0,139.0
02/20/2018,50.7,51.6,50.4,50.8,23317.0,67.0
02/22/2018,51.0,51.0,50.5,50.6,19401.0,56.0
02/25/2018,50.0,50.1,48.4,48.6,141247.0,261.0
02/26/2018,48.1,49.2,47.1,47.2,135192.0,194.0
02/27/2018,48.0,48.3,47.2,47.5,25190.0,63.0
02/28/2018,47.3,48.2,47.1,47.7,64273.0,188.0
03/01/2018,47.8,48.9,47.7,48.5,29385.0,114.0
03/04/2018,48.9,49.8,48.3,48.4,80790.0,281.0
03/05/2018,48.3,48.9,47.7,48.0,78837.0,155.0
03/06/2018,48.1,49.7,48.0,49.5,71841.0,216.0
03/07/2018,49.5,51.0,49.5,50.6,189106.0,409.0
03/08/2018,50.2,50.6,49.4,49.9,89986.0,173.0
03/11/2018,49.9,50.2,48.9,48.9,36100.0,71.0
03/12/2018,49.5,49.5,47.9,48.4,18601.0,93.0
03/13/2018,47.7,48.5,46.7,47.2,44035.0,94.0
03/14/2018,47.7,48.0,47.2,47.6,38647.0,84.0
03/15/2018,47.6,48.3,47.6,48.3,23592.0,53.0
03/18/2018,47.8,48.3,47.8,47.9,19494.0,76.0
03/19/2018,47.5,47.8,47.1,47.3,25993.0,66.0
03/20/2018,46.8,47.6,46.8,47.1,26603.0,92.0
03/21/2018,47.3,47.8,46.6,46.7,55462.0,118.0
03/22/2018,46.7,47.2,46.2,47.0,22974.0,68.0
03/25/2018,47.7,47.9,47.0,47.3,40241.0,108.0
03/27/2018,46.9,47.0,46.2,46.3,25293.0,61.0
03/28/2018,46.5,46.5,45.7,46.0,21941.0,66.0
03/29/2018,46.4,47.2,46.4,47.0,16592.0,42.0
04/01/2018,48.0,48.4,47.2,48.2,77459.0,176.0
04/02/2018,48.7,49.8,47.6,49.0,92930.0,179.0
04/03/2018,49.2,49.8,48.5,49.6,148581.0,277.0
04/04/2018,50.3,50.4,49.1,49.3,80840.0,228.0
04/05/2018,49.8,50.0,48.9,49.2,45485.0,142.0
04/08/2018,49.4,50.2,49.3,49.8,40238.0,136.0
04/09/2018,50.0,52.6,49.9,52.1,252018.0,642.0
04/10/2018,52.5,53.4,51.5,52.1,239586.0,502.0
04/11/2018,52.5,52.6,50.1,50.7,143468.0,363.0
04/12/2018,49.9,51.9,49.8,50.8,77302.0,248.0
04/15/2018,52.1,52.1,48.9,50.0,58839.0,198.0
04/16/2018,50.6,51.3,49.2,50.5,56483.0,155.0
04/17/2018,51.7,51.9,49.4,50.3,75997.0,238.0
04/18/2018,51.0,51.5,50.0,50.3,88247.0,181.0
04/19/2018,51.2,51.6,49.9,50.1,113345.0,285.0
04/22/2018,50.6,50.7,49.5,49.8,23028.0,68.0
04/23/2018,49.8,49.8,49.4,49.5,26940.0,130.0
04/24/2018,49.5,49.5,48.4,48.8,34772.0,121.0
04/25/2018,48.3,49.4,48.3,48.7,17037.0,70.0
04/26/2018,49.4,49.5,48.7,49.0,16937.0,89.0
04/30/2018,49.0,50.2,48.5,49.8,75074.0,210.0
05/03/2018,49.9,50.6,49.6,50.2,58723.0,222.0
05/06/2018,49.8,51.6,49.8,51.4,95308.0,308.0
05/07/2018,50.6,52.1,50.6,51.6,125421.0,312.0
05/08/2018,51.0,51.4,50.4,50.5,39439.0,190.0
05/09/2018,49.8,51.0,49.8,50.1,26759.0,89.0
05/10/2018,51.0,51.4,50.1,50.9,48215.0,147.0
05/13/2018,50.6,51.2,50.3,50.7,56701.0,202.0
05/14/2018,51.3,51.3,50.2,50.4,11194.0,84.0
05/15/2018,50.6,51.0,50.0,50.1,41680.0,91.0
05/16/2018,50.8,50.8,49.8,49.9,110221.0,138.0
05/17/2018,49.8,49.9,48.9,49.4,32237.0,110.0
05/20/2018,49.1,49.7,48.1,48.3,26650.0,113.0
05/21/2018,47.8,50.6,47.6,48.8,22093.0,75.0
05/22/2018,48.3,49.5,48.3,48.8,17115.0,85.0
05/23/2018,48.2,49.1,47.5,47.8,58630.0,151.0
05/24/2018,47.2,49.1,47.2,48.3,13815.0,48.0
05/27/2018,47.7,48.8,47.7,48.2,17568.0,60.0
05/28/2018,47.2,48.8,47.2,48.3,17613.0,61.0
05/29/2018,48.3,48.7,47.2,47.8,87363.0,174.0
05/30/2018,48.3,48.4,47.2,47.6,32516.0,142.0
05/31/2018,47.5,47.9,46.8,47.2,41775.0,142.0
06/03/2018,48.1,48.1,46.4,46.6,44745.0,153.0
06/04/2018,46.0,47.9,46.0,46.6,24227.0,96.0
06/05/2018,46.4,47.9,46.0,46.2,22203.0,128.0
06/06/2018,46.0,47.7,46.0,47.3,29050.0,98.0
06/07/2018,46.8,49.8,46.8,48.7,60457.0,218.0
06/10/2018,48.3,48.9,47.3,48.4,52721.0,152.0
06/11/2018,47.7,49.5,47.3,48.7,56154.0,273.0
06/12/2018,48.3,52.4,48.1,52.1,181176.0,552.0
06/18/2018,52.3,55.3,52.3,55.0,575687.0,1003.0
06/19/2018,55.0,57.8,55.0,57.6,788824.0,991.0
06/20/2018,57.4,58.4,54.4,55.2,618048.0,846.0
06/21/2018,55.7,57.1,54.3,55.3,477061.0,681.0
06/24/2018,55.7,59.8,55.4,56.7,676282.0,1040.0
06/25/2018,56.7,56.9,55.3,55.8,111638.0,242.0
06/26/2018,55.2,57.4,53.2,53.8,284443.0,572.0
06/27/2018,54.2,54.8,52.5,52.8,222029.0,526.0
06/28/2018,52.7,53.6,51.6,52.4,167483.0,330.0
07/02/2018,52.3,54.4,51.1,52.8,205577.0,337.0
07/03/2018,53.6,53.6,51.6,52.1,71836.0,130.0
07/04/2018,52.3,55.9,52.3,55.0,377120.0,577.0
07/05/2018,55.8,60.5,55.7,60.5,2113130.0,1898.0
07/08/2018,62.0,64.9,62.0,62.7,1237761.0,1275.0
07/09/2018,63.7,65.4,61.8,64.5,1508459.0,1556.0
07/10/2018,65.0,67.9,61.6,64.3,1581556.0,1155.0
07/11/2018,64.8,66.7,63.3,64.3,1031200.0,1058.0
07/12/2018,64.8,70.7,64.8,70.7,3576334.0,1406.0
07/15/2018,77.6,77.7,73.2,77.7,1759390.0,1057.0
07/16/2018,78.6,85.2,72.6,84.0,4235860.0,4012.0
07/17/2018,89.4,91.9,79.4,82.2,2872908.0,3203.0
07/18/2018,88.6,90.4,82.3,90.4,3691325.0,2104.0
07/19/2018,97.0,99.4,93.7,98.9,2153040.0,2873.0
07/22/2018,101.5,105.4,94.5,97.4,2236440.0,3377.0
07/23/2018,98.7,106.4,97.0,98.5,2528695.0,3627.0
07/24/2018,99.6,101.9,94.3,96.1,2217376.0,3627.0
07/25/2018,97.8,100.2,90.8,93.2,1948116.0,3355.0
07/26/2018,94.5,96.9,84.0,84.2,1823483.0,3235.0
07/29/2018,84.4,92.6,84.4,92.6,1743049.0,2188.0
07/30/2018,101.8,101.8,91.3,92.5,1569940.0,
07/31/2018,93.7,95.7,87.8,89.7,1916266.0,3209.0
08/01/2018,91.1,96.4,88.6,94.7,1526339.0,2891.0
08/02/2018,95.9,96.9,90.3,91.7,1409652.0,2640.0
08/05/2018,92.0,92.2,83.7,84.5,1012234.0,1995.0
08/06/2018,86.1,89.4,83.7,86.1,932504.0,1777.0
08/07/2018,87.7,89.7,85.6,86.3,686700.0,1529.0
08/08/2018,86.3,92.8,86.3,88.8,1108355.0,2232.0
08/09/2018,90.2,91.9,87.9,89.1,888601.0,1823.0
08/12/2018,89.7,89.9,83.8,84.6,899816.0,1762.0
08/13/2018,85.6,86.9,83.6,84.0,763220.0,1544.0
08/14/2018,83.9,83.9,75.6,77.2,1452783.0,2548.0
08/16/2018,78.8,78.8,71.6,72.0,721958.0,1493.0
08/19/2018,72.0,72.0,65.4,66.7,634786.0,1141.0
08/20/2018,65.8,73.3,64.5,68.9,883866.0,1768.0
08/26/2018,67.5,68.3,63.8,65.2,1171186.0,1967.0
08/27/2018,65.6,71.7,65.6,71.7,1093042.0,1758.0
08/28/2018,73.8,74.2,68.4,69.8,1111721.0,2173.0
08/29/2018,68.8,70.7,66.8,67.5,768359.0,1473.0
08/30/2018,67.8,70.7,66.6,69.0,910981.0,1657.0
09/03/2018,69.0,70.3,67.2,67.8,654555.0,1485.0
09/04/2018,68.2,68.5,65.1,65.6,544183.0,1362.0
09/05/2018,67.2,68.8,65.9,66.2,672437.0,1633.0
09/06/2018,66.9,67.7,64.5,65.4,787045.0,1427.0
09/09/2018,66.7,66.7,61.9,62.6,939809.0,1532.0
09/10/2018,63.4,64.0,61.0,61.8,476355.0,961.0
09/11/2018,62.4,62.4,59.2,59.8,647232.0,1214.0
09/12/2018,60.0,62.9,59.9,60.8,502963.0,1199.0
09/13/2018,61.3,61.4,58.3,59.0,736792.0,1361.0
09/16/2018,59.1,59.1,56.1,57.2,446457.0,986.0
09/17/2018,57.5,58.5,56.5,57.4,472422.0,1107.0
09/18/2018,57.5,58.5,56.5,57.4,472422.0,0.0
09/19/2018,54.8,57.7,54.7,57.0,780632.0,1396.0
09/20/2018,57.3,58.1,55.0,55.4,434850.0,818.0
09/23/2018,55.6,55.6,52.5,53.0,411217.0,761.0
09/24/2018,52.3,52.3,48.4,49.2,765304.0,1026.0
09/25/2018,49.1,50.9,48.3,49.8,315733.0,666.0
09/26/2018,49.9,54.8,49.4,54.8,758131.0,780.0
