date,open,high,low,close,volume,trade
01/01/2018,11.3,11.4,11.2,11.4,1105750.0,450.0
01/02/2018,11.3,11.4,11.2,11.3,1102007.0,793.0
01/03/2018,11.4,11.5,11.3,11.4,1716632.0,506.0
01/04/2018,11.5,11.6,11.4,11.5,2346539.0,798.0
01/07/2018,11.5,11.6,11.4,11.5,1881360.0,726.0
01/08/2018,11.5,11.5,11.3,11.4,1778055.0,867.0
01/09/2018,11.4,11.5,11.3,11.3,1677537.0,812.0
01/10/2018,11.3,11.4,11.2,11.2,1280615.0,652.0
01/11/2018,11.2,11.3,11.0,11.1,3243145.0,1290.0
01/14/2018,11.1,11.1,10.5,10.6,8337700.0,2721.0
01/15/2018,10.7,10.8,10.5,10.6,2067374.0,974.0
01/16/2018,10.7,10.8,10.5,10.7,2834566.0,947.0
01/17/2018,10.8,10.8,10.5,10.5,2242897.0,895.0
01/18/2018,10.5,10.6,10.4,10.5,2287644.0,920.0
01/21/2018,10.5,10.6,10.4,10.5,2922442.0,815.0
01/22/2018,10.5,10.6,10.4,10.5,3294051.0,946.0
01/23/2018,10.5,10.5,10.4,10.4,3195206.0,897.0
01/24/2018,10.4,10.5,10.3,10.4,3616710.0,1038.0
01/25/2018,10.5,10.5,10.4,10.4,2590705.0,714.0
01/28/2018,10.4,10.4,10.2,10.3,1985613.0,744.0
01/29/2018,10.3,10.4,10.2,10.4,1317221.0,428.0
01/30/2018,10.5,10.5,10.2,10.3,1616681.0,605.0
01/31/2018,10.4,10.4,10.0,10.1,2508898.0,962.0
02/01/2018,10.2,10.2,9.9,10.0,2943289.0,782.0
02/04/2018,10.0,10.0,9.7,9.7,2406134.0,873.0
02/05/2018,9.9,9.9,9.5,9.6,4239414.0,1123.0
02/06/2018,9.7,9.9,9.6,9.7,3442980.0,946.0
02/07/2018,9.7,9.8,9.5,9.6,2943792.0,644.0
02/08/2018,9.6,9.7,9.5,9.7,1339347.0,565.0
02/11/2018,9.7,10.5,9.6,10.3,8722763.0,1911.0
02/12/2018,10.4,10.6,10.2,10.3,4667836.0,1469.0
02/13/2018,10.2,10.3,9.6,9.7,11808079.0,2718.0
02/14/2018,9.8,10.4,9.6,10.0,12696638.0,2156.0
02/15/2018,10.1,10.2,9.7,9.8,10238780.0,1951.0
02/18/2018,9.9,9.9,9.5,9.6,8311626.0,1767.0
02/19/2018,9.7,9.8,9.5,9.5,9432248.0,1998.0
02/20/2018,9.6,9.7,9.5,9.5,5787575.0,1228.0
02/22/2018,9.5,9.7,9.5,9.6,2396287.0,624.0
02/25/2018,9.6,9.7,9.5,9.5,2746878.0,701.0
02/26/2018,9.6,9.7,9.5,9.5,2774806.0,811.0
02/27/2018,9.6,9.6,9.1,9.3,8925983.0,2023.0
02/28/2018,9.3,9.3,9.1,9.1,8283522.0,1925.0
03/01/2018,9.2,9.3,9.0,9.2,6944650.0,1433.0
03/04/2018,9.2,9.3,8.9,9.0,8212793.0,1429.0
03/05/2018,9.1,9.1,8.9,9.0,2748477.0,928.0
03/06/2018,9.0,9.2,8.9,9.1,2355378.0,654.0
03/07/2018,9.1,9.3,9.0,9.1,3342559.0,729.0
03/08/2018,9.2,9.2,9.0,9.1,1678376.0,541.0
03/11/2018,9.2,9.2,9.0,9.0,2688031.0,633.0
03/12/2018,9.1,9.1,8.9,9.0,1909867.0,703.0
03/13/2018,9.0,9.1,8.8,8.9,2959555.0,801.0
03/14/2018,9.0,9.1,8.9,8.9,1968457.0,604.0
03/15/2018,8.9,9.1,8.9,9.1,3067590.0,601.0
03/18/2018,9.1,9.2,9.0,9.1,3999626.0,596.0
03/19/2018,9.1,9.1,8.8,8.9,3491610.0,866.0
03/20/2018,9.6,9.6,8.8,8.9,1512770.0,477.0
03/21/2018,8.9,8.9,8.8,8.9,1867119.0,437.0
03/22/2018,8.9,8.9,8.7,8.9,2283110.0,650.0
03/25/2018,8.9,9.0,8.6,8.7,3717184.0,798.0
03/27/2018,8.7,8.8,8.5,8.5,3296241.0,759.0
03/28/2018,8.6,8.7,8.4,8.5,3283630.0,799.0
03/29/2018,8.5,8.8,8.5,8.7,4998093.0,823.0
04/01/2018,8.8,9.1,8.8,9.1,4753049.0,1086.0
04/02/2018,9.1,9.2,8.9,9.1,7229391.0,1124.0
04/03/2018,9.1,9.2,8.8,8.9,5047314.0,950.0
04/04/2018,9.0,9.0,8.9,8.9,2265331.0,475.0
04/05/2018,8.9,9.0,8.8,8.9,2058492.0,561.0
04/08/2018,9.0,9.1,8.9,9.0,5014545.0,958.0
04/09/2018,9.0,9.1,8.9,8.9,15511104.0,1965.0
04/10/2018,9.0,9.7,9.0,9.7,30182986.0,3661.0
04/11/2018,10.3,10.3,9.8,9.9,20354788.0,4125.0
04/12/2018,9.8,9.9,9.5,9.6,13823904.0,2161.0
04/15/2018,9.6,9.7,9.3,9.4,5802401.0,1251.0
04/16/2018,9.4,9.5,9.1,9.5,6411046.0,1253.0
04/17/2018,9.5,9.6,9.3,9.3,3957200.0,885.0
04/18/2018,9.3,9.4,9.1,9.1,7570801.0,1405.0
04/19/2018,9.2,9.2,9.0,9.1,10379190.0,1500.0
04/22/2018,9.1,9.6,9.1,9.4,19060974.0,2152.0
04/23/2018,9.5,9.5,9.3,9.4,5720821.0,913.0
04/24/2018,9.4,9.4,9.1,9.3,13584664.0,1580.0
04/25/2018,9.3,9.5,9.1,9.2,12194109.0,900.0
04/26/2018,9.3,9.4,9.2,9.3,5369147.0,681.0
04/30/2018,9.4,9.4,9.1,9.2,6047076.0,854.0
05/03/2018,9.3,9.5,9.2,9.4,7328850.0,1324.0
05/06/2018,9.4,9.5,9.3,9.4,8024220.0,1094.0
05/07/2018,9.5,9.5,9.2,9.3,6597151.0,1097.0
05/08/2018,9.3,9.4,9.2,9.2,3420391.0,691.0
05/09/2018,9.2,9.3,9.1,9.1,6477335.0,1149.0
05/10/2018,9.3,9.3,9.1,9.1,4560392.0,826.0
05/13/2018,9.2,9.2,9.0,9.0,2718718.0,553.0
05/14/2018,9.1,9.2,9.0,9.1,2993897.0,676.0
