date,open,high,low,close,volume,trade
01/01/2018,174.3,175.6,174.3,174.8,6065.0,53.0
01/02/2018,174.8,175.7,174.2,175.7,2284.0,148.0
01/03/2018,175.3,178.4,175.3,176.6,9757.0,92.0
01/04/2018,178.3,179.6,176.7,178.7,6852.0,122.0
01/07/2018,178.5,179.8,177.6,178.0,7060.0,125.0
01/08/2018,176.4,176.7,176.0,176.2,4260.0,50.0
01/09/2018,175.3,177.5,175.2,175.5,4461.0,61.0
01/10/2018,175.7,177.5,175.7,176.0,1733.0,36.0
01/11/2018,176.6,177.0,175.3,175.6,5442.0,108.0
01/14/2018,174.3,176.1,174.3,175.3,3342.0,38.0
01/15/2018,174.9,176.8,174.8,175.0,5392.0,74.0
01/16/2018,174.1,176.5,174.1,175.3,1189.0,31.0
01/17/2018,174.9,175.9,174.8,174.8,4850.0,34.0
01/18/2018,174.4,176.8,174.4,175.8,2304.0,37.0
01/21/2018,174.9,177.0,174.9,176.4,2828.0,49.0
01/22/2018,177.5,179.6,176.2,177.6,7169.0,100.0
01/23/2018,180.7,180.7,177.5,178.9,7434.0,107.0
01/24/2018,179.3,180.2,177.3,177.9,3604.0,60.0
01/25/2018,176.1,179.7,176.1,177.7,2091.0,50.0
01/28/2018,177.0,178.4,174.3,175.2,6428.0,127.0
01/29/2018,174.8,176.5,174.8,175.3,1984.0,34.0
01/30/2018,175.2,177.0,175.0,175.3,5440.0,34.0
01/31/2018,173.9,174.1,173.4,173.4,12328.0,100.0
02/01/2018,173.4,173.8,173.4,173.7,1482.0,26.0
02/04/2018,173.0,173.4,172.1,172.1,10160.0,47.0
02/05/2018,171.6,172.4,171.2,171.6,6372.0,38.0
02/06/2018,171.3,173.4,171.3,171.8,4260.0,33.0
02/07/2018,173.8,173.8,172.1,173.7,933.0,35.0
02/08/2018,173.9,176.1,173.8,175.2,3613.0,37.0
02/11/2018,176.5,176.5,174.1,176.3,3104.0,42.0
02/12/2018,174.3,174.8,174.2,174.4,297.0,11.0
02/13/2018,174.2,176.1,173.9,174.8,9263.0,87.0
02/14/2018,176.1,177.4,174.9,176.4,30052.0,138.0
02/15/2018,176.2,176.4,174.3,174.7,3482.0,48.0
02/18/2018,173.8,174.3,171.6,172.7,7952.0,99.0
02/19/2018,171.6,173.4,171.6,172.2,6841.0,63.0
02/20/2018,173.0,181.2,173.0,179.4,23140.0,220.0
02/22/2018,180.2,180.6,177.2,178.8,22381.0,190.0
02/25/2018,178.4,179.6,174.7,175.2,8533.0,72.0
02/26/2018,175.3,176.0,172.7,174.1,11970.0,129.0
02/27/2018,175.5,175.9,173.1,174.3,6890.0,76.0
02/28/2018,173.5,174.8,173.0,173.7,3569.0,54.0
03/01/2018,173.5,177.0,172.5,174.9,9054.0,120.0
03/04/2018,177.0,177.0,173.9,174.0,5731.0,72.0
03/05/2018,174.8,175.7,173.8,174.3,5788.0,83.0
03/06/2018,175.2,181.5,175.2,179.0,59105.0,506.0
03/07/2018,177.5,179.0,176.1,176.6,4529.0,74.0
03/08/2018,176.6,177.5,175.0,175.2,8794.0,113.0
03/11/2018,175.2,175.2,173.4,174.4,5322.0,97.0
03/12/2018,173.9,173.9,172.9,173.2,11395.0,122.0
03/13/2018,172.7,172.7,171.7,171.9,6011.0,79.0
03/14/2018,174.3,174.3,171.1,171.5,8522.0,109.0
03/15/2018,171.9,172.9,171.5,171.9,3521.0,45.0
03/18/2018,172.0,172.0,169.3,170.8,13119.0,189.0
03/19/2018,170.8,171.5,169.3,169.5,6380.0,75.0
03/20/2018,169.3,171.1,169.3,169.9,3337.0,51.0
03/21/2018,169.9,170.1,168.8,169.5,8315.0,62.0
03/22/2018,169.3,172.9,168.4,168.8,7268.0,64.0
03/25/2018,172.7,172.7,168.4,168.8,1879.0,41.0
03/27/2018,169.3,171.4,167.7,167.9,26965.0,83.0
03/28/2018,168.8,168.8,167.0,167.6,3230.0,20.0
03/29/2018,167.7,168.8,167.0,167.8,4175.0,54.0
04/01/2018,170.1,171.5,169.3,169.9,7928.0,83.0
04/02/2018,171.3,171.6,170.0,170.2,4671.0,55.0
04/03/2018,171.6,171.6,169.4,169.6,6870.0,92.0
04/04/2018,167.0,174.8,167.0,173.9,17386.0,197.0
04/05/2018,174.7,176.1,172.1,172.9,11675.0,120.0
04/08/2018,173.0,173.7,172.2,172.6,5386.0,99.0
04/09/2018,171.6,173.2,169.8,170.8,10516.0,153.0
04/10/2018,170.6,173.8,170.5,171.7,8142.0,93.0
04/11/2018,175.4,175.4,172.8,172.9,7690.0,91.0
04/12/2018,172.9,173.8,172.0,173.2,6258.0,41.0
04/15/2018,173.8,174.7,171.3,173.2,2756.0,60.0
04/16/2018,174.3,184.3,173.8,182.2,103509.0,825.0
04/17/2018,183.8,184.4,177.5,178.1,25782.0,237.0
04/18/2018,178.4,178.4,173.9,174.5,21640.0,356.0
04/19/2018,178.4,182.1,174.8,178.2,11895.0,149.0
04/22/2018,178.0,179.7,176.6,178.1,4885.0,97.0
04/23/2018,180.2,180.2,175.7,177.1,8059.0,91.0
04/24/2018,179.3,180.2,176.3,176.4,13412.0,142.0
04/25/2018,175.3,177.5,175.2,175.9,5436.0,59.0
04/26/2018,178.2,178.2,176.1,176.4,4391.0,46.0
04/30/2018,180.7,185.3,176.6,178.3,13036.0,139.0
05/03/2018,176.6,178.9,176.6,177.8,5491.0,68.0
05/06/2018,178.4,180.7,178.2,178.4,17898.0,220.0
05/07/2018,180.2,181.5,178.5,179.0,23959.0,179.0
05/08/2018,181.6,181.6,178.0,178.3,10068.0,122.0
05/09/2018,178.0,178.0,176.2,176.6,12322.0,77.0
05/10/2018,178.4,178.4,175.0,175.1,16860.0,83.0
05/13/2018,178.0,178.0,172.9,173.1,10317.0,93.0
05/14/2018,173.4,174.8,173.1,173.7,8372.0,110.0
05/15/2018,173.9,178.2,173.8,174.4,8295.0,75.0
05/16/2018,174.2,174.3,173.8,174.0,2769.0,61.0
05/17/2018,173.5,173.5,171.6,172.0,8055.0,99.0
05/20/2018,178.0,178.0,172.0,172.7,3418.0,55.0
05/21/2018,172.9,174.7,172.9,174.0,3020.0,51.0
05/22/2018,173.4,173.5,171.6,171.7,9025.0,133.0
05/23/2018,171.6,171.6,170.7,171.1,3530.0,54.0
05/24/2018,171.0,171.1,169.4,170.7,5161.0,67.0
05/27/2018,170.2,171.2,170.2,170.5,4009.0,62.0
05/28/2018,170.6,170.6,168.4,169.0,5467.0,78.0
05/29/2018,168.9,173.7,168.8,170.8,10995.0,150.0
05/30/2018,171.6,172.9,171.3,171.6,848.0,13.0
05/31/2018,170.2,170.2,169.8,170.1,655.0,18.0
06/03/2018,170.2,173.8,169.7,172.1,3149.0,50.0
06/04/2018,174.7,178.4,174.7,176.0,16650.0,204.0
06/05/2018,178.0,182.4,174.3,179.2,40402.0,345.0
06/06/2018,182.5,191.1,181.7,182.6,45965.0,386.0
06/07/2018,181.7,185.7,176.6,177.9,18674.0,201.0
06/10/2018,178.4,193.5,178.4,193.5,148660.0,958.0
06/11/2018,197.6,208.2,194.4,197.9,57371.0,517.0
06/12/2018,196.7,205.4,194.8,199.8,86785.0,809.0
06/18/2018,204.1,209.5,201.3,207.3,61699.0,841.0
06/19/2018,209.9,210.9,193.1,195.3,69625.0,848.0
06/20/2018,200.3,200.3,187.7,194.1,60250.0,679.0
06/21/2018,199.0,203.6,189.9,190.8,51745.0,617.0
06/24/2018,191.7,191.7,184.0,185.8,42044.0,519.0
06/25/2018,184.4,188.8,180.7,181.7,28698.0,359.0
06/26/2018,183.0,183.9,179.8,182.0,28904.0,158.0
06/27/2018,184.8,193.3,184.8,188.5,43755.0,367.0
06/28/2018,190.8,205.0,189.4,202.2,92818.0,812.0
07/02/2018,207.7,210.4,192.1,194.4,61664.0,581.0
07/03/2018,194.4,194.4,185.5,187.7,38334.0,371.0
07/04/2018,190.7,198.1,187.6,190.3,19714.0,226.0
07/05/2018,192.1,195.0,186.2,187.9,40371.0,466.0
07/08/2018,187.6,187.7,184.8,185.2,31177.0,368.0
07/09/2018,185.3,188.9,183.5,184.6,16956.0,205.0
07/10/2018,187.6,188.0,184.4,184.7,14807.0,202.0
07/11/2018,186.2,186.2,183.9,184.4,19183.0,210.0
07/12/2018,183.9,187.1,183.0,183.6,14971.0,199.0
07/15/2018,187.1,188.4,184.0,185.0,17242.0,171.0
07/16/2018,185.9,188.5,183.9,184.5,14650.0,171.0
07/17/2018,183.9,189.8,183.9,188.3,16986.0,205.0
07/18/2018,190.3,203.1,190.3,198.1,46369.0,544.0
07/19/2018,185.8,196.7,185.8,190.9,22648.0,167.0
07/22/2018,191.4,194.4,187.6,188.5,28994.0,196.0
07/23/2018,187.6,188.5,185.6,186.7,24912.0,236.0
07/24/2018,188.3,191.1,186.2,188.8,9871.0,121.0
07/25/2018,188.3,192.1,188.3,191.1,21806.0,233.0
07/26/2018,190.3,196.7,187.9,189.6,21133.0,168.0
07/29/2018,187.6,194.3,187.6,191.3,24060.0,179.0
07/30/2018,188.6,193.0,188.6,189.9,8577.0,
07/31/2018,192.1,193.5,189.9,190.8,20228.0,136.0
08/01/2018,191.7,193.7,191.7,192.2,10676.0,131.0
08/02/2018,193.1,198.1,191.8,192.4,28325.0,261.0
08/05/2018,192.1,193.9,189.9,190.0,10833.0,126.0
08/06/2018,187.6,191.6,187.6,189.7,3904.0,69.0
08/07/2018,189.6,189.6,188.0,188.5,7945.0,96.0
08/08/2018,188.5,189.4,187.6,188.1,6562.0,90.0
08/09/2018,189.9,189.9,184.6,185.1,13102.0,138.0
08/12/2018,183.8,185.3,183.8,184.2,6129.0,54.0
08/13/2018,183.0,184.8,183.0,183.6,3768.0,55.0
08/14/2018,181.7,189.6,178.6,181.5,18825.0,161.0
08/16/2018,183.9,185.2,181.9,183.9,7593.0,82.0
08/19/2018,183.9,183.9,179.8,181.8,8291.0,92.0
08/20/2018,183.9,183.9,181.2,183.9,3611.0,49.0
08/26/2018,186.9,186.9,185.3,186.3,6009.0,29.0
08/27/2018,184.0,187.3,183.9,186.6,1152.0,16.0
08/28/2018,187.6,187.6,183.9,184.1,3606.0,56.0
08/29/2018,187.5,187.5,184.3,184.6,1171.0,22.0
