date,open,high,low,close,volume,trade
01/01/2018,53.2,53.4,52.7,52.8,104492.0,127.0
01/02/2018,53.0,53.2,52.7,53.2,46550.0,303.0
01/03/2018,53.3,53.7,53.1,53.2,252346.0,232.0
01/04/2018,53.2,53.7,53.2,53.5,347657.0,312.0
01/07/2018,53.4,53.9,53.3,53.6,114074.0,191.0
01/08/2018,53.6,53.9,53.4,53.5,78474.0,159.0
01/09/2018,54.0,54.0,53.2,53.5,49187.0,127.0
01/10/2018,53.4,54.0,52.9,53.1,96014.0,200.0
01/11/2018,53.1,53.2,52.5,53.0,165852.0,241.0
01/14/2018,53.5,54.1,52.4,52.5,127771.0,203.0
01/15/2018,52.6,52.7,51.4,51.8,100180.0,197.0
01/16/2018,52.2,52.9,51.6,52.7,119205.0,163.0
01/17/2018,52.7,52.9,51.9,52.2,65246.0,136.0
01/18/2018,52.6,53.1,52.1,52.2,105727.0,169.0
01/21/2018,52.2,52.9,52.1,52.8,70709.0,192.0
01/22/2018,52.7,52.7,52.2,52.3,126223.0,178.0
01/23/2018,52.4,52.8,52.2,52.7,95146.0,123.0
01/24/2018,52.7,52.8,52.2,52.3,82684.0,139.0
01/25/2018,52.2,53.6,52.2,53.5,182448.0,284.0
01/28/2018,53.6,53.6,52.5,52.6,85153.0,163.0
01/29/2018,52.5,53.1,52.5,52.9,85270.0,166.0
01/30/2018,52.8,53.2,52.0,52.1,114108.0,219.0
01/31/2018,52.1,52.1,51.4,51.5,110168.0,188.0
02/01/2018,51.5,52.1,51.3,51.4,65783.0,120.0
02/04/2018,51.4,51.6,50.1,50.2,98500.0,200.0
02/05/2018,50.2,50.2,48.4,49.5,99378.0,221.0
02/06/2018,49.8,54.5,49.2,53.2,716829.0,758.0
02/07/2018,53.0,53.0,51.8,52.1,126321.0,216.0
02/08/2018,52.2,52.7,51.5,51.7,83199.0,127.0
02/11/2018,52.0,53.1,51.7,52.6,58576.0,158.0
02/12/2018,52.7,53.0,51.8,52.0,46000.0,124.0
02/13/2018,52.0,53.8,51.7,52.3,200269.0,240.0
02/14/2018,52.6,53.3,52.1,52.5,206657.0,155.0
02/15/2018,52.3,53.7,52.2,53.2,239517.0,212.0
02/18/2018,53.6,53.6,50.3,50.5,395083.0,514.0
02/19/2018,51.7,52.7,50.5,50.5,232296.0,259.0
02/20/2018,51.4,52.7,50.5,50.7,190771.0,188.0
02/22/2018,51.6,51.8,50.5,50.8,101135.0,142.0
02/25/2018,50.9,51.8,50.3,50.5,114203.0,175.0
02/26/2018,50.5,50.6,49.7,49.8,71267.0,142.0
02/27/2018,50.3,50.4,49.6,49.7,71714.0,130.0
02/28/2018,49.7,54.6,49.5,51.9,663825.0,552.0
03/01/2018,52.0,52.0,51.4,51.8,294454.0,168.0
03/04/2018,51.9,53.2,51.8,52.6,145050.0,213.0
03/05/2018,52.6,53.2,51.5,52.7,150390.0,154.0
03/06/2018,52.2,52.7,52.0,52.4,105173.0,178.0
03/07/2018,52.5,52.7,51.9,52.0,53491.0,98.0
03/08/2018,52.5,52.5,51.7,52.2,62367.0,79.0
03/11/2018,51.6,52.7,51.4,52.4,75835.0,102.0
03/12/2018,52.5,52.5,51.1,51.3,45833.0,115.0
03/13/2018,51.5,51.5,50.4,50.5,51348.0,153.0
03/14/2018,51.6,51.8,50.8,50.9,39704.0,65.0
03/15/2018,50.9,51.3,50.8,51.0,52097.0,97.0
03/18/2018,51.4,51.4,50.5,50.8,87805.0,136.0
03/19/2018,51.0,51.0,50.0,50.3,132708.0,179.0
03/20/2018,50.3,50.5,49.6,50.2,69539.0,144.0
03/21/2018,50.9,50.9,49.1,49.3,115398.0,213.0
03/22/2018,49.6,49.9,48.8,49.2,115336.0,192.0
03/25/2018,49.6,49.6,49.3,49.5,20405.0,69.0
03/27/2018,49.4,49.5,48.4,48.6,64864.0,105.0
03/28/2018,49.1,49.3,48.2,48.3,53721.0,153.0
03/29/2018,48.2,49.5,48.2,49.3,61900.0,133.0
04/01/2018,49.7,51.2,49.4,50.7,167657.0,265.0
04/02/2018,51.0,51.5,50.1,51.0,92233.0,197.0
04/03/2018,50.9,51.1,50.3,50.5,107444.0,183.0
04/04/2018,50.8,50.9,50.3,50.5,48550.0,76.0
04/05/2018,50.6,50.9,50.2,50.6,30138.0,80.0
04/08/2018,50.3,52.3,50.3,51.9,198572.0,336.0
04/09/2018,51.9,52.0,51.4,51.6,101029.0,157.0
04/10/2018,51.6,52.0,51.2,51.5,105092.0,160.0
04/11/2018,51.6,52.5,50.8,50.9,92018.0,151.0
04/12/2018,51.8,51.8,50.7,50.8,38283.0,104.0
04/15/2018,50.9,51.1,50.3,50.5,52022.0,94.0
04/16/2018,50.6,50.7,50.1,50.5,15673.0,57.0
04/17/2018,50.9,51.0,50.4,50.5,47643.0,95.0
04/18/2018,50.5,50.9,50.5,50.6,50235.0,64.0
