date,open,high,low,close,volume,trade
01/01/2018,11.2,11.4,11.2,11.2,74555.0,48.0
01/02/2018,11.5,11.6,11.4,11.5,18780.0,116.0
01/03/2018,11.6,11.6,11.1,11.2,213088.0,133.0
01/04/2018,11.7,11.7,11.4,11.5,35613.0,33.0
01/07/2018,11.6,11.6,11.4,11.4,75043.0,56.0
01/08/2018,11.5,11.5,11.2,11.4,40922.0,45.0
01/09/2018,11.3,11.4,11.3,11.3,27450.0,55.0
01/10/2018,11.3,11.5,11.2,11.3,186567.0,98.0
01/11/2018,11.7,11.7,11.3,11.5,58842.0,36.0
01/14/2018,11.7,11.7,11.4,11.5,47520.0,64.0
01/15/2018,11.3,11.4,11.1,11.2,67450.0,52.0
01/16/2018,11.5,11.5,11.3,11.4,49242.0,59.0
01/17/2018,11.4,11.8,11.4,11.7,338127.0,182.0
01/18/2018,11.8,12.1,11.6,12.0,738782.0,374.0
01/21/2018,12.1,12.9,12.1,12.4,842671.0,568.0
01/22/2018,12.4,12.6,11.9,12.0,316510.0,276.0
01/23/2018,12.0,12.1,11.8,12.1,353771.0,226.0
01/24/2018,12.2,12.4,12.1,12.2,444206.0,222.0
01/25/2018,12.2,12.2,11.9,12.0,299303.0,125.0
01/28/2018,12.1,12.1,11.7,11.7,160311.0,97.0
01/29/2018,11.6,12.1,11.6,11.8,256298.0,153.0
01/30/2018,12.0,12.0,11.5,11.6,284984.0,179.0
01/31/2018,11.5,11.6,11.2,11.3,230762.0,151.0
02/01/2018,11.5,11.9,11.4,11.7,241875.0,141.0
02/04/2018,11.8,11.9,11.5,11.6,257273.0,168.0
02/05/2018,11.5,11.7,11.2,11.5,166958.0,139.0
02/06/2018,11.4,11.8,11.4,11.8,195755.0,122.0
02/07/2018,11.8,11.8,11.7,11.8,148035.0,124.0
02/08/2018,11.8,12.5,11.8,12.2,1071584.0,491.0
02/11/2018,12.5,13.2,12.5,13.1,1598779.0,722.0
02/12/2018,13.3,13.9,13.0,13.5,1334788.0,808.0
02/13/2018,13.6,14.0,13.5,13.7,1204630.0,792.0
02/14/2018,14.0,14.4,13.7,14.3,935779.0,733.0
02/15/2018,14.5,15.2,14.2,14.3,1072870.0,591.0
02/18/2018,14.2,14.5,13.5,13.6,510200.0,354.0
02/19/2018,13.8,14.1,13.2,13.6,335798.0,230.0
02/20/2018,13.8,13.9,13.2,13.4,177111.0,164.0
02/22/2018,13.3,13.4,12.6,12.8,366999.0,240.0
02/25/2018,12.7,12.8,12.1,12.6,294340.0,214.0
02/26/2018,12.6,12.7,12.3,12.4,196904.0,132.0
02/27/2018,12.8,12.8,12.2,12.3,212536.0,185.0
02/28/2018,12.4,12.8,12.3,12.5,157506.0,94.0
03/01/2018,12.6,13.2,12.5,13.1,190516.0,156.0
03/04/2018,13.3,14.0,13.2,13.5,366238.0,279.0
03/05/2018,13.8,13.8,13.0,13.2,252490.0,194.0
03/06/2018,13.4,13.4,12.7,12.8,135540.0,128.0
03/07/2018,13.0,13.0,12.8,12.9,74785.0,59.0
03/08/2018,12.9,13.4,12.8,13.1,118594.0,80.0
03/11/2018,13.5,13.5,12.9,13.0,92209.0,90.0
03/12/2018,12.9,13.0,12.4,12.5,277367.0,145.0
03/13/2018,12.4,12.8,11.8,12.0,247479.0,180.0
03/14/2018,12.2,12.4,11.6,12.2,73337.0,71.0
03/15/2018,12.5,12.5,12.0,12.2,142703.0,83.0
03/18/2018,12.4,12.4,11.9,12.0,76943.0,63.0
03/19/2018,12.0,12.0,11.6,11.7,142016.0,131.0
03/20/2018,11.7,12.2,11.7,11.9,41497.0,34.0
03/21/2018,11.9,12.0,11.7,11.7,104786.0,71.0
03/22/2018,12.1,12.1,11.6,11.8,73181.0,73.0
03/25/2018,12.0,12.0,11.4,11.6,78284.0,78.0
03/27/2018,11.8,11.9,11.4,11.5,56447.0,57.0
03/28/2018,11.5,12.0,11.2,11.7,38324.0,34.0
03/29/2018,12.0,12.0,11.5,11.7,30753.0,33.0
04/01/2018,11.9,12.6,11.9,12.4,133904.0,117.0
04/02/2018,12.0,12.4,11.7,11.8,214428.0,146.0
04/03/2018,11.9,12.0,11.5,11.6,121986.0,90.0
04/04/2018,11.9,11.9,11.0,11.5,347349.0,245.0
04/05/2018,11.8,11.8,11.2,11.3,94892.0,104.0
04/08/2018,11.9,11.9,11.3,11.4,90439.0,99.0
04/09/2018,11.4,11.8,11.2,11.5,75706.0,61.0
04/10/2018,11.9,11.9,11.6,11.7,29402.0,38.0
04/11/2018,11.7,11.7,11.6,11.6,83870.0,56.0
04/12/2018,11.7,11.8,11.6,11.7,79642.0,46.0
04/15/2018,12.0,12.0,11.6,11.7,56521.0,36.0
04/16/2018,11.6,11.8,11.5,11.5,137100.0,102.0
04/17/2018,11.6,11.7,11.4,11.5,77571.0,49.0
04/18/2018,11.7,11.7,11.4,11.6,114667.0,61.0
04/19/2018,11.8,11.9,11.5,11.6,68745.0,56.0
04/22/2018,11.7,11.8,11.6,11.7,61524.0,52.0
04/23/2018,11.8,11.9,11.3,11.4,121780.0,135.0
04/24/2018,11.2,11.4,11.0,11.1,94440.0,99.0
04/25/2018,11.2,11.3,10.6,10.8,126416.0,134.0
04/26/2018,11.0,11.0,10.4,10.5,141624.0,118.0
04/30/2018,10.4,10.5,10.0,10.1,98016.0,78.0
05/03/2018,10.9,10.9,10.1,10.2,46850.0,47.0
05/06/2018,10.3,10.4,10.0,10.1,105005.0,76.0
05/07/2018,10.3,10.4,10.1,10.1,91200.0,67.0
05/08/2018,10.2,10.5,9.9,10.0,90118.0,85.0
05/09/2018,10.0,10.0,9.8,9.8,81599.0,92.0
05/10/2018,10.0,10.0,9.8,9.9,32406.0,35.0
05/13/2018,10.0,10.0,9.7,9.8,31000.0,31.0
05/14/2018,9.9,10.0,9.8,9.9,51359.0,50.0
05/15/2018,9.9,10.0,9.9,10.0,23452.0,19.0
05/16/2018,10.0,10.0,9.7,9.7,30150.0,35.0
05/17/2018,9.7,9.9,9.6,9.6,49219.0,56.0
05/20/2018,9.5,9.8,9.0,9.2,42039.0,78.0
05/21/2018,9.1,9.3,8.9,9.0,80756.0,79.0
05/22/2018,9.5,9.5,9.0,9.3,50648.0,79.0
05/23/2018,9.4,9.4,9.0,9.2,29519.0,58.0
05/24/2018,9.5,9.5,9.1,9.2,74296.0,65.0
05/27/2018,9.2,9.5,9.0,9.2,47371.0,55.0
05/28/2018,9.5,9.5,9.2,9.3,54201.0,41.0
05/29/2018,9.3,9.4,9.0,9.1,72483.0,56.0
05/30/2018,9.3,9.3,9.0,9.0,41838.0,45.0
05/31/2018,9.4,9.4,8.7,9.1,72200.0,64.0
06/03/2018,9.4,9.5,9.0,9.4,59164.0,68.0
06/04/2018,9.3,9.6,9.1,9.2,46537.0,57.0
06/05/2018,9.4,9.4,9.1,9.3,56662.0,45.0
06/06/2018,9.1,9.4,9.1,9.3,18515.0,23.0
06/07/2018,9.4,9.4,9.1,9.2,6823.0,13.0
06/10/2018,9.2,9.3,8.9,9.0,51954.0,46.0
06/11/2018,9.4,9.4,9.0,9.1,42601.0,35.0
06/12/2018,9.3,9.3,9.0,9.1,57476.0,67.0
06/18/2018,9.2,9.4,9.0,9.1,77036.0,102.0
06/19/2018,9.0,9.2,8.9,9.1,71132.0,70.0
06/20/2018,9.0,9.2,8.9,9.1,77641.0,74.0
06/21/2018,9.5,10.0,9.4,10.0,155825.0,106.0
06/24/2018,10.9,11.0,10.6,11.0,181639.0,75.0
06/25/2018,12.1,12.1,11.4,12.1,498124.0,229.0
06/26/2018,13.0,13.1,11.8,12.5,1198512.0,487.0
06/27/2018,12.7,13.6,12.6,13.4,1433589.0,694.0
06/28/2018,13.4,13.5,12.1,12.1,350603.0,271.0
07/02/2018,11.5,12.0,10.9,11.0,186271.0,134.0
07/03/2018,11.0,12.1,11.0,12.0,217073.0,149.0
07/04/2018,12.7,12.8,11.9,12.7,241475.0,163.0
07/05/2018,12.7,12.7,12.1,12.2,186334.0,136.0
07/08/2018,12.5,13.4,12.4,13.4,1476626.0,532.0
07/09/2018,13.6,14.7,13.6,14.7,2797278.0,992.0
07/10/2018,15.0,15.6,13.8,14.3,942313.0,428.0
07/11/2018,14.9,14.9,13.4,13.6,485942.0,308.0
07/12/2018,13.7,13.9,13.0,13.7,143465.0,133.0
07/15/2018,13.9,15.0,13.8,14.3,247350.0,204.0
07/16/2018,14.2,14.4,13.8,14.1,148602.0,133.0
07/17/2018,15.5,15.5,14.5,15.5,2613858.0,652.0
07/18/2018,16.8,16.9,15.5,16.3,800940.0,437.0
07/19/2018,14.7,15.9,14.7,14.7,1306158.0,542.0
07/22/2018,14.5,16.1,13.5,16.1,957713.0,412.0
07/23/2018,17.5,17.7,16.5,16.8,2625853.0,813.0
07/24/2018,20.2,18.4,17.3,18.4,1573804.0,865.0
07/25/2018,20.2,20.2,19.0,20.2,1477230.0,477.0
07/26/2018,20.7,22.2,19.9,21.2,1601276.0,944.0
07/29/2018,21.9,22.3,19.1,19.9,611729.0,469.0
07/30/2018,19.1,20.7,19.0,20.0,509049.0,
07/31/2018,20.1,20.7,19.8,20.3,460384.0,381.0
08/01/2018,20.3,20.9,18.7,18.8,376902.0,332.0
08/02/2018,19.0,19.1,18.0,18.2,455066.0,281.0
08/05/2018,17.8,18.0,16.8,17.0,447414.0,273.0
08/06/2018,16.9,18.7,16.9,18.7,411131.0,287.0
08/07/2018,20.3,20.5,18.5,18.9,461366.0,370.0
08/08/2018,17.6,19.5,17.6,18.5,189379.0,244.0
08/09/2018,19.5,19.5,18.0,18.4,361045.0,223.0
08/12/2018,18.6,19.0,17.6,17.9,268451.0,195.0
08/13/2018,18.3,18.5,17.8,18.4,212261.0,139.0
08/14/2018,18.9,19.8,18.8,18.9,422401.0,282.0
08/16/2018,19.4,19.6,19.2,19.4,402880.0,270.0
08/19/2018,19.4,19.4,18.6,18.9,171518.0,157.0
08/20/2018,19.4,20.3,19.1,19.7,340071.0,307.0
08/26/2018,20.3,20.4,19.6,20.2,243379.0,190.0
08/27/2018,20.2,20.4,20.0,20.2,276485.0,176.0
08/28/2018,20.2,20.4,19.8,19.9,223054.0,149.0
08/29/2018,20.0,20.0,19.0,19.2,260901.0,229.0
08/30/2018,18.9,19.0,18.5,18.8,188906.0,120.0
09/03/2018,18.8,19.5,18.8,18.8,249099.0,142.0
09/04/2018,19.0,19.2,18.5,19.0,93228.0,162.0
09/05/2018,18.9,19.4,18.7,19.0,199503.0,173.0
09/06/2018,19.4,19.5,18.9,19.3,235916.0,186.0
09/09/2018,19.9,20.5,19.4,20.1,468976.0,297.0
09/10/2018,20.6,22.1,20.5,21.4,746737.0,536.0
09/11/2018,21.4,22.3,21.4,21.9,733146.0,522.0
09/12/2018,22.3,22.3,21.5,21.9,538844.0,444.0
09/13/2018,22.0,22.1,21.2,21.4,469937.0,399.0
09/16/2018,21.9,21.9,20.5,20.8,279134.0,286.0
09/17/2018,21.0,21.3,20.2,20.9,58934.0,103.0
09/18/2018,21.2,22.1,21.2,21.8,421634.0,380.0
09/19/2018,22.2,23.2,22.2,23.0,770713.0,555.0
09/20/2018,23.0,25.3,23.0,25.1,1097585.0,763.0
09/23/2018,27.2,27.2,24.8,25.4,358492.0,312.0
09/24/2018,26.2,26.6,24.3,24.7,401032.0,370.0
09/25/2018,25.3,25.7,24.2,24.5,220958.0,281.0
09/26/2018,25.5,25.5,24.0,24.2,262072.0,311.0
09/27/2018,24.1,24.3,21.8,21.9,387745.0,406.0
09/30/2018,21.6,23.7,21.2,23.1,222410.0,232.0
10/01/2018,23.1,24.1,23.1,23.8,257664.0,232.0
10/02/2018,23.8,24.7,22.9,23.5,143232.0,246.0
10/03/2018,24.2,24.2,23.2,23.5,169901.0,194.0
10/04/2018,23.6,24.0,23.1,23.7,189931.0,241.0
10/07/2018,24.0,26.0,24.0,25.1,382461.0,0.0
10/08/2018,25.2,25.7,24.4,24.8,285882.0,
10/09/2018,25.4,25.4,24.5,25.0,347358.0,
10/10/2018,25.2,25.2,24.0,24.2,201226.0,1.0
10/11/2018,24.4,24.4,22.5,22.9,242170.0,385.0
10/14/2018,23.0,23.9,22.9,23.7,135812.0,157.0
10/15/2018,23.6,23.6,23.0,23.2,126247.0,164.0
10/16/2018,23.4,23.4,22.4,22.6,163883.0,284.0
10/17/2018,22.8,22.8,22.1,22.4,176895.0,180.0
10/18/2018,24.0,24.5,23.5,24.2,358554.0,418.0
10/21/2018,24.5,25.2,22.4,22.7,313807.0,368.0
10/22/2018,22.8,23.0,21.9,22.5,79640.0,166.0
10/23/2018,22.6,22.8,21.8,22.0,33542.0,76.0
10/24/2018,22.3,23.2,22.0,22.9,141806.0,369.0
10/25/2018,23.1,23.3,22.1,22.6,89278.0,
10/28/2018,22.9,22.9,20.4,20.5,256927.0,
10/29/2018,18.3,18.3,13.9,14.8,1277223.0,
10/30/2018,16.0,16.2,15.5,16.2,103151.0,
10/31/2018,17.2,17.8,17.2,17.8,145575.0,
11/01/2018,18.0,19.5,18.0,19.2,406695.0,
11/04/2018,19.0,19.0,17.5,17.6,190688.0,
11/05/2018,18.4,18.4,17.7,18.2,89387.0,
11/06/2018,18.9,18.9,18.0,18.2,54094.0,
11/07/2018,19.3,19.3,18.0,18.1,78896.0,
11/08/2018,18.9,18.9,17.9,18.0,105765.0,154.0
11/11/2018,17.5,18.7,17.3,17.5,360101.0,346.0
11/12/2018,17.6,17.9,17.1,17.2,127544.0,145.0
11/13/2018,17.4,17.5,16.6,16.8,269780.0,306.0
11/14/2018,17.2,18.1,17.0,17.7,272210.0,320.0
11/15/2018,17.6,17.7,16.8,16.9,540526.0,273.0
11/18/2018,17.3,17.4,16.5,16.6,580603.0,340.0
11/19/2018,16.7,16.9,16.3,16.5,461232.0,281.0
11/20/2018,16.7,16.7,15.7,15.9,414770.0,188.0
11/22/2018,16.2,17.3,14.9,16.8,1444805.0,787.0
11/25/2018,16.2,17.3,14.9,16.8,1444805.0,0.0
11/26/2018,17.5,17.5,16.6,16.8,121639.0,168.0
11/27/2018,16.5,17.3,16.5,16.6,155995.0,196.0
11/28/2018,16.6,17.1,16.6,16.9,161560.0,133.0
11/29/2018,17.1,17.2,16.7,16.9,92875.0,82.0
12/02/2018,16.9,18.5,16.7,17.9,624879.0,377.0
12/03/2018,18.6,19.4,18.3,18.8,480487.0,317.0
12/04/2018,19.0,19.7,18.5,19.4,312635.0,269.0
12/05/2018,19.5,21.3,19.5,21.3,586482.0,454.0
12/06/2018,22.0,22.9,20.9,21.6,524230.0,576.0
12/09/2018,21.6,21.6,20.5,20.7,255111.0,298.0
12/10/2018,20.9,21.2,20.3,20.4,163491.0,241.0
12/11/2018,20.7,20.8,19.7,19.9,151986.0,194.0
12/12/2018,19.7,20.4,19.5,20.0,97682.0,176.0
12/13/2018,19.8,19.9,19.5,19.5,82386.0,91.0
12/17/2018,19.5,19.5,18.3,18.3,77829.0,89.0
12/18/2018,19.0,19.0,18.2,18.5,42625.0,111.0
12/19/2018,18.9,19.3,18.5,19.2,78755.0,97.0
12/20/2018,19.5,20.5,19.3,20.0,451843.0,242.0
12/23/2018,20.0,20.6,18.5,19.0,131400.0,202.0
12/24/2018,19.4,19.5,19.0,19.4,77520.0,81.0
12/26/2018,19.9,20.0,19.2,19.9,175572.0,163.0
12/27/2018,20.0,20.0,19.6,19.8,96073.0,89.0
01/01/2019,20.1,20.7,19.8,20.5,229549.0,156.0
01/02/2019,20.9,21.8,20.6,21.0,273520.0,234.0
01/03/2019,21.5,21.8,21.0,21.5,222429.0,250.0
01/06/2019,21.8,22.2,21.8,22.0,296178.0,244.0
01/07/2019,22.8,22.8,21.9,22.0,284032.0,236.0
01/08/2019,22.1,22.4,21.6,21.8,222088.0,237.0
01/09/2019,21.9,21.9,19.7,20.9,388247.0,402.0
01/10/2019,20.9,21.2,20.0,20.4,171463.0,142.0
01/13/2019,20.4,20.7,20.0,20.5,176382.0,126.0
01/14/2019,20.6,20.9,20.1,20.3,98336.0,164.0
01/15/2019,20.0,20.7,19.8,20.3,127947.0,150.0
01/16/2019,20.1,20.9,19.6,19.7,300035.0,197.0
01/17/2019,19.5,20.2,19.3,19.7,147425.0,194.0
01/20/2019,19.7,20.0,18.9,19.1,199155.0,165.0
01/21/2019,19.3,19.4,19.0,19.3,77520.0,86.0
01/22/2019,19.4,20.0,19.1,19.3,217327.0,190.0
01/23/2019,19.8,19.8,19.2,19.6,57296.0,83.0
01/24/2019,19.4,20.6,19.4,20.1,131512.0,181.0
01/27/2019,20.3,20.3,18.9,19.0,142737.0,161.0
01/28/2019,19.1,19.1,18.4,18.7,89627.0,129.0
01/29/2019,18.7,19.0,18.2,18.3,260354.0,264.0
01/30/2019,18.3,18.9,18.1,18.3,141687.0,107.0
01/31/2019,18.8,18.8,16.5,17.9,91986.0,126.0
02/03/2019,17.9,17.9,17.0,17.6,132910.0,263.0
02/04/2019,17.5,17.9,17.0,17.7,48076.0,79.0
02/05/2019,17.9,18.1,17.1,17.4,138557.0,166.0
02/06/2019,17.9,18.3,17.2,17.4,34494.0,101.0
02/07/2019,17.4,17.4,16.9,17.3,77991.0,75.0
02/10/2019,17.4,17.8,17.4,17.5,89057.0,143.0
02/11/2019,17.6,17.8,17.4,17.6,31070.0,
02/12/2019,17.6,18.2,17.6,17.7,174315.0,105.0
02/13/2019,17.4,18.1,17.4,18.0,82366.0,107.0
02/14/2019,18.0,18.6,17.9,18.1,211457.0,171.0
02/17/2019,18.3,18.5,17.7,17.8,113400.0,69.0
02/18/2019,17.8,17.8,17.0,17.2,149656.0,156.0
02/19/2019,17.1,17.4,16.9,17.2,125628.0,167.0
02/20/2019,17.6,17.9,17.3,17.7,101019.0,141.0
02/24/2019,18.3,18.3,17.3,17.4,44177.0,91.0
02/25/2019,17.8,17.8,17.1,17.3,68105.0,84.0
02/26/2019,17.1,19.0,16.7,17.5,133408.0,219.0
02/27/2019,17.2,17.7,17.1,17.3,25315.0,75.0
03/03/2019,17.2,17.4,17.0,17.1,61454.0,60.0
03/04/2019,17.3,17.3,16.8,16.9,64872.0,70.0
03/05/2019,16.9,17.6,16.9,17.2,5491.0,10.0
03/06/2019,17.1,17.7,17.0,17.4,20205.0,
03/07/2019,17.2,17.8,17.1,17.1,46148.0,
03/10/2019,17.3,17.6,17.0,17.3,28626.0,
03/11/2019,17.7,17.7,17.0,17.1,67678.0,
03/12/2019,17.5,17.5,16.6,16.7,53680.0,
03/13/2019,16.5,17.1,15.5,16.5,142722.0,
03/14/2019,16.7,16.7,16.3,16.4,56540.0,
03/18/2019,16.4,16.8,15.9,16.1,45571.0,
03/19/2019,16.3,16.5,16.0,16.3,24153.0,
03/20/2019,16.8,16.8,14.9,16.4,398553.0,
03/21/2019,16.1,16.5,15.8,15.9,29641.0,
03/24/2019,16.3,16.4,16.1,16.2,78023.0,
03/25/2019,16.3,17.1,16.3,16.6,52156.0,
03/27/2019,17.0,17.0,16.1,16.7,35167.0,
03/28/2019,16.8,16.9,16.6,16.7,40049.0,
03/31/2019,16.9,18.1,16.6,17.2,49618.0,
04/01/2019,17.6,18.6,17.6,18.0,170030.0,
04/02/2019,18.8,18.9,17.8,17.9,154064.0,
04/03/2019,17.7,17.9,17.3,17.4,99668.0,
04/04/2019,17.4,17.9,16.7,17.0,107595.0,
04/07/2019,16.8,17.5,16.7,16.8,81677.0,
04/08/2019,16.7,16.9,16.3,16.5,76361.0,
04/09/2019,16.3,16.6,16.0,16.2,56940.0,
04/10/2019,16.7,17.7,15.8,16.3,97731.0,
04/11/2019,16.9,17.0,16.6,16.7,30451.0,
04/15/2019,17.1,18.0,16.9,17.0,69589.0,
04/16/2019,17.7,17.7,16.8,17.0,71881.0,
04/17/2019,17.7,17.7,16.7,16.9,42899.0,55.0
04/18/2019,17.5,17.5,15.9,16.5,197796.0,200.0
04/21/2019,17.0,17.0,16.4,16.5,71792.0,57.0
04/23/2019,16.7,16.9,16.3,16.4,135282.0,98.0
04/24/2019,16.6,17.0,16.3,16.6,194833.0,210.0
04/25/2019,16.8,16.9,16.5,16.7,129982.0,153.0
04/28/2019,16.7,17.6,16.6,17.1,130066.0,162.0
04/29/2019,16.9,17.0,16.2,16.3,150266.0,90.0
04/30/2019,16.7,16.7,16.3,16.3,19258.0,35.0
05/02/2019,16.3,16.7,15.7,16.0,79494.0,121.0
05/05/2019,16.1,17.6,16.1,16.5,83452.0,130.0
05/06/2019,17.4,17.4,15.9,16.0,77574.0,132.0
05/07/2019,15.7,16.5,15.3,15.5,201339.0,198.0
05/08/2019,15.2,15.9,15.2,15.5,37019.0,64.0
05/09/2019,15.3,15.9,15.3,15.7,18585.0,24.0
05/12/2019,15.4,15.8,15.3,15.4,37961.0,92.0
05/13/2019,15.4,15.8,15.3,15.4,31266.0,21.0
05/14/2019,15.3,15.5,15.0,15.1,63959.0,88.0
05/15/2019,15.7,15.7,15.0,15.0,41581.0,72.0
05/16/2019,15.1,15.6,15.1,15.6,15182.0,63.0
05/19/2019,15.1,16.3,15.1,15.6,22624.0,72.0
05/20/2019,15.6,15.6,15.2,15.4,40153.0,43.0
05/21/2019,15.1,15.6,15.1,15.1,36397.0,56.0
05/22/2019,15.7,15.7,15.1,15.1,16035.0,52.0
05/23/2019,15.1,15.3,14.9,14.9,27280.0,29.0
05/26/2019,14.9,15.7,14.9,14.9,16090.0,36.0
05/27/2019,15.4,15.4,14.8,14.8,29947.0,90.0
05/28/2019,14.9,15.4,14.9,15.3,23198.0,50.0
05/29/2019,15.6,15.9,14.9,15.7,28503.0,78.0
05/30/2019,15.9,15.9,15.4,15.5,11849.0,50.0
06/09/2019,15.4,16.4,15.2,16.0,18395.0,53.0
06/10/2019,15.9,16.0,15.3,15.5,43638.0,83.0
06/11/2019,15.2,15.8,15.2,15.3,62920.0,74.0
06/12/2019,15.3,16.1,14.7,15.2,192342.0,200.0
06/13/2019,14.9,15.0,14.2,14.5,209334.0,184.0
06/16/2019,14.5,14.8,14.2,14.3,83016.0,96.0
06/17/2019,14.3,14.4,13.9,13.9,81312.0,88.0
06/18/2019,13.9,14.8,12.5,13.8,201892.0,206.0
06/19/2019,14.8,14.8,13.5,13.6,52684.0,78.0
06/20/2019,13.9,14.2,13.6,13.6,37033.0,84.0
06/23/2019,13.5,13.9,13.5,13.7,38426.0,63.0
06/24/2019,13.9,14.0,13.8,13.9,18346.0,45.0
06/25/2019,13.9,14.8,13.9,14.1,34680.0,118.0
06/26/2019,14.1,14.2,13.8,13.9,48257.0,72.0
06/27/2019,14.3,14.3,13.9,14.2,71800.0,91.0
06/30/2019,14.2,14.4,13.6,13.7,58992.0,94.0
07/02/2019,13.7,13.7,13.1,13.2,55593.0,90.0
07/03/2019,13.8,13.8,12.9,13.2,67599.0,75.0
07/04/2019,13.2,13.7,13.1,13.3,26886.0,74.0
07/07/2019,13.2,13.5,12.7,13.2,89991.0,125.0
07/08/2019,13.1,13.5,12.7,12.9,42648.0,74.0
07/09/2019,13.3,13.4,12.9,13.0,46799.0,57.0
07/10/2019,12.9,13.0,12.6,12.7,87125.0,64.0
07/11/2019,12.5,13.6,12.5,13.3,81305.0,108.0
07/14/2019,13.7,13.7,12.9,12.9,93814.0,78.0
07/15/2019,13.0,13.4,12.5,13.1,79137.0,130.0
07/16/2019,13.2,13.2,12.9,13.1,30243.0,53.0
07/17/2019,13.1,13.3,12.8,13.1,39952.0,98.0
07/18/2019,13.1,13.3,12.9,13.1,55158.0,131.0
07/21/2019,13.4,13.9,12.8,13.0,55860.0,115.0
07/22/2019,12.8,13.4,11.8,12.2,121214.0,217.0
07/23/2019,12.9,13.1,12.5,12.7,6755.0,34.0
07/24/2019,13.0,13.0,12.4,12.6,20018.0,39.0
07/25/2019,12.9,12.9,12.5,12.6,33094.0,58.0
07/28/2019,12.8,12.9,12.4,12.6,20884.0,34.0
07/29/2019,12.6,12.9,12.6,12.7,22397.0,65.0
07/30/2019,12.7,13.9,12.7,13.6,186285.0,219.0
07/31/2019,13.6,13.9,13.0,13.1,31161.0,69.0
08/01/2019,13.5,13.6,12.9,13.5,68391.0,100.0
08/04/2019,13.4,13.8,13.1,13.3,67001.0,108.0
08/05/2019,13.8,13.8,13.2,13.3,36291.0,54.0
08/06/2019,13.8,13.8,13.1,13.1,95970.0,104.0
08/07/2019,13.7,13.7,13.0,13.1,75946.0,50.0
08/08/2019,13.6,13.6,13.0,13.2,37955.0,56.0
08/18/2019,13.4,13.4,12.9,13.0,45221.0,38.0
08/19/2019,12.9,13.0,12.8,12.8,38646.0,114.0
08/20/2019,13.1,13.2,13.0,13.2,11720.0,31.0
08/21/2019,13.5,13.5,13.0,13.3,70642.0,47.0
08/22/2019,13.4,13.5,13.1,13.1,104686.0,70.0
08/25/2019,13.1,13.3,13.0,13.0,90513.0,101.0
08/26/2019,13.1,13.1,12.1,12.6,23666.0,48.0
08/27/2019,12.9,13.4,12.9,13.0,92234.0,74.0
08/28/2019,12.9,13.3,12.5,12.5,109091.0,90.0
08/29/2019,12.5,13.2,12.5,13.0,38369.0,33.0
09/01/2019,12.8,12.9,12.5,12.6,46867.0,41.0
09/02/2019,12.5,12.7,12.3,12.3,52232.0,71.0
09/03/2019,12.3,12.5,11.9,11.9,101647.0,139.0
09/04/2019,12.0,12.1,11.8,11.9,67018.0,88.0
09/05/2019,11.8,12.2,11.8,12.0,155829.0,139.0
09/08/2019,12.1,12.7,12.1,12.3,151285.0,200.0
09/09/2019,12.4,12.5,12.3,12.4,121101.0,145.0
09/11/2019,12.5,13.6,12.5,13.6,117244.0,136.0
09/12/2019,14.1,14.9,14.1,14.9,115319.0,60.0
09/15/2019,16.3,16.3,15.1,15.4,476087.0,344.0
09/16/2019,15.4,16.6,15.2,15.9,312597.0,410.0
09/17/2019,15.8,16.2,14.5,14.9,148278.0,201.0
09/18/2019,14.9,15.8,14.8,15.0,67546.0,112.0
09/19/2019,15.2,15.9,15.2,15.2,160528.0,153.0
09/22/2019,14.5,15.6,14.5,15.4,57571.0,122.0
09/23/2019,15.0,15.9,15.0,15.7,48015.0,86.0
09/24/2019,15.4,15.8,15.0,15.4,37532.0,56.0
09/25/2019,14.9,15.6,14.8,15.0,53562.0,101.0
09/26/2019,15.0,15.4,14.7,14.9,140268.0,106.0
09/29/2019,15.0,15.1,14.1,14.4,108037.0,165.0
09/30/2019,14.5,14.8,14.0,14.1,66498.0,81.0
10/01/2019,14.3,15.5,14.3,14.9,55509.0,110.0
10/02/2019,14.7,14.8,14.4,14.5,36743.0,70.0
10/03/2019,14.8,15.9,14.6,15.1,190147.0,
10/06/2019,15.8,16.0,15.3,15.9,100239.0,175.0
10/07/2019,15.2,16.0,15.1,15.5,60770.0,121.0
10/09/2019,15.7,15.7,14.9,15.0,87742.0,
10/10/2019,15.0,15.1,14.5,14.7,69334.0,104.0
10/13/2019,14.5,14.5,14.1,14.2,39128.0,65.0
10/14/2019,15.3,15.3,13.9,14.0,29434.0,77.0
10/15/2019,14.1,15.1,14.1,14.9,57883.0,105.0
10/16/2019,14.3,15.6,14.3,14.6,20763.0,52.0
10/17/2019,14.4,15.7,14.4,15.4,178010.0,
10/20/2019,15.1,15.1,14.4,14.6,16044.0,53.0
10/21/2019,15.3,15.3,14.3,14.4,16923.0,62.0
10/22/2019,14.2,14.3,13.8,13.9,71007.0,112.0
10/23/2019,13.5,14.8,13.4,14.6,36156.0,
