date,open,high,low,close,volume,trade
01/01/2018,49.0,51.6,49.0,50.0,761509.0,1554.0
01/02/2018,50.4,51.0,50.2,50.3,163776.0,906.0
01/03/2018,49.1,50.9,49.1,50.3,467146.0,850.0
01/04/2018,51.0,55.3,51.0,55.1,1533328.0,2317.0
01/07/2018,55.6,56.3,53.7,54.5,1063448.0,1840.0
01/08/2018,54.2,54.7,52.9,53.3,749266.0,1340.0
01/09/2018,54.5,55.8,53.7,55.0,1198505.0,1876.0
01/10/2018,55.2,55.2,52.6,53.0,973736.0,1505.0
01/11/2018,53.0,53.8,52.6,53.0,459744.0,872.0
01/14/2018,53.7,53.7,50.2,50.3,480779.0,1124.0
01/15/2018,51.5,51.5,49.6,49.9,304492.0,669.0
01/16/2018,50.9,51.3,50.0,50.3,302131.0,714.0
01/17/2018,50.7,51.2,49.4,49.7,296689.0,676.0
01/18/2018,50.2,50.2,49.0,49.3,225995.0,522.0
01/21/2018,49.7,50.9,48.0,49.3,352123.0,814.0
01/22/2018,49.5,50.0,49.1,49.5,249329.0,565.0
01/23/2018,50.3,51.7,49.5,51.3,544307.0,1084.0
01/24/2018,51.6,51.9,50.5,50.8,348435.0,778.0
01/25/2018,50.8,51.0,49.0,49.3,469086.0,1018.0
01/28/2018,49.4,49.4,46.6,46.9,356464.0,856.0
01/29/2018,46.9,47.8,45.8,46.5,447992.0,1082.0
01/30/2018,46.1,47.3,44.8,46.7,595202.0,1056.0
01/31/2018,47.0,48.3,46.3,47.8,574476.0,1186.0
02/01/2018,47.8,49.7,47.8,49.1,704408.0,1123.0
02/04/2018,49.1,49.9,47.0,47.2,392234.0,703.0
02/05/2018,47.8,48.8,46.1,47.8,332080.0,730.0
02/06/2018,48.0,49.0,47.3,47.6,220704.0,448.0
02/07/2018,47.3,48.2,47.0,47.6,306307.0,619.0
02/08/2018,47.4,48.3,47.4,48.0,177563.0,445.0
02/11/2018,47.8,50.3,47.7,48.9,720985.0,1261.0
02/12/2018,49.6,50.3,48.7,49.9,502228.0,898.0
02/13/2018,50.2,53.2,50.2,52.0,1457505.0,1929.0
02/14/2018,52.3,53.4,51.7,52.9,935919.0,1237.0
