date,open,high,low,close,volume,trade
01/01/2018,70.0,70.8,68.4,69.6,2659170.0,2398.0
01/02/2018,70.0,72.0,69.8,71.1,1668504.0,3359.0
01/03/2018,70.5,71.0,69.7,70.0,1789556.0,1600.0
01/04/2018,70.1,70.7,69.1,69.2,1418226.0,1571.0
01/07/2018,69.2,69.8,67.1,67.4,2122179.0,2123.0
01/08/2018,67.4,68.5,67.0,67.2,1727620.0,1541.0
01/09/2018,68.6,68.6,66.0,66.1,1630374.0,1630.0
01/10/2018,66.5,66.6,63.2,63.4,1746475.0,2368.0
01/11/2018,64.0,65.8,63.1,64.8,1465833.0,2339.0
01/14/2018,65.5,65.7,63.5,63.9,592968.0,1049.0
01/15/2018,64.0,64.3,62.0,62.3,900217.0,1447.0
01/16/2018,62.4,63.4,61.1,62.2,808878.0,1399.0
01/17/2018,62.4,62.7,61.6,61.7,466041.0,809.0
01/18/2018,61.6,62.4,61.4,61.7,400171.0,674.0
01/21/2018,61.7,62.2,61.6,61.9,290501.0,495.0
01/22/2018,62.1,63.4,62.0,63.2,747521.0,1228.0
01/23/2018,63.5,63.9,62.6,62.9,625102.0,904.0
01/24/2018,63.0,63.2,62.3,62.5,339401.0,517.0
01/25/2018,62.6,62.6,62.2,62.2,503365.0,565.0
01/28/2018,62.1,62.3,60.6,61.1,755594.0,895.0
01/29/2018,61.0,61.8,60.8,61.2,625253.0,717.0
01/30/2018,61.4,61.8,60.8,60.9,310469.0,526.0
01/31/2018,60.8,60.8,59.6,60.4,778226.0,856.0
02/01/2018,60.7,61.0,59.6,59.8,402421.0,662.0
02/04/2018,59.5,59.6,58.1,58.3,387777.0,608.0
02/05/2018,58.7,58.9,57.1,57.9,609193.0,721.0
02/06/2018,58.2,58.7,58.0,58.3,389825.0,633.0
02/07/2018,58.0,58.5,57.6,57.8,448451.0,533.0
02/08/2018,58.0,58.2,57.6,57.7,322246.0,447.0
02/11/2018,58.2,59.2,57.9,59.0,545505.0,796.0
02/12/2018,59.2,59.8,57.8,58.1,688486.0,976.0
02/13/2018,58.1,58.6,57.6,57.8,505375.0,595.0
02/14/2018,57.9,58.6,57.8,57.9,661778.0,840.0
02/15/2018,58.3,58.3,57.7,57.9,298419.0,454.0
02/18/2018,58.0,58.0,56.9,57.2,1045363.0,602.0
02/19/2018,57.4,57.6,56.7,56.8,451109.0,443.0
02/20/2018,57.8,57.8,56.7,56.9,385071.0,389.0
02/22/2018,57.2,57.3,56.8,56.9,240589.0,286.0
02/25/2018,57.1,57.1,56.7,56.7,387829.0,345.0
02/26/2018,56.5,57.0,56.5,56.7,257848.0,363.0
02/27/2018,57.0,57.4,56.7,57.0,313295.0,381.0
02/28/2018,57.5,61.7,56.8,60.3,1978867.0,2511.0
03/01/2018,60.5,61.9,60.1,60.2,766655.0,1210.0
03/04/2018,60.2,60.6,58.4,58.7,937874.0,1231.0
03/05/2018,58.7,58.7,57.3,57.5,609231.0,838.0
03/06/2018,57.2,58.5,57.0,58.2,426456.0,720.0
03/07/2018,58.2,58.5,57.5,57.7,234821.0,405.0
03/08/2018,58.5,58.5,57.2,57.6,201152.0,372.0
03/11/2018,57.7,58.2,57.2,57.3,207401.0,338.0
03/12/2018,57.3,57.8,56.7,57.7,627982.0,640.0
03/13/2018,57.7,57.9,57.0,57.1,291451.0,348.0
03/14/2018,57.0,57.2,56.0,56.1,481972.0,708.0
03/15/2018,56.1,57.0,55.7,56.7,310292.0,381.0
03/18/2018,56.9,56.9,56.2,56.4,181549.0,320.0
03/19/2018,56.1,56.4,56.0,56.0,323384.0,319.0
03/20/2018,56.3,56.3,56.0,56.1,253434.0,303.0
03/21/2018,56.1,56.2,56.0,56.0,366959.0,267.0
03/22/2018,56.0,56.4,56.0,56.2,922527.0,523.0
03/25/2018,56.2,57.0,56.2,56.4,438509.0,420.0
03/27/2018,56.4,56.5,56.0,56.1,630889.0,384.0
03/28/2018,56.1,56.4,56.0,56.1,491748.0,407.0
03/29/2018,56.1,57.0,56.1,56.9,357800.0,372.0
04/01/2018,57.4,58.0,56.6,57.8,520325.0,646.0
04/02/2018,58.1,59.2,57.8,58.9,815965.0,882.0
04/03/2018,58.9,62.6,58.5,60.5,2137708.0,2362.0
04/04/2018,60.8,60.8,58.9,59.1,662758.0,891.0
04/05/2018,58.8,60.6,58.6,60.1,1043376.0,1087.0
04/08/2018,58.8,60.6,58.6,60.1,1043376.0,0.0
04/09/2018,60.1,61.6,59.9,60.8,1638927.0,1567.0
04/10/2018,61.1,61.3,60.0,60.1,836051.0,819.0
04/11/2018,60.2,60.4,60.0,60.2,608197.0,584.0
04/12/2018,60.5,62.6,60.2,62.2,2098881.0,2191.0
04/15/2018,62.3,68.1,62.3,64.9,3903475.0,3982.0
04/16/2018,65.1,65.4,63.6,65.2,1874620.0,1915.0
04/17/2018,65.9,67.0,65.4,65.9,2442658.0,2814.0
04/18/2018,66.1,66.6,64.5,65.0,1491149.0,1420.0
04/19/2018,65.2,65.5,64.3,64.6,865287.0,1038.0
04/22/2018,64.3,64.9,62.6,62.9,1046699.0,1200.0
04/23/2018,63.0,63.0,61.8,62.0,620644.0,837.0
04/24/2018,61.8,62.3,61.4,61.6,417651.0,588.0
04/25/2018,61.9,64.1,61.6,63.1,935806.0,1331.0
04/26/2018,63.4,63.7,62.0,62.4,834567.0,974.0
04/30/2018,61.6,61.6,58.4,59.0,2185380.0,1847.0
05/03/2018,59.8,60.0,58.5,58.7,978465.0,836.0
05/06/2018,59.0,59.6,58.0,58.3,738301.0,895.0
05/07/2018,58.3,59.3,58.1,58.6,381775.0,652.0
05/08/2018,58.6,59.0,58.0,58.1,586015.0,660.0
05/09/2018,59.0,60.6,58.6,58.8,1403912.0,1441.0
05/10/2018,59.0,59.4,58.6,58.8,610745.0,721.0
05/13/2018,58.8,58.9,58.0,58.1,500138.0,626.0
05/14/2018,58.2,58.6,57.5,58.0,381693.0,530.0
05/15/2018,58.4,58.5,57.2,57.4,306216.0,524.0
05/16/2018,57.3,57.7,56.2,56.4,583309.0,822.0
05/17/2018,56.8,56.8,55.9,56.0,428604.0,585.0
05/20/2018,56.1,56.1,54.7,55.1,296653.0,525.0
05/21/2018,55.0,56.4,54.9,55.2,303668.0,615.0
05/22/2018,55.3,56.0,55.2,55.3,185136.0,356.0
05/23/2018,55.4,55.5,53.0,54.0,393415.0,570.0
05/24/2018,54.3,54.5,53.6,54.2,445439.0,677.0
05/27/2018,54.5,56.1,54.5,55.6,505952.0,665.0
05/28/2018,55.6,57.0,55.1,55.5,374239.0,653.0
