date,open,high,low,close,volume,trade
06/13/2021,16.4,16.4,16.4,16.4,1.0,1.0
06/14/2021,18.0,18.0,18.0,18.0,1.0,1.0
06/15/2021,19.8,19.8,19.8,19.8,1.0,1.0
06/16/2021,21.8,21.8,21.8,21.8,70.0,1.0
06/17/2021,23.9,23.9,23.9,23.9,1.0,1.0
06/20/2021,26.3,26.3,26.3,26.3,11.0,2.0
06/21/2021,28.9,28.9,28.9,28.9,108.0,2.0
06/22/2021,31.7,31.7,31.7,31.7,1.0,1.0
06/23/2021,34.8,34.8,34.8,34.8,1.0,1.0
06/24/2021,38.2,38.2,38.2,38.2,985.0,4.0
06/27/2021,42.0,42.0,42.0,42.0,620.0,2.0
06/28/2021,46.1,46.1,46.1,46.1,22.0,2.0
06/29/2021,50.7,50.7,50.7,50.7,1091.0,2.0
06/30/2021,55.7,55.7,55.7,55.7,577.0,4.0
07/05/2021,61.2,61.2,61.2,61.2,409.0,4.0
07/06/2021,67.3,67.3,67.3,67.3,1253.0,4.0
07/07/2021,74.0,74.0,74.0,74.0,2925.0,5.0
07/08/2021,81.4,81.4,81.4,81.4,749.0,4.0
07/12/2021,89.5,89.5,89.5,89.5,1376.0,8.0
07/13/2021,98.4,98.4,98.4,98.4,19113.0,13.0
07/14/2021,108.2,108.2,108.2,108.2,32268.0,27.0
07/15/2021,119.0,119.0,116.8,119.0,520334.0,372.0
07/18/2021,127.9,127.9,113.2,121.2,96430.0,320.0
07/19/2021,125.0,125.0,121.4,121.7,60168.0,303.0
07/25/2021,121.5,121.5,116.4,119.6,146396.0,487.0
07/26/2021,121.5,121.5,117.5,120.2,66098.0,268.0
07/27/2021,120.5,120.5,115.9,116.9,40868.0,219.0
07/28/2021,120.1,120.1,113.2,114.0,56914.0,263.0
07/29/2021,114.0,117.6,113.2,113.5,83806.0,315.0
08/02/2021,117.8,119.4,110.3,117.6,100759.0,434.0
08/03/2021,118.7,129.3,118.7,129.3,124812.0,365.0
08/05/2021,142.1,142.1,142.1,142.1,140920.0,121.0
08/09/2021,155.1,156.4,145.1,153.9,276824.0,993.0
08/10/2021,157.9,167.9,143.6,145.1,166301.0,898.0
08/11/2021,140.2,159.6,135.6,159.6,170830.0,777.0
08/12/2021,171.4,172.4,150.5,152.2,189030.0,1018.0
08/16/2021,152.2,155.0,143.9,146.0,110746.0,586.0
08/17/2021,149.5,153.2,144.9,147.9,61079.0,449.0
08/18/2021,153.0,157.3,152.1,154.4,72127.0,513.0
08/19/2021,160.3,163.4,155.3,161.3,85424.0,480.0
08/22/2021,163.6,169.2,161.5,162.2,108138.0,675.0
08/23/2021,162.6,167.6,160.7,162.5,108641.0,603.0
08/24/2021,164.9,170.7,162.1,168.5,207313.0,793.0
08/25/2021,172.9,183.9,172.9,180.8,171802.0,846.0
08/26/2021,186.8,191.3,166.4,173.8,104834.0,685.0
08/29/2021,177.6,177.6,168.2,168.6,65777.0,437.0
08/31/2021,175.7,177.4,168.2,169.8,59591.0,491.0
09/01/2021,176.5,176.7,168.8,175.0,106423.0,588.0
09/02/2021,180.6,191.3,180.6,186.8,164608.0,964.0
09/05/2021,200.8,205.4,189.0,205.4,190583.0,883.0
09/06/2021,214.0,219.5,201.1,207.0,135817.0,843.0
09/07/2021,212.1,225.0,208.4,218.2,164287.0,1082.0
09/08/2021,223.8,230.8,214.0,219.3,135498.0,874.0
09/09/2021,215.0,224.3,208.5,219.9,107645.0,724.0
09/12/2021,221.5,229.9,200.7,202.3,217128.0,1197.0
09/13/2021,205.6,210.3,200.0,201.8,92784.0,676.0
09/14/2021,192.1,199.1,184.2,185.3,196473.0,1291.0
09/15/2021,185.0,203.8,185.0,203.7,124127.0,865.0
09/16/2021,216.8,216.8,206.5,210.6,95654.0,834.0
09/19/2021,201.9,201.9,192.1,192.1,66248.0,265.0
09/20/2021,175.4,186.0,175.4,175.5,260638.0,1140.0
09/21/2021,169.7,182.2,166.4,167.9,100630.0,710.0
09/22/2021,167.9,171.5,152.9,160.9,157070.0,1080.0
09/23/2021,163.6,177.0,163.6,172.3,79995.0,647.0
09/26/2021,171.3,175.6,164.5,168.4,50303.0,456.0
09/27/2021,163.6,168.8,163.6,163.8,41024.0,399.0
09/28/2021,161.2,165.1,159.8,160.9,33051.0,347.0
09/29/2021,166.4,166.4,152.4,154.6,52186.0,509.0
09/30/2021,154.6,161.7,154.6,159.1,99702.0,707.0
10/03/2021,163.4,167.8,163.1,166.3,78068.0,571.0
10/04/2021,167.5,170.1,163.5,164.4,47284.0,378.0
10/05/2021,166.9,166.9,155.3,156.9,51511.0,417.0
10/06/2021,157.1,161.6,146.4,148.0,44552.0,366.0
10/07/2021,145.8,153.3,140.4,146.5,29383.0,279.0
10/10/2021,147.7,153.8,146.3,152.3,40127.0,327.0
10/11/2021,156.9,159.8,150.0,150.4,54489.0,558.0
10/12/2021,154.8,154.8,143.9,145.6,32728.0,271.0
10/13/2021,145.8,154.2,144.1,146.2,21381.0,169.0
10/14/2021,151.3,151.3,144.4,146.7,26218.0,231.0
10/17/2021,142.9,148.7,133.2,135.0,57830.0,495.0
10/18/2021,135.0,135.0,123.8,126.1,48429.0,457.0
10/19/2021,130.9,132.1,123.6,125.5,21688.0,235.0
10/21/2021,127.1,127.1,119.0,126.0,31515.0,318.0
10/24/2021,126.0,130.3,123.4,125.1,29147.0,355.0
10/25/2021,130.4,130.5,124.3,129.5,27137.0,310.0
10/26/2021,132.7,142.4,132.7,142.3,120665.0,720.0
10/27/2021,149.3,151.3,143.9,145.6,61054.0,504.0
10/28/2021,146.6,160.1,146.6,157.7,131114.0,875.0
10/31/2021,155.6,162.4,154.2,154.7,90612.0,651.0
11/01/2021,157.5,157.5,149.7,156.8,24461.0,240.0
11/02/2021,157.0,164.5,155.3,160.3,73675.0,527.0
11/03/2021,165.0,168.1,158.0,159.4,66394.0,551.0
11/04/2021,155.4,163.6,154.4,155.1,24871.0,265.0
11/07/2021,155.2,157.9,150.5,154.3,20120.0,212.0
11/08/2021,156.2,163.4,141.1,143.6,49432.0,468.0
11/09/2021,143.5,144.9,135.5,138.3,56903.0,315.0
11/10/2021,140.2,147.6,137.4,139.1,33820.0,329.0
11/11/2021,144.8,145.7,140.2,142.0,38332.0,444.0
11/14/2021,136.4,146.3,132.7,142.2,40309.0,590.0
11/15/2021,142.2,148.4,141.6,142.0,23185.0,244.0
11/16/2021,144.8,144.9,134.6,137.6,33592.0,334.0
11/17/2021,135.7,140.0,134.6,136.5,22511.0,181.0
11/18/2021,140.2,140.2,133.6,134.0,46433.0,380.0
11/21/2021,134.1,134.1,121.5,122.6,51928.0,360.0
11/22/2021,130.8,130.8,121.0,122.1,37865.0,204.0
11/23/2021,122.4,125.7,120.7,123.0,18427.0,177.0
11/24/2021,124.9,126.2,120.1,120.4,43832.0,216.0
11/25/2021,124.4,124.4,117.6,119.7,25323.0,247.0
11/28/2021,119.2,123.4,118.7,119.4,9220.0,119.0
11/29/2021,120.1,126.1,119.7,124.4,72839.0,364.0
11/30/2021,128.1,128.1,124.5,125.5,36517.0,247.0
12/01/2021,128.0,134.6,126.2,132.3,80031.0,474.0
12/02/2021,132.3,137.4,128.0,135.7,87903.0,598.0
12/05/2021,149.3,149.3,143.9,149.2,308056.0,898.0
12/06/2021,149.3,149.3,143.9,149.2,308056.0,0.0
12/07/2021,155.1,158.9,150.7,155.7,190716.0,1178.0
12/08/2021,154.2,160.3,151.4,152.7,87637.0,639.0
12/09/2021,157.0,158.8,155.8,156.3,60978.0,427.0
12/12/2021,165.4,171.0,160.8,162.1,176345.0,1199.0
12/13/2021,165.9,165.9,157.0,160.4,55818.0,539.0
