date,open,high,low,close,volume,trade
01/01/2018,10.2,10.4,10.2,10.3,671040.0,165.0
01/02/2018,10.2,10.5,10.2,10.3,304115.0,198.0
01/03/2018,10.4,10.5,10.2,10.3,339927.0,107.0
01/04/2018,10.5,10.5,10.3,10.4,272857.0,108.0
01/07/2018,10.4,10.5,10.3,10.4,385050.0,153.0
01/08/2018,10.5,10.6,10.3,10.4,639656.0,213.0
01/09/2018,10.4,10.5,10.3,10.4,1023060.0,173.0
01/10/2018,10.5,10.8,10.5,10.7,940701.0,352.0
01/11/2018,10.7,10.8,10.3,10.5,474648.0,222.0
01/14/2018,10.3,10.5,10.3,10.4,159010.0,90.0
01/15/2018,10.5,10.5,10.1,10.2,265519.0,172.0
01/16/2018,10.3,10.4,10.2,10.4,116190.0,76.0
01/17/2018,10.4,10.4,10.2,10.2,165201.0,73.0
01/18/2018,10.2,10.2,10.1,10.2,201941.0,116.0
01/21/2018,10.3,10.5,10.3,10.4,158327.0,100.0
01/22/2018,10.5,10.5,10.3,10.4,218057.0,138.0
01/23/2018,10.3,10.5,10.3,10.4,166266.0,88.0
01/24/2018,10.4,10.6,10.4,10.5,372539.0,126.0
01/25/2018,10.4,10.5,10.4,10.4,135440.0,54.0
01/28/2018,10.4,10.5,10.0,10.1,176738.0,91.0
01/29/2018,10.2,10.3,10.1,10.2,160670.0,79.0
01/30/2018,10.4,10.6,10.3,10.3,535426.0,146.0
01/31/2018,10.2,10.2,10.0,10.1,261696.0,158.0
02/01/2018,10.2,10.2,10.0,10.0,157699.0,89.0
02/04/2018,10.0,10.0,9.6,9.6,214095.0,135.0
02/05/2018,9.4,9.8,9.4,9.6,213461.0,159.0
02/06/2018,9.7,10.0,9.6,9.9,82299.0,58.0
02/07/2018,9.9,9.9,9.7,9.7,106921.0,110.0
02/08/2018,9.9,10.4,9.7,9.8,2068413.0,796.0
02/11/2018,9.9,10.2,9.7,10.2,2288670.0,708.0
02/12/2018,10.2,10.3,9.8,9.8,1861922.0,584.0
02/13/2018,9.9,10.0,9.7,9.8,1536350.0,536.0
