date,open,high,low,close,volume,trade
01/01/2018,38.5,39.0,38.4,38.6,10304.0,12.0
01/02/2018,39.4,39.4,39.4,39.4,1.0,10.0
01/03/2018,39.4,39.4,38.8,38.9,3128.0,9.0
01/04/2018,38.9,39.7,38.8,39.3,13530.0,20.0
01/07/2018,39.0,39.1,38.5,38.7,13064.0,32.0
01/08/2018,38.5,39.0,38.5,38.6,11425.0,15.0
01/09/2018,38.2,39.2,38.1,39.2,44647.0,11.0
01/10/2018,38.5,39.0,38.5,38.9,9341.0,12.0
01/11/2018,39.0,41.8,38.5,40.3,71014.0,35.0
01/14/2018,40.0,40.5,39.0,40.2,11150.0,27.0
01/15/2018,40.0,40.0,38.4,39.6,6580.0,15.0
01/16/2018,39.4,39.4,39.4,39.4,7494.0,15.0
01/17/2018,39.9,40.0,39.0,40.0,22056.0,22.0
01/18/2018,40.2,41.0,39.1,40.4,60560.0,81.0
01/21/2018,40.5,41.1,39.7,40.9,126124.0,142.0
01/22/2018,40.7,40.7,39.6,39.8,52212.0,47.0
01/23/2018,39.9,39.9,38.8,38.9,101080.0,93.0
01/24/2018,40.0,40.5,39.3,39.9,115665.0,106.0
01/25/2018,39.4,41.0,39.4,40.5,58126.0,82.0
01/28/2018,40.8,41.3,39.8,40.1,62085.0,99.0
01/29/2018,40.1,42.0,40.1,41.6,66772.0,44.0
01/30/2018,41.6,41.6,40.1,40.5,23301.0,19.0
01/31/2018,39.9,40.4,39.7,39.9,38978.0,37.0
02/01/2018,41.9,41.9,39.3,39.8,4239.0,19.0
02/04/2018,38.6,40.0,38.6,39.3,26639.0,27.0
02/05/2018,39.9,39.9,38.1,39.1,21488.0,19.0
02/06/2018,39.8,39.8,39.8,39.8,100.0,2.0
02/07/2018,39.7,39.7,39.0,39.6,53279.0,41.0
02/08/2018,39.1,40.6,39.0,40.3,5992.0,9.0
02/11/2018,40.1,40.6,40.0,40.3,11300.0,13.0
02/12/2018,39.0,40.8,39.0,40.1,6950.0,19.0
02/13/2018,40.0,40.0,39.7,39.9,5463.0,18.0
02/14/2018,39.0,41.4,39.0,39.9,21380.0,48.0
02/15/2018,40.6,40.6,39.4,39.5,12585.0,41.0
02/18/2018,39.3,39.5,39.2,39.2,28109.0,35.0
02/19/2018,39.5,40.5,39.5,40.1,41669.0,50.0
02/20/2018,40.1,40.1,39.2,39.2,48785.0,59.0
02/22/2018,39.3,39.4,39.0,39.1,11913.0,45.0
02/25/2018,39.0,39.5,39.0,39.0,8005.0,22.0
02/26/2018,38.9,39.1,37.5,37.6,28645.0,58.0
02/27/2018,37.6,38.8,37.6,37.7,6635.0,14.0
02/28/2018,38.7,38.7,37.9,38.0,23710.0,29.0
03/01/2018,37.7,38.4,37.5,38.1,2437.0,11.0
03/04/2018,38.6,40.7,38.5,39.8,67365.0,63.0
03/05/2018,38.5,38.9,38.3,38.5,4844.0,23.0
03/06/2018,37.9,38.7,37.6,38.0,20525.0,105.0
03/07/2018,38.3,38.3,38.3,38.3,200.0,1.0
03/08/2018,38.0,38.6,38.0,38.1,4626.0,9.0
03/11/2018,38.1,38.1,38.0,38.0,3500.0,7.0
03/12/2018,38.0,38.1,38.0,38.0,23742.0,37.0
03/13/2018,37.9,37.9,37.8,37.9,18537.0,27.0
03/14/2018,38.0,38.0,38.0,38.0,4300.0,8.0
03/15/2018,38.0,38.1,38.0,38.1,11380.0,10.0
03/18/2018,38.0,38.0,38.0,38.0,3078.0,3.0
03/19/2018,38.6,38.6,38.3,38.4,1020.0,4.0
03/20/2018,36.8,38.2,36.8,38.0,8606.0,15.0
03/21/2018,37.5,37.5,37.1,37.3,2640.0,10.0
03/22/2018,37.1,38.8,37.1,37.8,8825.0,22.0
03/25/2018,36.6,38.0,36.6,37.9,9670.0,18.0
03/27/2018,36.7,38.0,36.0,36.7,2385.0,30.0
03/28/2018,37.5,39.9,36.3,37.5,24774.0,39.0
03/29/2018,37.1,38.0,36.8,37.2,27580.0,57.0
04/01/2018,37.1,38.2,37.1,37.9,1315.0,7.0
04/02/2018,36.5,38.1,36.5,37.9,5400.0,10.0
04/03/2018,37.7,37.9,37.7,37.8,5866.0,9.0
04/04/2018,37.9,38.2,37.9,38.0,5202.0,11.0
04/05/2018,37.5,38.0,37.4,37.7,7500.0,13.0
04/08/2018,37.5,39.0,37.5,39.0,20096.0,53.0
04/09/2018,39.0,39.0,38.3,38.5,13285.0,44.0
04/10/2018,38.8,39.0,38.5,38.7,3300.0,7.0
04/11/2018,38.2,38.2,38.1,38.1,6920.0,20.0
04/12/2018,38.1,38.1,38.1,38.1,15350.0,10.0
04/15/2018,38.0,38.1,38.0,38.0,11445.0,12.0
04/16/2018,37.6,38.0,37.5,37.8,5160.0,21.0
04/17/2018,38.0,38.0,37.9,37.9,7700.0,13.0
04/18/2018,38.5,39.9,38.5,39.0,10950.0,17.0
04/19/2018,38.5,38.6,37.9,38.1,4535.0,10.0
04/22/2018,39.4,39.4,38.0,38.8,2000.0,6.0
04/23/2018,38.1,38.2,38.1,38.1,7440.0,14.0
04/24/2018,38.0,38.0,38.0,38.0,1396.0,5.0
04/25/2018,35.5,39.0,35.5,37.6,1150.0,7.0
04/26/2018,38.8,39.1,38.2,38.8,5560.0,29.0
04/30/2018,38.5,38.5,37.3,37.9,23346.0,33.0
05/03/2018,38.0,38.2,38.0,38.0,36847.0,55.0
05/06/2018,38.4,39.7,38.1,38.9,18673.0,50.0
05/07/2018,39.8,39.8,38.0,38.0,50350.0,48.0
05/08/2018,38.3,38.3,38.2,38.2,16241.0,23.0
05/09/2018,38.2,38.4,38.2,38.2,6519.0,19.0
05/10/2018,38.4,38.4,38.1,38.2,37500.0,44.0
05/13/2018,38.1,38.5,38.1,38.1,9937.0,18.0
05/14/2018,38.2,38.5,38.2,38.3,4943.0,12.0
05/15/2018,38.5,38.8,38.3,38.4,19600.0,27.0
05/16/2018,38.2,38.5,38.2,38.4,21770.0,36.0
05/17/2018,38.3,38.3,38.2,38.3,19925.0,38.0
05/20/2018,38.1,38.2,38.1,38.2,3199.0,11.0
05/21/2018,38.2,38.3,38.2,38.3,4800.0,11.0
05/22/2018,38.2,38.5,38.2,38.4,8750.0,29.0
05/23/2018,38.0,38.2,38.0,38.0,13796.0,27.0
05/24/2018,39.4,39.7,38.1,38.5,36517.0,53.0
05/27/2018,37.7,37.8,37.3,37.5,31400.0,72.0
