date,open,high,low,close,volume,trade
06/08/2022,11.0,11.0,11.0,11.0,594.0,35.0
06/09/2022,12.1,12.1,12.1,12.1,483.0,24.0
06/12/2022,13.3,13.3,13.3,13.3,823.0,42.0
06/13/2022,14.6,14.6,14.6,14.6,1563.0,82.0
06/14/2022,16.0,16.0,16.0,16.0,1174.0,60.0
06/15/2022,17.6,17.6,17.6,17.6,2426.0,121.0
06/16/2022,19.3,19.3,19.3,19.3,1548.0,79.0
06/19/2022,21.2,21.2,21.2,21.2,2675.0,133.0
06/20/2022,23.3,23.3,23.3,23.3,2847.0,144.0
06/21/2022,25.6,25.6,25.6,25.6,3038.0,155.0
06/22/2022,28.1,28.1,28.1,28.1,3286.0,166.0
06/23/2022,30.9,30.9,30.9,30.9,6362.0,323.0
06/26/2022,33.9,33.9,33.9,33.9,6382.0,321.0
06/27/2022,37.2,37.2,37.2,37.2,12762.0,642.0
06/28/2022,40.9,40.9,40.9,40.9,33970.0,1113.0
06/29/2022,44.9,44.9,44.9,44.9,55310.0,1642.0
06/30/2022,49.3,49.3,49.3,49.3,224940.0,7183.0
07/03/2022,54.2,54.2,54.2,54.2,706180.0,23838.0
07/04/2022,59.6,59.6,55.0,57.3,4152643.0,111990.0
07/05/2022,57.0,57.6,56.2,56.2,235706.0,2951.0
07/06/2022,55.1,55.1,55.1,55.1,35867.0,131.0
07/07/2022,54.0,54.0,54.0,54.0,12491.0,114.0
07/12/2022,53.0,53.0,53.0,53.0,8051.0,51.0
07/13/2022,52.0,52.0,52.0,52.0,155853.0,429.0
07/14/2022,51.0,51.0,51.0,51.0,9021.0,76.0
07/17/2022,50.0,50.0,50.0,50.0,13237.0,64.0
07/18/2022,49.0,49.0,49.0,49.0,13317.0,54.0
07/19/2022,48.1,48.1,48.1,48.1,1091.0,36.0
07/20/2022,47.2,47.2,47.2,47.2,7888.0,62.0
07/21/2022,46.3,46.3,46.3,46.3,23884.0,251.0
07/24/2022,45.4,45.4,45.4,45.4,1898.0,35.0
07/25/2022,44.5,44.5,44.5,44.5,11027.0,99.0
07/26/2022,43.7,48.9,43.7,45.6,1928681.0,24044.0
07/27/2022,45.0,46.5,44.7,44.7,429395.0,6451.0
07/28/2022,43.9,43.9,43.9,43.9,6267.0,38.0
07/31/2022,44.8,47.6,44.8,46.8,1579372.0,6805.0
08/01/2022,46.8,48.9,44.9,45.2,880007.0,6763.0
08/02/2022,44.8,47.0,44.8,45.7,1018511.0,5832.0
08/03/2022,45.7,46.8,44.8,45.0,964222.0,3797.0
08/04/2022,44.9,45.3,44.8,44.8,674609.0,3227.0
08/07/2022,44.8,44.9,44.8,44.8,83332.0,300.0
08/08/2022,44.8,44.8,44.8,44.8,33715.0,100.0
08/10/2022,44.8,44.8,44.8,44.8,8525.0,42.0
08/11/2022,44.8,44.8,44.8,44.8,549.0,11.0
08/14/2022,44.8,44.8,44.8,44.8,6713.0,33.0
08/16/2022,44.8,44.8,44.8,44.8,33961.0,56.0
08/17/2022,44.8,45.5,44.8,44.8,810825.0,3630.0
08/21/2022,44.8,44.8,44.8,44.8,18549.0,60.0
08/22/2022,44.8,44.8,44.8,44.8,10017.0,42.0
08/23/2022,44.8,44.8,44.8,44.8,26895.0,64.0
08/24/2022,44.8,44.8,44.8,44.8,2529.0,20.0
08/25/2022,44.8,44.8,44.8,44.8,7352.0,50.0
08/28/2022,44.8,44.8,44.8,44.8,161751.0,398.0
08/29/2022,44.8,44.8,44.8,44.8,82620.0,254.0
08/30/2022,44.8,44.8,44.8,44.8,8644.0,59.0
08/31/2022,44.8,44.8,44.8,44.8,16900.0,78.0
09/01/2022,44.8,44.8,44.8,44.8,45508.0,141.0
09/04/2022,44.8,44.8,44.8,44.8,20733.0,49.0
09/05/2022,44.8,44.8,44.8,44.8,5461.0,32.0
09/06/2022,44.8,44.8,44.8,44.8,8062.0,38.0
09/07/2022,44.8,44.8,44.8,44.8,10726.0,38.0
09/08/2022,44.8,44.8,44.8,44.8,510.0,8.0
09/11/2022,44.8,44.8,44.8,44.8,6269.0,16.0
09/12/2022,44.8,44.8,44.8,44.8,3353.0,27.0
09/13/2022,44.8,44.8,44.8,44.8,1738.0,24.0
09/14/2022,44.8,44.8,44.8,44.8,6669.0,11.0
09/15/2022,44.8,44.8,44.8,44.8,1785.0,20.0
09/18/2022,44.8,44.8,44.8,44.8,2833.0,19.0
09/19/2022,44.8,44.8,44.8,44.8,399.0,7.0
09/20/2022,44.8,44.8,44.8,44.8,860.0,18.0
09/21/2022,44.8,44.8,44.8,44.8,33.0,3.0
09/22/2022,44.8,44.8,44.8,44.8,283.0,14.0
09/25/2022,44.8,44.8,44.8,44.8,2584.0,12.0
09/26/2022,44.8,44.8,44.8,44.8,237.0,5.0
09/27/2022,44.8,44.8,44.8,44.8,1635.0,10.0
09/28/2022,44.8,44.8,44.8,44.8,145.0,10.0
09/29/2022,44.8,44.8,44.8,44.8,266.0,9.0
10/02/2022,44.8,44.8,44.8,44.8,16513.0,20.0
10/03/2022,44.8,44.8,44.8,44.8,1677.0,10.0
10/04/2022,44.8,44.8,44.8,44.8,269.0,8.0
10/06/2022,44.8,44.8,44.8,44.8,1694.0,10.0
10/10/2022,44.8,44.8,44.8,44.8,1233.0,41.0
