date,open,high,low,close,volume,trade
01/01/2018,47.3,47.7,47.3,47.4,12981.0,23.0
01/02/2018,47.5,47.5,47.5,47.5,379.0,36.0
01/03/2018,46.6,46.9,46.6,46.6,27931.0,53.0
01/04/2018,46.9,47.1,46.6,46.9,10491.0,37.0
01/07/2018,46.7,47.3,46.0,46.2,36693.0,67.0
01/08/2018,49.0,49.5,45.8,45.9,117722.0,108.0
01/09/2018,45.9,46.0,45.5,45.5,119628.0,100.0
01/10/2018,45.1,45.5,44.8,45.1,19732.0,57.0
01/11/2018,45.2,46.2,45.2,46.1,34036.0,46.0
01/14/2018,46.5,46.5,45.3,45.3,10580.0,29.0
01/15/2018,45.5,46.4,45.1,45.4,77291.0,64.0
01/16/2018,45.2,45.8,45.1,45.8,92665.0,55.0
01/17/2018,45.8,47.4,45.3,45.5,15696.0,27.0
01/18/2018,45.8,45.8,44.7,45.4,27288.0,33.0
01/21/2018,45.1,45.8,45.1,45.7,17530.0,41.0
01/22/2018,45.2,45.7,45.2,45.5,5734.0,16.0
01/23/2018,45.5,45.5,45.1,45.2,19243.0,39.0
01/24/2018,45.4,45.8,45.1,45.4,22710.0,44.0
01/25/2018,45.1,46.5,45.1,45.5,17750.0,21.0
01/28/2018,45.5,45.5,45.5,45.5,392.0,1.0
01/29/2018,45.1,45.3,45.1,45.1,12304.0,36.0
01/30/2018,45.6,46.4,45.6,45.7,59876.0,71.0
01/31/2018,45.1,45.1,43.7,44.5,10128.0,26.0
02/01/2018,46.4,46.4,44.7,44.7,38886.0,35.0
02/04/2018,44.3,44.3,43.6,43.9,19992.0,25.0
02/05/2018,43.9,44.9,43.5,43.8,38407.0,44.0
02/06/2018,43.6,44.6,43.6,44.3,12295.0,48.0
02/07/2018,44.3,46.6,44.3,46.1,61910.0,107.0
02/08/2018,46.1,47.2,46.0,46.9,104311.0,161.0
02/11/2018,45.8,47.4,45.8,47.3,155473.0,135.0
02/12/2018,47.7,47.7,47.1,47.4,127475.0,270.0
02/13/2018,47.4,47.6,47.4,47.4,37060.0,71.0
02/14/2018,48.0,48.1,47.5,47.8,100289.0,207.0
02/15/2018,47.9,48.2,47.5,47.8,148122.0,185.0
