date,open,high,low,close,volume,trade
01/01/2018,18.1,19.9,18.1,19.8,39791.0,66.0
01/02/2018,18.9,20.7,18.9,20.7,19505.0,94.0
01/03/2018,20.5,20.5,19.4,19.9,68195.0,91.0
01/04/2018,19.8,20.5,19.8,20.2,75502.0,159.0
01/07/2018,20.0,22.0,20.0,21.8,144272.0,291.0
01/08/2018,22.0,22.6,21.2,21.9,155605.0,296.0
01/09/2018,22.2,22.4,21.6,22.1,131519.0,200.0
01/10/2018,21.8,23.0,21.7,22.8,101565.0,198.0
01/11/2018,23.0,24.8,23.0,23.8,165148.0,332.0
01/14/2018,24.1,24.3,23.3,23.7,134412.0,280.0
01/15/2018,24.0,24.0,23.1,23.6,84097.0,186.0
01/16/2018,23.5,24.7,23.2,24.4,87186.0,179.0
01/17/2018,24.8,26.7,24.8,26.4,144605.0,384.0
01/18/2018,28.4,28.4,25.6,26.9,108024.0,285.0
01/21/2018,27.3,27.4,26.0,26.3,112502.0,218.0
01/22/2018,26.5,27.4,24.9,25.4,101721.0,211.0
01/23/2018,25.4,27.0,24.6,26.7,97878.0,284.0
01/24/2018,26.8,27.1,26.0,26.4,78343.0,197.0
01/25/2018,27.0,27.0,26.1,26.3,90226.0,243.0
01/28/2018,26.4,26.5,25.7,26.0,112788.0,185.0
01/29/2018,26.0,26.2,24.5,24.7,68643.0,152.0
01/30/2018,24.8,25.9,24.2,25.6,60765.0,162.0
01/31/2018,26.0,26.0,24.6,25.6,43919.0,132.0
02/01/2018,25.4,28.1,25.4,27.9,207524.0,379.0
02/04/2018,28.0,29.5,27.6,28.0,119358.0,281.0
02/05/2018,27.6,27.8,26.4,26.5,84076.0,195.0
02/06/2018,26.9,28.4,26.5,27.7,74643.0,239.0
02/07/2018,28.1,29.5,28.0,29.3,107497.0,293.0
02/08/2018,30.0,31.6,30.0,31.0,125396.0,287.0
02/11/2018,31.1,32.2,30.0,30.2,124819.0,298.0
02/12/2018,30.0,30.8,29.0,30.4,67221.0,195.0
02/13/2018,30.7,33.4,30.6,32.9,68349.0,215.0
02/14/2018,34.7,34.7,32.2,32.4,50267.0,152.0
02/15/2018,31.0,32.4,29.2,29.4,91256.0,305.0
02/18/2018,29.0,31.0,26.5,30.1,67314.0,220.0
02/19/2018,30.9,31.0,28.4,30.1,73877.0,262.0
02/20/2018,30.1,30.5,28.5,28.9,70547.0,182.0
02/22/2018,28.5,28.5,26.1,26.2,52757.0,166.0
02/25/2018,25.4,28.0,25.2,28.0,47151.0,221.0
02/26/2018,28.2,29.0,26.7,27.3,40720.0,164.0
02/27/2018,28.4,28.7,27.0,28.5,31261.0,83.0
02/28/2018,29.0,29.2,27.8,28.9,42077.0,115.0
03/01/2018,28.9,29.8,28.4,28.8,32782.0,112.0
03/04/2018,29.5,29.5,27.7,27.8,21565.0,69.0
03/05/2018,27.5,27.5,26.5,26.6,52907.0,137.0
03/06/2018,27.4,27.4,25.6,25.9,53439.0,184.0
03/07/2018,25.7,26.5,25.5,26.1,30845.0,57.0
03/08/2018,26.9,27.0,25.9,26.8,26414.0,79.0
03/11/2018,28.5,28.5,27.2,27.9,13473.0,89.0
03/12/2018,27.8,27.8,25.3,25.5,69991.0,161.0
03/13/2018,25.4,25.4,23.0,23.1,52992.0,131.0
