date,open,high,low,close,volume,trade
01/01/2018,11.5,11.8,11.0,11.7,369398.0,215.0
01/02/2018,11.7,11.8,11.3,11.4,49803.0,145.0
01/03/2018,11.6,11.9,11.4,11.8,453067.0,245.0
01/04/2018,12.0,12.0,11.5,11.8,411170.0,169.0
01/07/2018,11.8,12.1,11.7,12.0,594545.0,299.0
01/08/2018,12.1,12.4,12.0,12.1,454297.0,265.0
01/09/2018,12.0,12.1,12.0,12.0,309338.0,130.0
01/10/2018,12.0,12.3,12.0,12.1,257767.0,212.0
01/11/2018,12.1,12.3,12.0,12.1,288453.0,168.0
01/14/2018,12.1,12.4,12.0,12.1,350643.0,159.0
01/15/2018,12.0,12.1,11.4,11.6,289737.0,140.0
01/16/2018,11.6,12.0,11.6,11.8,620323.0,164.0
01/17/2018,11.8,12.0,11.4,11.5,325303.0,146.0
01/18/2018,11.6,11.7,11.4,11.6,273917.0,134.0
01/21/2018,11.7,12.1,11.7,12.0,232090.0,145.0
01/22/2018,12.6,12.6,11.8,11.9,221271.0,166.0
01/23/2018,11.8,12.0,11.8,11.9,144940.0,98.0
01/24/2018,11.8,12.0,11.7,11.8,58692.0,53.0
01/25/2018,12.0,12.0,11.1,11.4,165936.0,108.0
01/28/2018,12.0,12.1,11.0,11.3,2115662.0,711.0
01/29/2018,11.3,11.4,10.6,10.7,1061466.0,530.0
01/30/2018,11.1,11.8,11.1,11.4,1415902.0,712.0
01/31/2018,11.4,11.5,10.9,11.0,1296276.0,504.0
02/01/2018,11.2,11.3,10.9,11.0,1102798.0,394.0
02/04/2018,11.0,11.0,10.6,10.6,487314.0,277.0
02/05/2018,10.6,10.6,10.2,10.4,1440058.0,444.0
02/06/2018,10.5,10.7,10.5,10.6,712637.0,373.0
02/07/2018,10.7,10.7,10.4,10.4,810910.0,386.0
02/08/2018,10.6,10.6,10.3,10.4,473311.0,195.0
02/11/2018,10.3,11.3,10.3,11.2,1477314.0,525.0
02/12/2018,11.4,11.4,10.8,10.9,1251016.0,459.0
02/13/2018,11.0,11.6,10.9,11.5,1802035.0,550.0
02/14/2018,11.6,12.3,11.6,12.1,2930249.0,929.0
02/15/2018,12.2,13.0,12.0,12.4,4138939.0,1241.0
02/18/2018,12.6,13.4,12.4,13.2,4552100.0,1743.0
02/19/2018,13.3,13.4,12.9,13.0,2577545.0,726.0
02/20/2018,13.1,13.6,12.8,12.9,3346504.0,999.0
02/22/2018,13.2,13.2,12.5,12.6,1992578.0,641.0
02/25/2018,12.8,13.0,12.0,12.0,1619273.0,659.0
02/26/2018,12.0,12.2,11.7,11.8,1070151.0,413.0
02/27/2018,12.0,12.7,11.9,12.1,1929829.0,685.0
02/28/2018,12.2,12.5,12.0,12.0,1722382.0,540.0
03/01/2018,12.0,12.3,11.8,12.1,1626728.0,531.0
03/04/2018,12.3,12.5,12.0,12.0,1104606.0,439.0
03/05/2018,12.0,12.0,11.7,11.8,2035718.0,579.0
03/06/2018,11.9,12.3,11.7,12.0,1616698.0,529.0
03/07/2018,12.2,12.3,12.0,12.1,1615426.0,573.0
03/08/2018,12.2,12.2,12.0,12.0,650632.0,240.0
03/11/2018,12.2,12.2,11.8,11.9,804948.0,301.0
03/12/2018,11.9,12.0,11.5,11.6,686613.0,282.0
03/13/2018,11.8,11.8,11.0,11.2,993386.0,406.0
03/14/2018,11.5,11.5,11.2,11.3,824400.0,331.0
03/15/2018,11.3,11.7,11.1,11.6,871509.0,345.0
03/18/2018,11.7,11.8,11.4,11.5,779044.0,300.0
