date,open,high,low,close,volume,trade
01/01/2018,42.6,43.1,42.4,42.5,335246.0,536.0
01/02/2018,42.8,43.0,42.5,42.6,34456.0,541.0
01/03/2018,42.2,43.1,42.0,42.3,504154.0,748.0
01/04/2018,42.6,44.7,42.5,44.3,1002358.0,1384.0
01/07/2018,44.5,44.5,43.3,43.5,424192.0,672.0
01/08/2018,43.3,44.2,43.0,43.1,594598.0,903.0
01/09/2018,43.1,44.3,42.9,44.2,1102779.0,1585.0
01/10/2018,44.3,45.2,44.3,44.4,1298314.0,1635.0
01/11/2018,44.7,45.0,44.1,44.3,648304.0,876.0
01/14/2018,44.5,44.5,42.2,42.4,474480.0,811.0
01/15/2018,42.7,43.1,41.6,41.8,397505.0,652.0
01/16/2018,41.9,42.3,41.5,41.9,479822.0,650.0
01/17/2018,42.2,42.5,41.6,41.7,301689.0,477.0
01/18/2018,41.1,42.1,41.1,41.3,262646.0,493.0
01/21/2018,41.6,41.9,41.4,41.8,255903.0,417.0
01/22/2018,41.6,42.3,41.1,41.5,445697.0,699.0
01/23/2018,42.2,43.1,41.5,42.7,502610.0,732.0
01/24/2018,43.1,43.4,41.9,42.1,385533.0,632.0
01/25/2018,42.1,42.3,41.3,41.5,310843.0,518.0
01/28/2018,41.4,41.4,39.7,39.9,362488.0,598.0
01/29/2018,40.0,41.0,39.9,40.3,221553.0,407.0
01/30/2018,40.4,40.6,39.9,40.0,223673.0,315.0
01/31/2018,39.9,40.0,38.7,38.9,363152.0,630.0
02/01/2018,39.5,39.5,38.7,38.9,305861.0,435.0
02/04/2018,39.1,39.1,36.7,37.0,384082.0,627.0
02/05/2018,37.0,37.3,35.0,36.2,378679.0,548.0
02/06/2018,36.2,36.9,35.6,36.4,262677.0,505.0
02/07/2018,36.2,36.5,35.2,35.4,388227.0,617.0
02/08/2018,35.5,35.9,35.0,35.4,215698.0,362.0
02/11/2018,35.6,38.9,35.6,38.9,1151005.0,1373.0
02/12/2018,39.6,39.7,38.2,38.6,611580.0,1027.0
02/13/2018,38.7,40.7,38.5,40.1,986099.0,1387.0
02/14/2018,40.6,40.7,39.4,39.6,646416.0,864.0
02/15/2018,39.7,40.0,38.4,38.6,719110.0,1031.0
02/18/2018,38.8,40.2,38.8,39.3,607633.0,960.0
02/19/2018,39.6,42.2,39.5,41.8,1591259.0,2157.0
02/20/2018,42.1,42.5,39.5,40.0,891038.0,1198.0
02/22/2018,40.3,40.5,39.3,39.5,575653.0,841.0
02/25/2018,39.4,40.2,39.3,39.4,579634.0,822.0
02/26/2018,39.8,39.8,38.4,38.6,440343.0,659.0
02/27/2018,38.9,39.4,38.4,38.8,546013.0,628.0
02/28/2018,38.9,39.5,37.7,38.0,581316.0,782.0
03/01/2018,38.0,38.3,37.0,38.1,889653.0,1108.0
03/04/2018,38.3,39.4,38.2,38.8,514615.0,773.0
03/05/2018,39.0,40.5,38.8,39.9,1604351.0,1786.0
03/06/2018,40.2,41.0,40.0,40.2,1171011.0,1320.0
03/07/2018,40.4,40.7,39.7,39.8,725749.0,746.0
03/08/2018,39.9,40.6,39.7,40.1,685283.0,678.0
03/11/2018,40.2,40.3,38.9,39.1,317045.0,453.0
03/12/2018,39.1,39.3,37.7,38.0,538875.0,753.0
03/13/2018,38.1,38.3,36.5,36.8,415641.0,643.0
03/14/2018,36.9,37.7,36.5,36.7,436045.0,572.0
03/15/2018,37.0,37.8,36.7,37.2,350248.0,541.0
03/18/2018,37.7,38.2,37.2,37.7,492548.0,671.0
03/19/2018,38.0,38.1,37.0,37.1,445546.0,624.0
03/20/2018,37.2,37.6,36.6,36.7,420003.0,632.0
03/21/2018,36.8,36.8,35.5,35.6,492475.0,703.0
03/22/2018,35.5,36.1,34.8,35.3,498807.0,675.0
03/25/2018,35.6,36.6,34.7,35.1,480930.0,654.0
03/27/2018,35.2,35.2,33.7,33.9,336007.0,489.0
03/28/2018,34.3,34.4,33.5,33.8,369542.0,449.0
03/29/2018,34.1,34.9,33.9,34.2,456465.0,550.0
04/01/2018,34.8,36.0,34.7,35.3,668143.0,795.0
04/02/2018,35.6,35.9,35.0,35.7,747634.0,751.0
04/03/2018,35.9,38.0,35.9,37.1,1342818.0,1406.0
04/04/2018,37.1,38.0,36.5,36.6,817837.0,971.0
