date,open,high,low,close,volume,trade
02/02/2021,81.0,81.0,81.0,81.0,730.0,45.0
02/03/2021,117.0,117.0,95.0,100.2,4984891.0,25121.0
02/04/2021,100.0,100.0,90.2,90.2,1021287.0,5871.0
02/07/2021,81.2,87.5,81.2,81.7,2387823.0,11616.0
02/08/2021,82.0,86.0,81.3,83.0,1933175.0,5966.0
02/09/2021,85.0,91.3,84.4,91.3,1464209.0,4452.0
02/10/2021,95.0,97.8,92.6,94.1,2317946.0,6319.0
02/11/2021,94.5,94.7,87.3,88.5,2042115.0,5570.0
02/14/2021,88.0,88.8,81.5,82.7,1561923.0,4795.0
02/15/2021,82.0,87.7,82.0,86.3,1310084.0,3856.0
02/16/2021,84.6,88.3,82.5,82.8,1543636.0,4635.0
02/17/2021,84.0,85.7,81.7,84.1,1196480.0,3284.0
02/18/2021,85.7,85.7,81.4,81.7,996344.0,2956.0
02/22/2021,82.1,82.4,75.2,76.5,887823.0,2859.0
02/23/2021,76.0,78.3,73.6,74.3,763220.0,2513.0
02/24/2021,75.7,79.7,75.7,78.0,876043.0,2752.0
02/25/2021,78.2,79.8,76.3,77.3,980756.0,2827.0
02/28/2021,78.3,81.2,77.2,77.6,888047.0,2496.0
03/01/2021,78.0,80.5,77.5,80.1,716983.0,2316.0
03/02/2021,80.6,83.3,80.0,80.6,1188607.0,3046.0
03/03/2021,80.7,82.6,79.5,80.3,1012246.0,2420.0
03/04/2021,80.6,82.9,80.0,81.3,886667.0,2449.0
03/07/2021,81.6,82.3,80.0,80.4,700797.0,1856.0
03/08/2021,81.0,82.2,80.5,81.2,811856.0,1961.0
03/09/2021,81.7,86.4,81.7,83.8,2179996.0,4182.0
03/10/2021,84.0,84.7,82.1,82.7,746167.0,1706.0
03/11/2021,83.4,85.2,81.6,82.3,1294060.0,2892.0
03/14/2021,82.9,83.2,77.5,78.2,677885.0,2120.0
03/15/2021,78.1,79.4,77.0,78.8,623266.0,1744.0
03/16/2021,79.6,80.8,77.3,77.6,623675.0,1658.0
03/18/2021,77.8,78.4,76.4,76.8,876699.0,2570.0
03/21/2021,77.2,77.2,69.8,72.4,683245.0,1589.0
03/22/2021,72.7,73.5,69.4,71.9,615558.0,1736.0
03/23/2021,72.9,73.8,70.3,71.2,280190.0,1079.0
03/24/2021,71.2,71.3,65.7,67.3,602347.0,2635.0
03/25/2021,67.4,70.4,66.4,68.3,291216.0,972.0
03/28/2021,68.3,68.5,66.8,67.9,294106.0,960.0
03/29/2021,68.5,71.8,68.5,69.7,423221.0,1510.0
03/31/2021,69.2,69.2,66.7,66.9,304140.0,1094.0
04/01/2021,66.9,68.0,65.6,66.9,192191.0,766.0
04/04/2021,65.1,65.1,60.3,60.4,341442.0,1039.0
04/05/2021,61.3,63.0,61.3,62.4,88064.0,340.0
04/06/2021,61.5,64.9,61.5,64.4,393510.0,938.0
04/07/2021,66.0,67.5,64.5,65.2,246354.0,676.0
04/08/2021,62.2,63.8,61.1,61.8,247783.0,820.0
04/11/2021,61.2,61.2,58.5,58.7,216882.0,742.0
04/12/2021,59.8,61.0,58.0,58.3,200042.0,672.0
04/13/2021,59.5,61.8,56.0,61.4,141955.0,541.0
04/15/2021,61.5,64.0,61.5,63.5,216301.0,625.0
04/18/2021,63.0,63.7,60.6,61.7,243306.0,683.0
04/19/2021,62.9,62.9,61.5,61.9,203778.0,588.0
04/20/2021,61.5,64.7,61.5,64.2,303152.0,714.0
04/21/2021,65.3,66.8,64.0,64.6,253484.0,802.0
04/22/2021,65.0,65.0,63.0,63.3,218001.0,592.0
04/25/2021,63.7,65.4,63.1,63.9,434255.0,1072.0
04/26/2021,64.5,65.4,63.6,63.7,253342.0,1124.0
04/27/2021,63.8,63.8,61.8,62.2,278150.0,840.0
04/28/2021,61.7,64.8,61.7,63.8,277741.0,782.0
04/29/2021,64.8,64.9,63.0,63.5,437801.0,710.0
05/02/2021,63.0,64.3,62.3,62.7,273148.0,921.0
05/03/2021,63.0,63.5,61.4,61.7,256981.0,771.0
05/04/2021,62.3,62.6,60.3,60.6,241041.0,884.0
05/05/2021,61.0,61.9,60.6,60.9,266613.0,862.0
05/06/2021,61.5,65.8,60.9,65.3,781125.0,1820.0
05/09/2021,65.7,70.4,64.5,68.8,1146119.0,2089.0
05/11/2021,69.3,69.3,66.8,66.9,490290.0,1126.0
05/12/2021,68.0,73.5,68.0,73.2,1587781.0,2516.0
05/16/2021,74.2,76.7,72.8,76.1,858042.0,1585.0
05/17/2021,75.8,75.8,69.5,70.0,1039221.0,2216.0
05/18/2021,70.6,73.9,68.2,71.3,830991.0,1582.0
05/19/2021,70.6,72.9,68.9,69.9,427362.0,1048.0
05/20/2021,69.5,71.3,68.1,68.4,471540.0,1195.0
05/23/2021,69.0,72.6,68.0,71.6,735577.0,1732.0
05/24/2021,72.7,75.0,72.5,73.3,866585.0,1850.0
05/25/2021,73.6,74.1,70.7,71.2,649206.0,1359.0
05/27/2021,71.2,71.9,68.6,69.6,637457.0,1271.0
05/30/2021,71.0,71.0,66.7,67.2,1074109.0,2189.0
05/31/2021,68.0,69.0,66.0,68.5,923872.0,2033.0
06/01/2021,68.6,72.2,68.5,69.7,907630.0,1992.0
06/02/2021,69.2,70.0,68.6,68.8,389583.0,902.0
06/03/2021,69.5,71.9,68.6,70.8,958974.0,1658.0
06/06/2021,72.1,73.9,70.8,71.1,915063.0,2012.0
06/07/2021,72.4,76.5,70.6,73.6,1410576.0,2590.0
06/08/2021,74.1,74.8,71.9,73.6,537910.0,1111.0
06/09/2021,74.1,80.9,74.1,79.5,3259972.0,4538.0
06/10/2021,81.0,87.4,81.0,87.4,2624614.0,2896.0
06/13/2021,89.4,94.3,85.2,91.0,2545470.0,3473.0
06/14/2021,92.0,96.0,88.7,92.6,2381147.0,3296.0
06/15/2021,92.6,101.8,92.6,101.8,3327054.0,3979.0
06/16/2021,105.0,105.0,95.3,96.5,1645838.0,3349.0
06/17/2021,96.0,98.5,89.1,91.4,1177148.0,2195.0
06/20/2021,90.0,96.0,89.4,93.5,1365853.0,2181.0
06/21/2021,94.0,95.5,88.7,89.3,914407.0,1791.0
06/22/2021,89.7,89.9,85.9,87.4,936157.0,1698.0
06/23/2021,88.4,92.5,84.3,85.1,804478.0,1549.0
06/24/2021,85.1,89.0,83.6,87.0,1313073.0,2055.0
06/27/2021,85.1,86.8,82.8,83.4,453458.0,1092.0
06/28/2021,83.7,85.0,81.1,81.4,517773.0,1090.0
06/29/2021,82.8,82.8,79.0,80.0,360653.0,837.0
06/30/2021,80.5,83.6,80.0,82.1,657916.0,1326.0
07/05/2021,82.6,85.2,82.6,83.6,538424.0,1132.0
07/06/2021,83.8,84.3,80.6,81.2,589927.0,1136.0
07/07/2021,82.2,85.2,81.1,83.3,693742.0,1369.0
07/08/2021,85.3,86.4,84.5,85.4,795259.0,1913.0
07/12/2021,85.9,85.9,82.6,84.2,536126.0,845.0
07/13/2021,84.4,84.9,82.0,82.3,750701.0,1225.0
07/14/2021,82.2,83.0,80.6,81.0,622626.0,1264.0
07/15/2021,81.9,85.3,81.0,85.0,821147.0,1280.0
07/18/2021,85.0,92.8,85.0,89.9,2212619.0,2856.0
07/19/2021,88.1,91.0,87.3,88.5,768519.0,1262.0
07/25/2021,88.5,92.0,87.8,90.8,898263.0,1565.0
07/26/2021,91.2,91.9,88.0,88.6,726342.0,1153.0
07/27/2021,89.0,89.0,85.3,85.9,659817.0,1099.0
07/28/2021,85.9,88.9,85.4,88.0,724198.0,1039.0
07/29/2021,88.1,91.8,88.1,89.7,972197.0,1744.0
08/02/2021,91.8,94.1,90.1,92.1,1897759.0,2452.0
08/03/2021,93.5,95.4,91.3,91.7,1620340.0,2275.0
08/05/2021,91.8,93.8,91.0,91.3,1207679.0,1634.0
08/09/2021,92.0,92.0,88.4,89.4,1585519.0,2192.0
08/10/2021,90.1,91.8,88.5,91.0,885157.0,1432.0
08/11/2021,91.4,94.4,91.0,93.1,2109028.0,2666.0
08/12/2021,93.8,95.7,92.0,93.3,1520925.0,2112.0
08/16/2021,93.0,95.4,91.0,91.7,1339685.0,1801.0
08/17/2021,92.3,93.0,90.5,90.7,863702.0,1198.0
08/18/2021,91.4,92.9,90.0,91.3,725207.0,1245.0
08/19/2021,92.0,92.7,90.6,91.1,434711.0,764.0
08/22/2021,90.7,94.4,90.3,92.9,1459964.0,1751.0
08/23/2021,94.6,99.6,94.6,97.1,2892608.0,3336.0
08/24/2021,97.7,97.9,94.1,94.6,1158212.0,1690.0
08/25/2021,95.0,96.2,92.5,93.0,1113548.0,1853.0
08/26/2021,93.7,94.9,92.6,93.4,663841.0,1001.0
08/29/2021,94.4,96.0,93.6,94.0,1053302.0,1493.0
08/31/2021,94.3,94.7,92.1,92.4,696308.0,1176.0
09/01/2021,92.6,93.4,92.0,92.9,787230.0,1172.0
09/02/2021,93.3,95.2,92.2,92.5,948458.0,1376.0
09/05/2021,92.9,94.4,92.6,92.8,857303.0,1093.0
09/06/2021,93.4,97.3,93.4,96.1,1928073.0,2362.0
09/07/2021,97.0,103.0,96.3,101.2,2285103.0,3238.0
09/08/2021,102.8,103.0,97.2,98.7,2040794.0,2448.0
09/09/2021,97.4,99.8,96.8,97.9,694083.0,1033.0
09/12/2021,97.3,101.0,94.2,95.2,873266.0,1522.0
09/13/2021,95.2,96.5,94.0,94.3,797336.0,1183.0
09/14/2021,95.0,95.8,91.9,92.4,660640.0,1179.0
09/15/2021,93.1,94.3,92.2,93.3,481284.0,858.0
09/16/2021,94.0,94.5,91.6,92.1,394130.0,887.0
09/19/2021,91.8,92.8,89.5,89.8,395995.0,985.0
09/20/2021,89.8,91.7,89.3,90.9,339201.0,693.0
09/21/2021,90.9,92.3,90.0,90.5,370270.0,852.0
09/22/2021,90.8,91.4,88.4,89.0,610339.0,1169.0
09/23/2021,89.3,90.0,87.3,87.6,663050.0,1252.0
09/26/2021,87.5,90.3,87.5,88.2,422714.0,736.0
09/27/2021,89.0,91.5,89.0,89.6,587547.0,1069.0
09/28/2021,88.6,90.7,88.1,88.6,707655.0,1156.0
09/29/2021,89.6,90.1,87.5,87.9,665335.0,1140.0
09/30/2021,88.0,90.7,87.7,89.6,572524.0,1189.0
10/03/2021,90.0,91.8,89.7,91.3,629873.0,1240.0
10/04/2021,91.5,93.5,88.5,89.4,1142160.0,1513.0
10/05/2021,89.4,90.9,88.7,89.3,424468.0,950.0
10/06/2021,90.0,94.3,89.7,93.5,1856278.0,2268.0
10/07/2021,93.5,94.0,90.3,90.7,504970.0,926.0
10/10/2021,91.7,95.6,90.7,94.0,1416860.0,1663.0
10/11/2021,94.8,94.8,91.5,92.1,291732.0,588.0
10/12/2021,92.9,92.9,88.0,88.6,580287.0,1241.0
10/13/2021,88.7,90.3,87.1,87.6,265063.0,675.0
10/14/2021,87.0,89.2,86.8,87.4,214658.0,782.0
10/17/2021,88.8,90.3,86.0,86.4,197748.0,627.0
10/18/2021,86.4,86.9,82.4,83.7,215164.0,780.0
10/19/2021,84.6,86.9,81.5,84.0,183817.0,603.0
10/21/2021,84.7,85.0,82.6,83.3,69567.0,305.0
10/24/2021,83.4,85.9,80.4,81.0,123790.0,451.0
10/25/2021,82.8,82.8,75.4,77.4,247369.0,457.0
10/26/2021,79.5,85.1,78.9,84.2,220399.0,676.0
10/27/2021,79.0,79.0,75.1,76.3,538775.0,1274.0
10/28/2021,78.0,78.0,72.6,73.9,591746.0,1093.0
10/31/2021,75.5,77.0,74.7,75.0,159643.0,489.0
11/01/2021,75.5,76.3,73.6,73.9,192717.0,495.0
11/02/2021,75.2,75.2,74.0,74.5,151965.0,449.0
11/03/2021,74.5,75.5,73.6,73.9,129986.0,269.0
11/04/2021,74.9,74.9,73.2,73.6,166638.0,287.0
