date,open,high,low,close,volume,trade
01/01/2018,27.0,27.2,26.5,27.1,12993.0,29.0
01/02/2018,27.1,27.1,27.1,27.1,400.0,60.0
01/03/2018,27.8,28.0,27.3,27.4,40480.0,61.0
01/04/2018,27.5,28.0,27.5,27.9,27716.0,101.0
01/07/2018,28.0,28.3,27.6,28.0,66223.0,130.0
01/08/2018,28.0,28.3,27.8,27.9,22515.0,81.0
01/09/2018,28.6,28.6,27.9,28.2,42340.0,93.0
01/10/2018,28.5,28.9,28.4,28.6,64282.0,140.0
01/11/2018,28.6,28.9,28.0,28.6,95904.0,138.0
01/14/2018,28.9,31.3,28.9,29.5,452618.0,732.0
01/15/2018,29.6,29.6,28.6,29.0,71930.0,146.0
01/16/2018,28.8,29.3,28.8,29.1,88247.0,161.0
01/17/2018,29.2,29.2,28.5,28.5,51854.0,117.0
01/18/2018,28.8,29.7,28.6,29.4,134726.0,234.0
01/21/2018,29.5,30.4,29.5,30.0,251240.0,366.0
01/22/2018,30.1,30.2,28.9,29.4,143178.0,181.0
01/23/2018,29.4,29.6,28.7,28.8,86974.0,207.0
01/24/2018,29.0,29.0,27.9,28.1,141152.0,339.0
01/25/2018,29.0,29.0,27.9,28.1,141152.0,0.0
01/28/2018,28.1,28.1,27.3,27.5,35950.0,75.0
01/29/2018,27.5,27.9,27.4,27.7,35283.0,70.0
01/30/2018,27.7,28.2,27.6,28.2,17784.0,57.0
01/31/2018,28.0,28.2,26.8,27.0,45693.0,110.0
02/01/2018,27.0,27.0,26.5,26.8,52972.0,119.0
02/04/2018,26.9,26.9,25.9,26.0,35997.0,99.0
02/05/2018,26.4,27.2,25.0,25.7,77519.0,141.0
02/06/2018,25.9,26.6,25.9,26.3,55841.0,101.0
02/07/2018,26.3,26.9,26.3,26.8,27155.0,73.0
02/08/2018,26.9,27.4,26.0,26.2,54616.0,87.0
02/11/2018,27.4,27.6,26.5,27.4,47486.0,107.0
02/12/2018,28.1,30.0,28.1,28.6,117626.0,248.0
02/13/2018,28.9,30.9,28.9,30.7,385237.0,639.0
02/14/2018,30.9,32.5,30.5,30.6,179689.0,411.0
02/15/2018,31.1,31.1,30.5,30.7,100720.0,152.0
02/18/2018,30.5,30.8,30.1,30.3,106863.0,227.0
02/19/2018,30.5,31.6,30.3,30.5,76831.0,165.0
02/20/2018,31.4,31.4,30.1,30.5,53046.0,99.0
02/22/2018,30.4,30.4,28.1,29.6,64613.0,94.0
02/25/2018,29.1,29.2,28.6,28.7,37378.0,99.0
02/26/2018,29.2,29.2,28.3,28.5,30491.0,49.0
02/27/2018,28.7,28.7,28.0,28.1,33911.0,90.0
02/28/2018,28.1,28.6,27.8,28.5,37185.0,74.0
03/01/2018,28.5,29.9,28.1,28.6,89824.0,157.0
03/04/2018,29.8,29.8,28.6,28.8,11983.0,45.0
03/05/2018,29.6,29.6,28.0,28.1,37855.0,77.0
03/06/2018,28.8,28.8,28.0,28.1,78080.0,85.0
03/07/2018,27.9,28.8,27.9,28.1,33956.0,69.0
03/08/2018,28.5,28.5,27.9,28.1,25138.0,50.0
03/11/2018,28.7,28.7,27.7,27.9,21871.0,56.0
03/12/2018,28.7,28.7,27.2,27.3,26390.0,64.0
03/13/2018,27.3,27.3,26.3,26.3,38834.0,104.0
03/14/2018,27.0,27.3,27.0,27.1,7090.0,26.0
03/15/2018,27.2,28.2,26.8,28.1,23795.0,65.0
