date,open,high,low,close,volume,trade
01/01/2018,102.5,103.4,102.4,102.7,48709.0,139.0
01/02/2018,103.4,103.8,103.2,103.3,7778.0,341.0
01/03/2018,104.1,105.7,104.1,105.0,45869.0,217.0
01/04/2018,105.1,109.6,105.1,109.1,554926.0,1189.0
01/07/2018,109.0,109.0,106.4,107.1,102387.0,238.0
01/08/2018,106.2,107.6,104.8,105.9,124486.0,328.0
01/09/2018,105.8,107.1,105.6,107.0,25720.0,172.0
01/10/2018,107.6,107.6,105.6,105.9,65910.0,222.0
01/11/2018,105.9,107.6,105.0,105.8,41343.0,139.0
01/14/2018,105.0,107.4,103.9,105.3,63253.0,202.0
01/15/2018,104.8,104.9,102.2,103.1,87511.0,235.0
01/16/2018,102.6,104.2,102.6,103.5,62764.0,262.0
01/17/2018,104.6,106.3,103.0,103.7,43596.0,166.0
01/18/2018,103.8,104.2,103.0,103.9,18596.0,160.0
01/21/2018,103.8,104.5,103.0,103.2,153868.0,217.0
01/22/2018,103.6,104.0,103.0,103.2,245815.0,403.0
01/23/2018,104.3,108.5,103.3,107.5,570453.0,1232.0
01/24/2018,106.5,107.5,106.0,107.0,175899.0,424.0
01/25/2018,106.9,107.6,106.7,107.0,188949.0,361.0
01/28/2018,106.7,106.7,104.8,106.2,147367.0,297.0
01/29/2018,105.5,108.4,105.0,107.5,230698.0,364.0
01/30/2018,106.2,109.0,105.9,106.5,215514.0,384.0
01/31/2018,106.5,108.3,101.5,103.6,260648.0,500.0
02/01/2018,102.9,103.9,102.1,103.1,208933.0,449.0
02/04/2018,102.9,104.0,101.2,103.2,290183.0,403.0
02/05/2018,103.2,107.6,101.4,104.4,264831.0,523.0
02/06/2018,103.1,106.1,103.1,104.6,64245.0,250.0
02/07/2018,103.2,105.0,103.0,104.6,206173.0,365.0
02/08/2018,105.4,106.1,103.3,104.4,73637.0,122.0
02/11/2018,103.6,105.7,103.6,105.4,78400.0,225.0
02/12/2018,105.7,106.4,105.0,106.2,144571.0,237.0
02/13/2018,105.0,106.5,104.6,104.9,63911.0,179.0
02/14/2018,104.4,106.4,104.4,105.9,159570.0,360.0
02/15/2018,105.0,106.4,104.6,104.8,50404.0,180.0
02/18/2018,104.5,104.5,103.0,103.4,73907.0,248.0
02/19/2018,103.9,104.8,102.9,103.5,100436.0,332.0
02/20/2018,103.8,103.8,103.1,103.3,63152.0,232.0
02/22/2018,103.3,104.7,102.9,103.0,50956.0,176.0
02/25/2018,102.8,103.8,102.3,102.5,92391.0,191.0
02/26/2018,102.4,103.5,102.1,102.6,111442.0,383.0
02/27/2018,103.7,105.2,102.0,103.0,126157.0,259.0
02/28/2018,104.1,105.0,102.2,103.3,235442.0,407.0
03/01/2018,103.3,105.1,102.9,104.7,184247.0,360.0
03/04/2018,103.9,106.4,103.9,106.1,167113.0,599.0
03/05/2018,104.4,106.7,104.4,105.0,78768.0,259.0
03/06/2018,105.2,106.7,104.4,104.7,84266.0,248.0
03/07/2018,104.8,105.0,104.6,104.8,44321.0,123.0
03/08/2018,104.5,105.1,104.0,104.7,31473.0,125.0
03/11/2018,104.4,105.3,103.9,104.9,43561.0,119.0
03/12/2018,103.9,105.3,102.8,103.6,108323.0,268.0
03/13/2018,103.0,105.6,101.4,104.1,105281.0,207.0
03/14/2018,104.7,105.5,102.9,103.5,82932.0,189.0
03/15/2018,102.9,104.5,102.6,103.8,59964.0,185.0
03/18/2018,104.6,104.7,103.0,104.0,60603.0,188.0
03/19/2018,103.4,104.1,102.6,102.9,44255.0,126.0
03/20/2018,102.5,103.3,101.5,102.2,92025.0,254.0
03/21/2018,101.6,102.6,100.7,101.2,91014.0,214.0
03/22/2018,100.7,101.1,97.2,99.2,158063.0,431.0
03/25/2018,99.4,100.0,98.6,98.7,59438.0,179.0
