date,open,high,low,close,volume,trade
01/01/2018,62.6,64.0,61.5,62.4,174996.0,565.0
01/02/2018,63.6,63.6,62.3,62.4,25145.0,542.0
01/03/2018,63.1,64.1,62.2,63.0,221555.0,682.0
01/04/2018,63.2,67.8,63.2,67.6,554009.0,1693.0
01/07/2018,67.8,68.3,65.1,65.5,304561.0,867.0
01/08/2018,66.1,66.2,63.1,63.6,276034.0,887.0
01/09/2018,64.3,64.8,63.4,64.1,186424.0,628.0
01/10/2018,64.9,64.9,63.1,63.4,128717.0,498.0
01/11/2018,64.3,64.3,62.9,63.3,135808.0,463.0
01/14/2018,64.2,65.4,63.3,64.4,339820.0,1094.0
01/15/2018,65.2,66.0,63.4,63.6,247095.0,834.0
01/16/2018,64.3,64.5,63.4,63.7,131714.0,469.0
01/17/2018,64.6,64.6,62.6,62.7,160436.0,608.0
01/18/2018,61.5,63.5,61.5,62.0,147174.0,486.0
01/21/2018,62.9,64.1,62.1,63.8,174061.0,500.0
01/22/2018,64.1,65.9,64.1,65.3,485936.0,1296.0
01/23/2018,66.1,71.8,66.1,71.4,1702508.0,3702.0
01/24/2018,70.8,74.8,70.3,73.8,1018440.0,2612.0
01/25/2018,72.9,76.2,72.7,74.5,1082498.0,2403.0
01/28/2018,74.8,76.3,71.7,72.3,765995.0,1856.0
01/29/2018,73.4,78.3,73.4,77.0,1254144.0,2651.0
01/30/2018,78.0,81.7,78.0,81.4,1110413.0,2496.0
01/31/2018,82.4,83.7,79.4,80.1,1002834.0,2307.0
02/01/2018,87.3,88.1,82.7,88.0,2202837.0,2723.0
02/04/2018,89.2,90.2,83.9,85.3,1048434.0,2573.0
02/05/2018,85.3,86.3,81.3,82.9,1280989.0,2631.0
02/06/2018,83.1,85.1,81.5,83.3,559100.0,1621.0
02/07/2018,83.2,85.9,81.8,84.8,971041.0,2614.0
02/08/2018,85.0,90.0,85.0,87.1,1440389.0,3154.0
02/11/2018,87.3,88.6,84.1,84.7,1703456.0,3583.0
02/12/2018,85.3,87.9,84.3,85.6,1261199.0,2681.0
02/13/2018,85.6,89.9,84.7,89.4,1167340.0,2851.0
02/14/2018,89.9,94.0,89.9,92.0,1399828.0,2946.0
02/15/2018,92.3,97.5,91.3,95.8,1432546.0,3180.0
02/18/2018,97.0,99.3,94.9,95.6,952291.0,2342.0
02/19/2018,95.6,98.8,95.5,95.9,843315.0,2014.0
02/20/2018,96.6,97.6,92.0,93.1,746538.0,1770.0
02/22/2018,93.4,95.7,93.2,94.9,444795.0,1380.0
02/25/2018,95.7,97.1,94.5,95.2,634880.0,1762.0
02/26/2018,95.7,95.7,91.2,92.0,463410.0,1290.0
02/27/2018,92.9,93.6,89.7,90.6,330511.0,1045.0
02/28/2018,90.9,96.4,89.9,95.4,822793.0,2108.0
03/01/2018,96.9,103.4,96.9,101.8,1189895.0,2966.0
03/04/2018,102.7,104.2,100.3,101.0,861848.0,2261.0
03/05/2018,102.4,107.8,102.0,105.1,1429064.0,3273.0
03/06/2018,105.6,107.4,103.6,104.3,1092387.0,2478.0
03/07/2018,105.6,107.6,103.2,104.3,1027995.0,2474.0
03/08/2018,104.5,106.7,103.7,106.0,967488.0,2351.0
03/11/2018,106.6,108.2,102.2,103.8,1057499.0,2938.0
03/12/2018,103.5,104.4,93.7,94.6,2063681.0,4758.0
03/13/2018,94.8,95.8,88.7,91.3,1288289.0,3330.0
03/14/2018,92.9,95.5,92.3,94.5,1064881.0,2494.0
03/15/2018,94.4,97.6,93.6,96.2,1215688.0,2650.0
03/18/2018,97.5,98.5,94.4,95.4,982142.0,2720.0
03/19/2018,95.1,95.4,90.6,91.2,805471.0,2568.0
03/20/2018,91.2,94.5,88.7,93.6,677340.0,2116.0
03/21/2018,94.4,95.0,91.7,92.0,500517.0,1741.0
03/22/2018,90.9,93.2,89.4,91.1,555969.0,1529.0
03/25/2018,93.0,93.5,91.0,92.6,468247.0,1300.0
03/27/2018,92.2,95.7,91.3,94.3,688795.0,2027.0
03/28/2018,94.4,95.5,93.0,93.8,469882.0,1499.0
03/29/2018,93.8,95.0,92.4,92.9,443979.0,1414.0
04/01/2018,94.3,100.9,94.3,99.2,1093498.0,2844.0
04/02/2018,99.6,101.3,96.6,97.3,1003851.0,2537.0
04/03/2018,97.3,101.0,96.6,98.0,993475.0,2330.0
04/04/2018,99.7,104.8,99.7,102.9,1075759.0,2986.0
04/05/2018,103.6,106.2,102.8,103.7,954716.0,2543.0
04/08/2018,104.2,113.3,104.2,111.7,1313379.0,2945.0
04/09/2018,113.3,113.4,107.5,108.2,1019050.0,2976.0
04/10/2018,109.8,111.9,107.5,108.0,1310916.0,2814.0
04/11/2018,108.2,111.7,108.0,108.9,1395419.0,3169.0
04/12/2018,109.2,109.9,98.6,99.4,2563079.0,6063.0
04/15/2018,99.3,102.7,95.8,100.5,972003.0,2683.0
04/16/2018,100.8,101.4,98.6,100.5,733316.0,2393.0
04/17/2018,100.5,102.7,98.7,99.5,703843.0,2414.0
04/18/2018,99.7,100.2,95.7,96.3,862167.0,3009.0
04/19/2018,96.5,99.0,95.7,98.3,710915.0,2373.0
04/22/2018,98.1,99.9,97.3,98.3,456653.0,1814.0
04/23/2018,97.7,99.8,96.9,97.3,632676.0,2295.0
04/24/2018,97.3,97.3,91.3,92.1,810585.0,2863.0
04/25/2018,92.1,95.7,91.5,94.4,457711.0,1730.0
04/26/2018,94.6,95.5,92.3,94.7,567595.0,1506.0
04/30/2018,93.3,94.7,89.1,89.4,647086.0,1891.0
05/03/2018,94.4,98.3,90.9,98.2,675613.0,2151.0
05/06/2018,99.7,101.3,94.8,95.5,1137686.0,2680.0
05/07/2018,95.3,96.5,92.7,93.6,392459.0,1214.0
05/08/2018,94.3,95.5,91.7,92.4,370508.0,1309.0
05/09/2018,93.6,95.1,92.4,92.9,393157.0,1288.0
05/10/2018,93.6,94.1,92.0,92.4,197836.0,727.0
05/13/2018,93.6,93.6,90.8,91.2,199442.0,727.0
05/14/2018,92.3,94.0,91.8,92.4,247973.0,1135.0
05/15/2018,93.1,97.0,93.1,95.6,696487.0,2190.0
05/16/2018,96.4,98.7,95.8,98.3,1131451.0,2755.0
05/17/2018,98.6,101.2,98.6,100.3,1316176.0,2984.0
05/20/2018,100.1,104.9,100.0,103.8,936890.0,2761.0
05/21/2018,104.5,107.9,103.5,104.8,1005268.0,2737.0
05/22/2018,105.5,105.5,100.3,101.8,721139.0,1918.0
05/23/2018,101.8,106.1,100.1,101.4,701528.0,1871.0
05/24/2018,101.4,103.0,99.7,102.4,587316.0,1642.0
05/27/2018,103.5,104.8,99.7,100.6,525643.0,1572.0
05/28/2018,100.6,104.2,100.6,103.2,599637.0,1537.0
05/29/2018,104.7,113.3,104.7,110.7,1806960.0,3784.0
05/30/2018,110.7,112.2,106.6,107.1,1095593.0,2311.0
05/31/2018,107.2,110.5,105.1,109.7,953948.0,2534.0
06/03/2018,111.1,117.4,111.1,115.7,1614332.0,3910.0
06/04/2018,116.1,118.1,113.6,114.3,993273.0,2681.0
06/05/2018,114.7,121.0,113.9,118.2,1189163.0,2800.0
06/06/2018,118.9,121.7,116.4,118.0,1172854.0,2508.0
06/07/2018,118.2,119.5,114.1,116.3,696763.0,1801.0
06/10/2018,117.5,125.5,117.5,123.0,1298491.0,3008.0
06/11/2018,124.5,128.7,124.0,127.3,959950.0,2483.0
06/12/2018,128.7,137.6,128.7,136.6,1227683.0,3100.0
06/18/2018,136.6,150.2,136.4,150.2,605756.0,1339.0
06/19/2018,153.8,163.4,153.8,162.2,1288615.0,2888.0
06/20/2018,164.3,176.3,157.3,176.3,778267.0,2688.0
06/21/2018,181.7,191.7,181.7,191.7,553743.0,1366.0
06/24/2018,195.8,199.5,175.0,190.7,1018012.0,3674.0
06/25/2018,193.0,202.7,182.5,188.6,1154463.0,3920.0
06/26/2018,192.2,199.3,184.7,194.5,1113709.0,3627.0
06/27/2018,196.4,208.4,196.4,204.0,1256170.0,3555.0
06/28/2018,209.8,216.8,207.8,213.9,1143663.0,3901.0
07/02/2018,216.8,228.7,210.5,217.1,1259209.0,3790.0
07/03/2018,218.2,219.5,198.7,202.7,963047.0,3792.0
07/04/2018,204.9,218.2,202.8,205.8,996711.0,3168.0
07/05/2018,210.6,214.5,206.3,210.6,865184.0,2649.0
07/08/2018,212.2,215.4,192.3,199.9,808895.0,2630.0
07/09/2018,200.8,203.4,193.5,197.8,444551.0,1802.0
07/10/2018,202.1,215.0,202.1,215.0,648563.0,1403.0
07/11/2018,216.8,233.8,216.8,233.8,420482.0,825.0
07/12/2018,254.3,254.3,234.3,238.5,983432.0,3163.0
07/15/2018,246.2,258.0,241.3,244.8,741565.0,2551.0
07/16/2018,248.5,251.7,234.5,236.0,750548.0,3433.0
07/17/2018,241.0,256.6,236.4,254.6,857412.0,3374.0
07/18/2018,269.2,272.7,258.7,270.6,785237.0,3155.0
07/19/2018,265.0,271.0,255.3,259.0,804769.0,2974.0
07/22/2018,259.0,264.3,253.1,255.7,594236.0,2214.0
07/23/2018,257.3,263.8,254.0,257.1,676158.0,2123.0
07/24/2018,257.8,263.9,250.3,253.9,533660.0,1805.0
07/25/2018,257.3,258.0,231.8,234.5,678537.0,2919.0
07/26/2018,234.5,235.0,214.8,217.3,944709.0,3484.0
07/29/2018,218.5,236.4,214.4,236.4,357910.0,1528.0
07/30/2018,241.3,254.5,241.3,243.3,594313.0,
07/31/2018,244.8,247.6,227.3,230.1,544057.0,2319.0
08/01/2018,232.9,236.9,224.1,230.1,311198.0,1509.0
08/02/2018,232.9,236.4,229.4,232.6,297085.0,1594.0
08/05/2018,234.3,237.0,220.5,223.2,297108.0,1626.0
08/06/2018,224.3,232.2,221.2,227.3,420635.0,1438.0
08/07/2018,230.8,241.3,230.8,235.2,354813.0,1799.0
08/08/2018,240.5,247.6,237.8,245.7,632742.0,2643.0
08/09/2018,249.7,255.2,237.8,242.9,617668.0,2685.0
08/12/2018,243.4,244.2,225.4,227.6,522347.0,2577.0
08/13/2018,228.0,233.6,223.8,228.4,295220.0,1354.0
08/14/2018,230.8,234.0,222.0,225.5,227089.0,1436.0
08/16/2018,228.7,233.9,226.9,227.5,290171.0,1521.0
08/19/2018,209.9,209.9,207.6,207.6,7656.0,79.0
08/20/2018,189.5,189.5,189.5,189.5,56110.0,163.0
08/26/2018,173.4,206.0,173.4,205.2,194753.0,1073.0
08/27/2018,208.0,209.7,198.1,199.8,138994.0,971.0
08/28/2018,202.8,202.9,189.9,190.6,157078.0,1181.0
