date,open,high,low,close,volume,trade
06/13/2021,11.0,11.0,11.0,11.0,1501.0,2.0
06/14/2021,12.1,12.1,12.1,12.1,62100.0,9.0
06/15/2021,13.3,13.3,13.3,13.3,4260.0,10.0
06/16/2021,14.6,14.6,14.6,14.6,1735.0,10.0
06/17/2021,16.0,16.0,16.0,16.0,14300.0,9.0
06/20/2021,17.6,17.6,17.6,17.6,8208.0,8.0
06/21/2021,19.3,19.3,19.3,19.3,1356235.0,266.0
06/22/2021,21.2,21.2,20.9,21.2,2184231.0,773.0
06/23/2021,23.3,23.3,23.2,23.3,2614521.0,759.0
06/24/2021,25.5,25.6,25.1,25.6,1767117.0,781.0
06/27/2021,28.1,28.1,27.5,28.1,663230.0,504.0
06/28/2021,30.9,30.9,30.9,30.9,122030.0,53.0
06/29/2021,33.9,33.9,33.9,33.9,306564.0,90.0
06/30/2021,37.2,37.2,30.6,30.6,2787446.0,1929.0
07/05/2021,27.6,28.1,27.6,27.6,696868.0,384.0
07/06/2021,24.9,30.0,24.9,26.5,2431602.0,1573.0
07/07/2021,27.7,27.9,25.5,25.9,793865.0,755.0
07/08/2021,26.6,26.6,25.3,25.5,1002609.0,953.0
07/12/2021,25.6,25.6,23.6,23.9,1252398.0,1328.0
07/13/2021,24.0,24.7,23.3,23.5,1024661.0,1026.0
07/14/2021,23.9,25.8,23.6,25.8,1436323.0,1135.0
07/15/2021,26.6,27.7,25.8,26.1,1064448.0,993.0
07/18/2021,26.2,26.3,24.4,24.9,815559.0,840.0
07/19/2021,25.0,25.4,24.5,24.8,487224.0,473.0
07/25/2021,25.3,25.3,23.5,23.7,537153.0,617.0
07/26/2021,23.9,24.4,23.6,23.8,321171.0,367.0
07/27/2021,24.3,24.8,23.8,24.1,356115.0,340.0
07/28/2021,24.3,24.6,23.7,23.9,456007.0,447.0
07/29/2021,24.3,24.3,23.5,23.7,303271.0,351.0
08/02/2021,24.1,24.4,23.8,23.9,609281.0,488.0
08/03/2021,24.3,25.8,24.2,25.7,1231916.0,1174.0
08/05/2021,26.2,26.7,25.7,26.0,986288.0,807.0
08/09/2021,26.5,26.5,25.5,26.1,1169823.0,762.0
08/10/2021,26.3,26.6,25.7,25.8,785651.0,669.0
08/11/2021,25.8,25.9,25.1,25.6,436647.0,357.0
08/12/2021,25.5,26.0,25.4,25.7,609629.0,461.0
08/16/2021,26.0,26.0,25.2,25.5,518184.0,417.0
08/17/2021,25.8,25.8,24.0,24.5,593485.0,570.0
08/18/2021,24.9,25.9,24.3,25.4,505361.0,422.0
08/19/2021,26.0,26.0,24.7,24.8,288127.0,317.0
08/22/2021,25.1,26.0,24.8,25.0,876476.0,626.0
08/23/2021,25.6,25.6,24.7,24.8,403966.0,280.0
08/24/2021,24.8,25.3,24.6,24.7,397767.0,366.0
08/25/2021,25.0,25.7,24.8,25.2,1080006.0,623.0
08/26/2021,25.5,26.4,25.5,25.9,1164720.0,734.0
08/29/2021,26.5,28.4,26.5,28.4,2599654.0,1521.0
08/31/2021,30.0,30.3,27.5,28.6,1779863.0,1327.0
09/01/2021,28.8,29.0,27.5,28.4,1004195.0,801.0
09/02/2021,28.6,30.2,28.6,29.6,1370576.0,1192.0
09/05/2021,30.0,32.5,30.0,31.5,3032928.0,1860.0
09/06/2021,32.0,32.4,31.5,31.6,1199638.0,978.0
09/07/2021,31.6,32.6,30.2,30.5,1152519.0,916.0
09/08/2021,30.9,31.7,29.8,30.0,718577.0,742.0
09/09/2021,30.2,30.2,29.0,29.1,701286.0,690.0
09/12/2021,29.5,29.8,26.8,27.2,805184.0,680.0
09/13/2021,27.2,29.9,27.2,29.9,633955.0,578.0
09/14/2021,29.5,29.9,28.1,28.5,648330.0,590.0
09/15/2021,28.9,29.7,28.1,29.5,504335.0,577.0
09/16/2021,30.4,31.3,29.7,29.9,589570.0,616.0
09/19/2021,30.4,30.8,27.4,27.9,403754.0,479.0
09/20/2021,28.6,28.9,27.6,27.9,298197.0,351.0
09/21/2021,28.1,29.7,27.8,28.0,304392.0,385.0
09/22/2021,28.6,28.8,27.8,27.9,250140.0,367.0
09/23/2021,28.0,28.7,27.8,28.0,389004.0,349.0
09/26/2021,28.5,28.5,27.9,27.9,254278.0,301.0
09/27/2021,28.1,28.1,27.1,27.2,261100.0,316.0
09/28/2021,27.2,27.2,26.6,26.7,265476.0,398.0
09/29/2021,26.6,27.4,26.5,26.7,220028.0,259.0
09/30/2021,28.1,28.1,26.3,26.7,184747.0,260.0
10/03/2021,27.2,27.3,26.0,26.1,263591.0,365.0
10/04/2021,26.9,26.9,25.3,25.5,284260.0,371.0
10/05/2021,25.7,26.1,25.0,25.2,210587.0,216.0
10/06/2021,25.5,25.8,24.5,24.7,212128.0,266.0
10/07/2021,24.9,25.0,24.4,24.6,281992.0,373.0
10/10/2021,24.9,25.0,24.2,24.5,233600.0,342.0
10/11/2021,25.9,26.0,24.8,25.8,278012.0,352.0
10/12/2021,26.0,26.0,25.2,25.3,92270.0,157.0
10/13/2021,25.6,25.6,24.7,24.8,120978.0,152.0
10/14/2021,25.3,25.3,24.5,25.0,215676.0,332.0
10/17/2021,25.9,27.5,25.8,27.3,1065575.0,910.0
10/18/2021,27.5,27.7,25.3,25.9,301120.0,374.0
10/19/2021,27.1,27.1,25.4,25.6,243998.0,263.0
10/21/2021,27.3,27.3,25.2,26.4,178595.0,286.0
10/24/2021,26.9,27.0,25.9,26.2,238175.0,262.0
10/25/2021,25.9,26.1,24.6,24.8,205257.0,303.0
10/26/2021,25.0,26.4,24.6,25.9,171323.0,299.0
10/27/2021,26.2,26.5,25.0,25.4,176521.0,303.0
10/28/2021,25.8,25.8,24.2,25.4,379616.0,443.0
10/31/2021,23.9,23.9,22.0,22.8,590171.0,662.0
11/01/2021,23.0,23.0,22.2,22.5,218388.0,315.0
11/02/2021,23.6,23.6,22.4,22.9,172928.0,283.0
11/03/2021,22.9,23.2,22.6,22.7,118302.0,167.0
11/04/2021,22.9,23.2,22.8,22.9,106307.0,157.0
11/07/2021,23.2,23.2,22.0,22.3,200127.0,282.0
11/08/2021,22.5,22.5,20.8,20.9,293337.0,335.0
11/09/2021,20.0,21.5,20.0,20.7,92402.0,141.0
11/10/2021,21.4,22.1,20.9,21.9,114641.0,252.0
11/11/2021,22.0,22.4,20.8,20.9,93250.0,169.0
11/14/2021,21.1,21.1,20.5,20.7,42299.0,93.0
11/15/2021,21.0,21.2,19.1,19.6,121504.0,198.0
11/16/2021,20.2,20.2,18.5,18.6,317162.0,426.0
11/17/2021,19.0,19.2,17.9,18.1,255789.0,345.0
11/18/2021,17.9,18.8,17.9,18.2,149735.0,186.0
11/21/2021,18.6,18.8,17.3,17.7,304436.0,287.0
11/22/2021,18.1,18.1,17.1,17.4,160219.0,224.0
11/23/2021,18.1,18.1,17.1,17.4,160219.0,0.0
11/24/2021,17.4,19.1,17.1,18.6,325216.0,409.0
11/25/2021,18.6,18.8,18.3,18.4,59657.0,146.0
11/28/2021,18.7,19.4,18.3,18.6,84911.0,92.0
11/29/2021,18.8,19.0,18.5,18.6,94523.0,124.0
11/30/2021,19.2,19.2,17.9,18.3,200523.0,298.0
12/01/2021,18.7,18.8,18.1,18.2,56950.0,130.0
12/02/2021,18.4,18.4,18.0,18.2,69255.0,112.0
12/05/2021,18.5,19.2,18.0,18.9,166113.0,271.0
12/06/2021,19.4,19.4,19.0,19.2,127317.0,155.0
12/07/2021,19.2,21.1,19.2,20.9,226283.0,300.0
12/08/2021,21.1,22.8,19.8,20.5,339589.0,484.0
12/09/2021,21.9,21.9,20.8,21.2,118809.0,162.0
12/12/2021,22.1,22.8,21.5,21.7,178028.0,267.0
12/13/2021,21.7,22.3,21.4,21.5,108904.0,132.0
12/14/2021,22.0,22.0,20.8,20.9,129595.0,192.0
12/15/2021,21.5,21.5,20.4,20.6,79425.0,139.0
12/19/2021,20.3,21.9,20.2,20.3,97301.0,154.0
12/20/2021,20.9,20.9,19.7,19.9,42350.0,95.0
