date,open,high,low,close,volume,trade
01/01/2018,188.4,192.0,188.4,191.1,45488.0,95.0
01/02/2018,188.4,192.0,188.4,191.1,45488.0,55.0
01/03/2018,190.0,192.5,190.0,191.2,57412.0,70.0
01/04/2018,191.0,192.9,190.6,192.0,22915.0,78.0
01/07/2018,189.8,193.0,189.8,192.8,55887.0,93.0
01/08/2018,192.8,193.6,191.0,192.4,27361.0,76.0
01/09/2018,192.6,193.4,192.0,193.0,14675.0,80.0
01/10/2018,193.2,194.9,192.5,192.7,22673.0,101.0
01/11/2018,191.5,193.0,191.5,192.4,10824.0,35.0
01/14/2018,192.4,192.8,190.3,192.4,16913.0,56.0
01/15/2018,192.0,192.0,189.0,189.1,10608.0,57.0
01/16/2018,190.0,193.5,188.1,192.7,19630.0,51.0
01/17/2018,191.2,191.7,189.1,190.7,10986.0,36.0
01/18/2018,190.7,192.4,190.0,191.6,22868.0,74.0
01/21/2018,191.0,191.9,190.5,191.6,20692.0,76.0
01/22/2018,191.8,193.2,191.5,192.9,19188.0,108.0
01/23/2018,193.7,195.8,193.1,194.8,56254.0,246.0
01/24/2018,194.0,195.7,194.0,195.3,41646.0,114.0
01/25/2018,195.0,195.1,194.0,194.3,24542.0,51.0
01/28/2018,193.2,195.2,193.1,194.9,25163.0,95.0
01/29/2018,192.7,196.0,192.7,195.9,67303.0,158.0
01/30/2018,195.8,196.4,194.5,195.2,72140.0,167.0
01/31/2018,195.0,195.0,191.3,191.9,30707.0,126.0
02/01/2018,191.5,193.0,191.5,192.3,20697.0,57.0
02/04/2018,193.4,193.4,191.0,191.0,23256.0,67.0
02/05/2018,185.1,193.9,185.0,191.6,88303.0,133.0
02/06/2018,191.5,192.7,190.0,191.6,23554.0,48.0
02/07/2018,192.6,192.6,189.4,190.0,26320.0,39.0
02/08/2018,190.2,191.0,188.5,188.8,38294.0,112.0
02/11/2018,191.8,191.8,189.5,190.1,18821.0,55.0
02/12/2018,190.0,191.4,189.0,189.7,69442.0,158.0
02/13/2018,189.2,190.6,189.2,189.8,11210.0,56.0
02/14/2018,190.2,190.2,187.0,187.9,79438.0,215.0
02/15/2018,189.8,189.8,185.5,185.8,67783.0,197.0
02/18/2018,187.3,187.4,185.0,185.2,28594.0,119.0
02/19/2018,185.1,186.0,185.1,185.4,13395.0,58.0
02/20/2018,187.8,188.0,186.1,187.4,4555.0,28.0
02/22/2018,189.0,190.0,187.1,189.4,18396.0,60.0
02/25/2018,186.0,189.8,186.0,188.2,9992.0,33.0
02/26/2018,185.0,188.9,185.0,188.6,13057.0,59.0
02/27/2018,189.0,189.0,187.5,188.5,29636.0,106.0
02/28/2018,188.3,189.7,186.5,189.0,34634.0,95.0
03/01/2018,188.0,188.1,187.0,187.7,51965.0,76.0
03/04/2018,187.7,188.0,187.7,187.9,10368.0,23.0
03/05/2018,188.2,188.2,187.9,188.0,5622.0,33.0
03/06/2018,188.0,189.0,187.0,187.3,24376.0,66.0
03/07/2018,187.0,189.6,186.5,188.3,19280.0,51.0
03/08/2018,187.2,188.6,187.2,188.2,11903.0,20.0
03/11/2018,187.1,189.0,187.0,187.2,9497.0,65.0
03/12/2018,187.5,188.5,186.5,187.0,18821.0,92.0
