date,open,high,low,close,volume,trade
01/01/2018,24.5,25.1,24.1,24.3,1083186.0,247.0
01/02/2018,24.6,24.6,24.4,24.4,68192.0,145.0
01/03/2018,24.3,24.8,24.3,24.6,1716582.0,231.0
01/04/2018,24.1,24.7,24.1,24.4,776100.0,153.0
01/07/2018,24.3,24.3,24.0,24.0,191402.0,61.0
01/08/2018,23.9,24.0,23.7,23.8,107319.0,54.0
01/09/2018,23.5,23.9,23.4,23.9,139681.0,39.0
01/10/2018,23.6,23.8,23.6,23.6,65205.0,54.0
01/11/2018,23.6,23.7,23.4,23.6,27624.0,32.0
01/14/2018,23.4,23.4,23.1,23.2,32630.0,29.0
01/15/2018,22.9,23.0,22.6,22.8,595288.0,126.0
01/16/2018,22.8,23.6,22.7,23.4,655515.0,143.0
01/17/2018,23.0,23.4,22.9,23.2,39915.0,24.0
01/18/2018,22.9,23.4,22.9,23.3,224274.0,77.0
01/21/2018,23.3,23.7,23.3,23.6,228938.0,55.0
01/22/2018,23.6,23.9,23.6,23.6,155059.0,61.0
01/23/2018,23.4,23.8,23.1,23.2,29231.0,40.0
01/24/2018,23.3,23.3,23.0,23.1,74672.0,32.0
01/25/2018,23.4,23.4,22.9,23.2,195860.0,73.0
01/28/2018,23.2,23.3,22.9,23.0,65738.0,31.0
01/29/2018,22.9,23.1,22.7,22.8,65385.0,54.0
01/30/2018,22.9,22.9,22.7,22.7,127270.0,66.0
01/31/2018,22.5,22.5,22.1,22.2,246477.0,63.0
02/01/2018,22.3,22.4,22.2,22.3,48728.0,23.0
02/04/2018,21.5,22.2,21.5,21.8,253153.0,42.0
02/05/2018,21.6,22.5,21.6,22.5,609854.0,131.0
02/06/2018,22.7,23.7,22.3,23.6,397886.0,167.0
02/07/2018,23.4,23.9,22.9,23.7,539031.0,133.0
02/08/2018,22.7,23.6,22.7,22.9,19272.0,16.0
02/11/2018,23.0,23.2,22.9,23.0,140089.0,89.0
02/12/2018,22.7,23.4,22.7,22.8,52621.0,81.0
02/13/2018,22.7,23.0,22.7,22.8,17674.0,15.0
02/14/2018,22.8,22.9,22.7,22.8,19374.0,19.0
02/15/2018,22.5,22.7,22.3,22.3,35058.0,39.0
02/18/2018,22.0,22.6,21.8,21.8,42386.0,27.0
02/19/2018,22.2,22.7,22.0,22.5,115267.0,73.0
02/20/2018,22.5,22.7,22.5,22.5,41363.0,42.0
02/22/2018,22.5,22.8,22.4,22.7,92460.0,67.0
02/25/2018,22.9,23.6,22.7,22.9,335278.0,75.0
02/26/2018,22.7,22.9,22.7,22.9,59500.0,34.0
02/27/2018,22.9,23.0,22.7,23.0,170845.0,41.0
02/28/2018,22.9,23.1,22.8,22.8,88145.0,46.0
03/01/2018,22.9,23.2,22.9,23.2,255592.0,68.0
03/04/2018,23.2,23.2,23.0,23.2,305401.0,41.0
03/05/2018,23.2,23.2,22.9,22.9,369014.0,116.0
03/06/2018,22.9,23.3,22.9,23.3,347018.0,53.0
03/07/2018,23.2,23.3,22.4,22.5,81724.0,37.0
03/08/2018,22.3,22.4,22.3,22.3,11391.0,9.0
03/11/2018,22.3,22.3,22.0,22.0,22309.0,11.0
03/12/2018,21.7,21.8,21.6,21.6,71997.0,57.0
03/13/2018,21.0,21.0,20.9,20.9,18142.0,12.0
03/14/2018,20.9,21.0,20.8,20.9,142802.0,57.0
03/15/2018,20.2,21.3,20.2,21.3,242998.0,81.0
03/18/2018,21.2,21.4,20.9,21.1,7544.0,9.0
03/19/2018,20.7,20.8,20.6,20.7,94554.0,51.0
03/20/2018,20.5,20.7,20.5,20.7,10107.0,11.0
03/21/2018,21.1,21.1,20.5,20.5,85077.0,48.0
03/22/2018,20.5,21.3,20.2,21.1,608083.0,207.0
03/25/2018,20.8,21.4,20.8,20.9,95909.0,49.0
03/27/2018,20.9,20.9,20.5,20.6,271713.0,73.0
03/28/2018,20.8,20.9,20.4,20.8,275476.0,52.0
03/29/2018,20.9,21.0,20.6,20.9,133424.0,107.0
04/01/2018,20.8,22.2,20.8,22.0,535275.0,71.0
04/02/2018,21.9,22.2,21.6,22.1,629295.0,96.0
04/03/2018,21.6,22.2,21.5,21.8,561616.0,149.0
04/04/2018,22.0,22.3,22.0,22.2,1117634.0,210.0
04/05/2018,22.2,22.2,22.0,22.2,56193.0,25.0
04/08/2018,22.0,22.0,21.6,21.8,162201.0,68.0
04/09/2018,21.6,22.3,21.6,22.1,375605.0,132.0
04/10/2018,22.1,22.3,22.0,22.2,701213.0,160.0
04/11/2018,22.0,22.0,21.8,21.9,58739.0,39.0
04/12/2018,21.6,22.0,21.6,21.6,18194.0,28.0
04/15/2018,21.4,21.5,21.3,21.4,124635.0,29.0
04/16/2018,21.5,21.5,21.0,21.4,120910.0,50.0
04/17/2018,21.4,21.6,21.1,21.4,58517.0,28.0
04/18/2018,20.9,21.8,20.8,21.7,238817.0,72.0
04/19/2018,21.3,22.0,21.3,21.9,215620.0,95.0
04/22/2018,21.8,22.2,21.8,22.2,436614.0,125.0
04/23/2018,21.6,22.4,21.5,22.3,395378.0,123.0
04/24/2018,22.3,22.6,22.2,22.4,601450.0,159.0
04/25/2018,22.5,22.9,22.3,22.7,798943.0,145.0
